"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"Downloadable Information","ഡൗൺലോഡ് ചെയ്യാവുന്ന വിവരങ്ങൾ"
"Duplicate","ഡ്യൂപ്ലിക്കേറ്റ്"
"Edit","എഡിറ്റുചെയ്യുക"
"Email","ഇമെയിൽ"
"Email to a Friend","ഒരു ചങ്ങാതിക്ക് ഇമെയിൽ ചെയ്യുക"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"First Name","പേരിന്റെ ആദ്യഭാഗം"
"Fixed","നിശ്ചിതമായ"
"General Information","പൊതുവിവരം"
"Go to Home Page","ഹോം പേജിലേയ്ക്ക് പോകുക"
"Grid","ഗ്രിഡ്"
"Home","ഹോം"
"ID","ഐഡി"
"Image","ചിത്രം"
"In Stock","സ്റ്റോക്കുണ്ട്"
"In stock","സ്റ്റോക്കുണ്ട്"
"Incl. Tax","നികുതി ഉൾപ്പെടെ"
"Input Type","ഇൻപുട്ട് ടൈപ്പ്"
"Last Name","പേരിന്റെ അവസാന ഭാഗം"
"List","പട്ടിക"
"My Account","എന്റെ അക്കൗണ്ട്"
"N/A","ബാധകമല്ല"
"Name","പേര്"
"New Product Attribute","പുതിയ പ്രോഡക്റ്റ് ആട്രിബ്യൂട്ട്"
"Next","അടുത്തത്"
"No","ഇല്ല"
"None","ഒന്നുമില്ല"
"Number of Products per Page","ഓരോ പേജിലേയും ഉൽപ്പന്നങ്ങളുടെ എണ്ണം"
"Number of Products to Display","പ്രദർശിപ്പിക്കേണ്ട ഉൽപ്പന്നങ്ങളുടെ എണ്ണം"
"Options","ഓപ്ഷനുകൾ"
"Out of Stock","ശേഖരം തീർന്നു പോയി"
"Out of stock","ശേഖരം തീർന്നു പോയി"
"Pending","ശേഷിക്കുന്നു"
"Position","സ്ഥാനം"
"Previous","മുമ്പത്തെ"
"Price","വില"
"Product","ഉൽപ്പന്നം"
"Product Attribute","പ്രോഡക്റ്റ് ആട്രിബ്യൂട്ട്"
"Product Name","ഉത്പന്നത്തിന്റെ പേര്"
"Product URL Suffix","ഉൽപ്പന്ന URL സഫിക്‌സ്"
"Products","ഉൽപ്പന്നങ്ങൾ"
"Properties","പ്രോപ്പർട്ടികൾ"
"Qty","അളവ്"
"Quantity","അളവ്"
"Remove","നീക്കം ചെയ്യുക"
"Reset","പുനഃക്രമീകരിക്കുക"
"Results","ഫലം"
"Root","റൂട്ട്"
"Save","സേവ് ചെയ്യുക"
"Save Attribute","ആട്രിബ്യൂട്ട് സേവ് ചെയ്യുക"
"Save and Continue Edit","സേവ് ചെയ്ത്എഡിറ്റ് തുടരുക"
"Scope","സ്കോപ്പ്"
"Search","തിരയുക"
"Search Weight","ഭാരം തിരയുക"
"Searchable","തിരയാൻ കഴിയുന്ന"
"Sort Order","ക്രമം"
"Status","സ്റ്റാറ്റസ്"
"Store","സ്റ്റോർ"
"Store View","സ്റ്റോർ വ്യൂ"
"Tax","നികുതി"
"Template","ടെംപ്ലേറ്റ്"
"Text","ടെക്സ്റ്റ്"
"The base directory to upload file is not specified.","ഫയൽ അപ്‌ലോഡുചെയ്യാനുള്ള അടിസ്ഥാന ഡയറക്‌ടറി വ്യക്തമാക്കിയിട്ടില്ല."
"This attribute is used in configurable products.","ക്രമീകരിക്കാവുന്ന ഉൽപ്പന്നങ്ങളിൽ ഈ ആട്രിബ്യൂട്ട് ഉപയോഗിക്കുന്നു."
"Title","ശീർഷകം"
"Type","ടൈപ്പ്"
"Update","പുതുക്കുക"
"Use Categories Path for Product URLs","ഉൽപ്പന്ന URL കൾക്കായി വിഭാഗങ്ങളുടെ പാത ഉപയോഗിക്കുക"
"Use Config Settings","കോൺഫിഗ് സെറ്റിംഗ്സ് ഉപയോഗിക്കുക"
"Use Default Value","സ്ഥിര മൂല്യം ഉപയോഗിക്കുക"
"Use config","കോൺഫിഗറേഷൻ ഉപയോഗിക്കുക"
"View Details","വിശദാംശങ്ങൾ കാണുക"
"Visibility","വിസിബിലിറ്റി"
"Visible","ദൃശ്യമാണ്"
"Website","വെബ് സൈറ്റ്"
"Websites","വെബ്‌സൈറ്റുകൾ"
"Yes","അതെ"
"save","സേവ് ചെയ്യുക"
