"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"Customer Groups","ഉപഭോക്തൃ ഗ്രൂപ്പുകൾ"
"Customers","ഉപഭോക്താക്കൾ"
"Dashboard","ഡാഷ്ബോർഡ്"
"Database","ഡാ‍റ്റാബേസ്"
"Date","തീയതി"
"Date Added","തീയതി ചേർത്തു"
"Day","ദിവസം"
"Default Values","സ്ഥിര മൂല്യം"
"Default scope","ഡീഫോൾട് സ്കോപ്പ്"
"Delete","നീക്കം ചെയ്യുക"
"Delete Block","ബ്ലോക്ക് ഇല്ലാതാക്കുക"
"Delete File","ഫയൽ ഇല്ലാതാക്കുക"
"Delete Store","സ്റ്റോർ ഇല്ലാതാക്കുക"
"Delete Store View","സ്റ്റോർ വ്യൂ ഇല്ലാതാക്കുക"
"Description","വിവരണം"
"Design","ഡിസൈൻ"
"Details","വിവരങ്ങൾ"
"Disable","പ്രവർത്തനരഹിതമാക്കുക"
"Disabled","പ്രവർത്തനരഹിതമാക്കി"
"Display default currency","ഡീഫോൾട് കറൻസി പ്രദർശിപ്പിക്കുക"
"Downloads","ഡൌണ്‍ലോടുകള്‍"
"Edit","എഡിറ്റുചെയ്യുക"
"Edit Block","ബ്ലോക്ക് എഡിറ്റുചെയ്യുക"
"Edit Design Change","ഡിസൈൻ മാറ്റം എഡിറ്റുചെയ്യുക"
"Edit Role","റോൾ എഡിറ്റുചെയ്യുക"
"Edit Store View","സ്റ്റോർ വ്യൂ എഡിറ്റുചെയ്യുക"
"Email","ഇമെയിൽ"
"Email Address:","ഈ - മെയില് വിലാസം:"
"Email to a Friend","ഒരു ചങ്ങാതിക്ക് ഇമെയിൽ ചെയ്യുക"
"Enable","പ്രവർത്തനക്ഷമമാക്കുക"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"Error","പിശക്"
"Expiration Date","കാലഹരണപ്പെടുന്ന തീയതി"
"First Name","പേരിന്റെ ആദ്യഭാഗം"
"First Name:","പേരിന്റെ ആദ്യഭാഗം:"
"Fixed","നിശ്ചിതമായ"
"From","മുതൽ"
"General Information","പൊതുവിവരം"
"Grand Total","ആകെ തുക"
"Guest","അതിഥി"
"Home","ഹോം"
"ID","ഐഡി"
"Images (.gif, .jpg, .png)","ഇമേജുകൾ (.gif, .jpg, .png)"
"Import","ഇമ്പോർട്"
"Inactive","നിഷ്‌ക്രിയം"
"Incl. Tax","നികുതി ഉൾപ്പെടെ"
"Incoming Message","ഇൻകമിംഗ് മെസ്സേജ്"
"Invalid Form Key. Please refresh the page.","ഫോം കീ അസാധുവാണ്. പേജ് പുതുക്കുക."
"Invalidated","അസാധുവാണ്"
"Items","ഇനങ്ങൾ"
"Last Name","പേരിന്റെ അവസാന ഭാഗം"
"Last Name:","പേരിന്റെ അവസാന ഭാഗം:"
"Lifetime Sales","ആജീവനാന്ത വിൽപ്പന"
"Login","ലോഗിൻ"
"OpenMage Admin","OpenMage അഡ്മിൻ"
"Content","ഉള്ളടക്കം"
"Currency Rates","കറൻസി നിരക്കുകൾ"
"Maximum sender name length is 255. Please correct your settings.","അയച്ചയാളുടെ പേരിന്റെ പരമാവധി ദൈർഘ്യം 255. ദയവായി നിങ്ങളുടെ ക്രമീകരണങ്ങൾ ശരിയാക്കുക."
"Media (.avi, .flv, .swf)","മീഡിയ (.avi, .flv, .swf)"
"Messages Inbox","മെസ്സേജ് ഇൻ‌ബോക്സ്"
"Month","മാസം"
"Most Viewed Products","ഏറ്റവും കൂടുതൽ കണ്ട ഉൽപ്പന്നങ്ങൾ"
"Multiple Select","ഒന്നിലധികം തിരഞ്ഞെടുക്കൽ"
"My Account","എന്റെ അക്കൗണ്ട്"
"N/A","ബാധകമല്ല"
"Name","പേര്"
"New Block","പുതിയ ബ്ലോക്ക്"
"New Condition","പുതിയ നിബന്ധന"
"New Customer","പുതിയ ഉപഭോക്താവ്"
"New Customers","പുതിയ ഉപഭോക്താക്കൾ"
"New Group","പുതിയ ഗ്രൂപ്പ്"
"New Password","പുതിയ പാസ്‍വേര്‍ഡ്"
"New Rule","പുതിയ നിയമം"
"New Store View","പുതിയ സ്റ്റോർ വ്യൂ"
"Newsletter","വാർത്താക്കുറിപ്പ്"
"No","ഇല്ല"
"No change","യാതൊരു ഭേദഗതിയും"
"None","ഒന്നുമില്ല"
"Notifications","അറിയിപ്പുകൾ"
"Number of Orders","ഓർഡറുകളുടെ എണ്ണം"
"Old rate:","പഴയ നിരക്ക്:"
"Options","ഓപ്ഷനുകൾ"
"Orders","ഓർഡറുകൾ"
"Out of stock","ശേഖരം തീർന്നു പോയി"
"Password","പാസ്സ്‌വേര്‍ഡ്‌"
"Password Confirmation","പാസ്‌വേഡ് സ്ഥിരീകരണം"
"Percent","ശതമാനം"
"Personal Information","സ്വകാര്യ വിവരം"
"Please Select","ദയവായി തിരഞ്ഞെടുക്കുക"
"Please enter a valid email.","സാധുവായ ഒരു ഇമെയിൽ നൽകുക."
"Please make sure your passwords match.","നിങ്ങളുടെ പാസ്‌വേഡുകൾ പൊരുത്തപ്പെടുന്നുവെന്ന് ഉറപ്പാക്കുക."
"Please select customer(s).","ഉപഭോക്താവിനെ(കൾ) തിരഞ്ഞെടുക്കുക."
"Please specify the admin custom URL.","അഡ്‌മിൻ ഇഷ്‌ടാനുസൃത URL വ്യക്തമാക്കുക."
"Position","സ്ഥാനം"
"Preview","പ്രിവ്യൂ"
"Price","വില"
"Product","ഉൽപ്പന്നം"
"Product Name","ഉത്പന്നത്തിന്റെ പേര്"
"Products","ഉൽപ്പന്നങ്ങൾ"
"Promo","പ്രമോ"
"Promotions","പ്രമോഷനുകൾ"
"Quantity","അളവ്"
"Radio Buttons","റേഡിയോ ബട്ടണുകൾ"
"Refresh","പുതുക്കുക"
"Reload captcha","ക്യാപ്‌ച വീണ്ടും ലോഡുചെയ്യുക"
"Remove","നീക്കം ചെയ്യുക"
"Reports","റിപ്പോർട്ടുകൾ"
"Required","ആവശ്യമാണ്"
"Reset","പുനഃക്രമീകരിക്കുക"
"Reset Password","പാസ്‍വേര്‍ഡ് പുനഃക്രമീകരിക്കുക"
"Results","ഫലം"
"Revenue","വരുമാനം"
"Role Name","റോൾ നാമം"
"Sales","വിൽപ്പന"
"Save","സേവ് ചെയ്യുക"
"Save Account","അക്കൗണ്ട് സേവ് ചെയ്യുക"
"Save Cache Settings","ക്യാഷെ സെറ്റിംഗ്സ് സേവ് ചെയ്യുക"
"Save Config","കോൺഫിഗറേഷൻ സേവ് ചെയ്യുക"
"Save Currency Rates","കറൻസി നിരക്കുകൾ സേവ് ചെയ്യുക"
"Save and Continue Edit","സേവ് ചെയ്ത്എഡിറ്റ് തുടരുക"
"Search","തിരയുക"
"Select Category","കാറ്റഗറി തിരഞ്ഞെടുക്കുക"
"Shipping","ഷിപ്പിംഗ്"
"Shopping Cart","ഷോപ്പിംഗ് കാർട്ട്"
"Specified","വ്യക്തമാക്കിയ"
"Start Date","ആരംഭ തീയതി"
"State/Province:","സംസ്ഥാനം / പ്രവിശ്യ:"
"Static Blocks","സ്റ്റാറ്റിക് ബ്ലോക്കുകൾ"
"Status","സ്റ്റാറ്റസ്"
"Store","സ്റ്റോർ"
"Store View","സ്റ്റോർ വ്യൂ"
"Stores","സ്റ്റോറുകൾ"
"Subject","വിഷയം"
"Submit","സമർപ്പിയ്ക്കുക"
"Subtotal","ആകെത്തുക"
"System","സിസ്റ്റം"
"Tax","നികുതി"
"Template","ടെംപ്ലേറ്റ്"
"Terms and Conditions","ഉപാധികളും നിബന്ധനകളും"
"Text","ടെക്സ്റ്റ്"
"This block no longer exists.","ഈ ബ്ലോക്ക് നിലവിലില്ല."
"To","വരെ"
"Tools","ഉപകരണങ്ങൾ"
"Total","ആകെ"
"Transaction ID","ഇടപാട് ഐഡി"
"Type","ടൈപ്പ്"
"Unknown","അജ്ഞാതം"
"Unlimited","പരിധിയില്ലാത്തത്"
"Update","പുതുക്കുക"
"Upload File","ഫയൽ അപ്‌ലോഡുചെയ്യുക"
"Upload Files","ഫയലുകൾ അപ്‌ലോഡുചെയ്യുക"
"Use All Available Attributes","ലഭ്യമായ എല്ലാ ആട്രിബ്യൂട്ടുകളും ഉപയോഗിക്കുക"
"Use Config Settings","കോൺഫിഗ് സെറ്റിംഗ്സ് ഉപയോഗിക്കുക"
"Use Default","ഡീഫോൾട്ട് ഉപയോഗിയ്ക്കുക"
"Use Default Value","സ്ഥിര മൂല്യം ഉപയോഗിക്കുക"
"Use Website","വെബ്സൈറ്റ് ഉപയോഗിക്കുക"
"User Email","ഉപയോക്തൃ ഇമെയിൽ"
"User Name","യൂസര്‍ നെയിം"
"Website","വെബ് സൈറ്റ്"
"What is this?","ഇത് എന്താണ്?"
"Year","വർഷം"
"Yes","അതെ"
"Your password reset link has expired.","നിങ്ങളുടെ പാസ്‌വേഡ് പുനസജ്ജീകരണ ലിങ്ക് കാലഹരണപ്പെട്ടു."
"Zip/Postal Code","സിപ് / പോസ്റ്റൽ കോഡ്"
"[GLOBAL]","[ഗ്ലോബൽ]"
"[STORE VIEW]","[സ്റ്റോർ വ്യൂ]"
"[WEBSITE]","[വെബ്സൈറ്റ്]"
"close","അടയ്ക്കുക"
"critical","ഗുരുതരമാണ്"
"failed","പരാജയപ്പെട്ടു"
"major","പ്രധാന"
"minor","മൈനർ"
"notice","അറിയിപ്പ്"
"successful","വിജയിച്ചു"
