"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"Registered Customers","രജിസ്റ്റർ ചെയ്ത ഉപഭോക്താക്കൾ"
"Remove","നീക്കം ചെയ്യുക"
"Save","സേവ് ചെയ്യുക"
"Save Address","അഡ്രെസ്സ് സേവ് ചെയ്യുക"
"Save Customer","ഉപഭോക്താവിനെ സേവ് ചെയ്യുക"
"Save and Continue Edit","സേവ് ചെയ്ത്എഡിറ്റ് തുടരുക"
"Send confirmation link","സ്ഥിരീകരണ ലിങ്ക് അയയ്‌ക്കുക"
"Sending","അയയ്ക്കുന്നു"
"Sent","അയച്ചു"
"Shopping Cart","ഷോപ്പിംഗ് കാർട്ട്"
"Sign Up for Newsletter","വാർത്താക്കുറിപ്പിനായി സൈൻ അപ്പ് ചെയ്യുക"
"State/Province","സംസ്ഥാനം / പ്രവിശ്യ"
"Status","സ്റ്റാറ്റസ്"
"Store","സ്റ്റോർ"
"Store View","സ്റ്റോർ വ്യൂ"
"Street Address","സ്ട്രീറ്റ് വിലാസം"
"Subject","വിഷയം"
"Submit","സമർപ്പിയ്ക്കുക"
"Text","ടെക്സ്റ്റ്"
"This email does not require confirmation.","ഈ ഇമെയിലിന് സ്ഥിരീകരണം ആവശ്യമില്ല."
"Total","ആകെ"
"Type","ടൈപ്പ്"
"Unknown","അജ്ഞാതം"
"Update","പുതുക്കുക"
"Use as my default billing address","എന്റെ സ്ഥിരസ്ഥിതി ബില്ലിംഗ് വിലാസമായി ഉപയോഗിക്കുക"
"Use as my default shipping address","എന്റെ സ്ഥിരസ്ഥിതി ഷിപ്പിംഗ് വിലാസമായി ഉപയോഗിക്കുക"
"VAT Number","VAT നമ്പർ"
"View","കാണുക"
"Website","വെബ് സൈറ്റ്"
"Wrong email.","തെറ്റായ ഇമെയിൽ."
"Year","വർഷം"
"You have no default billing address in your address book.","നിങ്ങളുടെ വിലാസ പുസ്തകത്തിൽ സ്ഥിരസ്ഥിതി ബില്ലിംഗ് വിലാസമൊന്നുമില്ല."
"You have no default shipping address in your address book.","നിങ്ങളുടെ വിലാസ പുസ്തകത്തിൽ സ്ഥിരസ്ഥിതി ഷിപ്പിംഗ് വിലാസമൊന്നുമില്ല."
"You have not set a default billing address.","നിങ്ങൾ ഒരു സ്ഥിര ബില്ലിംഗ് വിലാസം സജ്ജമാക്കിയിട്ടില്ല."
"You have not set a default shipping address.","നിങ്ങൾ ഒരു സ്ഥിര ഷിപ്പിംഗ് വിലാസം സജ്ജമാക്കിയിട്ടില്ല."
"You will be charged tax.","നിങ്ങളിൽ നിന്ന് നികുതി ഈടാക്കും."
"You will not be charged tax.","നിങ്ങളിൽ നിന്ന് നികുതി ഈടാക്കില്ല."
"Your Tax ID cannot be validated.","നിങ്ങളുടെ ടാക്സ് ഐഡി സാധൂകരിക്കാൻ കഴിയില്ല."
"Your VAT ID was successfully validated.","നിങ്ങളുടെ വാറ്റ് ഐഡി വിജയകരമായി സാധൂകരിച്ചു."
"Zip/Postal Code","സിപ് / പോസ്റ്റൽ കോഡ്"
"or","അഥവാ"
