"-- Please Select --","-- Por favor, seleccione --"
"Please select one of the above options.","Por favor, seleccione una de las opciones de arriba."
"Please select one of the options.","Por favor, seleccione una de las opciones."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, use s&oacute;lo letras (a-z), n&uacute;meros (0-9) o guiones bajos(_) en este campo. El primer car&aacute;cter debe ser una letra."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use este formato de fecha: dd/mm/yyyy. Por ejemplo 17/03/2006 para el 17 de marzo de 2006."
"Please wait, loading...","Por favor espere, cargando…"
"Port (25)","Puerto (25)"
"Profiler","Perfilador"
"Root Category","Categoría raíz"
"Save","Guardar"
"Save Store","Guardar la tienda"
"Save Store View","Guardar la vista de la tienda"
"Save Website","Guardar el sitio web"
"Search Engines Optimization","Optimización para motores de búsqueda"
"Secure","Seguro"
"Select Date","Seleccionar fecha"
"Sender Email","Correo electrónico del remitente"
"Sender Name","Nombre del remitente"
"Services","Servicios"
"Sort Order","Ordenar pedido"
"Status","Estado"
"Store","Tienda"
"Store Email Addresses","Direcciones de correo electrónico de la tienda"
"Store Information","Información de la tienda"
"Store Name","Nombre de la tienda"
"Store View","Vista de tienda"
"Store View Information","Información de la vista de tienda"
"Store View Name","Nombre de la vista de tienda"
"Store with the same code","Ya existe una tienda con el mismo código"
"System","Sistema"
"Template Path Hints","Ayuda de rutas de la plantilla"
"Templates","Plantillas"
"Themes","Temas"
"This category only","Esta categoría solamente"
"This is a required field.","Campo requerido"
"Timezone","Zona horaria"
"Transactional Emails","Correos electrónicos transaccionales"
"Translations","Traducciones"
"Unsecure","Inseguro"
"Url Options","Opciones URL"
"None","Ninguno"
"Use Secure URLs in Admin","Usar URLs seguras en la Administración"
"Use Secure URLs in Frontend","Usar URLs seguras en el Frontend"
"Use Web Server Rewrites","Usar reescrituras del servidor web"
"Website","Sitio web"
"Website Information","Información del sitio web"
"Website Name","Nombre del sitio web"
"Website with the same code","Ya existe un sitio web con el mismo código"
"Wrong number of arguments for %s","Número de argumentos erróneo para %s"
"Yes","Sí"
"Frontend","Vista Delantera"
