"Add New Address","Agregar nuevas direcciones"
"Maximum qty allowed for Shipping to multiple addresses is %s","La máxima cantidad para envíos a direcciones múltiples es  %s"
"Move to Wishlist","Trasladar a la lista de artículos de interés"
"My Cart (%s item)","Mi Carrito (%s artículo)"
"My Cart (%s items)","My Carrito (%s artículos)"
"My Cart Link","Mi enlace al carrito"
"New Address","Nueva dirección"
"No Payment Methods","No hay métodos de pago"
"Order Review","Revisión del Pedido"
"Order Success","Pedido exitoso"
"Password","Contraseña"
"Payment Information","Información de pago"
"Payment Method","Método de pago"
"Payment method is not defined","El método de pago no está definido"
"Place Order","Realizar el Pedido"
"Please log in below:","Por favor acceda:"
"Please select region, state or province","Seleccione una región, estado o provincia"
"Please select shipping methods for all addresses","Por favor, seleccione métodos de envío para todas las direcciones "
"Price","Precio"
"Proceed to Checkout","Realizar Pedido"
"Product","Producto"
"Product Name","Nombre del producto"
"Products","Productos"
"Qty","Ctdad"
"Quantity","Cantidad"
"Quote Lifetime (days)","Validez de la cotizaci&oacute;n (d&iacute;as)"
"Recently added item(s)","Artículo(s) añadidos recientemente"
"Register","Registrarse"
"Register and save time!","Regístrese y ahorre tiempo!"
"Register to Create an Account","Regístrese para crear una cuenta"
"Register with us for future convenience:","Regístrese para su conveniencia:"
"Remove Item","Quitar el artículo"
"Remove This Item","Quitar este artículo"
"Review Order","Revisar el Pedido"
"Review Order - %s","Revisar el Pedido - %s"
"SKU","Código"
"Save in address book","Guardar en la libreta de direcciones"
"Select Address","Seleccione la dirección"
"Select Addresses","Seleccione las direcciones"
"Select Shipping Method","Seleccione el método de envío"
"Select State/Province...","Seleccione el Estado/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o ingrese una nueva dirección."
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío de su libreta de direcciones o ingrese una nueva dirección."
"Ship to Multiple Addresses","Enviar a direcciones múltiples"
"Ship to different address","Enviar a una dirección diferente"
"Ship to this address","Enviar a esta dirección"
"Shipping Address","Dirección de envío"
"Shipping Information","Información del envío"
"Shipping Method","Método de envío"
"Shipping Methods","Métodos de envío"
"Shipping method has not been selected yet","El método de envío no ha sido seleccionado todavía"
"Shopping Cart","Carrito de compras"
"Shopping Cart is Empty","El carrito de compras esta vacío"
"Sorry, no quotes are available for this order at this time.","Disculpe, no hay presupuestos disponibles para este Pedido en este momento."
"State/Province","Estado/Provincia"
"Status","Estado"
"Store View","Vista de tienda"
"Street Address","Calle"
"Submitting order information...","Enviando la información del Pedido…"
"Telephone","Teléfono"
"Thank you for your purchase!","Gracias por su compra!"
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su pedido. Por favor, contacte con nosotros o inténtelo de nuevo más tarde."
"Total for this address","Total para esta dirección"
"Unit Price","Precio unitario"
"Update","Actualizar"
"Update Qty &amp; Addresses","Actualizar la cantidad  &amp; Direcciones"
"Update Shopping Cart","Actualizar el carrito de compras"
"Update Total","Actualizar el total"
"Use Billing Address","Usar la dirección de facturación"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su Pedido y en breve recibirá un correo electrónico con los detalles. Una vez que su Pedido sea despachado, recibirá otro correo con el número de seguimiento del envío."
"You have no items in your shopping cart.","No tiene artículos en su carrito de compras."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá un correo electrónico de confirmación de su Pedido con los detalles del mismo y un enlace para seguir todo el proceso."
"Your Checkout Progress","Su progreso en la caja"
"Zip/Postal Code","Código postal"
