"# of Use","# de Uso"
"%s Item(s)","%s Artículo(s)"
"(Copy data from: %s)","(Copiar datos de: %s)"
"Please select products for attributes update","Por favor, seleccione productos para la actualización de los atributos"
"Please wait...","Por favor, espere..."
"Position of attribute in layered navigation block","Posición del atributo en el bloque de navegación por capas"
"Prev","Anterior"
"Previous","Anterior"
"Price","Precio"
"Price values for options should be specified in system base currency.","Los valores de precio para las opciones deben especificarse en la moneda base del sistema."
"Price:","Precio:"
"Print This Page","Imprimir esta página"
"Product","Producto"
"Product Alerts","Alertas del producto"
"Product Attribute","Atributo del producto"
"Product Attributes","Atributos del producto"
"Product Categories","Categorías del producto"
"Product Description","Descripción del producto"
"Product ID","ID de producto"
"Product Image Placeholders","Contenedores para las imágenes de los productos"
"Product Image Watermarks","Marcas de agua para las imágenes de los productos"
"Product In Websites","Productos en los Sitios Web"
"Product Information","Información del producto"
"Product Name","Nombre del producto"
"Product Reviews","Comentarios del producto "
"Product Tags","Etiquetas del producto"
"Product Type","Tipo de producto"
"Product with this combination of attributes already associated to configurable.","Producto con esta combinación de atributos ya asociado a configurable."
"Products","Productos"
"Products Information","Información Productos"
"Products Reviews","Comentarios de los productos"
"Products Sitemap","Mapa del sitio para Productos"
"Products only","Sólo Productos"
"Properties","Propiedades"
"Qty","Ctdad"
"Qty Uses Decimals","La cantidad usa decimales"
"Quantity","Cantidad"
"Quick Create","Creación rápida"
"Quick Overview","Descripción rápida"
"Quick simple product creation","Creación rápida de producto simple"
"Redirect","Redirigir"
"Redirect URL","URL de redireccionamiento"
"Regular Price:","Precio regular:"
"Related Products","Productos relacionados"
"Remove Product From Websites","Eliminar el producto de los websites"
"Remove This Item","Quitar este artículo"
"Reset","Reiniciar"
"Results","Resultados"
"Reviews","Opiniones"
"Roll Over for preview","Pasar el mouse para una vista previa"
"Root","Raiz"
"SKU","Código"
"Save","Guardar"
"Save Attribute","Guardar el atributo"
"Save Attribute Set","Guardar el conjunto de atributos"
"Save Category","Guardar la categoría"
"Save Search","Guardar la búsqueda"
"Scope","Alcance"
"Search","Buscar"
"Search Engine Optimizations","Optimizaciones para el motor de búsqueda"
"Search Information","Información de búsqueda"
"Search Query","Consulta de búsqueda"
"Searchable","Buscable"
"Select Configurable Attributes ","Seleccionar atributos configurables "
"Selected Product Types","Tipos de productos seleccionados"
"Send Count","Enviar conteo"
"Set Ascending Direction","Configurar sentido ascendente"
"Set Descending Direction","Configurar sentido descendente"
"Set Name","Nombre del conjunto"
"Set root category for this store in the <a href=""%s"">configuration</a>","Colocar la categoría raiz para esta tienda en la <a href=""%s"">configuración</a>"
"Settings","Configuraciones"
"Shopping Options","Opciones de compra"
"Show","Mostrar"
"Simple Product","Producto simple"
"Site Map","Mapa del sitio"
"Skip import row, is not valid value ""%s"" for field ""%s""","Omitir la fila de importación, no es un valor válido ""%s"" para el campo ""%s"""
"Sort Order","Ordenar pedido"
"Source Model","Origen del modelo"
"Special Price:","Precio especial:"
"Starting at:","Comenzando desde:"
"Static","Estático"
"Static block and products","Bloque estático y productos"
"Static block only","Bloque estático solamente"
"Status","Estado"
"Stock Availability","Disponibilidad Inventario"
"Store","Tienda"
"Store View","Vista de tienda"
"Stretch","Estiramiento"
"Subscribe to RSS Feed","Suscribirse al feed RSS"
"Super product attributes configuration","Configuración de los atributos de super productos"
"Synonym For","Sinónimo Para"
"System Properties","Propiedades del sistema"
"Tag Name","Nombre de la etiqueta"
"Tax","Impuestos"
"Template","Plantilla"
"There are no %s available.","No hay %s disponible."
"There are no customers for this alert","No hay clientes para esta alerta"
"There are no products matching the selection.","No hay productos que concuerden con la selección."
"This attribute no longer exists","Este atributo no existe más"
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos del sistema. Traslade los atributos del sistema a otro grupo e intente nuevamente."
"Tier Pricing","Precio escalonado"
"Tile","Título"
"Top/Left","Arriba/Izquierda"
"Top/Right","Arriba/Derecha"
"Type","Tipo"
"Unassigned Attributes","Atributos sin asignar"
"Up-sells","Ventas sugeridas"
"Update","Actualizar"
"Update attributes","Actualizar atributos"
"Use Default Value","Usar valor por defecto"
"Use In Layered Navigation","Usar en la navegación por capas"
"Use To Create Configurable Product","Usar para crear un Producto configurable"
"Use config","Usar configuración"
"Use default","Usar por defecto"
"View Details","Ver los detalles"
"View as","Ver como"
"Visibility","Visibilidad"
"Visible on Catalog Pages on Front-end","Visible en Catálogo y Tienda"
"Watermark","Marca de Agua"
"Watermark Default Size","Tamaño Marca de Agua por Defecto"
"Watermark Position","Posición Marca de Agua"
"Website","Sitio web"
"Yes","Sí"
"You cannot remove system attribute from this set.","No puede eliminar el atributo del sistema del conjunto."
"You have no items to compare.","No tiene artículos para comparar."
"You may also be interested in the following product(s)","Puede estar interesado en este(os) producto(s)"
"Zoom In","Ampliar"
"Zoom Out","Reducir"
"and","y"
"and above","y superior"
"ex. http://domain.com","ej. http://dominio.com"
"per page","por página"
"select all","seleccionar todo"
"unselect all","deseleccionar todo"
