"-- Please Select --","--الرجاء الاختيار-"
"Enable Charts","تمكين المخططات"
"Enabled","تفعيل"
"Enabled for Admin","مفعل للمشرف"
"Environment Update Time","وقت تحديث البيئة"
"European Union Countries","بلدان الاتحاد الأوروبي"
"Favicon Icon","رمز الأيقونة"
"File system","نظام الملفات"
"First Day of Week","أول يوم في الأسبوع"
"Flush Cache Storage","مسح ذاكرة التخزين المؤقت"
"Flush OpenMage Cache","مسح ذاكرة التخزين المؤقت"
"Footer","ذيل الصفحة"
"Forgot Password Email Template","نسيت كلمة السر البريد الالكتروني قالب"
"General","عام"
"General Contact","وسيلة الاتصال العامة"
"General Settings","إعدادات عامة"
"Global","عالمي"
"Header","الترويسة"
"Host","المضيف"
"How many links to display at once.","كم عدد الروابط التي يتم عرضها في وقت واحد."
"Incorrect credit card expiration date.","تاريخ انتهاء صلاحية بطاقة الائتمان غير صحيح."
"JavaScript Settings","إعدادات جافا سكريبت"
"Layout","تخطيط"
"Leave empty for access from any location.","اترك فارغاً للوصول من أي مكان."
"Locale","محلي"
"Locale Options","خيارات اللغة"
"Login is Case Sensitive","تسجيل الدخول يحتسب حالة الأحرف"
"Logo Image","صورة الشعار"
"Logo Image Alt","Alt صورة الشعار"
"Mail Sending Settings","إعدادات إرسال البريد"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","تأكد من أن عنوان URL الأساسي ينتهي ب '/' ، مثل http://yourdomain/magento/"
"Media Storage","وسائط التخزين"
"Merge CSS Files","دمج ملفات CSS"
"Merge JavaScript Files","دمج ملفات JavaScript"
"Miscellaneous HTML","HTML المتنوعة"
"Name","اسم"
"New Store","متجر جديد"
"New Store View","عرض متجر جديد"
"No","لا"
"Offloader header","أيقاف تحميل الترويسة"
"Package","الحزمة"
"Pagination","ترقيم الصفحات"
"Pagination Frame","إطار الصفحات ترقيم الصفحات"
"Pagination Frame Skip","تخطي ترقيم الصفحات"
"Please enter a number 0 or greater in this field.","الرجاء إدخال رقم 0 أو أكبر في هذا الحقل."
"Please enter a number 1 or greater in this field.","الرجاء إدخال رقم 1 أو أكبر في هذا الحقل."
"Please enter a number greater than 0 in this field.","فضلا قم بادخال رقم اكبر من 0 في الحقل."
"Please enter a valid $ amount. For example $100.00.","الرجاء ادخال $ من المبلغ. فعلى سبيل المثال 100،00 $."
"Please enter a valid credit card number.","الرجاء ادخال رقم بطاقه الائتمان"
"Please enter a valid credit card verification number.","الرجاء إدخال رقم بطاقة ائتمان صالح للتحقق."
"Please enter a valid date.","الرجاء ادخال تاريخ صحيح."
"Please enter a valid month (1-12).","الرجاء إدخال شهر صالح (1-12)."
"Please enter a valid number in this field.","الرجاء ادخال عدد في هذا المجال."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","من فضلك قم بإدخال رقم هاتف صحيح. كمثال (123) 456-7890 أو 123-456-7890."
"Please enter a valid zip code.","الرجاء إدخال الرمز البريدي."
"Please enter issue number or start date for switch/solo card type.","الرجاء إدخال رقم الإصدار أو تاريخ البدء لنوع بطاقة switch/solo."
"Please make sure your passwords match.","رجاء تاكد من ان الرقم السري يتطابق."
"Please select State/Province.","الرجاء اختيار الدولة / الأقليم."
"Please select an option.","يجب إختيار احد الخيارات."
"Please select one of the options.","رجاء قم باختيار وحده من الخيارات."
"Please use letters only (a-z or A-Z) in this field.","الرجاء استخدام الأحرف فقط (من الالف الى الياء) في هذا الحقل."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","الرجاء استخدام هذا الشكل حتى الآن : اليوم / الشهر / السنة. فعلى سبيل المثال 17/03/2006 للالسابع عشر من اذار / مارس ، 2006."
"Port (25)","منفذ (25)"
"Recovery Link Expiration Period (hours)","عمر الصلاحية لرابط الاسترداد (ساعات)"
"Request Path for Specified Store","طلب مسار متجر محدد"
"Return-Path Email","مسار العودة-البريد الإلكتروني"
"Root Category","التصنيف الجذر"
"Sales Representative","مندوب مبيعات"
"Save","حفظ"
"Save Store","حفظ المتجر"
"Save Store View","حفظ عرض المتجر"
"Security","الحماية"
"Select Date","اختيار التاريخ"
"Select Media Database","حدد قاعدة بيانات الوسائط"
"Sender Email","البريد الإلكتروني للمرسل"
"Sender Name","اسم المرسل"
"Services","خدمات"
"Session Validation Settings","إعدادات صلاحية الجلسة"
"Set Return-Path","تعيين مسار العودة"
"Set as Default","تعيين كافتراضي"
"Sort Order","الترتيب"
"Startup Page","صفحة بدء التشغيل"
"Status","الحاله"
"Storage Configuration for Media","إعدادات مخزن الوسائط"
"Store","متجر"
"Store Email Addresses","عناوين البريد الإلكتروني للمتجر"
"Store Hours of Operation","ساعات التشغيل للموقع"
"Store Information","بيانات المتجر"
"Store Name","اسم المتجر"
"Store View","عرض المتجر"
"Store View Information","بيانات عرض المتجر"
"Store view doesn't exist","عرض المتجر غير موجود"
"Store with the same code","متجر له نفس الكود"
"System","النظام"
"Template Settings","إعدادات القالب"
"The store does not exist","المتجر غير موجود"
"The value is not within the specified range.","القيمة ليست ضمن النطاق المحدد."
"The website does not exist.","الموقع غير موجود."
"Themes","مواضيع"
"This is a required field.","هذا الحقل مطلوب."
"This store cannot be deleted.","لا يمكن حذف هذا المتجر."
"This store view cannot be deleted.","لا يمكن حذف عرض المتجر هذا."
"This website cannot be deleted.","لا يمكن حذف هذا الموقع."
"Timezone","منطقة التوقيت"
"Transactional Emails","معاملات رسائل البريد الالكتروني"
"Translate Inline","الترجمة المضمنة"
"Translations","ترجمات"
"Url Options","خيارات الموقع"
"Use Custom Admin Path","استخدام المسار المعدل للمدير"
"Use Custom Admin URL","استخدام URL مخصص للمدير"
"Use HTTP Only","استخدام HTTP فقط"
"None","لا شئ"
"Use Secure URLs in Admin","استخدام عناوين في ادارة امن"
"Use Web Server Rewrites","إعادة كتابة باستخدام خادم الويب"
"VAT Number","رقم ضريبة القيمة المضافة"
"Validate HTTP_USER_AGENT","التحقق من صحة HTTP_USER_AGENT"
"Validate HTTP_VIA","التحقق من صحة HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","التحقق من صحة HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","التحقق من صحة REMOTE_ADDR"
"Validation has failed.","فشل التحقق من الصحة."
"Web","موقع"
"Website","الموقع"
"Website with the same code","موقع له نفس الكود"
"Weekend Days","أيام نهاية الأسبوع"
"Welcome Text","نص الترحيب"
"Yes","نعم"
