" [deleted]"," [محذوف]"
"Please enter a valid date.","الرجاء ادخال تاريخ صحيح."
"Please enter a valid email.","الرجاء إدخال عنوان بريد الكتروني صحيح."
"Please enter a valid number in this field.","الرجاء ادخال عدد في هذا المجال."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","من فضلك قم بإدخال رقم هاتف صحيح. كمثال (123) 456-7890 أو 123-456-7890."
"Please enter a valid value from list","الرجاء اختيار قيمة من القائمة"
"Please enter a valid value, ex: 10,20,30","الرجاء ادخال قيمة ، مثال : 10،20،30"
"Please enter a valid zip code.","الرجاء إدخال الرمز البريدي."
"Please make sure that all global admin search modules are installed and activated.","يرجى التأكد من ان جميع وحدات البحث العالمية الادارة مثبته ومفعله."
"Please make sure your passwords match.","رجاء تاكد من ان الرقم السري يتطابق."
"Please select State/Province.","الرجاء اختيار الدولة / الأقليم."
"Please select an option.","يجب إختيار احد الخيارات."
"Please select customer(s).","من فضلك اختر عميلا/عملاء."
"Please select one of the options.","رجاء قم باختيار وحده من الخيارات."
"Please specify the admin custom URL.","الرجاء تحديد عنوان URL المخصص للمشرف."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","الرجاء استخدام الأحرف (a إلى z أو A إلى Z)، الأرقام (0-9) أو مسافات فقط في هذا الحقل."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","الرجاء استخدام هذا الشكل حتى الآن : اليوم / الشهر / السنة. فعلى سبيل المثال 17/03/2006 للالسابع عشر من اذار / مارس ، 2006."
"Please wait...","الرجاء الانتظار..."
"Position","موقع"
"Preview","اعادة المشاهدة"
"Preview Template","معاينة القالب"
"Price","السعر"
"Price:","السعر:"
"Processing","المعالجة"
"Product","المنتج"
"Product Name","اسم المنتج"
"Product Reviews","مراجعات المنتج"
"Product Thumbnail Itself","صورة مصغرة للمنتج نفسه"
"Product:","المنتج:"
"Products","المنتجات"
"Promo","الترويج"
"Promotions","الترقيات"
"Quantity","الكمية"
"Radio Buttons","أزرار الراديو"
"Rebuild","إعادة بناء"
"Rebuild Catalog Index","إعادة إنشاء فهرس دليل المنتجات"
"Rebuild Flat Catalog Category","إعادة إنشاء flat category لدليل المنتجات"
"Rebuild Flat Catalog Product","إعادة بناء  Flat Catalog Product"
"Recent Orders","الطلبات الأخيرة"
"Reference ID","مرجع"
"Refresh","التحديث"
"Region/State","المنطقة / الولايه"
"Reload captcha","إعادة تحميل كلمة التحقق"
"Remote FTP","النائية FTP"
"Remove","ازالة"
"Reports","تقارير"
"Request Path","طريق الطلب"
"Required","مطلوب"
"Reset","اعادة ضبط"
"Reset Filter","ترشيح اعادة تعين"
"Reset Password","إعادة تعيين كلمة المرور"
"Reset a Password","إعادة تعيين كلمة المرور"
"Resource Access","دخول المصدر"
"Resources","مصادر"
"Results","نتائج"
"Retrieve Password","استرداد كلمة المرور"
"Return Html Version","إرجاع إصدار Html"
"Revenue","الإيرادات"
"Reviews","مراجعات"
"Role Info","معلومات الدور"
"Role Information","معلومات الدور"
"Role Name","اسم الدور"
"Role Resources","مصادر الدور"
"Role Users","مستخدمين الدور"
"Roles","ادوار"
"Roles Resources","مصادر الادوار"
"Root Category","التصنيف الجذر"
"Run","تشغيل"
"SKU","رمز المنتج"
"Sales","المبيعات"
"Sales Report","تقرير المبيعات"
"Save","حفظ"
"Save & Generate","حفظ & إنتاج"
"Save Account","حفظ الحساب"
"Save Cache Settings","حفظ إعدادات الذاكرة المؤقتة"
"Save Config","حفظ التشكيل"
"Save Currency Rates","حفظ أسعار العملات"
"Save Role","حفظ الدور"
"Save Template","حفظ القالب"
"Save User","حفظ المستخدم"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Search","بحث"
"Search Index","فهرس البحث"
"Search Term","البحث في المصطلحات"
"Search Terms","البحث عن كلمات"
"Search entire store here...","ابحث فى المتجر بالكامل هنا..."
"Select","إختيار"
"Select All","اختيار الكل"
"Select Category","اختر قسم"
"Select Date","اختيار التاريخ"
"Sender","المرسل"
"Separate Email","بريد إلكتروني مفصول"
"Shipment Comments","تعليقات الشحنه"
"Shipment History","تاريخ الشحنه"
"Shipments","الشحنات"
"Shipping","الشحن"
"Shipping Address","عنوان الشحن"
"Shipping Address: ","عنوان الشحن: "
"Shipping Price","سعر الشحن"
"Shopping Cart","سلة التسوق"
"Show By","تصفح عبر"
"Sitemap Information","معلومات خريطة الموقع"
"Skip Category Selection","تخطي اختيار القسم"
"Specific Countries","بلدان مخصصة"
"Specified","محدد"
"Start Date","تاريخ البدء"
"State/Province:","الولاية/المقاطعة:"
"Static Blocks","كتل ثابتة"
"Status","الحاله"
"Status:","الحالة:"
"Store","متجر"
"Store View","عرض المتجر"
"Stores","محلات"
"Subject","العنوان"
"Submit","إرسال"
"Subtotal","الإجمالي"
"Switch/Solo/Maestro Only","سويتش/سولو/مايسترو فقط"
"Synchronize","المزامنة"
"Synchronizing...","مزامنة..."
"System","النظام"
"Tags","علامات"
"Target Path","طريق الهدف"
"Tax","الضريبة"
"Template","قالب"
"Template Content","محتوى القالب"
"Template Information","معلومات القالب"
"Template Name","اسم القالب"
"Template Styles","أنماط قالب"
"Template Subject","موضوع القالب"
"Template Type","نوع القالب"
"Temporary (302)","خطأ (302)"
"Terms and Conditions","الشروط والأحكام"
"Text","نص"
"The JavaScript/CSS cache has been cleaned.","تم تنظيف ذاكرة تخزين JavaScript/CSS "
"The OpenMage cache storage has been flushed.","تم مسح محتويات ذاكرة التخزين المؤقت الخاصة بماجنتو."
"The URL Rewrite has been saved.","لقد تم حفظ إعادة كتابة عنوان URL."
"The attribute set has been removed.","تمت إزالة تعيين السمة."
"The image cache was cleaned."," تم مسح ذاكرة تخزين الصور."
"This account is","هذا الحساب هو"
"This action cannot be undone.","لا يمكن التراجع عن هذا الإجراء."
"This block no longer exists.","هذه المجموعة لم يعد موجوداً."
"This is a required field.","هذا الحقل مطلوب."
"This user no longer exists.","هذا المستخدم لم يعد موجوداً."
"Time","الزمن"
"To","إلى"
"Tools","ادوات"
"Total","إجمالي"
"Total Invoiced","مجموع الفاتورة"
"Total Refunded","اجمالي الاسترداد"
"Track Order","متابعة الطلب"
"Track this shipment","متابعة هذه الشحنه"
"Transaction Data","بيانات المعاملات"
"Transaction Details","تفاصيل المعاملة"
"Transaction ID","رقم المعاملة"
"Transaction Type","نوع المعاملة التجارية"
"Transactional Emails","معاملات رسائل البريد الالكتروني"
"Transactions","المعاملات"
"Type","النوع"
"Type:","النوع:"
"URL Rewrite Information","معلومات إعادة كتابة URL"
"URL Rewrite Management","إدارة إعادة كتابة URL"
"Unknown","غير معروف"
"Unlimited","غير محدود"
"Update","تحديث"
"Updated At","تحديث في"
"Upload File","رفع ملف"
"Upload Files","تحميل الملف"
"Use All Available Attributes","استخدام كافة السمات المتاحة"
"Use Config Settings","استخدام اعداد الاعدادات"
"Use Default","استخدام افتراضي"
"Use Default Value","استخدام القيمة الافتراضية"
"Use Default Variable Values","استخدام القيم الافتراضية المتغيرة"
"Use FTP Connection","استخدام اتصال FTP"
"Use Website","استخدام موقع"
"User Email","البريد الإلكتروني للمستخدم"
"User ID","رمز التعريفي للمستخدم"
"User Info","معلومات المستخدم"
"User Information","معلومات المستخدم"
"User Name","اسم المستخدم"
"User Password","كلمة المرور"
"User Role","دور المستخدم"
"User Roles","ادوار المستخدم"
"User Roles Information","معلومات ادوار المستخدمين"
"Users","مستخدمين"
"Value","قيمة"
"Variable","متغير"
"Variable Code","رمز متغير"
"Variable HTML Value","قيمة متغير HTML"
"Variable ID","معرف متغير"
"Variable Name","اسم متغير"
"Variable Plain Value","قيمة متغير عادي"
"View Full Size","عرض الحجم الكامل"
"View Statistics For:","عرض إحصائيات عن:"
"Warning","تحذير"
"Website","الموقع"
"What is this?","ما هذا؟"
"YTD","منذ سنة"
"Year","السنة"
"Yes","نعم"
"Yes (301 Moved Permanently)","نعم (301 انتقلت بشكل دائم)"
"Yes (302 Found)","نعم (302 وجدت)"
"Yes (only price with tax)","نعم (السعر فقط مع الضريبه)"
"You cannot delete your own account.","لا يمكنك حذف الحساب الخاص بك."
"You have logged out.","لقد سجلت خروجك."
"Your password reset link has expired.","انتهت مدة صلاحية رابط إعادة تعيين كلمة المرور الخاصة بك."
"Zip/Postal Code","الرمز البريدي"
"[ deleted ]","[محذوف]"
"[GLOBAL]","[عام]"
"[STORE VIEW]","[عرض المتجر]"
"[WEBSITE]","[الموقع]"
"close","إغلاق"
"critical","حرج"
"example: sitemap.xml","مثال: sitemap.xml"
"failed","فشل"
"from","من"
"major","مهم"
"minor","ثانوي"
"notice","إشعار"
"successful","تم بنجاح"
"to","الى"
