"* Required Fields","* حقول مطلوبة"
"Enabled","تفعيل"
"Excl. Tax","غير شامل الضريبة"
"Expired","منتهي الصلاحية"
"Explanation","شرح"
"First Name","الإسم الأول"
"From","من"
"From Name","اسم المرسل"
"From:","من:"
"General","عام"
"General Information","معلومات عامة"
"Get shipping methods and rates","الحصول على طرق ومعدلات الشحن"
"Gift Message","رسالة الاهداء"
"Gift Message for this Order","رسالة الإهداء لهذا الطلب"
"Gift Options","خيارات الهدية"
"Girth","مقاس"
"Go to Home Page","الانتقال إلى الصفحة الرئيسية"
"Grand Total","المجموع الاجمالى"
"Grand Total to be Charged","مستحق الدفع"
"Guest","زائر"
"Height","الارتفاع"
"Hold","امساك"
"Home","الصفحة الرئيسية"
"ID","التعريف"
"Incl. Tax","شامل الضريبة"
"Information","بيانات"
"Invalid item option format.","تنسيق خيار المنتج غير صحيح."
"Invoice","فاتورة"
"Invoice #","الفاتورة #"
"Invoice # ","فاتورة # "
"Invoice Comment Email Sender","فاتوره التعليق البريد الالكتروني للمرسل"
"Invoice Comment Email Template","فاتوره التعليق قالب البريد الالكتروني"
"Invoice Comment Email Template for Guest","فاتوره التعليق البريد الالكتروني نموذج للضيف"
"Invoice Comments","تعليقات الفاتورة"
"Invoice Date","تاريخ الفاتورة"
"Invoice Email Sender","فاتورة البريد الالكتروني المرسل"
"Invoice Email Template","فاتورة قالب البريد الالكتروني"
"Invoice Email Template for Guest","البريد الالكتروني فاتوره نموذج للضيف"
"Invoiced","فاتورة"
"Invoices","الفواتير"
"Is Closed","مغلق"
"Item","سلعة"
"Item Status","حالة المادة"
"Item ordered qty","الكمية المطلوبة من هذا المنتج"
"Items","عناصر"
"Items Invoiced","بنود الفواتير"
"Items Ordered","عناصر الطلب"
"Items Refunded","استرداد البنود"
"Items Shipped","شحن البنود"
"Items to Refund","عناصر للاسترداد"
"Items to Ship","العناصر للشحن"
"Last Name","اسم العائلة"
"Last Ordered Items","اخير طلب "
"Link to the New Order","ربط بالطلب الجديد"
"Link to the Previous Order","ربط بالطلب السابق"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","الشعار لوثائق HTML فقط. في حال تركها فارغة، سيتم استخدام الشعار الافتراضي <br /> (jpeg, gif, png)"
"Make Check payable to:","تقديم شيك مستحق الدفع لـ:"
"Manage","إدارة"
"Message","رسالة"
"Message:","الرسالة:"
"Mixed","مختلط"
"Most Viewed","يشاهد كثيرا"
"Move to Shopping Cart","الانتقال إلى سلة التسوق"
"Move to Wishlist","النقل إلى قائمة الأمنيات"
"My Orders","طلباتي"
"N/A","غير متاح"
"Name","اسم"
"New","جديد"
"New Invoice","فاتورة جديدة"
"New Order","طلب شراء جديد"
"New Order Confirmation Email Sender","النظام الجديد تأكيد البريد الألكتروني المرسل"
"New Order Confirmation Template","تأكيد نموذج النظام الجديد"
"New Order Confirmation Template for Guest","تأكيد نموذج النظام الجديد للضيف"
"New Order RSS","RSS الطلبات الجديدة"
"New Order Status","حالة طلب جديدة"
"New Shipment","شحن جديد"
"Newsletter Subscription","الاشتراك بالقائمة البريدية"
"No","لا"
"No Payment Methods","لا يوجد طرق للدفع"
"No items","لا يوجد سلع"
"No ordered items","لا الأصناف المطلوبة"
"No shipping information available","معلومات الشحن غير متوفرة"
"Not Capture","غير اسرة"
"Notification Not Applicable","إعلام غير قابل للتطبيق"
"Notified","اشعار"
"Notify Customer by Email","إبلغ العميل بالبريد الإلكتروني"
"Number","رقم"
"Number of Orders","عدد طلبات الشراء"
"OK","موافق"
"On Hold","امساك"
"Order","طلب"
"Order #","رقم الطلب"
"Order # ","رقم الطلب # "
"Order Address Information","معلومات عنوان الطلب"
"Order Comment","ملاحظة على الطلب"
"Order Comment Email Sender","البريد الالكتروني المرسل من اجل التعليق"
"Order Comment Email Template","البريد الالكتروني للقالب في البريد الالكتروني"
"Order Comment Email Template for Guest","قالب البريد الالكتروني لطلبات للزائرين"
"Order Comments","ملاحظات الطلب"
"Order Currency:","عملة الطلب:"
"Order Date","تاريخ الطلب"
"Order Date: ","تاريخ الطلب: "
"Order Grand Total","المجموع الكلي للطلب"
"Order History","سجل الطلبات"
"Order ID","رقم الطلب"
"Order Information","بيانات طلب الشراء"
"Order Status","حالة الطلب"
"Order Total","إجمالي الطلب"
"Order Totals","إجمالي الطلبية"
"Order View","عرض طلب الشراء"
"Ordered","تم الطلب"
"Orders","الطلبات"
"Orders and Returns","الطلبات والمرتجعات"
"Orders and Returns Search Form","نموزج بحث الطلبات والمرتجعات"
"Original Price","السعر الأصلي"
"PDF Credit Memos","PDF مذكرات ائتمانية"
"PDF Invoices","PDF فواتير"
"Package","الحزمة"
"Packages","مجموعات"
"Paid","مدفوع"
"Paid Amount","الكمية المدفوعة"
"Partial","جزئي"
"Payment Information","معلومات الدفع"
"Payment Method","طريقة الدفع"
"Payment Method:","طريقة الدفع:"
"Payment transactions disallow storing objects.","حركات الدفع لا تسمح بتخزين الكائنات."
"Pending","في إنتظار المُراجعة"
"Period","الفترة"
"Please enter positive number in this field.","الرجاء إدخال رقم موجب في هذا الحقل."
"Price","السعر"
"Print","طباعة"
"Print All","طباعة الكل"
"Print All Invoices","طباعة كافة الفواتير"
"Print All Refunds","طباعة جميع المبالغ المستردة"
"Print All Shipments","طباعة جميع الشحنات"
"Print Credit Memos","طباعة المذكرة الائتمانية"
"Print Invoice","طباعة الفاتورة"
"Print Invoices","طباعة الفواتير"
"Print Order","طباعة الطلب"
"Print Refund","طباعة المبلغ المسترد"
"Print Shipment","طباعة الشحنة"
"Print Shipping Label","طباعة بطاقة عنونة الشحن"
"Processing","المعالجة"
"Product","المنتج"
"Product Name","اسم المنتج"
"Products","المنتجات"
"Products should be added to package(s)","ينبغي إضافة المنتجات إلى الحزمة (الحزم)"
"Purchased From","تم شراؤها من"
"Qty","الكميّة"
"Qty Invoiced","الكمية المفوترة"
"Qty Ordered","الكمية المطلوبة"
"Qty Shipped","الكمية المشحونة"
"Qty to Invoice","الكمية للفوترة"
"Qty to Refund","الكمية للإسترداد"
"Qty to Ship","الكمية للشحن"
"Rate","تقييم"
"Recent Orders","الطلبات الأخيرة"
"Recently Compared Products","المنتجات المقارنة حديثا"
"Recently Viewed","المشاهد حديثا"
"Recently Viewed Products","المنتجات المشاهدة حديثا"
"Reference ID","مرجع"
"Refresh","التحديث"
"Refund","رد"
"Refund #","مبلغ مسترد #"
"Refund Amount","كمية الرد"
"Refund Offline","رد خارج الشبكة"
"Refunded","اعادة ايجاد"
"Refunds","ردود"
"Related Orders","أوامر ذات صلة"
"Remove","ازالة"
"Remove Coupon Code","إزالة رمز قسيمة الخصم"
"Reorder","إعادة الطلب"
"Returned","اعادة"
"Returns","المرتجعات"
"Revenue","الإيرادات"
"Row Subtotal","إجمالي الصف"
"Row Total","مجموع الصف"
"SKU","رمز المنتج"
"Sales","المبيعات"
"Sales Emails","البريد الالكتروني للبيع"
"Same As Billing Address","مثل عنوان الفاتورة"
"Save Order Address","حفظ عنوان الطلب"
"Save in address book","حفظ في دفتر العناوين"
"Schedule","الجدول الزمني"
"Select","إختيار"
"Select All","اختيار الكل"
"Select from existing customer addresses:","اختر من القائمة عناوين العملاء:"
"Send Credit Memo Comment Email Copy To","ارسال نسخة ملاحظة مذكرة ائتمانية للبريد الالكتروني "
"Send Credit Memo Email Copy To","ارسال بريد الكتروني الائتمان المذكره نسخة إلي"
"Send Invoice Comment Email Copy To","ارسال الفاتوره الى التعليق على نسخة البريد الالكتروني"
"Send Invoice Email Copy To","ارسال نسخة فاتورة بالبريد الالكتروني الى"
"Send Order Comment Email Copy To","من اجل ارسال نسخة منها الى البريد الالكتروني التعليق"
"Send Order Email Copy To","ارسال نسخة بالطلب على البريد الالكتروني"
"Send Shipment Comment Email Copy To","ارسال شحنة التعليق على نسخة البريد الالكتروني"
"Send Shipment Email Copy To","ارسال نسخة الى شحن البريد الالكتروني"
"Send Tracking Information","إرسال بيانات التعقب"
"Ship","شحن"
"Ship To","يرسل الي "
"Shipment","شحنه"
"Shipment #","شحنه #"
"Shipment Comment Email Sender","التعليق شحن البريد الالكتروني للمرسل"
"Shipment Comment Email Template","التعليق قالب شحن البريد الالكتروني"
"Shipment Comment Email Template for Guest","التعليق شحن البريد الالكتروني نموذج للضيف"
"Shipment Comments","تعليقات الشحنه"
"Shipment Email Sender","مرسل البريد الالكتروني للشحنه"
"Shipment Email Template","قالب البريد الالكتروني للشحنه"
"Shipment Email Template for Guest","قالب البريد الالكتروني للشحنه للزائر"
"Shipments","الشحنات"
"Shipped","تم الشحن"
"Shipped By","شحنت بواسطة"
"Shipping","الشحن"
"Shipping & Handling","الشحن و التوصيل"
"Shipping &amp; Handling","الشحن و التوصيل"
"Shipping &amp; Handling Information","الشحن و معلومات التوصيل"
"Shipping Address","عنوان الشحن"
"Shipping Amount","كمية الشحن"
"Shipping Information","بيانات الشحن"
"Shipping Method","طريقة الشحن"
"Shipping Method:","طريقة الشحن:"
"Shipping Refund","رد الشحن"
"Shipping and Tracking Information","الشحن ومعلومات تتبع الشحنة"
"Shopping Cart","سلة التسوق"
"Show Packages","إظهار الحزم"
"Signature Confirmation","تأكيد التوقيع"
"Size","الحجم"
"Sku","رمز المنتج"
"State/Province","ولاية/محافظة"
"Status","الحاله"
"Status Label","تسمية الحالة"
"Status:","الحالة:"
"Store Credit","نقاط المتجر"
"Street Address","عنوان الشارع"
"Submit Comment","إرسال تعليق"
"Submit Invoice","إرسال فاتورة"
"Submit Order","إرسال الطلب"
"Submit Shipment","ارسال الشحنه"
"Subscribe to Newsletter","الاشتراك في القائمة البريدية"
"Subscribe to Order Status","من اجل الاشتراك في حالة"
"Subtotal","الإجمالي"
"Subtotal:","الاجمالي"
"Tax","الضريبة"
"Tax Amount","كمية الضريبة"
"Tax Percent","نسبة الضريبة"
"The requested Payment Method is not available.","طريقة الدفع المطلوبة غير متوفره."
"The value that you entered is not valid.","القيمة المدخلة ليست صحيحة."
"There are no billing agreements yet.","لا يوجد اتفاقية دفع حتى الان"
"This order no longer exists.","طلب الشراء هذا لم يعد موجودا."
"This product does not have any configurable options","هذا المنتج ليس لديه أية خيارات للتخصيص"
"Tier Pricing","تسعير الطبقة"
"Title","العنوان"
"To","إلى"
"To Name","اسم المستقبل"
"To:","إلى:"
"Total","إجمالي"
"Total Due","بسبب المجموع"
"Total Invoiced","مجموع الفاتورة"
"Total Paid","مجموع المدفوعات"
"Total Refund","مجموع الرد"
"Total Refunded","اجمالي الاسترداد"
"Total Shipping","الشحن الإجمالي"
"Total Shipping Charges","إجمالي رسوم الشحن"
"Total Tax","إجمالي الضريبة"
"Total Weight","الوزن الإجمالي"
"Track Order","متابعة الطلب"
"Track this shipment","متابعة هذه الشحنه"
"Tracking Number","رقم التتبع"
"Transaction ID","رقم المعاملة"
"Transaction Type","نوع المعاملة التجارية"
"Transactions","المعاملات"
"Type","النوع"
"Unassign","إلغاء التعيين"
"Unhold","غير منتظرة"
"Unknown State","دول غير معروفة"
"Unknown Status","حالة غير معروفة"
"Update Changes","تحديث التغييرات"
"Update Qty's","تحديث للكمية"
"Updated At","تحديث في"
"Value","قيمة"
"View","عرض"
"View All","عرض الكل"
"View Order","تفاصيل الطلب"
"Website","الموقع"
"Weight","الوزن"
"Width","العرض"
"Wishlist","قائمة الأمنيات"
"Yes","نعم"
"You have placed no orders.","لم تقم باي طلبات شراء."
"Your credit card will be charged for","سيتم الدفع ببطاقة الائتمان الخاصة بك لـ"
"ZIP Code","الرمز البريدي"
"ZIP/Post Code","الرقم البريدي"
"Zip/Postal Code","الرمز البريدي"
"cm","سم"
"in","في"
"kg","كجم"
"lb","رطل"
"the shipment email is not sent","لم يتم إرسال شحنة البريد الإلكتروني"
