"* Required Fields","* حقول مطلوبة"
"Block after Info Column","كتلة بعد عمود المعلومات"
"Bottom/Left","اسفل / يسار"
"Bottom/Right","اسفل/يمين"
"Bundle Items","عناصر حزمة"
"Cache Lifetime (Seconds)","عمر ذاكرة التخزين المؤقت (بالثواني)"
"Cancel","إلغاء"
"Cart Item Attribute","ميزة سلة العنصر"
"Catalog","دليل المنتجات"
"Catalog Category Link","رابط كتالوج الفئة"
"Catalog New Products List","قائمة المنتجات الجديدة في كتالوج"
"Catalog Price Scope","نطاق اسعار دليل المنتجات"
"Catalog Product Link","رابط كتالوج المنتج"
"Catalog Section","قسم الكتالوج"
"Catalog, Search","دليل المنتجات و البحث"
"Categories","فئات"
"Category","القسم"
"Category Flat Data","بيانات مسطحة للفئات"
"Category Link Block Template","فئة الرابط كتلة القالب"
"Category Link Inline Template","رابط قالب الفئة مضمن"
"Category Products","قسم المنتجات"
"Category Top Navigation","أعلى إنتقال للفئة"
"Category URL Suffix","لاحقة URL القسم"
"Center","الوسط"
"Change","تغير"
"Change status","تغيير الحالة"
"Check items to add to the cart or","تفحص المنتجات للإضافة لسلة التسوق أو"
"Choose an Option...","اختار خيار..."
"Clear All","إلغاء الكل"
"Clear Price","مسح الأسعار"
"Click for price","اضغط هنا للأسعار"
"Close Window","أغلق النافذه"
"Collapse All","طوي الكل"
"Comma-separated.","مفصولة بفواصل."
"Comparable","قابل للمقارنه"
"Compare","مقارنة"
"Compare Products","مقارنة المنتجات"
"Conditions Combination","الجمع بين الشروط"
"Configure Product","إعدادات المنتج"
"Continue","استمر"
"Country/State","البلد/الدولة"
"Create","إنشاء"
"Create Permanent Redirect for URLs if URL Key Changed","إنشاء ""إعادة توجيه دائمة"" لمحددات مواقع المعلومات في حالة تغيير مفتاح URL"
"Create Permanent Redirect for old URL","إنشاء ""إعادة توجيه دائمة"" لعنوان URL القديم"
"Cross-sells","عبر المبيعات"
"Custom Design","تصميم مخصص"
"Custom Options","خيارات مخصصة"
"Customer Group","مجموعات العملاء"
"Customers Reviews","مراجعات العملاء"
"Data Type for Saving in Database","نوع البيان للحفظ في قاعدة البيانات"
"Date & Time Custom Options","خيارات مخصصة للتاريخ & الوقت"
"Date Fields Order","ترتيب حقول التاريخ"
"Datetime","وقت التاريخ"
"Decimal","عشري"
"Default ""What's This"" Text Message","الافتراضي ""ما هو هذا"" رسالة نصية"
"Default Popup Text Message","الرسالة النصية المنبثقة الافتراضية"
"Default Price","سعر افتراضي"
"Default Qty","الكمية الافتراضية"
"Default Values","القيم الافتراضية"
"Delete","احذف"
"Delete Attribute","حذف السمة"
"Delete Option","حذف خيار"
"Delete Row","حذف صف"
"Delete Search","حذف بحث"
"Delete Selected Group","حذف المجموعة المختارة"
"Delete Tier","حذف مستوى"
"Description","الوصف"
"Design","تصميم"
"Details","التفاصيل"
"Disabled","غير مفعل"
"Display Actual Price","عرض السعر الفعلي"
"Display Page Control","عرض عنصر التحكم في الصفحة"
"Display Type","نوع العرض"
"Display in Suggested Terms","العرض في العناصر المقترحة"
"Downloadable Information","معلومات التحميل"
"Edit","تعديل"
"Edit Product Attribute","اضافة سمة المنتج"
"Edit Search","اضافة بحث"
"Email","البريد الإلكتروني"
"Email to a Friend","ارسال الى صديق"
"Empty","فارغ"
"Enable MAP","تمكين MAP"
"Enable Qty Increments","تمكين زيادة الكميات"
"Enabled","تفعيل"
"Exclude","استبعاد"
"Expand All","عرض الكل"
"Failed","فشل"
"Filter","تصفية"
"Filterable (no results)","ترشيح (لا توجد نتائج)."
"Filterable (with results)","يمكن تصفيتها (مع النتائج)"
"First Name","الإسم الأول"
"Fixed","ثابت"
"For the last time placed.","التي وضعت في المرة الأخيرة."
"Frontend Model","موديل الواجهة الامامية"
"Gallery","البوم"
"General Information","معلومات عامة"
"Global","عالمي"
"Globally Editable","تعديل عام"
"Go to Home Page","الانتقال إلى الصفحة الرئيسية"
"Grid","الشبكة"
"Groups","مجموعات"
"Home","الصفحة الرئيسية"
"ID","التعريف"
"Image","صورة"
"In Cart","في سلة التسوق"
"In Stock","متوفر في المخزن"
"In stock","متوفر"
"Incl. Tax","شامل الضريبة"
"Index product prices","مؤشر أسعار المنتج"
"Indexed category/products association","رابطة فهرسة الفئة/المنتجات"
"Input Type","نوع الإدخال"
"Integer","رقم صحيح"
"Inventory","المخزون"
"Is Default","هي افتراضية"
"Label","علامة"
"Last Name","اسم العائلة"
"Learn More","إعرف المزيد"
"Link to a Specified Category","ارتبط إلى فئة محددة"
"Link to a Specified Product","إرتباط بمنتج محدد"
"List","قائمة"
"List Mode","وضع القائمة"
"List of Products that are set as New","قائمة بالمنتجات التي تم تعيينها كالجديدة"
"Manage Attribute Sets","ادارة مجموعات السمات"
"Manage Catalog Categories","ادارة اقسام دليل المنتجات"
"Manage Categories","ادارة الفئات"
"Manage Label / Options","ادارة علامة/ خيارات"
"Manage Product Attributes","ادارة منتج السمات"
"Manage Product Sets","اوضاع ادارة المنتج"
"Manage Stock","إدارة المخزون"
"Manage Titles (Size, Color, etc.)","ادارة العناوين (حجم, لون, الخ)."
"Max Characters","الأحرف كحد أقصى"
"Maximal Depth","أقصى عمق"
"Maximum Image Size","حجم الصورة الأقصى"
"Maximum Qty Allowed in Shopping Cart","الكمية القصوى المسموح بها في سلة التسوق"
"Maximum image height","ارتفاع الصورة كحد أقصى"
"Maximum image width","عرض الصورة كحد أقصى"
"Maximum number of characters:","الحد الأقصى لعدد الأحرف:"
"Media Image","صور وسائل الاعلام"
"Minimum Advertised Price","أدنى الأسعار المعلن عنها"
"Minimum Qty Allowed in Shopping Cart","الكمية الدنيا المسموح بها في سلة التسوق"
"Move","إنقل"
"My Account","حسابي"
"N/A","غير متاح"
"Name","اسم"
"New Product","منتج جديد"
"New Product Attribute","سمة منتج جديد"
"New Products","المنتجات الجديدة"
"New Products Grid Template","المنتجات الجديدة قالب الشبكة"
"New Products List Template","المنتجات الجديدة قالب القائمة"
"New Search","بحث جديد"
"New Set Name","اسم المجموعة الجديدة"
"New products","المنتجات الجديدة"
"Next","التالي"
"No","لا"
"No image","لا توجد صورة"
"No layout updates","لا يوجد تخطيط تحديثات"
"No options of this product are available.","لا توجد خيارات متوفرة لهذا المنتج."
"None","لا شئ"
"Not Visible Individually","غير مرئية بشكل فردي"
"Notify Low Stock RSS","اخطار لانخفاض المخزونRSS"
"Notify for Quantity Below","اخطار لكمية ادناه"
"Number of Products per Page","عدد المنتجات في الصفحة"
"Number of Products to Display","عدد من المنتجات للعرض"
"Number of Uses","عدد من الاستخدامات"
"Number of results","عدد النتائج"
"Number of results (For the last time placed)","عدد النتائج (التي وضعت في المرة الأخيرة)"
"OK","موافق"
"On Gesture","إيماء"
"Options","الخيارات"
"Out of Stock","غير متوفر بالمخزن"
"Out of stock","غير متوفر بالمخزن"
"PM","مساء"
"Page Title Separator","فاصل عنوان الصفحة"
"Parent Category","القسم الرئيسي"
"Pending","في إنتظار المُراجعة"
"Pending Reviews RSS","RSS التقييمات والآراء المعلقة"
"Please add rows to option.","الرجاء إضافة صفوف إلى الخيار."
"Please specify date required option(s).","يرجى تحديد التاريخ المطلوب خيار (خيارات)."
"Please specify the quantity of product(s).","الرجاء تحديد كمية المنتج (المنتجات)."
"Please specify time required option(s).","الرجاء تحديد خيار (خيارات) الوقت المطلوب."
"Please wait...","الرجاء الانتظار..."
"Position","موقع"
"Position in Layered Navigation","وضع في الملاحة الطبقات"
"Prev","السابق"
"Previous","السابق"
"Price","السعر"
"Price Type","نوع الأسعار"
"Price:","السعر:"
"Print This Page","طباعة هذه الصفحة"
"Product","المنتج"
"Product Alerts","تنبيهات المنتج"
"Product Attribute","سمة المنتج"
"Product Attributes","سمات المنتج"
"Product Categories","فئات المنتج"
"Product Flat Data","البيانات المسطحة للمنتجات"
"Product ID","الرمز التعريفي للمنتج"
"Product Image Placeholders","صورة المنتج placeholders"
"Product Image Watermarks","صورة المنتج ماءيه"
"Product In Websites","المنتج في الموقع"
"Product Info Column","عمود معلومات المنتج"
"Product Link Block Template","كتلة قالب رابط المنتج"
"Product Link Inline Template","قالب منسق لرابط المنتج"
"Product Listing Sort by","ترتيب المنتجات حسب"
"Product Name","اسم المنتج"
"Product Reviews","مراجعات المنتج"
"Product URL Suffix","محدد موقع المعلومات اللاحقة للمنتج"
"Product is not loaded","لم يتم تحميل المنتج"
"Products","المنتجات"
"Products Comparison List","قائمة مقارنة المنتجات"
"Products Information","معلومات المنتجات"
"Products Reviews","مراجعات المنتجات"
"Products only","المنتجات فقط"
"Products per Page on Grid Allowed Values","منتجات لكل صفحة على شبكة القيم المسموح بها"
"Products per Page on Grid Default Value","منتجات لكل صفحة على شبكة القيمة الافتراضية"
"Products per Page on List Allowed Values","منتجات لكل صفحة على قائمة القيم المسموح بها"
"Products per Page on List Default Value","منتجات لكل صفحة في قائمة القيمة الافتراضية"
"Properties","خصائص"
"Qty","الكميّة"
"Qty Increments","زيادة الكميات"
"Qty Uses Decimals","كمية تستخدم ارقام عشرية"
"Qty:","الكمية:"
"Quantity","الكمية"
"Redirect URL","اعادة توجيه الموقع"
"Related Products","منتجات ذات الصلة"
"Remove","ازالة"
"Remove Product From Websites","حذف المنتج من الموقع"
"Remove This Item","حذف هذا العنصر"
"Reorganize EAV category structure to flat structure","إعادة تنظيم هيكل الفئات EAV لفئة هيكل مسطح"
"Reorganize EAV product structure to flat structure","إعادة تنظيم هيكل المنتجات EAV إلى بنية مسطحة"
"Reset","اعادة ضبط"
"Results","نتائج"
"Reviews","مراجعات"
"Root","الجذر"
"SKU","رمز المنتج"
"Save","حفظ"
"Save Attribute","حفظ السمات"
"Save Search","حفظ البحث"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Scope","مدى"
"Search","بحث"
"Search Information","حفظ المعلومات"
"Search Query","استفسار البحث"
"Search Weight","ابحث في الوزن"
"Searchable","امكانية البحث"
"See price before order confirmation.","انظر السعر قبل تأكيد الطلب."
"Select Category...","اختر قسم..."
"Select Product...","اختر المنتج..."
"Select type options required values rows.","حدد نوع الخيارات لقيم الصفوف المطلوبة."
"Send Count","ارسال عدد"
"Set Ascending Direction","الصعود الى مجموعة التنبيه"
"Set Descending Direction","تحديد الاتجاه التنازلي"
"Settings","الإعدادات"
"Shop By","تصفح عبر"
"Shopping Options","خيارات تنفيذ البيع"
"Show","عرض"
"Site Map","خريطة الموقع"
"Sitemap","خريطة الموقع"
"Some of the selected item options are not currently available.","بعض الخيارات او العناصر المحدد غير متوفرة حاليا."
"Sort By","رتب حسب"
"Sort Order","الترتيب"
"Source Model","موديل المصدر"
"Static","ساكنة"
"Static block and products","تجميد المساحة والمنتجات"
"Static block only","تجميد المساحة فقط"
"Status","الحاله"
"Stock Availability","توفر المخزون"
"Store","متجر"
"Store View","عرض المتجر"
"Stretch","توسعة"
"Subscribe to RSS Feed","اشتراك لتغذية ال RSS "
"System Properties","خصائص النظام"
"Tax","الضريبة"
"Template","قالب"
"Text","نص"
"The base directory to upload file is not specified.","لم يتم تحديد الدليل الأساسي لتحميل الملف."
"There are no customers for this alert.","لا يوجد عملاء لهذا التنبيه."
"This attribute cannot be edited.","لا يمكن تعديل هذه السمة."
"This attribute is used in configurable products.","يتم استخدام هذه السمة في المنتجات القابلة للتخصيص."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","هذه السمة مستخدمة بالفعل في منتجات قابلة للتخصيص. لا يمكن إزالته من مجموعة السمات."
"This attribute set no longer exists.","هذه السمة المحددة لم تعد موجودة."
"This group contains system attributes. Please move system attributes to another group and try again.","وهذا النظام يحتوي على مجموعة من الصفات. نظام الانتقال الرجاء الصفات الى مجموعة أخرى وحاول مرة أخرى."
"This search no longer exists.","هذا البحث لم يعد موجوداً."
"Tier Pricing","تسعير الطبقة"
"Tile","بلاطة"
"Time Format","تنسيق الوقت"
"Title","العنوان"
"To see product price, add this item to your cart. You can always remove it later.","لمعرفة سعر المنتج، اضف هذا العنصر إلى سلة التسوق. يمكنك دائماً إزالته في وقت لاحق."
"Top/Left","اعلى/يسار"
"Top/Right","اعلى /يمين"
"Type","النوع"
"URL Rewrite Management","إدارة إعادة كتابة URL"
"Unassigned Attributes","غير معين الصفات"
"Up-sells","حتى يبيع"
"Update","تحديث"
"Update Attributes","تحديث السمات"
"Update attributes","تحديث السمات"
"Use Canonical Link Meta Tag For Categories","استخدم علامة Meta طبقا للارتباط الكنسي للفئات"
"Use Canonical Link Meta Tag For Products","استخدم علامة Meta طبقا للارتباط الكنسي للمنتجات"
"Use Categories Path for Product URLs","استخدام فئات المسار لمحددات مواقع معلومات المنتج"
"Use Config Settings","استخدام اعداد الاعدادات"
"Use Default Value","استخدام القيمة الافتراضية"
"Use Flat Catalog Category","استخدم فئة كتالوج مسطح"
"Use Flat Catalog Product","إستخدام Flat Catalog Product"
"Use JavaScript Calendar","استخدام تقويم جافا سكريبت"
"Use config","استخدام التكوين"
"Use default","استخدام افتراضي"
"Use for Promo Rule Conditions","يستخدم لشروط قواعد العروض الترويجية"
"Use in Layered Navigation","استخدم في طبقات الملاحة"
"Used for Sorting in Product Listing","يستخدم لفرز في قائمة المنتجات"
"Used in Product Listing","المستخدمة في قائمة المنتجات"
"Varchar","حقل الأحرف المتغير"
"View Details","عرض التفاصيل"
"View as","مشاهدة كا"
"Visibility","الظهور"
"Visible","ظاهر"
"WYSIWYG Editor","محرر WYSIWYG"
"Website","الموقع"
"Websites","الموقع"
"What's this?","ما هذا؟"
"Year Range","نطاق السنة"
"Yes","نعم"
"You have no items to compare.","لا يوجد منتجات للمقارنة الآن."
"and above","و فوق"
"ex. http://domain.com","http://domain.com مثال"
"per page","بالصفحة"
"px.","بكسل."
"save","حفظ"
"select all","اختار الجميع"
"unselect all","إلغاء تحديد الكل"
