"* Required Fields","* حقول مطلوبة"
"Save","حفظ"
"Save Address","حفظ عنوان"
"Save Customer","حفظ عميل"
"Save Customer Group","حفظ مجموعة عملاء"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Send From","إرسال من"
"Sending","جاري الارسال"
"Sent","تم الإرسال"
"Share Customer Accounts","مشاركة حساب العميل"
"Shopping Cart","سلة التسوق"
"Show Date of Birth","تغيير تاريخ الميلاد"
"Show Prefix","إظهار البادئة"
"Show Suffix","إظهار التابعة"
"Sign Up for Newsletter","التسجيل في النشرة البريدية"
"State/Province","ولاية/محافظة"
"Status","الحاله"
"Store","متجر"
"Store View","عرض المتجر"
"Street Address","عنوان الشارع"
"Subject","العنوان"
"Submit","إرسال"
"Subscribe to Newsletter","الاشتراك في القائمة البريدية"
"Tax Class","الشريحة الضريبة"
"Text","نص"
"The customer does not have default billing address.","العميل ليس لديه عنوان دفع افتراضي."
"Total","إجمالي"
"Type","النوع"
"Unknown","غير معروف"
"Unsubscribe from Newsletter","إلغاء الاشتراك من القائمة البريدية"
"Update","تحديث"
"Use as my default billing address","استخدم كعنوان الدفع الافتراضي"
"Use as my default shipping address","استخدم كعنوان الشحن الافتراضي"
"VAT Number","رقم ضريبة القيمة المضافة"
"Validate VAT Number","التحقق من صحة رقم ضريبة القيمة المضافة"
"View","عرض"
"View Order","تفاصيل الطلب"
"Visitor","زائر"
"Website","الموقع"
"Welcome Email","الرسالة الترحيبية"
"Wishlist","قائمة الأمنيات"
"Would you like to change the Customer Group for this order?","هل تريد تغيير مجموعة العميل لهذا الطلب؟"
"Wrong email.","بريد إلكتروني خاطئ."
"Year","السنة"
"You have no default billing address in your address book.","لا يوجد لديك عنوان فوتورة افتراضي في دفتر العناوين."
"You have no default shipping address in your address book.","لا يوجد لديك عنوان الشحن افتراضي في دفتر العناوين."
"You have not set a default billing address.","لم تقم بتعيين عنوان دفع افتراضي."
"You have not set a default shipping address.","لم تقم بتعيين عنوان افتراضي للشحن."
"ZIP","الرمز البريدي"
"ZIP/Post Code","الرقم البريدي"
"Zip/Postal Code","الرمز البريدي"
"or","أو"
