" [deleted]"," [eliminato]"
"Cannot do shipment for the order separately from invoice.","Non è possibile effettuare la spedizione per l'ordine separatamente dalla fattura."
"Cannot do shipment for the order.","Non è possibile effettuare la spedizione per l'ordine."
"Cannot save shipment.","Non è possibile salvare la spedizione."
"Cannot send shipment information.","Non è possibile inviare informazioni sulla spedizione."
"Cannot update item quantity.","Non è possibile aggiornare la quantità dell'articolo."
"Card Verification Number","Numero di verifica della carta"
"Catalog","Catalogo"
"Catalog Price Rules","Regole di prezzo del catalogo"
"Catalog Rewrites","Rewrites catalogo"
"Categories","Categorie"
"Category","Categoria"
"Category:","Categoria:"
"Checkbox","Casella di controllo"
"Child Transactions","Transazioni figli"
"Choose Store View:","Scegli vista negozio:"
"Choose an attribute","Scegliere un attributo"
"Clear","Cancella"
"Close","Chiudi"
"Code","Codice"
"Complete","Completato"
"Config form fieldset clone model required to be able to clone fields","Model clone fieldset form config richiede l'abilitazione della clonazione dei campi"
"Configuration","Configurazione"
"Confirm New Password","Conferma nuova Password"
"Confirmed email:","Conferma email:"
"Continue","Continua"
"Convert to Plain Text","Converti in testo normale"
"Cookie (unsafe)","Cookie (non sicuro)"
"Country","Paese"
"Country:","Paese:"
"Coupons","Coupon"
"Create","Crea"
"Create DB Backup","Crea Backup DB"
"Create New Attribute","Crea nuovo attributo"
"Created At","Creato il"
"Credit Card Number","Numero carta di credito"
"Credit Card Number: xxxx-%s","Numero della carta di credito: xxxx-%s"
"Credit Card Type","Tipo di carta di credito"
"Credit Card Type: %s","Tipo della carta di credito: %s"
"Credit Memo History","Cronologia nota di credito"
"Credit Memo Totals","Totali nota di credito"
"Credit Memos","Nota di credito"
"Currency","Valuta"
"Currency Information","Informazioni valuta"
"Current Configuration Scope:","Ambito di configurazione corrente:"
"Current Month","Mese corrente"
"Custom","Personalizzato"
"Custom Variables","Variabili personalizzate"
"Customer","Cliente"
"Customer Group:","Gruppo clienti:"
"Customer Groups","Gruppi cliente"
"Customer Name","Nome cliente"
"Customer Reviews","Recensioni dei clienti"
"Customer Shopping Carts","Carrelli cliente"
"Customer Since:","Cliente dal:"
"Customer Tax Classes","Classi Tassa Cliente"
"Customer with the same email already exists.","Esiste già un cliente con la stessa email."
"Customers","Clienti"
"Customers by Number of Orders","Clienti per numero di ordini"
"Customers by Orders Total","Clienti per totale ordini"
"DHTML Date/Time Selector","DHTML Data/Selezione ora"
"Dashboard","Cruscotto"
"Data Format","Formato dati"
"Data transfer:","Trasferimento dati:"
"Date","Data"
"Date & Time","Data e Ora"
"Date Added","Data Inserimento"
"Date Updated","Data aggiornata"
"Date selection:","Selezione data:"
"Date selector","Selettore data"
"Day","Giorno"
"Decimal separator:","Separatore decimale:"
"Default (Admin) Values","Valori di Default (Admin) "
"Default Billing Address","Indirizzo di fatturazione predefinito"
"Default Config","Configurazione predefinita"
"Default Template from Locale","Template Default da Locale"
"Default Values","Valori predefiniti"
"Default scope","Ambito di applicazione predefinito"
"Delete","Elimina"
"Delete %s","Elimina %s"
"Delete %s '%s'","Elimina %s '%s'"
"Delete Block","Elimina blocco"
"Delete File","Elimina File"
"Delete Image","Elimina immagine"
"Delete Profile","Elimina profilo"
"Delete Role","Elimina ruolo"
"Delete Store","Elimina Negozio"
"Delete Store View","Elimina Vista Negozio"
"Delete Template","Elimina template"
"Delete User","Elimina utente"
"Delete Website","Elimina sito web"
"Description","Descrizione"
"Design","Aspetto"
"Details","Dettagli"
"Direction:","Direzione:"
"Disable","Disattiva"
"Disabled","Disabilitato"
"Display %s first","Mostra %s per primo"
"Display default currency","Visualizzare la valuta predefinita"
"Distributed under GNU LGPL. See %s for details.","Distribuita sotto licenza GNU LGPL. Visita %s per i dettagli."
"Do you really want to KILL parallel process and start new indexing process?","Vuoi veramente fermare il processo parallelo e iniziare un nuovo processo di indicizzazione?"
"Download","Scarica"
"Drag to move","Trascina per spostare"
"Drop-down","Dropdown"
"Edit","Modifica"
"Edit Block","Modifica blocco"
"Edit Block '%s'","Modifica blocco '%s'"
"Edit Design Change","Modifica Cambio Design"
"Edit Email Template","Modifica Template Email"
"Edit Order","Modifica ordine"
"Edit Poll","Modifica Sondaggio"
"Edit Queue","Modifica la coda"
"Edit Review","Modifica la recensione"
"Edit Role","Modifica Ruolo"
"Edit Store View","Modifica Vista Negozio"
"Edit System Template","Modifica Template di Sistema"
"Edit Template","Modifica Template"
"Edit URL Rewrite","Modifica URL Rewrite"
"Edit User","Modifica utente"
"Edit User '%s'","Modifica utente '%s'"
"Edit Website","Modifica sito web"
"Email Address:","Indirizzo Email:"
"Email to a Friend","Segnala ad un amico"
"Enable","Attiva"
"Enabled","Abilitato"
"Enclose Values In:","Racchiudere i valori tra:"
"Entity Attributes","Entità Attributi"
"Entity Type","Tipo entità"
"Entity type:","Tipo entità:"
"Error","Errore"
"Excl. Tax","Tasse escl."
"Excl. Tax:","Tasse escuse:"
"Exclude media folder from backup","Escludi la cartella media dal backup"
"Expiration Date","Data di scadenza"
"Expiration Date: %s/%s","Data di scadenza: %s/%s"
"Export","Esporta"
"Export CSV","Esporta CSV"
"Export Filters","Esporta filtri"
"Export to:","Esporta in:"
"Export:","Esporta:"
"FTP Host","Host FTP"
"FTP Host[:Port]","FTP Host [: Porta]"
"FTP Login","Login FTP"
"FTP Password","Password FTP"
"FTP credentials","Credenziali FTP"
"Failed","Fallito"
"Field","Campo"
"Field Mapping","Mappatura campi"
"File Information","Informazioni File"
"File name:","Nome File:"
"File size should be more than 0 bytes","La dimensione del File dovrebbe essere maggiore di 0 bytes"
"Finished profile execution.","Terminata l'esecuzione del profilo."
"First Invoice Created Date","Data di creazione prima fattura"
"First Name","Nome"
"First Name:","Nome:"
"Fixed","Fisso"
"Flush Catalog Images Cache","Svuota Cache Immagini catalogo"
"Flush JavaScript/CSS Cache","Svuota Cache JavaScript/CSS"
"For category","Per categoria"
"For latest version visit: %s","Per aggiornamenti: %s"
"For product","Per prodotto"
"Forgot your password?","Hai dimenticato la password?"
"Forgot your user name or password?","Hai dimenticato il tuo user name o la password?"
"From","Dal"
"General Information","Informazioni Generali"
"Get Image Base64","Ottieni immagine codifica Base64"
"Global Attribute","Attributo globale"
"Global Record Search","Record globale di ricerca"
"Global Search","Ricerca globale"
"Go Today","Vai ad oggi"
"Go to Top","Vai all'inizio"
"Grand Total","Totale complessivo"
"Grid (default) / List","Griglia (impostazione predefinita) / elenco"
"Grid Only","Solo griglia"
"Group:","Gruppo:"
"Guest","Ospite"
"HTTP (unsecure)","HTTP (non sicura)"
"ID Path","Percorso ID "
"IP Address","Indirizzo IP"
"IPN (Instant Payment Notification) Only","Solo IPN (notifica immediata del pagamento)"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se non viene specificata una opzione per la vista specifica del negozio verrà utilizzato il valore predefinito (Admin)."
"Images (.gif, .jpg, .png)","Immagini (. gif,. jpg,. png)"
"Images Cache","Immagini Cache"
"Import","Importa"
"Import Service","Servizio di importazione"
"Import and Export Tax Rates","Importa ed esporta aliquote fiscali"
"Import/Export","Importa/Esporta"
"Import/Export Advanced","Importa/Esporta Avanzate"
"Import/Export Profile","Importa/Esporta Profilo"
"Important: ","Importante: "
"Imported <strong>%s</strong> records","Importati <strong>%s</strong> risultati"
"In Database:","Nel Database:"
"In File:","Nel File:"
"Inactive","Inattivo"
"Incl. Tax","Tasse incl."
"Incl. Tax:"," Tasse incluse:"
"Incoming Message","Messaggio in arrivo"
"Insert Variable...","Inserire la variabile..."
"Interactive","Interattivo"
"Interface Locale: %s","Interfaccia Locale: %s"
"Invalid Form Key. Please refresh the page.","Chiave form non valida. Si prega di aggiornare la pagina."
"Invalid Import Service Specified","Importazione del servizio specificato non valida"
"Invalid Secret Key. Please refresh the page.","Chiave Segreta NON valida. Aggiornare la pagina."
"Invalid data","Dati non validi"
"Invalid directory: %s","Directory non valida: %s"
"Invalid file: %s","File non valido: %s"
"Invalid input data for %s => %s rate","Dati immessi non validi da %s => %s"
"Invalid parent block for this block","Blocco parente non valido per questo blocco"
"Invalidated","Invalidata"
"Inventory Stock Status","Status inventario"
"Invoice #%s comment added","Aggiunto commento alla fattura #%s "
"Invoice #%s created","Fattura creata #%s"
"Invoice History","Cronologia fatture"
"Invoice Totals","Totali fatture"
"Invoices","Fatture"
"Is Closed","È chiuso"
"Is Default","È predefinito"
"Issue Number","Numero di emissione"
"Items","Elementi"
"JavaScript seems to be disabled in your browser.","I JavaScript sembrano essere disabilitati nel tuo browser."
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Last 24 Hours","Ultime 24 ore"
"Last 5 Orders","Ultimi 5 Ordini"
"Last 5 Search Terms","Ultimi 5 termini di ricerca"
"Last 7 Days","Ultimi 7 giorni"
"Last Credit Memo Created Date","Data creazione ultima nota di credito"
"Last Invoice Created Date","Data creazione ultima fattura"
"Last Logged In (%s):","Ultimo accesso (%s):"
"Last Logged In:","Ultimo accesso:"
"Last Name","Cognome"
"Last Name:","Cognome:"
"Latest Message:","Ultimo messaggo:"
"Layered Navigation Indices","Indici navigazione a livelli"
"Leave empty to use tax identifier","Lasciare vuoto per usare l'identificatore tassa"
"Lifetime Sales","Vendite totali"
"Links","Link"
"List (default) / Grid","Elenco (impostazione predefinita) / griglia"
"List Only","Solo elenco"
"Load Template","Carica Template"
"Load default template","Carica il template di default"
"Loading...","Caricamento..."
"Local Server","Server locale"
"Local/Remote Server","Server Locale/remoto"
"Locale","Localizzazione"
"Log In","Accedi"
"Log Out","Logout"
"Log in to Admin Panel","Accedi al pannello di amministrazione"
"Logged in as %s","Accesso effettuato come %s"
"Login","Accedi"
"Low Stock","Scorte in esaurimento"
"MAJOR","PRINCIPALI"
"MINOR","SECONDARI"
"MS Excel XML","MS-Excel XML"
"Magento Logo","Logo di OpenMage"
"Magento root directory","Root directory di OpenMage"
"Content","Contenuto"
"Currency Rates","Tassi valuta"
"Tax Rules","Regole fiscali"
"Tax Zones and Rates","Zone e aliquote fiscali"
"Manual","Manuale"
"Maximum sender name length is 255. Please correct your settings.","La lunghezza massima del nome del mittente è 255. Correggi le tue impostazioni."
"Media (.avi, .flv, .swf)","Media (.avi, .FLV, .swf)"
"Messages Inbox","Messaggi in arrivo"
"Month","Mese"
"Most Viewed","Più Visti"
"Most Viewed Products","Prodotti più visti"
"Multiple Select","Selezione multipla"
"My Account","Il mio Account"
"N/A","N/D"
"NOTICE","AVVISO"
"Name","Nome"
"Name on Card","Nome sulla carta"
"Name on the Card: %s","Nome sulla carta: %s"
"Name:","Nome:"
"Never (production)","Mai (produzione)"
"New ","Nuovo "
"New Accounts","Nuovi Account"
"New Attribute","Nuovo attributo"
"New Block","Nuovo blocco"
"New Category","Nuova Categoria"
"New Class","Nuova classe"
"New Condition","Nuova condizione"
"New Custom Variable","Nuova variabile personalizzata"
"New Customer","Nuovo Cliente"
"New Customers","Nuovi Clienti"
"New Design Change","Nuova modifica design"
"New Email Template","Nuovo template email"
"New Group","Nuovo gruppo"
"New Invoice","Nuova fattura"
"New Item Type","Nuovo tipo prodotto"
"New Memo","Nuova nota"
"New Page","Nuova pagina"
"New Password","Nuova Password"
"New Poll","Nuovo Sondaggio"
"New Profile","Nuovo profilo"
"New Rating","Nuova valutazione"
"New Review","Nuova recensione"
"New Role","Nuovo Ruolo"
"New Rule","Nuova regola"
"New Search","Nuova ricerca"
"New Set","Nuovo Set"
"New Shipment","Nuova spedizione"
"New Sitemap","Nuova sitemap"
"New Store View","Nuova Vista Negozio"
"New System Template","Nuovo Template di Sistema"
"New Tag","Nuovo Tag"
"New Template","Nuovo Template"
"New User","Nuovo utente"
"New Website","Nuovo sito Web"
"Newsletter Queue","Coda newsletter"
"Newsletter Subscribers","Iscritti alla newsletter"
"Newsletter Templates","Templates Newsletter"
"Next month (hold for menu)","Mese prossimo (tieni premuto per il menu)"
"Next year (hold for menu)","Prossimo anno (premi per il menu)"
"No (price without tax)","No (prezzo senza tasse)"
"No Data","Nessun dato"
"No Data Found","Nessun dato trovato"
"No Templates Found","Nessun template trovato"
"No change","Nessun cambiamento"
"No profile loaded...","Nessun profilo caricato..."
"No records found for this period.","Nessun risultato trovato per questo periodo."
"No records found.","Nessun record trovato."
"No search keywords.","Nessuna parola di ricerca."
"No search modules were registered","Nessun modulo di ricerca è stato registrato"
"None","Nessuno"
"Note:","Nota:"
"Notes","Note"
"Notifications","Notifiche"
"Number of Orders","Numero di ordini"
"Number of Uses","Numero di utilizzi"
"Number of Views","Numero di visualizzazioni"
"Number of records:","Numero di risultati:"
"Old rate:","Tasso precedente:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Una volta effettuato l'accesso al tuo account PayPal Avanzato, naviga nelle impostazioni servizio - pagine checkout hostate - menu Installa e imposta le opzioni descritte di seguito"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Una volta effettuato l'accesso al tuo account PayPal Payflow Link, naviga nelle impostazioni servizio - pagine checkout hostate - menu Installa e imposta le opzioni descritte di seguito"
"Online Customers","Clienti online"
"Only Once (version upgrade)","Solo una volta (aggiornamento versione)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Sono disponibili solo gli attributi con campo ""Globale"", tipo in ingresso ""Dropdown"" e Usa per creare prodotti configurabili ""Si""."
"Only mapped fields","Solo campi mappati"
"Optional","Opzionale"
"Options","Opzioni"
"Options is required","Opzioni è richiesto"
"Order","Ordine"
"Order #%s","Ordine #%s"
"Order #%s (%s)","Ordine #%s (%s)"
"Order ID","ID ordine"
"Order Totals","Totali ordine"
"Orders","Ordini"
"Original Magento attribute names in first row:","Il nome del attributi originali di OpenMage è nella prima riga:"
"Out of stock","Non Disponibile"
"Pages","Pagine"
"Parent Product Thumbnail","Miniatura Prodotto Padre"
"Parent Transaction ID","ID transazione genitore"
"Passive mode","modalità passiva"
"Password Confirmation","Conferma password"
"Path:","Percorso:"
"Pending Reviews","Recensioni in sospeso"
"Pending Tags","Tags pendenti"
"Per Item","Per articolo"
"Per Order","Per ordine"
"Percent","Percentuale"
"Performed At","Eseguita in"
"Period","Periodo"
"Permanent (301)","Permanente (301)"
"Permissions","Permessi"
"Personal Information","Informazioni personali"
"Phone:","Telefono:"
"Please Select","Seleziona"
"Please confirm site switching. All data that hasn't been saved will be lost.","Si prega di confermare il cambio ambito di applicazione. Tutti i dati non salvati andranno persi."
"Please enter 6 or more characters.","inserisci 6 o più caratteri."
"Please enter a number greater than 0 in this field.","Inserire un numero maggiore di 0 in questo campo."
"Please enter a valid $ amount. For example $100.00.","Inserisci un importo € valido. Per esempio €100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Inserire un URL valido. Per esempio http://www.example.com o www.example.com"
"Please enter a valid URL. http:// is required","Inserire un URL valido. http:// è richiesto"
"Please enter a valid credit card number.","Inserire un numero di carta di credito valido."
"Please enter a valid date.","Inserire una data valida."
"Please enter a valid email address. For example johndoe@domain.com.","Inserire un indirizzo email valido. Per esempio johndoe@domain.com."
"Please enter a valid email.","Inserisci un indirizzo email valido."
"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Inserisci un numero di telefono valido. Per esempio (123) 456-7890 o 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Inserire un numero di previdenza sociale valido. Per esempio 123-45-6789."
"Please enter a valid value from list","Per favore inserisci un valore valido dalla lista"
"Please enter a valid value, ex: 10,20,30","Inserisci un valore valido, es: 10,20,30"
"Please enter a valid zip code.","Inserire un Cap valido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Inserire codice zip valido. Per esempio 90602 o 90602-1234."
"Please enter valid password.","Inserire password."
"Please make sure that all global admin search modules are installed and activated.","Assicurati che tutti i moduli di ricerca globali siano installati e attivi."
"Please make sure that your changes were saved before running the profile.","Assicurarsi che tutte le modifiche vengano salvate prima di avviare il profilo."
"Please make sure your passwords match.","Verificare che le password coincidano."
"Please select State/Province.","Selezionare Stato/Provincia."
"Please select an option.","Selezionare un'opzione."
"Please select customer(s).","Seleziona i clienti."
"Please select one of the above options.","Selezionare una delle opzioni sopra descritte."
"Please select one of the options.","Seleziona una delle opzioni."
"Please select review(s).","Seleziona le recensioni."
"Please specify the admin custom URL.","Specificare l'admin URL personalizzato."
"Please use in this field only ""a-z,0-9,_"".","In questo campo usa solo ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Utilizzare solo lettere (a-z) in questo campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Si prega di utilizzare solo lettere (a-z o A-Z), numeri (0-9) o spazi in questo campo."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Utilizzare solo lettere (a-z) o numeri (0-9) in questo campo. Non sono permessi spazi o altri caratteri."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Utilizzare solo lettere (a-z) o numeri (0-9) o spazi e # solo in questo campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Usa questo formato data: gg/mm/aaaa. Per esempio 17/03/2006 per il 17 marzo, 2006."
"Please wait, loading...","Attendere prego, caricamento..."
"Please wait...","Attendere..."
"Poll Manager","Gestore sondaggi"
"Polls","Sondaggi"
"Popular","Popolarità di base"
"Position","Posizione"
"Position of Watermark for %s","Posizione del Watermark per %s"
"Prev. month (hold for menu)","Prev. mese (tener premuto per il menu)"
"Prev. year (hold for menu)","Prev. anno (tener premuto per il menu)"
"Preview","Anteprima"
"Preview Template","Anteprima template"
"Price","Prezzo"
"Price:","Prezzo:"
"Processed <strong>%s%% %s/%d</strong> records","Elaborati <strong>%s%% %s/%d</strong> records"
"Processing","In elaborazione"
"Product","Prodotto"
"Product Name","Nome prodotto"
"Product Reviews","Recensioni prodotti"
"Product Tax Classes","Classi tasse prodotto"
"Product Thumbnail Itself","Miniatura Prodotto stessa"
"Product:","Prodotto:"
"Products","Prodotti"
"Products Bestsellers Report","Report prodotti più venduti"
"Products Most Viewed Report","Report prodotti più visti"
"Products Ordered","Prodotti ordinati"
"Products in Carts","Prodotti nei carrelli"
"Profile Action","Azione profilo"
"Profile Actions XML","Azioni profilo XML"
"Profile Direction","Direzione profilo"
"Profile History","Cronologia profilo"
"Profile Information","Informazioni profilo"
"Profile Name","Nome profilo"
"Profile Wizard","Creazione guidata profilo"
"Profiles","Profili"
"Promo","Promozione"
"Promotions","Promozioni"
"Quantity","Quantità"
"Queue Refresh","Aggiornamento coda"
"Queued... Cancel","In coda... Annulla"
"Radio Buttons","Pulsanti di opzione"
"Rates","Tariffe"
"Read details","Leggi i dettagli"
"Rebuild","Ricostruisci"
"Rebuild Catalog Index","Ricostruisci l'indice del catalogo"
"Rebuild Flat Catalog Category","Ricostruisci la flat catalog category"
"Rebuild Flat Catalog Product","Ricostruisci la flat catalog product"
"Recent Orders","Ordini recenti"
"Recent statistics have been updated.","Le statistiche recenti sono state aggiornate."
"Recursive Dir","Dir ricorsive"
"Redirect","Reindirizzamento"
"Reference ID","ID di riferimento"
"Refresh","Aggiorna"
"Refresh Now*","Aggiorna ora*"
"Refresh Statistics","Aggiorna le statistiche"
"Region/State","Provincia"
"Regular Price:","Prezzo di listino:"
"Reject","Rifiuta"
"Release Stability","Stabilità Release"
"Release Version","Versione Release"
"Reload captcha","Ricarica il Captcha"
"Remote FTP","FTP remoto"
"Remove","Elimina"
"Reports","Rapporti"
"Request Path","Percorso richiesto"
"Required","Obbligatorio"
"Reset","Reimposta"
"Reset Filter","Azzera filtro"
"Reset Password","Reimposta Password"
"Reset a Password","Reimposta la Password"
"Resize","Ridimensiona"
"Resource Access","Accesso alle risorse"
"Resources","Risorse"
"Results","Risultati"
"Retrieve Password","Recupera password"
"Return Html Version","Restituisci la versione Html"
"Revenue","Entrate"
"Reviews","Recensioni"
"Reviews and Ratings","Recensioni e votazioni"
"Role ID","Ruolo ID"
"Role Info","Info ruolo"
"Role Information","Informazioni sul Ruolo"
"Role Name","Nome ruolo"
"Role Resources","Risorse ruoli"
"Role Users","Ruolo utenti"
"Roles","Ruoli"
"Roles Resources","Risorse ruoli"
"Root Category","Categoria di Root"
"Rotate CCW","Ruota CCW"
"Rotate CW","Ruota CW"
"Run","Esegui"
"Run Profile","Eseguio profilo"
"Run Profile Inside This Window","Esegui profilo dentro questa finestra"
"Running... Kill","Esecuzione... Ferma"
"SKU","Cod.Art."
"SKU:","Codice:"
"SSL Error: Invalid or self-signed certificate","Errore SSL: Certificato non valido o auto-firmato"
"Sales","Vendite"
"Sales Report","Report Vendite"
"Samples","Esempi"
"Save","Salva"
"Save & Generate","Salva e Genera"
"Save Account","Salva Account"
"Save Block","Salva blocco"
"Save Cache Settings","Salva le impostazioni della Cache"
"Save Config","Salva configurazione"
"Save Currency Rates","Salva i tassi di cambio valuta"
"Save Profile","Salva profilo"
"Save Role","Salva Ruolo"
"Save Template","Salva Template"
"Save User","Salva Utente"
"Save and Continue Edit","Salva e continua modifica"
"Search","Cerca"
"Search Index","Indice di ricerca"
"Search Term","Termine di ricerca"
"Search Terms","Termini di ricerca"
"Search entire store here...","Cerca nell'intero negozio..."
"Select","Seleziona"
"Select All","Seleziona tutto"
"Select Category","Seleziona una categoria"
"Select Date","Seleziona la data"
"Select Range","Seleziona intervallo"
