"-- Please Select --","-- Seleziona --"
"Add New Class","Aggiungi nuova classe"
"The tax rule has been deleted.","La regola fiscale non può essere eliminata."
"This class no longer exists","Questa classe non è più esistente"
"This rule no longer exists","Questa regola non esiste più"
"This rule no longer exists.","Questa regola non esiste più."
"Total","Totale"
"Unit Price","Prezzo unitario"
"Yes","Sì"
"You cannot delete this tax class as it is used for %d customer groups.","Non puoi cancellare questa classe fiscale perché p utilizzata per i gruppi cliente %d."
"You cannot delete this tax class as it is used for %d products.","Non puoi cancellare questa classe fiscale perché è utilizzata per i prodotti %d."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Non puoi cacellare questa classe fiscale perché è utlizzata nelle regole di tassa. Per prima cosa devi cancellare le regole se sono in uso."
"Zip/Post Code","Codice Cap"
"Zip/Post is Range","Cap è un intervallo"
