"* Required Fields","* Campi obbligatori"
"Online Minutes Interval","Intervallo minuti online"
"Order #","Ordine n. "
"Order Total","Totale ordine"
"Orders","Ordini"
"Password Management","Gestione password"
"Password Options","Opzioni password"
"Password forgotten","Password dimenticata"
"Paused","Sospeso"
"Pending","In attesa"
"Per Website","Per website"
"Personal Information","Informazioni personali"
"Please enter a number 1 or greater in this field.","Inserire un numero maggiore o uguale a 1 in questo campo."
"Please enter the city.","Inserisci la città."
"Please enter the country.","Inserisci il paese."
"Please enter the first name.","Inserisci il nome."
"Please enter the last name.","Inserisci il cognome."
"Please enter the state/province.","Inserisci la provincia."
"Please enter the street.","Inserisci la via."
"Please enter the zip/postal code.","Inserisci il codice postale."
"Please enter your email address below. You will receive a link to reset your password.","Inserisci il tuo indirizzo email di seguito. Riceverai un link per fare il reset della password."
"Please enter your email below and we'll send you confirmation link for it.","Inserisci la tua email di seguito e ti invieremo un link di conferma."
"Please enter your email.","Inserisci la tua email."
"Please make sure your passwords match.","Verificare che le password coincidano."
"Please select region, state or province","Seleziona la regione, stato o provincia"
"Prefix Dropdown Options","Opzioni menu a tendina prefisso"
"Price","Prezzo"
"Product","Prodotto"
"Product ID","ID prodotto"
"Product Name","Nome prodotto"
"Product Reviews","Recensioni prodotti"
"Product Tags","Tag prodotto"
"Purchase On","Acquista su"
"Purchased On","Acquistato su"
"Qty","Qtà"
"Recent Orders","Ordini recenti"
"Recovery Link Expiration Period (hours)","Periodo di scadenza per il Recupero Link (ore)"
"Redirect Customer to Account Dashboard after Logging in","Reindirizzare il cliente alla Dashboard dell'Account dopo il login"
"Refunded","Rimborsati"
"Register","Registrati"
"Registered Customers","Clienti registrati"
"Remind Email Template","Template email remind"
"Remove","Elimina"
"Require Emails Confirmation","Richiede Conferma Email"
"Reset a Password","Reimposta la Password"
"Retrieve address data","Recupera indirizzo dati"
"Retrieve address info","Recupera informazioni indirizzo"
"Retrieve customer addresses","Recupera indirizzi cliente"
"Retrieve customer data","Recupera dati cliente"
"Retrieve customers","Recupera clienti"
"Retrieve your confirmation link here","Recupera il tuo link di conferma qui"
"Retrieve your password here","Recupera la tua password qui"
"SKU","Cod.Art."
"Sales Statistics","Statistiche di vendita"
"Save","Salva"
"Save Address","Salva indirizzo"
"Save Customer","Salva Cliente"
"Save Customer Group","Salva Gruppo clienti"
"Save Password","Salva password"
"Save and Continue Edit","Salva e continua modifica"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Punto e virgola (;) per separare i valori.<br/>Metti il punto e virgola all'inizio delle prime opzioni vuote.<br/>Lascia vuoto per aprire il campo del testo."
"Send From","Invia da"
"Send Welcome Email after Confirmation","Invia email di benvenuto dopo la conferma"
"Send confirmation link","Invia il link di conferma"
"Sending","Invio in corso"
"Sent","Inviato"
"Session Start Time","Sessione di tempo iniziale"
"Set as Default Billing Address","Imposta come indirizzo di fatturazione predefinito"
"Set as Default Shipping Address","Imposta come indirizzo di spedizione predefinito"
"Share Customer Accounts","Condividi l'account cliente"
"Shipped to First Name","Inviato a Nome"
"Shipped to Last Name","Inviato a Cognome"
"Shipped to Name","Spedito a Nome"
"Shopping Cart","Carrello"
"Shopping Cart - %d item(s)","Carrello - %d oggetto"
"Show Date of Birth","Mostra data di nascita"
"Show Gender","Mostra genere"
"Show Middle Name (initial)","Visualizza il secondo nome (iniziale)"
"Show Prefix","Mostra prefisso"
"Show Suffix","Mostra suffisso"
"Show Tax/VAT Number","Mostra partita IVA"
"Sign Up for Newsletter","Iscriviti alla Newsletter"
"State/Province","Provincia/Regione"
"Status","Stato"
"Store","Negozio"
"Store View","Vista Negozio"
"Street Address","Indirizzo"
"Subject","Oggetto"
"Submit","Invia"
"Subscribe to Newsletter","Iscriviti alla Newsletter"
"Subscribed to Newsletter?","Iscritto per la newsletter?"
"Suffix Dropdown Options","Opzioni menu a tendina suffisso"
"Tag Name","Nome Tag"
"Tax Calculation Based On","Calcolo dell'imposta basato su"
"Tax Class","Classe Tassa"
"Tax/VAT number","Numero partita IVA"
"Telephone","Telefono"
"Text","Testo"
"Text One Line","Una linea di testo"
"The VAT ID entered (%s) is not a valid VAT ID.","La partita IVA inserita (%s) non è una partita IVA valida."
"The VAT ID is valid. The current Customer Group will be used.","La partita IVA è valida. Verrà utilizzato il gruppo cliente corrente."
"The customer does not have default billing address.","Il cliente non dispone di un indirizzo di fatturazione predefinito."
"The suffix that goes after name (Jr., Sr., etc.)","Il suffisso che va dopo il nome (Jr., Sr., ecc.)"
"The title that goes before name (Mr., Mrs., etc.)","Il titolo che precede il nome (Sig., Sig.a., ecc.)"
"There are no items in customer's wishlist at the moment","Non ci sono oggetti nella wishlist del cliente al momento"
"There are no items in customer's shopping cart at the moment","Non ci sono oggetti nel carrello del cliente al momento"
"This account is not confirmed.","Account non confermato."
"This customer has no saved addresses.","Questo cliente non ha nessun indirizzo salvato."
"This email does not require confirmation.","Questa email non richiede la conferma."
"To Cart","Al carrello"
"Total","Totale"
"Type","Tipo"
"Unknown","Sconosciuto"
"Unsubscribe from Newsletter","Cancellarsi dalla Newsletter"
"Update","Aggiorna"
"Update customer address data","Aggiorna dati indirizzo cliente"
"Update customer data","Aggiorna dati cliente"
"Use as my default billing address","Usa come indirizzo di fatturazione predefinito"
"Use as my default shipping address","Usa come indirizzo di spedizione predefinito"
"VAT Number","Partita Iva"
"VAT Request Date","Data di richiesta P. IVA"
"VAT Request Identifier","Identificatore p.IVA richiesto"
"Validate VAT Number","Convalida partita IVA"
"Validate on Each Transaction","Convalida per ogni transazione"
"Validation Error Group","Errore validazione gruppo"
"View","Mostra"
"View Order","Visualizza ordine"
"Visitor","Visitatore"
"Visitors Only","Solo visitatore"
"Website","Sito Web"
"Welcome Email","Email di benvenuto"
"Wishlist","Lista desideri"
"Wishlist - %d item(s)","Wishlist - %d oggetti"
"Would you like to change the Customer Group for this order?","Vuoi cambiare il gruppo cliente per questo ordine?"
"Wrong confirmation key.","Codice di conferma errato"
"Wrong customer account specified.","Account cliente specificato errato"
"Wrong email.","Email errata."
"YYYY","AAAA"
"Year","Anno"
"You are currently not subscribed to any newsletter.","Non sei iscritto a nessuna newletter al momento."
"You are currently subscribed to 'General Subscription'.","Sei attualmente iscritto a  'Iscrizioni generali'."
"You are currently subscribed to our newsletter.","Sei attualmente iscritto alla nostra newsletter."
"You are now logged out","Non hai effettuato l'accesso."
"You have no additional address entries in your address book.","Non hai altre voci di indirizzi nella tua rubrica."
"You have no additional entries in your address book.","Non hai altre voci nella rubrica."
"You have no default billing address in your address book.","Non hai nessun indirizzo di fatturazione predefinito nella tua rubrica."
"You have no default shipping address in your address book.","Non hai nessun indirizzo di spedizione predefinito nella tua rubrica."
"You have not set a default billing address.","Non hai impostato un indirizzo di fatturazione predefinito."
"You have not set a default shipping address.","Non hai impostato un indirizzo di spedizione predefinito."
"You have placed no orders yet.","Non hai ancora effettuato nessun ordine."
"You have placed no products yet.","Non hai ancora inserito nessun prodotto."
"You will be charged tax.","Verranno addebitate le tasse."
"You will not be charged tax.","Non verranno addebitate le tasse."
"Your Tax ID cannot be validated.","Il tuo codice fiscale non può essere convalidato."
"Your VAT ID was successfully validated.","La tua partita Iva è stata validata correttamente."
"Your account balance is: %s","Il bilancio del tuo account è: %s"
"ZIP","CAP"
"ZIP/Post Code","Codice postale"
"Zip/Postal Code","CAP"
"n/a","n/d"
"or","o"
