"-- Please Select --","-- Seleziona --"
"Custom Email 1","Email personalizzata 1"
"Custom Email 2","Email personalizzata 2"
"Custom Variables","Variabili personalizzate"
"Customer Support","Assistenza clienti"
"Dashboard","Cruscotto"
"Date From","Data da"
"Date To","Data Al"
"Date/time format ""%s"" is not supported.","Data/ora formato ""%s"" non supportato."
"Default","Predefinito"
"Default Country","Paese predefinito"
"Default Description","Descrizione predefinita"
"Default Keywords","Keywords predefinite"
"Default No-route URL","URL No-route predefinita"
"Default Pages","Pagine predefinite"
"Default Robots","Robots Predefiniti"
"Default Store","Negozio Predefinito"
"Default Store View","Vista Negozio predefinita"
"Default Title","Titolo predefinito"
"Default Web URL","URL Web predefinito"
"Delete","Elimina"
"Delete Store","Elimina Negozio"
"Delete Store View","Elimina Vista Negozio"
"Delete Website","Elimina sito web"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Cancellazione di %1$s non cancellerà le informazioni associate con il %1$s (e.g. categorie, prodotti, etc.), ma le %1$s non si potranno ripristinare. Ti suggeriamo di creare un backup del database prima di cancellare i %1$s."
"Design","Aspetto"
"Design Change","Cambio Design"
"Developer","Sviluppatore"
"Developer Client Restrictions","Restrizioni Client Developer"
"Disable Email Communications","Disattiva le comunicazioni email"
"Disable Modules Output","Disattiva l'Output dei moduli"
"Display Demo Store Notice","Mostra Avviso Negozio Demo"
"Duplicate Of Template Name","Duplicato del nome del template"
"Edit Design Change","Modifica Cambio Design"
"Edit Store","Modifica Negozio"
"Edit Store View","Modifica Vista Negozio"
"Edit Website","Modifica sito web"
"Empty identifier field name","Nome Indentificativo campo vuoto"
"Empty main table name","Nome tabella principale vuoto"
"Enable Charts","Abilita i grafici"
"Enabled","Abilitato"
"Enabled for Admin","Abilitato per l'Admin"
"Enabled for Frontend","Abilitato per il Frontend"
"Environment Update Time","Tempo di aggiornamento ambiente"
"Error in file: ""%s"" - %s","Errore nel file: ""%s"" - %s"
"European Union Countries","Paesi dell'Unione Europea"
"Exceptions Log File Name","Eccezione nome file log"
"Favicon Icon","Icona Favicon"
"File not found","File non trovato"
"File system","File System"
"File with an extension ""%value%"" is protected and cannot be uploaded","Il file con estensione ""%value%"" è protetto e non può essere caricato"
"First Day of Week","Primo giorno della settimana"
"Flush Cache Storage","Svuota Cache Storage"
"Flush OpenMage Cache","Svuota la Cache di OpenMage"
"Footer","Piè di pagina"
"Forgot Password Email Sender","Password dimenticata mittente email"
"Forgot Password Email Template","Template email password dimenticata"
"General","Generale"
"General Contact","Contatto generale"
"General Settings","Impostazioni Generali"
"Global","Globale"
"HTML Head","Head HTML"
"Header","Intestazione"
"How many links to display at once.","Quanti link da visualizzare per volta."
"Incorrect credit card expiration date.","Data di scadenza della carta di credito errata."
"Input type ""%value%"" not found in the input types list.","Tipo di input ""%value%"" non trovato nell'elenco tipi di input."
"Invalid base url type","Tipo base url non valido"
"Invalid block type: %s","Tipo blocco non valido: %s"
"Invalid block: %s","Blocco non valido: %s"
"Invalid date","Data non valida"
"Invalid layout update handle","Aggiornamento layout da gestire non valido"
"Invalid messages storage ""%s"" for layout messages initialization","Messaggio archiviazione non valido ""%s"" per l'inizializzazione messaggi layout"
"JavaScript Settings","Impostazioni JavaScript"
"Leave empty for access from any location.","Lascia vuoto per accedere da qualsiasi luogo."
"Locale","Localizzazione"
"Locale Options","Opzioni Localizzazione"
"Log Settings","Impostazioni log"
"Login is Case Sensitive","Il login è Case Sensitive"
"Logo Image","Immagine logo"
"Logo Image Alt","Alt Immagine Logo"
"Logo Image Src","Immagine logo Src"
"Mail Sending Settings","Impostazioni di invio email"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Assicurati che URL di base si concluda con ' /' (slash), ad es. l'http://tuodominio/magento/"
"Manage Stores","Gestisci Negozi"
"Match expressions in the same order as displayed in the configuration.","Abbina espressioni nello stesso ordine visualizzato nella configurazione."
"Media Storage","Archivio file multimediali"
"Merge CSS Files","Unisci file CSS"
"Merge JavaScript Files","Unisci i file JavaScript"
"Miscellaneous HTML","Vario HTML"
"Name","Nome"
"New Design Change","Nuova modifica design"
"New Store","Nuovo Negozio"
"New Store View","Nuova Vista Negozio"
"New Website","Nuovo sito Web"
"Offloader header","Header Offloader"
"PHP SOAP extension is required.","L'estensione PHP SOAP è obbligatoria."
"Package","Pacchetto"
"Pagination","Paginazione"
"Pagination Frame","Frame paginazione"
"Pagination Frame Skip","Salta Frame paginazione"
"Path ""%value%"" is not available and cannot be used.","Il percorso ""%value%"" non è disponibile e non può essere utilizzato."
"Path ""%value%"" is protected and cannot be used.","Il percorso ""%value%"" è protetto e non può essere utilizzato."
"Please define flag code.","Definire il codice flag."
"Please enter a number 0 or greater in this field.","Inserire un numero maggiore o uguale a 0 in questo campo."
"Please enter a number 1 or greater in this field.","Inserire un numero maggiore o uguale a 1 in questo campo."
"Please enter a number greater than 0 in this field.","Inserire un numero maggiore di 0 in questo campo."
"Please enter a valid $ amount. For example $100.00.","Inserisci un importo € valido. Per esempio €100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Inserire un URL valido. Per esempio http://www.example.com o www.example.com"
"Please enter a valid credit card number.","Inserire un numero di carta di credito valido."
"Please enter a valid credit card verification number.","Si prega di inserire un numero valido di verifica della carta di credito."
"Please enter a valid date.","Inserire una data valida."
"Please enter a valid email address. For example johndoe@domain.com.","Inserire un indirizzo email valido. Per esempio johndoe@domain.com."
"Please enter a valid month (1-12).","Inserisci un mese valido (1-12)."
"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Inserisci un numero di telefono valido. Per esempio (123) 456-7890 o 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Inserire un numero di previdenza sociale valido. Per esempio 123-45-6789."
"Please enter a valid zip code.","Inserire un Cap valido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Inserire codice zip valido. Per esempio 90602 o 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Inserisci il numero di emissione o data di inizio per tipo di carta switch/solo."
"Please make sure your passwords match.","Verificare che le password coincidano."
"Please select State/Province.","Selezionare Stato/Provincia."
"Please select an option.","Selezionare un'opzione."
"Please select one of the above options.","Selezionare una delle opzioni sopra descritte."
"Please select one of the options.","Seleziona una delle opzioni."
"Please set available and/or protected paths list(s) before validation.","Impostare lista percorsi disponibili e/o protetti prima della convalida."
"Please use letters only (a-z or A-Z) in this field.","Usa solo lettere (a-z o A-Z) in questo campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Utilizzare solo lettere (a-z), numeri (0-9) o underscore(_) in questo campo, la prima lettera deve essere una lettera."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Usa questo formato data: gg/mm/aaaa. Per esempio 17/03/2006 per il 17 marzo, 2006."
"Please wait, loading...","Attendere prego, caricamento..."
"Polls","Sondaggi"
"Port (25)","Porta (25)"
"Profiler","Profilo"
"Recovery Link Expiration Period (hours)","Periodo di scadenza per il Recupero Link (ore)"
"Request Path for Specified Store","Percorso richiesto per negozio specificato"
"Requested invalid store ""%s""","Negozio richiesto non valido ""%s"""
"Return-Path Email","Email percorso di ritorno"
"Root Category","Categoria di Root"
"Sales Representative","Rappresentante"
"Save","Salva"
"Save Store","Salva Negozio"
"Save Store View","Salva Vista Negozio"
"Save Website","Salva sito web"
"Search Engines Optimization","Ottimizzazione motori di ricerca"
"Secure","Sicuro"
"Security","Sicurezza"
"Select Date","Seleziona la data"
"Select Media Database","Seleziona database media"
"Sender Email","Email mittente"
"Sender Name","Nome mittente"
"Services","Servizi"
"Session Validation Settings","Impostazioni di validazione sessione"
"Set Return-Path","Imposta il percorso di ritorno"
"Set as Default","Imposta come predefinito"
"Skin (Images / CSS)","Skin (Immagini / CSS)"
"Sort Order","Ordinamento"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Data/ora indicate ""%1$s"" non corrispondono con il formato ""%2$s""."
"Startup Page","Pagina di avvio"
"Status","Stato"
"Storage Configuration for Media","Configurazione storage per media"
"Store","Negozio"
"Store Email Addresses","Indirizzi email negozio"
"Store Hours of Operation","Orari di apertura"
"Store Information","Informazioni Negozio"
"Store Name","Nome Negozio"
"Store View","Vista Negozio"
"Store View Information","Informazioni Vista Negozio"
"Store View Name","Nome vista negozio"
"Store view doesn't exist","La vista negozio non esiste"
"Store with the same code","Negozio con lo stesso codice"
"System","Sistema"
"System Log File Name","Log nome file di sistema"
"Template Path Hints","Suggerimenti percorso template"
"Template Settings","Impostazioni template"
"Template Variables","Variabili Template"
"Templates","Modelli"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Il %s che hai inserito non è valido. Assicurati che seuga il formato ""http://domain.com/""."
"The store does not exist","Il negozio non esiste"
"The value is not within the specified range.","Il valore non è compreso nell'intervallo specificato."
"The website does not exist.","Il website non esiste."
"Themes","Temi"
"This category and all its child elements","Questa categoria e tutti i suoi elementi figlio"
"This category and its child categories only","Solo questa categoria e i suoi elementi figlio"
"This category and its products only","Solo questa categoria e i suoi prodotti"
"This category only","Solo questa categoria"
"This is a required field.","Questo è un campo obbligatorio."
"This store cannot be deleted.","Questo negozio non può essere eliminato."
"This store view cannot be deleted.","Questa vista negozio non può essere eliminata."
"This website cannot be deleted.","Questo website non può essere eliminato."
"This will be included before head closing tag in page HTML.","Questo sarà incluso prima della chiusura dei tag head nell'HTML della pagina."
"Timezone","Fuso orario"
"Title Prefix","Prefisso titolo"
"Title Suffix","Suffisso titolo"
"Transactional Emails","Email Transazionali"
"Translate Inline","Traduttore inline"
"Translations","Traduzioni"
"Unable to delete store view. Please, try again later.","Impossibile cancellare la vista negozio. Riprovare più tardi."
"Unable to delete store. Please, try again later.","Impossibile cancellare il negozio. Riprovare più tardi."
"Unable to delete website. Please, try again later.","Impossibile cancellare il sito web. Riprovare più tardi."
"Unable to proceed. Please, try again","Impossibile procedere , Prova ancora."
"Unsecure","Non sicuro"
"Url Options","Opzioni Url"
"Use Custom Admin Path","Usa percorso personalizzato per l'Admin"
"Use Custom Admin URL","Usa URL personalizzato per l'Admin"
"Use HTTP Only","Uso solo HTTP"
"None","Nessuno"
"Use Secure URLs in Admin","Usa URL sicuri per l'admin"
"Use Secure URLs in Frontend","Utilizza Secure URLs nel Frontend"
"Use Web Server Rewrites","Usa Web Server Rewrites"
"VAT Number","Partita Iva"
"Validate HTTP_USER_AGENT","Valida HTTP_USER_AGENT"
"Validate HTTP_VIA","Validare HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validare HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validare REMOTE_ADDR"
"Validation has failed.","Convalida non riuscita."
"Variable Code must be unique.","Il codice variabile deve essere unico."
"Website","Sito Web"
"Website Information","Informazioni sito web"
"Website Name","Nome sito web"
"Website with the same code","Website con lo stesso codice"
"Weekend Days","Giorni del fine settimana"
"Welcome Text","Testo di benvenuto"
"Wrong file info format","Formato di info file errato"
"Wrong number of arguments for %s","Numero argomenti errato per %s"
"Yes","Sì"
