"# of Use","# di utilizzo"
"%1$s incl tax.","%1$s incl tasse."
"%s Item(s)","%s Prodotto/I"
"(Copy data from: %s)","(Copia dati da: %s)"
"Category URL Suffix","Suffisso URL categoria"
"Category attributes API","Attributi categoria API"
"Category move error","Errore spostamento categoria"
"Center","Centro"
"Change","Modifica"
"Change or Retrieve attribute store view","Cambiare o recuperare attributo vista negozio"
"Change status","Cambia stato"
"Check items to add to the cart or","Controlla gli articoli da aggiungere al carrello oppure"
"Choose an Option...","Scegli un'opzione..."
"Clear All","Cancella tutto"
"Clear Price","Pulisci Prezzo"
"Click for price","Clicca per il prezzo"
"Close Window","Chiudi finestra"
"Collapse All","Chiudi Tutto"
"Comma-separated.","Separati da virgole."
"Comparable","Confrontabile"
"Comparable on Front-end","Comparabile sul Front-end"
"Compare","Confronta"
"Compare Products","Confronta Prodotti"
"Conditions Combination","Combinazione di condizioni"
"Configurable Product","Prodotto configurabile"
"Configurable Product Settings","Impostazioni prodotto configurabile"
"Configure Product","Configura prodotto"
"Continue","Continua"
"Copy From Configurable","Copia da configurabile"
"Country/State","Paese"
"Create","Crea"
"Create (Upload)","Crea (caricamento)"
"Create Empty","Crea vuoto"
"Create Permanent Redirect for URLs if URL Key Changed","Creare redirect permanenti per gli URL, se la URL key viene cambiata"
"Create Permanent Redirect for old URL","Crea un Redirect permanente per il vecchio URL"
"Create Product Settings","Crea impostazioni prodotto"
"Create Simple Associated Product","Crea prodotto semplice associato"
"Create new category","Crea nuova categoria"
"Create new product","Crea nuovo prodotto"
"Cross-sells","Prodotti consigliati"
"Custom Design","Design Personalizzato"
"Custom Options","Opzioni personalizzate"
"Customer Group","Gruppo Cliente"
"Customers Reviews","Recensioni dei clienti"
"Customers Tagged Product","Prodotti etichettati dai clienti"
"Data Type for Saving in Database","Tipo di dati per il salvataggio nel Database"
"Date & Time Custom Options","Opzioni personalizzate data e ora"
"Date Fields Order","Ordine campi data"
"Date Subscribed","Data di registrazione"
"Datetime","DateTime"
"Decimal","Decimale"
"Declare attribute value saving scope","Dichiarare il valore dell'attributo del campo di risparmio"
"Default ""What's This"" Text Message","Messaggio di testo predefinito per ""Cos'è questo"""
"Default Popup Text Message","Messaggio predefinito del testo nel Popup"
"Default Price","Prezzo predefinito"
"Default Price Navigation Step","Step di navigazione prezzo predefinito"
"Default Qty","Qtà predefinita"
"Default Values","Valori predefiniti"
"Delete","Elimina"
"Delete Attribute","Elimina l'attributo"
"Delete Attribute Set","Elimina set di attributi"
"Delete Category","Elimina categoria"
"Delete Option","Elimina Opzione"
"Delete Row","Elimina riga"
"Delete Search","Elimina ricerca"
"Delete Selected Group","Elimina Gruppo Selezionato"
"Delete Tier","Elimina fascia"
"Delete category","Elimina categoria"
"Delete product","Elimina prodotto"
"Depends on design theme","Dipende dal tema di design"
"Description","Descrizione"
"Design","Aspetto"
"Details","Dettagli"
"Disabled","Disabilitato"
"Display Actual Price","Mostra il prezzo attuale"
"Display Page Control","Mostra controllo pagina"
"Display Price Interval as One Price","Mostra intervallo di prezzo come prezzo unico"
"Display Product Count","Mostra conteggio prodotti"
"Display Type","Tipo di visualizzazione"
"Display in Suggested Terms","Mostra nei termini suggeriti"
"Double click on a group to rename it","Doppio click su un gruppo per rinominarlo"
"Double click on above image to view full picture","Doppio click sull'immagine per ingrandirla"
"Downloadable Information","Informazioni scaricabile"
"Duplicate","Duplica"
"Duplicate amount found.","Importi duplicati trovati."
"Duplicate website tier price customer group and quantity.","Duplica sito fascia prezzo cliente gruppo e quantità."
"Duplicate website, country and state tax found.","Duplica sito, paese e tasse statali trovate."
"Edit","Modifica"
"Edit Attribute Set '%s'","Modifica set di attributi '%s'"
"Edit Product Attribute","Modifica l'attributo del prodotto"
"Edit Product Attribute ""%s""","Modifica attributo prodotto ""%s"""
"Edit Search","Modifica ricerca"
"Edit Search '%s'","Modifica ricerca '%s'"
"Email to a Friend","Segnala ad un amico"
"Empty","Vuoto"
"Enable MAP","Abilita il MAP"
"Enable Qty Increments","Abilita incrementi qtà"
"Enabled","Abilitato"
"Error during retrieval of option value: %s","Errore durante il recupero delle opzioni del valore: %s"
"Exclude","Escludi"
"Expand All","Mostra Tutto"
"Failed","Fallito"
"Failed to move file: %s","Impossibile spostare file: %s"
"Feature Products","Caratteristica prodotti"
"File upload failed","Caricamento file non riuscito"
"Filter","Filtro"
"Filterable (no results)","Filtrabile (nessun risultato)"
"Filterable (with results)","Filtrabile (con risultati)"
"First Name","Nome"
"Fixed","Fisso"
"For the last time placed.","Per l'ultimo eseguito."
"Frontend Model","Model Frontend"
"Frontend Properties","Proprietà Frontend"
"Gallery","Galleria"
"General Information","Informazioni Generali"
"Get special price","Ottieni prezzo speciale"
"Global","Globale"
"Globally Editable","Modificabile Globalmente"
"Go to Home Page","Vai alla Home Page"
"Grid","Griglia"
"Grouped Product","Prodotti raggruppati"
"Groups","Gruppi"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se non viene specificata una opzione per la vista specifica del negozio verrà utilizzato il valore predefinito (Admin)."
"Image","Immagine"
"Image content is not valid base64 data.","I contenuti dell'immagine non sono validi su dati base64."
"Image type and information need to be specified for each store view.","Tipo immagine e le informazioni necessitano di essere specificata per ogni vista negozio."
"In Cart","Nel carrello"
"In Stock","Disponibile"
"In stock","Disponibile"
"Incl. Tax","Tasse incl."
"Index product prices","Indice prezzi prodotti"
"Indexed category/products association","Associazione categoria/prodotti indicizzato"
"Input Type","Tipo di input"
"Integer","Numero intero"
"Interval Division Limit","Limite divisione intervallo"
"Invalid Tier Prices","Fascia prezzi non valida"
"Invalid attribute %s","Attributo %s NON valido"
"Invalid image type.","Tipo immagine non valido."
"Invalid store specified","Negozio specificato non valido"
"Inventory","Inventario"
"Is Default","È predefinito"
"Is Required","È obbligatorio"
"Items %s to %s of %s total","Articoli da %s a %s di %s totali"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gli articoli che non si desidera mostrare nel catalogo o nei risultati di ricerca deve avere lo stato 'disabilitato' nel negozio desiderato."
"Keep your eyes open for our special Back to School items and save A LOT!","Tieni gli occhi aperti per i nostro speciale Torna A Scuola e risparmierai TANTISSIMO!"
"Label","Etichetta"
"Last Name","Cognome"
"Last Notification","Ultima notifica"
"Layered Navigation","Navigazione a livelli"
"Learn More","Scopri di più"
"Line %d, Email: %s","Riga %d, Email: %s"
"Line %d, SKU: %s","Riga %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Prodotti correlati, Prodotti alternativi, Prodotti consigliati)"
"Link to a Specified Category","Link a una categoria specifica"
"Link to a Specified Product","Link ad un prodotto specifico"
"List","Lista"
"List Mode","Modalità elenco"
"List of Products that are set as New","Elenco dei prodotti che vengono impostati come Nuovi"
"Manage Attribute Sets","Gestione dei Gruppi di attributi"
"Manage Attributes","Gestisci attributi"
"Manage Catalog Categories","Gestisci le categorie del catalogo"
"Manage Categories","Gestisci le Categorie"
"Manage Label / Options","Gestisci Etichette / Opzioni"
"Manage Options (values of your attribute)","Gestisci opzioni (valore del tuo attributo)"
"Manage Product Attributes","Gestisci gli attributi prodotto"
"Manage Product Sets","Gestisci i Set Prodotto"
"Manage Products","Gestisci prodotti"
"Manage Stock","Gestisci scorte"
"Manage Titles (Size, Color, etc.)","Gestisci titoli (dimensione, colori, ecc.)"
"Max Characters","Numero massimo caratteri"
"Maximal Depth","Profondità massima"
"Maximum Image Size","Dimensione massima dell'immagine"
"Maximum Number of Price Intervals","Numero massimo di intervalli di prezzo"
"Maximum Qty Allowed in Shopping Cart","Qtà massima consentita nel carrello"
"Maximum image height","Altezza massima dell'immagine"
"Maximum image width","Larghezza massima dell'immagine"
"Maximum number of characters:","Numero massimo di caratteri:"
"Maximum number of price intervals is 100","Il numero massimo di intervalli di prezzo è di 100"
"Media Image","Immagine media"
"Minimum Advertised Price","Prezzo Minimo Pubblicizzato"
"Minimum Qty Allowed in Shopping Cart","Qtà minima consentita nel carrello"
"Minimum Qty for Item's Status to be Out of Stock","Qtà minima dello stato dell'articolo per essere non disponibile"
"More Views","Altre viste"
"Move","Sposta"
"Move category in tree","Sposta in albero categoria"
"My Account","Il mio Account"
"N/A","N/D"
"Name","Nome"
"New Product","Nuovo prodotto"
"New Product Attribute","Nuovo Attributo prodotto"
"New Products","Nuovi prodotti"
"New Products Grid Template","Template griglia nuovi prodotti"
"New Products List Template","Template elenco nuovi prodotti"
"New Search","Nuova ricerca"
"New Set Name","Nome Nuovo Set"
"New products","Nuovi prodotti"
"Next","Successivo"
"No image","Nessuna immagine"
"No layout updates","Nessun aggiornamento del layout"
"No options of this product are available.","Nessuna opzione di questo prodotto è disponibile."
"None","Nessuno"
"Not Visible Individually","Non visibile singolarmente"
"Notify Low Stock RSS","Notifica RSS per scarsa disponibilità"
"Notify for Quantity Below","Notifica per quantità inferiore"
"Number of Products per Page","Numero di prodotti per pagina"
"Number of Products to Display","Numero di prodotti da visualizzare"
"Number of Uses","Numero di utilizzi"
"Number of results","Numero di risultati"
"Number of results (For the last time placed)","Numero di risultati (per ultimo inserito)"
"OR","O"
"Old Price:","Prezzo precedente:"
"On Gesture","Con Gesture"
"Option:","Opzione:"
"Options","Opzioni"
"Options Control","Controllo opzioni"
"Options is required","Opzioni è richiesto"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Il nostro servizio clienti è disponibile 24/7. Call us at (555) 555-0123."
"Out of Stock","Non Disponibile"
"Out of stock","Non Disponibile"
"Page Title Separator","Separatore titolo pagina"
"Parent Category","Categoria genitore"
"Pending","In attesa"
"Pending Reviews RSS","RSS Recensioni in sospeso"
"Percentage","Percentuale"
"Please add rows to option.","Aggiungi righe all'opzione."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Fai attenzione ogni volta che clicchi sulla riga saranno caricati i moduli dei dati pacchetto dal file selezionato e tutti i moduli dati non salvati andranno persi."
"Please enter a new group name","Inserire un nuovo nome gruppo"
"Please select one or more attributes.","Selezionare uno o più attributi."
"Please select products for attributes update","Selezionare prodotti per l'aggiornamento attributi"
"Please specify date required option(s).","Specifica le opzioni obbligatorie della data."
"Please specify the number of products, that will not be divided into subintervals.","Specifica il numero di prodotti che non sarà diviso in intervalli minori."
"Please specify the product required option(s)","Specificare le opzioni del prodotto."
"Please specify the quantity of product(s).","Specifica la quantità di prodotto(i)."
"Please specify time required option(s).","Specifica le opzioni obbligatorie dell'ora."
"Please wait...","Attendere..."
"Position","Posizione"
"Position in Layered Navigation","Posizione nella navigazione a livelli"
"Position of attribute in layered navigation block","Posizione dell'attributo nel blocco navigazione a livelli"
"Prev","Prec"
"Previous","Precedente"
"Price","Prezzo"
"Price Navigation Step Calculation","Calcolo step navigazione per prezzo"
"Price Type","Tipo di prezzo"
"Price values for options should be specified in system base currency.","I valori dei prezzi per le opzioni dovrebbero essere specificati nella valuta corrente di sistema."
"Price:","Prezzo:"
"Print This Page","Stampa questa pagina"
"Product","Prodotto"
"Product API","API prodotto"
"Product Alerts","Avvisi prodotto"
"Product Attribute","Attributo Prodotto"
"Product Attributes","Attributi prodotto"
"Product Categories","Categorie di prodotto"
"Product Description","Descrizione prodotto"
"Product Flat Data","Dati Prodotto Flat"
"Product ID","ID prodotto"
"Product Image Placeholders","Placeholders Immagini prodotto"
"Product Image Watermarks","Filigrana Immagine Prodotto"
"Product Images","Immagini prodotto"
"Product Images API","API immagini prodotto"
"Product In Websites","Prodotto In siti Web"
"Product Info Column","Colonna informazioni prodotto"
"Product Information","Informazioni prodotto"
"Product Link Block Template","Template blocco link prodotto"
"Product Link Inline Template","Template inline link prodotto"
"Product Listing Sort by","Ordinamento Prodotti"
"Product Name","Nome prodotto"
"Product Reviews","Recensioni prodotti"
"Product Tags","Tag prodotto"
"Product Tier Price API","API fascia prezzo prodotto"
"Product Type","Tipo prodotto"
"Product URL Suffix","Suffisso URL prodotto"
"Product attribute sets API","API set attributi prodotto"
"Product attributes API","API attributi prodotto"
"Product is not loaded","Il prodotto non è stato caricato"
"Product links API (related, cross sells, up sells)","Link API prodotto (prodotti correlati, prodotti consigliati, prodotti alternativi)"
"Product types API","API tipi prodotto"
"Product with this combination of attributes already associated to configurable.","Un prodotto con questa combinazione di attributi è già assocciato a configurabile."
"Products","Prodotti"
"Products Comparison List","Lista di confronto prodotti"
"Products Information","Informazioni prodotti"
"Products Reviews","Recensioni prodotti"
"Products Sitemap","Sitemap prodotti"
"Products only","Solo prodotti"
"Products per Page on Grid Allowed Values","Prodotti per pagina nei valori permessi della griglia"
"Products per Page on Grid Default Value","Prodotti per pagina nel valore predefinito della griglia"
"Products per Page on List Allowed Values","Prodotti per pagina nei valori permessi dell'elenco"
"Products per Page on List Default Value","Prodotti per pagina nel valore predefinito dell'elenco"
"Properties","Proprietà"
"Qty","Qtà"
"Qty Increments","Incrementi qtà"
"Qty Uses Decimals","Qtà utilizza decimali"
"Qty:","Qtà:"
"Quantity","Quantità"
"Quick Create","Creazione veloce"
"Quick Overview","Panoramica veloce"
"Quick simple product creation","Creazione veloce prodotti semplici"
"Redirect","Reindirizzamento"
"Redirect URL","URL di Reindirizzamento"
"Regular Price:","Prezzo di listino:"
"Related Products","Prodotti correlati"
"Remove","Elimina"
"Remove Product From Websites","Rimuovi il prodotto dai siti Web"
"Remove This Item","Rimuovi questo articolo"
"Remove product assignment","Rimuovere assegnazione prodotto"
"Remove product image","Rimuovere immagine prodotto"
"Remove product link","Rimuovere link prodotto"
"Reorganize EAV category structure to flat structure","Riorganizza struttura categorie EAV in una struttura flat"
"Reorganize EAV product structure to flat structure","Riorganizza struttura prodotti EAV in una struttura flat"
"Reset","Reimposta"
"Results","Risultati"
"Retrieve attribute data","Recupera dati attributo"
"Retrieve attribute list","Recupera lista attributo"
"Retrieve attribute options","Recupera opzioni attributi"
"Retrieve categories tree","Recupera albero categorie"
"Retrieve category attributes","Recupera categoria attributi"
"Retrieve category data","Recupera i dati delle categorie"
"Retrieve hierarchical tree","Recupera gerarchia ad albero"
"Retrieve linked products","Recupera prodotti collegati"
"Retrieve list of assigned products","Recupera elenco prodotti assegnati"
"Retrieve one level of categories by website/store view/parent category","Recupera un livello di categorie dal sito web/negozio vista/categoria genitore"
"Retrieve product","Recupera prodotto"
"Retrieve product attribute sets","Recupera set attributi prodotto"
"Retrieve product image","Recupera immagine prodotto"
"Retrieve product image list","Recupera lista immagini prodotto"
"Retrieve product image types","Recupera tipi immagine prodotto"
"Retrieve product link type attributes","Recuoera tipo attributi collegati al prodotto"
"Retrieve product link types","Recupera tipi collegamenti al prodotto"
"Retrieve product tier prices","Recupera fasce prezzi prodotto"
"Retrieve product types","Recupera tipi prodotto"
"Retrieve products data","Recupera dati prodotto"
"Retrieve products list by filters","Recupera lista prodotti con filtri"
"Reviews","Recensioni"
"Roll Over for preview","Passa sopra per l'anteprima"
"Root","Radice"
"SKU","Cod.Art."
"Save","Salva"
"Save Attribute","Salva Attributo"
"Save Attribute Set","Salva set attributi"
"Save Category","Salva categoria"
"Save Search","Salva ricerca"
"Save and Continue Edit","Salva e continua modifica"
"Scope","Ambito di applicazione"
"Scope must not be changed, because the attribute is used in configurable products.","Campo non cambiato, perché l'attributo è usato nei prodotti configurabili."
"Search","Cerca"
"Search Engine Optimizations","Ottimizzazione motore di ricerca"
"Search Information","Ricerca informazioni"
"Search Query","Query di ricerca"
"Search Weight","Peso di ricerca"
"Searchable","Ricercabile"
"See price before order confirmation.","Vedere il prezzo prima della conferma dell'ordine."
"Select Category...","Seleziona la categoria..."
"Select Configurable Attributes ","Selezioni attributi configurabili"
"Select Product...","Seleziona il prodotto..."
"Select type of option","Seleziona tipo di opzione"
"Select type options required values rows.","Seleziona le righe dei valori di tipo di opzioni richiesti."
"Selected Product Types","Tipi prodotto selezionati"
"Send Count","Invia totale"
"Set Ascending Direction","Imposta la direzione crescente"
"Set Descending Direction","Imposta la direzione decrescente"
"Set Name","Imposta nome"
"Set root category for this store in the <a href=""%s"">configuration</a>","Imposta la categoria di root per questo negozio nella <a href=""%s"">configurazione</a>"
"Set special price","Imposta prezzo speciale"
"Set/Get current store view","Imposta/Ottieni vista corrente negozio"
"Settings","Impostazioni"
"Shop By","Naviga per"
"Shopping Options","Opzioni"
"Show","Mostra"
"Show Details","Mostra dettagli"
"Show Tags","Mostra i Tag"
"Simple Product","Prodotto semplice"
"Site Map","Site map"
"Skip import row, is not valid value ""%s"" for field ""%s""","Salta riga importata, non è un valore valido ""%s"" per il campo ""%s"""
"Some of the selected item options are not currently available.","Alcune delle opzioni dell'oggetto selezionate non sono al momento disponibili."
"Sort By","Ordina per"
"Sort Order","Ordinamento"
"Source Model","Model sorgente"
"Special Price:","Prezzo speciale:"
"Starting at:","A partire da:"
"Static","Statico"
"Static block and products","Prodotti e blocco statico"
"Static block only","Solo blocco statico"
"Status","Stato"
"Stock Availability","Disponibilità"
"Store","Negozio"
"Store View","Vista Negozio"
"Stretch","Stira"
"Subscribe to RSS Feed","Iscriviti al Feed RSS"
"Super product attributes configuration","Configurazione attributi super prodotti"
"Synonym For","Sinonimo di"
"System Properties","Proprietà di sistema"
"Tag Name","Nome Tag"
"Tax","Tassa"
"Text","Testo"
"The base directory to upload file is not specified.","La directory di base per caricare file non è specificata."
"The review was removed by another user or does not exist.","La recensione è stata rimossa da un altro utente o non esiste."
"There are no %s available.","Non ci sono %s disponobili."
"There are no customers for this alert","Non ci sono clienti per questo avviso"
"There are no customers for this alert.","Non ci sono clienti per questo avviso."
"There are no products matching the selection.","Non ci sono prodotti corrispondenti alla selezione."
"This attribute cannot be edited.","Questo attributo non può essere modificato."
"This attribute is used in configurable products.","Questo attributo è utilizzato nei prodotti configurabili."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Questo attributo viene utilizzato nei prodotti configurabili. Non è possibile rimuoverlo dal set di attributi."
"This attribute no longer exists","Questo attributo non esiste più"
"This attribute set no longer exists.","Questo Gruppo di attributi non esiste più."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Questo gruppo contiene degli attributi utilizzati nei prodotti configurabili. Sposta questi attributi in un altro gruppo e prova di nuovo."
"This group contains system attributes. Please move system attributes to another group and try again.","Questo gruppo contiene degli attributi di sistema. Spostare gli attributi di sistema in un altro gruppo e riprovare."
"This is a required option","un opzione richiesta"
"This search no longer exists.","Questa ricerca non esiste più."
"This setting will be applied when all prices in the specific price interval are equal.","Questa impostazione verrà applicata quando tutti i prezzi nell'intervallo prezzo specifico saranno uguali."
"Tier Pricing","Fascia di prezzo"
"Tile","Affianca"
"Time Format","Formato Ora"
"Title","Titolo"
"To see product price, add this item to your cart. You can always remove it later.","Per visualizzare il prezzo del prodotto aggiungilo al tuo carrello. Lo puoi rimuovere più tardi."
"Top/Left","In alto a sinistra"
"Top/Right","In alto a destra"
"Total Qty Base Items","Qtà totale articoli di base"
"Total incl. Tax: %1$s","Totale incl. Tasse: %1$s"
"Type","Tipo"
"URL Rewrite Management","Gestione URL rewrite"
"Unassigned Attributes","Attributi non assegnati"
"Up-sells","Prodotti alternativi"
"Update","Aggiorna"
"Update Attributes","Aggiorna gli attributi"
"Update Tier Price","Aggiorna fascia prezzo"
"Update assigned product","Aggiorna prodotto assegnato"
"Update attributes","Aggiorna gli attributi"
"Update category","Aggiorna categoria"
"Update product","Aggiorna prodotto"
"Update product image","Aggiorna immagine prodotto"
"Update product link","Aggiorna link prodotto"
"Update product tier prices","Aggionra livello prezzi prodotto"
"Upload new product image ","Carica una nuova immagine prodotto"
"Use Canonical Link Meta Tag For Categories","Utilizza il Meta Tag Link canonico per le categorie"
"Use Canonical Link Meta Tag For Products","Utilizza il Meta Tag Link canonico per i prodotti"
"Use Categories Path for Product URLs","Usa il percorso categoria per le URL prodotto"
"Use Config Settings","Utilizzare le impostazioni di configurazione"
"Use Default Value","Usa il valore predefinito"
"Use Flat Catalog Category","Usa le categorie di catalogo flat"
"Use Flat Catalog Product","Usa i prodotti di catalogo flat"
"Use In Layered Navigation","Usa nella navigazione a livelli"
"Use In Search Results Layered Navigation","Usa nei risultati di ricerca navigazione a livelli"
"Use JavaScript Calendar","Utilizza il calendario JavaScript"
"Use To Create Configurable Product","Usa per creare prodotti configurabili"
"Use Tree Like Category Sitemap","Usa categorie sitemap stile ad albero"
"Use config","Utilizzare config"
"Use default","Usa predefinito"
"Use for Promo Rule Conditions","Usa per le condizioni delle regole promozionali"
"Use in Layered Navigation","Usa nella navigazione a livelli"
"Used for Sorting in Product Listing","Utilizzato per l'ordinamento nella lista prodotti"
"Used in Product Listing","Usato per la lista prodotti"
"View Details","Visualizza dettagli"
"View as","Mostra come"
"Virtual Product","Prodotto virtuale"
"Visibility","Visibilità"
"Visible","Visibile"
"Visible on Catalog Pages on Front-end","Visibile nelle pagine del catalogo nel Front-end"
"Visible on Product View Page on Front-end","Visibile sulla pagina prodotto sul Front-end"
"WYSIWYG Editor","Editor WYSIWYG"
"Watermark","Filigrana"
"Watermark Default Size","Dimensione predefinita Watermark"
"Watermark Position","Posizione Watermark"
"We Also Recommend","Consigliamo anche"
"Website","Sito Web"
"Websites","Website"
"What's this?","Cos'è questo?"
"Wrong option type to get group instance.","Tipo opzioni errata per ottenere istanza gruppo."
"Year Range","Intervallo di anni"
"Yes","Sì"
"You cannot remove system attribute from this set.","Non puoi rimuovere l'attributo di sistema da questo set di attributi."
"You have no items to compare.","Non ci sono articoli da confrontare."
"You may also be interested in the following product(s)","Potresti essere interessato al seguente prodotto/i"
"You saved the search term.","Hai salvato il termine di ricerca."
"Zoom In","Ingrandisci"
"Zoom Out","Diminuisci"
"and","e"
"and above","e sopra"
"categories","categorie"
"each","ognuno"
"ex. http://domain.com","es. http://dominio.com"
"leave blank if its not an image","lasciare bianco se non è un immagine"
"per page","per pagina"
"products","prodotti"
"save","salva"
"select all","seleziona tutto"
"unselect all","deseleziona tutti"
