"(Excl. Tax)","(IVA esclusa)"
"Select a billing address from your address book or enter a new address.","Seleziona un indirizzo di fatturazione dalla tua rubrica o inserisci un nuovo indirizzo."
"Select a shipping address from your address book or enter a new address.","Seleziona un indirizzo di spedizione dalla rubrica oppure inserisci un nuovo indirizzo."
"Send Payment Failed Email Copy Method","Metodo Invio copia Email pagamento non riuscito"
"Send Payment Failed Email Copy To","Invia Email pagamento non riuscito in copia a"
"Send To","Invia a"
"Separate by "","".","Separati da "",""."
"Ship to Multiple Addresses","Spedisci a indirizzi diversi"
"Ship to different address","Spedisci ad un indirizzo diverso"
"Ship to this address","Spedisci a questo indirizzo"
"Shipping Address","Indirizzo di Spedizione"
"Shipping Information","Informazioni di spedizione"
"Shipping Method","Metodo di Spedizione"
"Shipping Methods","Metodi di Spedizione"
"Shipping To","Spedire a"
"Shipping method has not been selected yet","Il metodo di spedizione non è stato ancora selezionato"
"Shopping Cart","Carrello"
"Shopping Cart Sidebar","Sidebar carrello"
"Shopping Cart is Empty","Il carrello è vuoto"
"Show Content as","Visualizzare il contenuto come"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Spiacente, il checkout per gli ospiti non è possibile. Riprova più tardi o contatta il proprietario del negozio."
"Sorry, no quotes are available for this order at this time.","Ci dispiace, non è disponibile nessun preventivo per questo ordine al momento."
"State/Province","Provincia/Regione"
"Status","Stato"
"Store View","Vista Negozio"
"Street Address","Indirizzo"
"Submitting order information...","Invio nformazioni ordine..."
"Subtotal","Subtotale"
"Telephone","Telefono"
"Terms and Conditions Information","Informazioni termini e condizioni"
"Terms and conditions","Termini e condizioni"
"Text","Testo"
"Thank you for your purchase!","Grazie per il tuo acquisto!"
"The product does not exist.","Il prodotto non esiste."
"There was an error processing your order. Please contact us or try again later.","Si è verificato un errore durante l'elaborazione del tuo ordine. Contattaci o prova di nuovo più tardi."
"This condition no longer exists.","Questa condizione non esiste più."
"Total","Totale"
"Total for this address","Totale per questo indirizzo"
"Unit Price","Prezzo unitario"
"Update","Aggiorna"
"Update Cart","Aggiorna Carrello"
"Update Qty &amp; Addresses","Aggiornamento Qtà e indirizzi"
"Update Shopping Cart","Aggiorna Carrello"
"Update Total","Aggiorna totale"
"Use Billing Address","Utilizza indirizzo di fatturazione"
"VAT Number","Partita Iva"
"View Shopping Cart","Mostra carrello"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Stiamo elaborando il tuo ordine a breve riceverai un email con i dettagli dell'ordine. Una volta che l'ordine sarà spedito riceverai un altra email con il link per seguirne i progressi."
"What's this?","Cos'è questo?"
"You have no items in your shopping cart.","Non ci sono articoli nel tuo carrello."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Riceverai una conferma dell'ordine via email con i dettagli del tuo ordine e il link per seguirne i progressi."
"Your Checkout Progress","I tuoi progressi Checkout"
"Your order number is ","Il tuo numero d'ordine è"
"Zip/Postal Code","CAP"
"or","o"
