" [deleted]"," [删除]"
"CMS","CMS页面链接内联摸板"
"CRITICAL","关键性的"
"CSV","Excel XML"
"CSV / Tab separated","CSV /Tab分隔"
"Cache Control","缓存管理"
"Cache Control (beta)","缓存管理（beta）"
"Cache Management","缓存管理"
"Cache Type","缓存类型"
"Cancel","取消"
"Cannot add new comment.","不能添加新的注释。"
"Cannot add tracking number.","不能添加跟踪号码。"
"Cannot do shipment for the order separately from invoice.","发票不能做为订单装运。"
"Cannot do shipment for the order.","不能做为订单装运。"
"Cannot save shipment.","无法保存装运。"
"Cannot send shipment information.","不能发送装运信息。"
"Cannot update item quantity.","无法更新商品数量。"
"Card Verification Number","信用卡验证号码"
"Catalog","目录"
"Catalog Price Rules","目录价格规则。"
"Catalog Rewrites","目录编辑"
"Categories","分类"
"Category","类别"
"Category:","类别:"
"Checkbox","复选框"
"Child Transactions","儿童交易"
"Choose Store View:","选择商店界面:"
"Choose an attribute","选择一个属性"
"Clear","清空"
"Close","关闭"
"Code","代码"
"Complete","完成"
"Config form fieldset clone model required to be able to clone fields","配置表单fieldset克隆模型，以便能够克隆字段"
"Configuration","设置"
"Confirm New Password","确认新密码"
"Confirmed email:","已确认的电子邮件:"
"Continue","继续"
"Convert to Plain Text","转换为纯文本"
"Cookie (unsafe)","Cookie (不安全)"
"Country","国家"
"Country:","国家:"
"Coupons","优惠券"
"Create","创建"
"Create DB Backup","创建数据库备份"
"Create New Attribute","创建新的属性"
"Created At","创建于"
"Credit Card Number","信用卡卡号"
"Credit Card Number: xxxx-%s","信用卡号： xxxx-%s"
"Credit Card Type","卡片验证号码"
"Credit Card Type: %s","信用卡类型： %s"
"Credit Memo History","信贷备注历史"
"Credit Memo Totals","贷方备忘录合计"
"Credit Memos","PDF运单"
"Currency","货币"
"Currency Information","货币信息"
"Current Configuration Scope:","当前的配置作用域:"
"Current Month","当月"
"Custom","自定义"
"Custom Variables","自定义变量"
"Customer","客户"
"Customer Group:","客户组"
"Customer Groups","客户组"
"Customer Name","客户名称"
"Customer Reviews","客户评论"
"Customer Shopping Carts","客户购物车"
"Customer Since:","顾客加入日期："
"Customer Tax Classes","客户税类"
"Customer with the same email already exists.","同一电邮地址的顾客已经存在。"
"Customers","客户"
"Customers by Number of Orders","客户订单号"
"Customers by Orders Total","客户的订单总数"
"DHTML Date/Time Selector","DHTML 时间/T日期选择"
"Dashboard","控制面板"
"Data Format","数据格式"
"Data transfer:","数据传输："
"Database","数据库"
"Date","日期"
"Date & Time","日期和时间"
"Date Added","日期已添加"
"Date Updated","更新的日期"
"Date selection:","日期选择："
"Date selector","日期选择"
"Day","天"
"Debug","调试"
"Decimal separator:","小数分割符"
"Default (Admin) Values","默认管理（Admin）值"
"Default Billing Address","创建帐号"
"Default Config","默认配置"
"Default Template from Locale","本地化的默认模版"
"Default Values","默认值"
"Default scope","默认范围"
"Delete","删除"
"Delete %s","删除 %s"
"Delete %s '%s'","删除%s '%s'"
"Delete Block","删除模块"
"Delete File","删除文件"
"Delete Image","全尺寸视图"
"Delete Profile","删除用户"
"Delete Role","未锁定"
"Delete Store","删除店铺"
"Delete Store View","删除店铺视图"
"Delete Template","删除模板"
"Delete User","删除用户"
"Delete Website","删除网站"
"Description","描述"
"Design","设计"
"Details","详情"
"Direction:","方向："
"Disable","禁用"
"Disabled","禁用"
"Display %s first","先显示%s"
"Display default currency","显示默认货币"
"Distributed under GNU LGPL. See %s for details.","发布为GNU LGPL执照。 查看%s详情。"
"Do you really want to KILL parallel process and start new indexing process?","您确定要终止同步操作并重新启动新的检索操作？"
"Download","下载"
"Downloads","下载附件"
"Drag to move","拖动"
"Drop-down","下拉"
"Edit","编辑"
"Edit Block","编辑模块"
"Edit Block '%s'","编辑区块：'%s'"
"Edit Design Change","编辑设计更改"
"Edit Email Template","编辑电子邮件模板"
"Edit Order","编辑订单"
"Edit Poll","编辑问卷"
"Edit Queue","编辑队列"
"Edit Review","编辑审阅"
"Edit Role","编辑角色"
"Edit Store View","编辑店铺视图"
"Edit System Template","编辑系统模板"
"Edit Template","编辑模板"
"Edit URL Rewrite","编辑 URL 重写"
"Edit User","编辑用户"
"Edit User '%s'","编辑用户'%s'"
"Edit Website","编辑网站"
"Email","邮箱"
"Email Address:","电子邮件地址︰"
"Email to a Friend","推荐给朋友"
"Email:","邮箱："
"Enable","启用"
"Enabled","启动"
"Enclose Values In:","附此值于："
"Entity Attributes","实体属性"
"Entity Type","实体类型"
"Entity type:","实体类型:"
"Error","错误"
"Excel XML","XML Excel"
"Excl. Tax","不含税"
"Excl. Tax:","不含税:"
"Exclude media folder from backup","从备份中排除媒体文件夹"
"Expiration Date","过期日期"
"Expiration Date: %s/%s","有效期： %s/%s"
"Export","导出"
"Export CSV","导出 CSV"
"Export Filters","导出过滤器"
"Export to:","导出到："
"Export:","导出："
"FTP Host","FTP 主机"
"FTP Host[:Port]","FTP 主机 [: 端口]"
"FTP Login","FTP 登录"
"FTP Password","FTP 密码"
"FTP credentials","FTP 凭据"
"Failed","失败"
"Field","行（栏）"
"Field Mapping","映射（Mapping）行"
"File","文件"
"File Information","文件信息"
"File System","文件系统"
"File name:","文件名"
"File size should be more than 0 bytes","文件大小必须大于0字节。"
"Finished profile execution.","完成执行户口信息"
"First Invoice Created Date","第一张发票，创建日期"
"First Name","名"
"First Name:","名"
"Fixed","百分之"
"Flush Catalog Images Cache","刷新目录图片缓存"
"Flush JavaScript/CSS Cache","刷新 JavaScript 和 CSS 缓存"
"For category","用于分类"
"For latest version visit: %s","最新版本，请访问： %s"
"For product","商品"
"Forgot your password?","您忘记密码了吗?"
"Forgot your user name or password?","忘记您的用户名和密码了？"
"From","从"
"General Information","常规信息"
"Get Image Base64","获取图片 Base64"
"Get help for this page","查看本页面的帮助"
"Global Attribute","全站属性"
"Global Record Search","全站记录搜寻"
"Global Search","全局搜索"
"Go Today","今天去"
"Go to Top","转到顶部"
"Grand Total","总额"
"Grid (default) / List","网格 (默认值) / 列表"
"Grid Only","仅限于网格"
"Group:","组别："
"Guest","访客"
"HTTP (unsecure)","HTTP (不安全)"
"Home","首页"
"ID","编号ID"
"ID Path","ID路径"
"IP Address","IP 地址"
"IPN (Instant Payment Notification) Only","IPN (即时付款通知) 只"
"Id","ID"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","如一商店不指定一个选项，那么默认的（管理）值将被使用。"
"Images (.gif, .jpg, .png)","图像 （.gif、.jpg、.png）"
"Images Cache","图片缓存"
"Import","导入"
"Import Service","导入服务"
"Import and Export Tax Rates","导出税率"
"Import/Export","导入/导出"
"Import/Export Advanced","高级导入 / 导出"
"Import/Export Profile","导入 / 导出信息设置"
"Important: ","重要:"
"Imported <strong>%s</strong> records","已导入<strong>%s</strong>的记录"
"In","在"
"In Database:","在数据库："
"In File:","在文件里："
"Inactive","未激活"
"Incl. Tax","含。税"
"Incl. Tax:","含税:"
"Incoming Message","收到消息"
"Insert Variable...","插入变量…"
"Interactive","交互式"
"Interface Locale: %s","本地化界面：%s"
"Invalid Form Key. Please refresh the page.","无效的表单密钥。请刷新此页面。"
"Invalid Import Service Specified","无效的被指定导入服务。"
"Invalid Secret Key. Please refresh the page.","无效的密码钥匙。请刷新此页。"
"Invalid data","无效的数据"
"Invalid directory: %s","无效的目录%s"
"Invalid file: %s","无效文件： %s"
"Invalid input data for %s => %s rate","无效的输入数据 %s => %s率"
"Invalid parent block for this block","此块的无效的父块"
"Invalidated","无效"
"Inventory Stock Status","库存状态。"
"Invoice #%s comment added","#%s发票备注添加于"
"Invoice #%s created","#%s发票已创建"
"Invoice History","发票历史"
"Invoice Totals","发票合计"
"Invoices","发票"
"Is Closed","关闭"
"Is Default","为默认值"
"Issue Number","发行号"
"Items","产品"
"JavaScript seems to be disabled in your browser.","JavaScript 似乎在您的浏览器中被禁用。"
"JavaScript/CSS","JavaScript 和 CSS"
"JavaScript/CSS Cache","JavaScript 和 CSS 缓存"
"Kb","字节"
"Last 24 Hours","最近 24 小时"
"Last 5 Orders","最新的5个订单"
"Last 5 Search Terms","最新的5个搜索关键词"
"Last 7 Days","最近 7 天"
"Last Credit Memo Created Date","最后创建的日期的贷项通知单"
"Last Invoice Created Date","最后发票创建的日期"
"Last Logged In (%s):","最新的登录（%s）:"
"Last Logged In:","上次登录:"
"Last Name","姓"
"Last Name:","姓氏："
"Latest Message:","最新信息："
"Layered Navigation Indices","分层导航索引"
"Leave empty to use tax identifier","留空，使用税率标识符"
"Lifetime Sales","销售总额"
"Links","链接"
"List (default) / Grid","列表 (默认值) / 网格"
"List Only","只有列表"
"Load Template","加载模板"
"Load default template","加载默认模版"
"Loading...","正在加载..."
"Local Server","本地服务器"
"Local/Remote Server","本地/远程服务器"
"Locale","区域"
"Log In","登录"
"Log Out","退出"
"Log in to Admin Panel","登录到后台管理面板"
"Logged in as %s","登录为%s"
"Login","登录"
"Low Stock","低库存"
"MAJOR","重要"
"MINOR","次要"
"MS Excel XML","微软 Excel XML"
"OpenMage Admin","OpenMage 管理员"
"Magento Logo","OpenMage 标志"
"Magento root directory","OpenMage 根目录"
"Manage Attribute Sets","管理属性集"
"Manage Attributes","属性管理"
"Manage Categories","管理类别"
"Manage Currency Rates","管理汇率"
"Manage Customers","客户管理"
"Manage Ratings","管理评级"
"Manage Stores","管理存储"
"Manage Tax Rules","管理税收规则"
"Manage Titles (Size, Color, etc.)","管理标题 (大小、 颜色等)"
"Manual","手动"
"Maximum sender name length is 255. Please correct your settings.","最大发件人名称长度是 255。请更正您的设置。"
"Media (.avi, .flv, .swf)","媒体 (.avi、.flv，.swf)"
"Messages Inbox","消息收件箱"
"Month","月"
"Most Viewed","最多观看次数"
"Most Viewed Products","浏览最多的产品"
"Multiple Select","多选"
"My Account","我的账户"
"N/A","无"
"NOTICE","公告"
"Name","名字"
"Name on Card","信用卡上的名字"
"Name on the Card: %s","信用卡上的名字：%s"
"Name:","名字："
"Never (production)","从来没有 (生产)"
"New ","新建"
"New Accounts","新帐户"
"New Attribute","新的属性"
"New Block","新的模块"
"New Category","新的类别"
"New Class","新税种"
"New Condition","新的条件"
"New Custom Variable","新的自定义变量"
"New Customer","新用户"
"New Customers","请在该字段中输入大于或等于1的数字"
"New Design Change","修改新设计"
"New Email Template","新电子邮件模板"
"New Group","新组"
"New Invoice","新发票"
"New Item Type","新商品类型"
"New Memo","新备忘录"
"New Page","新页面"
"New Password","新密码"
"New Poll","新问卷"
"New Profile","新用户信息"
"New Rating","新的评分"
"New Review","新的审查"
"New Role","新建角色"
"New Rule","新规则"
"New Search","新的搜索"
"New Set","新集"
"New Shipment","新的装运"
"New Sitemap","新网站地图"
"New Store View","新的店铺视图"
"New System Template","新系统模板"
"New Tag","新标签"
"New Template","新建模板"
"New User","新增用户"
"New Website","新网站"
"Newsletter","最新资讯"
"Newsletter Queue","通讯队列"
"Newsletter Subscribers","时事通讯订阅服务器"
"Newsletter Templates","邮件列表订阅者"
"Next month (hold for menu)","下个月（点击鼠标直到菜单出现）"
"Next year (hold for menu)","明年（点击鼠标直到菜单出现）"
"No","否"
"No (price without tax)","没有 (不含税的价格)"
"No Data","没有数据"
"No Data Found","找不到数据"
"No Templates Found","没有找到模板"
"No change","没有变化"
"No profile loaded...","没用户信息被加载..."
"No records found for this period.","找不到这阶段的记录"
"No records found.","找不到记录。"
"No search keywords.","没搜索词汇"
"No search modules were registered","没有注册的搜索模块"
"None","无"
"Note:","注意:"
"Notes","注意"
"Notifications","通知消息"
"Number of Orders","订单数"
"Number of Uses","使用次数"
"Number of Views","查看次数"
"Number of records:","记录次数"
"OK","确定"
"Old rate:","旧率:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","一旦你登录到您的 PayPal 高级帐户、 导航到服务设置-主办结帐页面-设置菜单和设置选项如下所述"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","一旦你登录到您的 PayPal 转账链接帐户、 导航到服务设置-主办结帐页面-设置菜单和设置选项如下所述"
"Online Customers","在线客户"
"Only Once (version upgrade)","只有一次 (版本升级)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","仅""全站""属性、输入类型""下拉菜单""和用于创建可配置商品""是""才可用。"
"Only mapped fields","仅映射（mapped）行。"
"Optional","可选"
"Options","选项"
"Options is required","必填选项"
"Order","订单"
"Order #%s","订单#%s"
"Order #%s (%s)","订单#%s（%s）"
"Order ID","订单 ID"
"Order Totals","订单合计"
"Orders","订单"
"Original Magento attribute names in first row:","OpenMage原有属性名为第一栏"
"Out of stock","缺货"
"Pages","页面"
"Parent Product Thumbnail","父级产品缩略图"
"Parent Transaction ID","父事务 ID"
"Passive mode","被动模式"
"Password","密码"
"Password Confirmation","密码确认"
"Password:","密码:"
"Path:","路径："
"Pending Reviews","待定评论"
"Pending Tags","待审标签"
"Per Item","每个项目"
"Per Order","每个订单"
"Percent","%"
"Performed At","演示于"
"Period","期间"
"Permanent (301)","常驻 (301)"
"Permissions","权限"
"Personal Information","个人信息"
"Phone:","电话："
"Please Select","请选择"
"Please confirm site switching. All data that hasn't been saved will be lost.","请确认站点切换。尚未保存的所有数据将都会丢失。"
"Please enter 6 or more characters.","请输入6或更长字母。"
"Please enter a number greater than 0 in this field.","请在此字段中输入大于 0 的数字。"
"Please enter a valid $ amount. For example $100.00.","请输入有效的美元金额。例如 100.00 美元。"
"Please enter a valid URL. For example http://www.example.com or www.example.com","请输入有效的URL。例如：http://www.example.com 或 www.example.com"
"Please enter a valid URL. http:// is required","请输入有效的URL。http://为必填项。"
"Please enter a valid credit card number.","请输入有效的信用卡号码。"
"Please enter a valid date.","请输入一个有效的日期。"
"Please enter a valid email address. For example johndoe@domain.com.","请输入有效的电邮，例如johndoe@domain.com."
"Please enter a valid email.","请输入有效的邮箱地址"
"Please enter a valid number in this field.","请在此字段中输入一个有效的数字。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","请输入有效的电话号码。例如 (123) 456-7890 或 123-456-7890。"
"Please enter a valid social security number. For example 123-45-6789.","请输入有效的设安卡号，例如123-45-6789。"
"Please enter a valid value from list","请从列表中输入一个有效的值"
"Please enter a valid value, ex: 10,20,30","请输入一个有效的值，: 10,20,30"
"Please enter a valid zip code.","请输入一个有效的邮政编码。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入有效的邮编，例如 90602 或 90602-1234。"
"Please enter valid password.","请输入有效的密码。"
"Please make sure that all global admin search modules are installed and activated.","请确保所有的全局管理员搜索模块已安装并激活。"
"Please make sure that your changes were saved before running the profile.","演示此信息前请确认您的更新已储存。"
"Please make sure your passwords match.","请确保您的密码相匹配。"
"Please select State/Province.","请选择省/市/自治区。"
"Please select an option.","请选择一个选项。"
"Please select customer(s).","请选择客户。"
"Please select one of the above options.","请选择以上的一个选项。"
"Please select one of the options.","请选择其中一个选项。"
"Please select review(s).","请选择审核(s)。"
"Please specify the admin custom URL.","请指定管理员自定义 URL。"
"Please use in this field only ""a-z,0-9,_"".","请仅使用字符（a-z）和数字（0-9）。"
"Please use letters only (a-z) in this field.","请仅使用字符（a-z）。"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","请在此字段中使用唯一的字母 (a 到 z 或 A 到 Z)，数字 (0-9) 或空格。"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","请仅使用字符（a-z）或数字（0-9）。空格和字母不允许。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","请仅使用字符（a-z）或数字（0-9）或空格和 #。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","请使用此日期格式： dd/mm/yyyy。例如 2006/3/17 为 2006 年 3 月 17。"
"Please wait, loading...","请等待，加载中..."
"Please wait...","请稍候..."
"Poll Manager","问卷管理员"
"Polls","问卷投票"
"Popular","热门"
"Position","位置"
"Position of Watermark for %s","水印位置 %s"
"Prev. month (hold for menu)","上个月（点击鼠标直到菜单出现）"
"Prev. year (hold for menu)","前年（点击鼠标直到菜单出现）"
"Preview","预览"
"Preview Template","预览模板"
"Price","价格"
"Price:","价格:"
"Processed <strong>%s%% %s/%d</strong> records","完成处理 <strong>%s%% %s/%d</strong> 记录"
"Processing","处理中"
"Product","产品"
"Product Name","产品名称"
"Product Reviews","产品评论"
"Product Tax Classes","商品税种"
"Product Thumbnail Itself","产品缩略图本身"
"Product:","产品:"
"Products","产品展示"
"Products Bestsellers Report","产品畅销报告"
"Products Most Viewed Report","产品最受关注的报告"
"Products Ordered","订购的产品"
"Products in Carts","在车中的产品"
"Profile Action","配置文件操作"
"Profile Actions XML","配置文件操作 XML"
"Profile Direction","Profile方向"
"Profile History","Profile历史"
"Profile Information","Profile信息"
"Profile Name","Profile名"
"Profile Wizard","配置文件向导"
"Profiles","配置文件"
"Promo","促销"
"Promotions","促销活动"
"Quantity","数量"
"Queue Refresh","等候刷新"
"Queued... Cancel","等候中... 取消"
"Radio Buttons","单选按钮"
"Rates","税率"
"Read details","读取详情"
"Rebuild","重建"
"Rebuild Catalog Index","重建目录索引"
"Rebuild Flat Catalog Category","重建平面目录类别"
"Rebuild Flat Catalog Product","重建平面目录产品"
"Recent Orders","最近的订单"
"Recent statistics have been updated.","最近的统计数据进行了更新。"
"Recursive Dir","递归目录"
"Redirect","重定向"
"Reference ID","引用 ID"
"Refresh","刷新"
"Refresh Now*","即刻刷新*"
"Refresh Statistics","刷新统计信息"
"Region/State","地区/国家"
"Regular Price:","原价:"
"Reject","拒绝"
"Release","发布"
"Release Stability","发布稳定性"
"Release Version","发布版本"
"Reload captcha","重新加载验证码"
"Remote FTP","远程 FTP"
"Remove","删除"
"Reports","报告"
"Request Path","请求路径"
"Required","必填"
"Reset","重置"
"Reset Filter","重置筛选"
"Reset Password","重置密码"
"Reset a Password","重置密码"
"Resize","调整尺寸"
"Resource Access","资源"
"Resources","资源"
"Results","结果"
"Retrieve Password","取回密码"
"Return Html Version","返回 Html 版本"
"Revenue","收入"
"Reviews","点评"
"Reviews and Ratings","评论与评级"
"Role ID","职责ID"
"Role Info","角色信息"
"Role Information","角色信息"
"Role Name","角色名称："
"Role Resources","角色资源"
"Role Users","角色用户"
"Roles","角色"
"Roles Resources","角色资源"
"Root Category","默认商店"
"Rotate CCW","替换 CCW"
"Rotate CW","替换 CW"
"Run","跑"
"Run Profile","演示Profile"
"Run Profile Inside This Window","于同一窗口演示Profile"
"Running... Kill","演示中... 注销"
"SKU","商品编号SKU"
"SSL Error: Invalid or self-signed certificate","SSL 错误信息：无效或自签署的认证"
"Sales","销售"
"Sales Report","销售报告"
"Samples","样本"
"Save","保存"
"Save & Generate","保存 & 生成"
"Save Account","保存帐户信息"
"Save Block","储存区块"
"Save Cache Settings","保存缓存设置。"
"Save Config","保存配置"
"Save Currency Rates","保存货币汇率"
"Save Profile","储存用户信息"
"Save Role","保存角色"
"Save Template","保存模板"
"Save User","保存用户"
"Save and Continue Edit","保存并继续编辑"
"Search","搜索"
"Search Index","搜索索引"
"Search Term","搜索词"
"Search Terms","搜索条件"
"Search entire store here...","在这里搜索整个商店..."
"Select","选择"
"Select All","选择全部"
"Select Category","选择类别"
"Select Date","选择日期"
"Select Range","选择范围"
"Select date","选择时间"
"Sender","发送方"
"Separate Email","单独的电子邮件"
"Shipment #%s comment added","#%s货单注解已创建"
"Shipment #%s created","#%s货单已创建"
"Shipment Comments","发货备注"
"Shipment History","装运的历史"
"Shipments","发货"
"Shipping","运费"
"Shipping Address","送货地址"
"Shipping Address: ","送货地址:"
"Shipping Origin","航运起源"
"Shipping Price","运费"
"Shipping address selection is not applicable","配送地址选项不成立。"
"Shipping method selection is not applicable","配送方法选项不成立。"
"Shopping Cart","购物车"
"Shopping Cart Price Rules","购物车价格规则"
"Shopping Cart from %s","%s的购物车"
"Show By","通过显示"
"Show Report For:","显示的报表:"
"Show Reviews","显示评论"
"Sitemap Information","网站地图信息"
"Size for %s","尺寸 %s"
"Skip Category Selection","跳过类别选择"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","这订单里的一些商品有不同的发票和货单类型。您只可以在建立发票后才能创建货单。"
"Sorry, this feature is coming soon...","对不起，此功能尚无..."
"Special Price:","特价:"
"Specific Countries","特定国家"
"Specified","指定"
"Spreadsheet Name:","表单（Spreadsheet）名："
"Start Date","起始日期"
"Starting at:","起价:"
"Starting profile execution, please wait...","开始执行用户信息，请等待..."
"State/Province:","州/省:"
"Static Blocks","静态块"
"Status","状态"
"Status:","状态:"
"Stock Quantity:","库存量"
"Store","商店"
"Store View","商店界面"
"Store:","商店："
"Stores","商店"
"Subject","主题"
"Submit","提交"
"Subtotal","小计"
"Switch/Solo card issue number: %s","Switch/Solo 卡号：%s"
"Switch/Solo card start Date: %s/%s","Switch/Solo 卡开始日期：%s/%s"
"Switch/Solo/Maestro Only","问题编号"
"Switch/Solo/Maestro(UK Domestic) Only","仅限 Switch/Solo/Maestro(英国国内)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(英国国内) 卡号：%s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(英国国内) 开始日期：%s/%s"
"Synchronize","同步"
"Synchronizing...","正在同步..."
"System","系统"
"Tags","标签"
"Target Path","目标路径"
"Tax","税"
"Template","模板"
"Template Content","模板内容"
"Template Information","模板信息"
"Template Name","模板名称"
"Template Styles","模板中的样式"
"Template Subject","模板主题"
"Template Type","模板类型"
"Temporary (302)","临时 (302)"
"Terms and Conditions","条款和条件"
"Text","文字"
"The JavaScript/CSS cache has been cleaned.","JavaScript 和 CSS 缓存已清理。"
"The OpenMage cache storage has been flushed.","OpenMage 缓存存储已被刷新。"
"The URL Rewrite has been saved.","URL 重写已被保存。"
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","该文件在 Windows 系统下可以使用 <a href=""%s"">%s</a> 解压"
"The attribute set has been removed.","已删除的属性集。"
"The credit memo has been canceled.","贷项通知单已被取消。"
"The image cache was cleaned.","图片缓存被清除了。"
"The invoice has been captured.","发票已被抓获。"
"The invoice has been created.","已创建发票。"
"The invoice has been voided.","发票已经作废。"
"The order no longer exists.","该订单不存在。"
"The shipment has been created.","已创建装运。"
"The transaction details have been updated.","已更新交易记录详细信息。"
"There is an error in one of the option rows.","还有一个选项行中的错误。"
"This account is","此帐户是"
"This account is inactive.","此帐号没被启用。"
"This action cannot be undone.","此操作无法撤消。"
"This attribute shares the same value in all the stores","此属性和全部商店的值共享。"
"This block no longer exists.","此模块不再存在。"
