"(Excl. Tax)","（不包括税）"
"Register and save time!","注册帐号，省时方便！"
"Register to Create an Account","注册帐户"
"Register with us for future convenience:","注册帐号让您将来购物更便利："
"Remove Item","删除项目"
"Remove This Item","删除该内容"
"Remove item","删除项目"
"Review Order","查看订单"
"Review Order - %s","查看订单 - %s"
"SKU","商品编号SKU"
"Sales","销售"
"Save Condition","保存条件"
"Save in address book","保存到地址簿"
"See price before order confirmation.","确认订单前显示价格。"
"Select Address","选择地址"
"Select Addresses","选择地址"
"Select Shipping Method","选择送货方式"
"Select State/Province...","选择省份..."
"Select a billing address from your address book or enter a new address.","从您的地址簿中选择账单地址，或者输入新的地址。"
"Select a shipping address from your address book or enter a new address.","从您的通讯簿中选择送货地址或输入新的地址。"
"Send Payment Failed Email Copy Method","发送支付失败邮件副本的方法"
"Send Payment Failed Email Copy To","发送付款失败邮件的复件到"
"Send To","发送到"
"Separate by "","".","单独的""，""。"
"Ship to Multiple Addresses","选择发货方式"
"Ship to different address","发货到不同地址"
"Ship to this address","发货到此地址"
"Shipping Address","送货地址"
"Shipping Information","运输方式"
"Shipping Method","运送方式"
"Shipping Methods","送货方式"
"Shipping To","运送到"
"Shipping method has not been selected yet","尚未选择配送方式"
"Shopping Cart","购物车"
"Shopping Cart Sidebar","购物车Sidebar"
"Shopping Cart is Empty","购物车空"
"Show Content as","显示内容作为"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","对不起，未启用访客结帐功能。请重试或者联系店主。"
"Sorry, no quotes are available for this order at this time.","对不起，目前没有该订单的报价。"
"State/Province","州/省"
"Status","状态"
"Store View","商店界面"
"Street Address","街道地址"
"Submitting order information...","提交订单信息。。。"
"Subtotal","小计"
"Telephone","电话"
"Terms and Conditions Information","条款和条件的信息"
"Terms and conditions","条款"
"Text","文字"
"Thank you for your purchase!","感谢您的购买！"
"The product does not exist.","产品不存在。"
"There was an error processing your order. Please contact us or try again later.","处理订单出错，请联系我们或稍后再试。"
"This condition no longer exists.","这种情况不再存在。"
"Total","总额"
"Total for this address","

该地址总计 "
"Unit Price","单价"
"Update","更新"
"Update Cart","更新购物车"
"Update Qty &amp; Addresses","更新数量及地址"
"Update Shopping Cart","更新购物车"
"Update Total","更新总额"
"Use Billing Address","使用账单地址"
"VAT Number","增值税号码"
"View Shopping Cart","查看购物车"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","我们正处理您的订单，您很快会收到含有订单详细内容的邮件。订单发货后，您会收到另一封含有查询订单状态链接的邮件。"
"What's this?","这是什么？"
"You have no items in your shopping cart.","你的购物车中没有任何物品。"
"You will receive an order confirmation email with details of your order and a link to track its progress.","您将收到订单详情和追踪进度连接的确认邮件。"
"Your Checkout Progress","您的结帐进度"
"Your order number is ","您的订单号码是 "
"Zip/Postal Code","邮编"
"or","或"
