"-- Please Select --","-- 请选择 --"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","请在该栏目中仅使用字符（a-z），数字（0-9）或下划线（_）。第一个字必须是字母。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","请使用此日期格式： dd/mm/yyyy。例如 2006/3/17 为 2006 年 3 月 17。"
"Please wait, loading...","请等待，加载中..."
"Polls","问卷投票"
"Port (25)","端口 (25)"
"Profiler","配置器"
"Recovery Link Expiration Period (hours)","恢复链接到期时间 （小时）"
"Request Path for Specified Store","指定商店请求路径。"
"Requested invalid store ""%s""","所要求的商店错误 ""%s"""
"Return-Path Email","返回路径邮件"
"Root Category","默认商店"
"Sales Representative","销售代表"
"Save","保存"
"Save Store","保存店铺"
"Save Store View","保存店铺视图"
"Save Website","储存网站"
"Search Engines Optimization","搜寻优化"
"Secure","安全"
"Security","安全"
"Select Date","选择日期"
"Select Media Database","选择媒体数据库"
"Sender Email","发件人的电子邮件"
"Sender Name","发件人邮箱"
"Services","服务"
"Session Validation Settings","会话验证设置"
"Set Return-Path","设置返回路径"
"Set as Default","设置为默认"
"Skin (Images / CSS)","皮肤 (图像/CSS)"
"Sort Order","排序"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","指定的日期/时间 ""%1$s""和""%2$s""格式不匹配。"
"Startup Page","起始页"
"Status","状态"
"Storage Configuration for Media","媒体存储配置。"
"Store","商店"
"Store Email Addresses","店铺电子邮件地址"
"Store Hours of Operation","商店营业时间"
"Store Information","店铺信息"
"Store Name","店铺名称"
"Store View","商店界面"
"Store View Information","店铺视图信息"
"Store View Name","商店界面名"
"Store view doesn't exist","店铺视图不存在"
"Store with the same code","使用相同的代码存储"
"System","系统"
"System Log File Name","系统日志文件名"
"Template Path Hints","模版路径提示"
"Template Settings","模板设置"
"Template Variables","模板变量"
"Templates","模版"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","您输入的%s不正确，请确定您使用""http://domain.com/""格式。"
"The store does not exist","店铺不存在"
"The value is not within the specified range.","值不是在指定的范围之内。"
"The website does not exist.","该网站不存在。"
"Themes","右栏2列"
"This category and all its child elements","仅于此目录和其子分类及商品。"
"This category and its child categories only","仅于此目录和其子分类。"
"This category and its products only","仅于此目录和其商品。"
"This category only","仅于此目录"
"This is a required field.","这是必填字段。"
"This store cannot be deleted.","不能删除此店铺。"
"This store view cannot be deleted.","不能删除该店铺视图。"
"This website cannot be deleted.","无法删除此网站。"
"This will be included before head closing tag in page HTML.","这将包括在页面HTML的头部关闭标签之前。"
"Timezone","时区"
"Title Prefix","标题前缀"
"Title Suffix","标题后缀"
"Transactional Emails","交易邮件"
"Translate Inline","内联翻译"
"Translations","翻译"
"Unable to delete store view. Please, try again later.","无法删除商店界面。请稍后再试。"
"Unable to delete store. Please, try again later.","无法删除商店。请稍后再试。"
"Unable to delete website. Please, try again later.","无法删除网站。请稍后再试。"
"Unable to proceed. Please, try again","操作无法继续。请稍后再试!"
"Unsecure","不安全"
"Url Options","Url 选项"
"Use Custom Admin Path","使用自定义后台路径"
"Use Custom Admin URL","使用自定义后台 URL"
"Use HTTP Only","只能使用 HTTP"
"None","无"
"Use Secure URLs in Admin","管理员使用加密链接 URL"
"Use Secure URLs in Frontend","使用安全URLs于前台"
"Use Web Server Rewrites","使用 Web 服务器重写"
"VAT Number","增值税号码"
"Validate HTTP_USER_AGENT","验证 HTTP_USER_AGENT"
"Validate HTTP_VIA","验证 HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","验证 HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","验证 REMOTE_ADDR"
"Validation has failed.","验证已失败。"
"Variable Code must be unique.","变量的代码必须是唯一的。"
"Web","网页"
"Website","网站"
"Website Information","网站信息"
"Website Name","网站名"
"Website with the same code","使用相同代码的网站"
"Weekend Days","周末"
"Welcome Text","欢迎文本"
"Wrong file info format","错误的文件信息格式"
"Wrong number of arguments for %s","%s的参数数量错误"
"Yes","是"
"Frontend","前提"
