"# of Use","# 使用"
"%1$s incl tax.","%1$s 含税."
"%s Item(s)","%s件"
"(Copy data from: %s)","(所拷贝数据: %s)"
"Email to a Friend","推荐给朋友"
"Empty","产品 %1"
"Enable MAP","启用映射"
"Enable Qty Increments","启用数量增量"
"Enabled","启动"
"Error during retrieval of option value: %s","读取选项参数时出现错误: %s"
"Exclude","排除"
"Expand All","全部展开"
"Failed","失败"
"Failed to move file: %s"," %s文件移动失败"
"Feature Products","主力(（推荐）商品"
"File upload failed","文件上传失败"
"Filter","过滤器"
"Filterable (no results)","滤过性 (无结果)"
"Filterable (with results)","过滤（有结果）"
"First Name","名"
"Fixed","百分之"
"For the last time placed.","最后一次放置。"
"Frontend","前提"
"Frontend Model","前端模型"
"Frontend Properties","前台属性"
"Gallery","图库"
"General Information","常规信息"
"Get special price","获取特价信息"
"Global","全球"
"Globally Editable","全球可编辑"
"Go to Home Page","前往主页"
"Grid","%1及以上"
"Grouped Product","组合商品"
"Groups","群组"
"Home","首页"
"ID","编号ID"
"ID: %s","编号: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","如一商店不指定一个选项，那么默认的（管理）值将被使用。"
"Image","图片"
"Image content is not valid base64 data.","图片内容非正确的base64数据。"
"Image type and information need to be specified for each store view.","每个商店的图片格式和信息需要确认。"
"In Cart","购物车中"
"In Stock","有货"
"In stock","有货"
"Incl. Tax","含。税"
"Index product prices","索引产品价格"
"Indexed category/products association","索引的类别产品协会"
"Input Type","输入类型"
"Integer","整数"
"Interval Division Limit","区间划分限制"
"Invalid Tier Prices","I错误的分级价格"
"Invalid image type.","错误的图片类型"
"Invalid store specified","错误的指定商店"
"Inventory","库存"
"Is Default","为默认值"
"Is Required","需要"
"Items %s to %s of %s total","商品%s到%s，共%s件"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","不要显示在目录或搜索结果中的商品， 相应商店中的状态要设置为'禁用'。"
"Label","标签"
"Last Name","姓"
"Last Notification","最新提醒"
"Layered Navigation","分层的导航"
"Learn More","了解更多"
"Line %d, Email: %s","行%d，电子邮件：%s"
"Line %d, SKU: %s","行%d，SKU: %s"
"Link (Related, Up sell, Cross sell)","连接（关联，推荐销售，交叉销售）"
"Link to a Specified Category","链接到一个指定的类别"
"Link to a Specified Product","链接到指定的产品"
"List","列表"
"List Mode","列表模式"
"List of Products that are set as New","设置为新的产品的列表"
"Catalog Categories","目录分类"
"Manage Stock","数量增加"
"Max Characters","最大字符数"
"Maximal Depth","最大深度"
"Maximum Image Size","最大图像大小"
"Maximum Number of Price Intervals","价格区间的最大数目"
"Maximum Qty Allowed in Shopping Cart","购物车中允许的最大数量"
"Maximum image height","最大图像的高度"
"Maximum image width","最大图像宽度"
"Maximum number of characters:","最大字符数:"
"Maximum number of price intervals is 100","价格区间的最大数目是 100"
"Media Image","媒体图像"
"Minimum Advertised Price","最低的广告价格"
"Minimum Qty Allowed in Shopping Cart","购物车中允许的最小数量"
"Minimum Qty for Item's Status to be Out of Stock","商品缺货状态的最低数量"
"More Views","更多"
"Move","移动"
"Move category in tree","移目录分类至树状式分类"
"My Account","我的账户"
"N/A","无"
"Name","名字"
"New Product","新产品"
"New Product Attribute","新的产品属性"
"New Products","新产品"
"New Products Grid Template","新产品网格模板"
"New Products List Template","新产品列表模板"
"New Search","新的搜索"
"New Set Name","新集的名称"
"New products","新产品"
"Next","下一页"
"No","否"
"No image","没有图像"
"No layout updates","没有布局更新"
"No options of this product are available.","该产品没有可用选项。"
"None","无"
"Not Visible Individually","单独不可见"
"Notify Low Stock RSS","低库存RSS通知"
"Notify for Quantity Below","数量通知如下"
"Number of Products per Page","每页显示的产品数量"
"Number of Products to Display","显示产品的数量"
"Number of Uses","使用次数"
"Number of results","结果数量："
"Number of results (For the last time placed)","(为最后一次放置) 结果数目"
"OK","确定"
"OR","或"
"Old Price:","旧价格:"
"On Gesture","手势"
"Option:","选项:"
"Options","选项"
"Options Control","选项控制"
"Options is required","必填选项"
"Out of Stock","缺货"
"Out of stock","缺货"
"PM","下午"
"Page Title Separator","页面标题分隔符。"
"Parent Category","父类别"
"Pending","待付款"
"Pending Reviews RSS","待定评论 RSS"
"Percentage","百分比"
"Please add rows to option.","请将行添加到选项。"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","请注意，当您点击所选择的文件栏段（row）后，该文件包的数据将被加载，所有未储存的数据将不被保留。"
"Please enter a new group name","请输入新的分组名称"
"Please select one or more attributes.","请选择一个或更多属性。"
"Please select products for attributes update","请选择商品以更新属性。"
"Please specify date required option(s).","请指定日期所需选项。"
"Please specify the number of products, that will not be divided into subintervals.","请指定产品的数量，将不分区间。"
"Please specify the product required option(s)","请指定商品的必选项。"
"Please specify the quantity of product(s).","请指定产品的数量。"
"Please specify time required option(s).","请指定所需的时间选项。"
"Please wait...","请稍候..."
"Position","位置"
"Position in Layered Navigation","在分层导航的位置"
"Position of attribute in layered navigation block","于layered navigation区块内的属性位置"
"Prev","上一页"
"Previous","前一页"
"Price","价格"
"Price Navigation Step Calculation","价格导航步计算"
"Price Type","价格类型"
"Price values for options should be specified in system base currency.","价格选项值必须指定在系统的基准货币里。"
"Price:","价格:"
"Print This Page","打印此页"
"Product","产品"
"Product API","商品API"
"Product Alerts","产品警报"
"Product Attribute","产品属性"
"Product Attributes","产品属性"
"Product Categories","产品类别"
"Product Description","商品说明"
"Product Flat Data","产品平面数据"
"Product ID","产品 ID"
"Product Image Placeholders","产品图像占位符"
"Product Image Watermarks","产品图像水印"
"Product Images","商品图片"
"Product Images API","商品图片API"
"Product In Websites","在网站的产品"
"Product Info Column","产品信息栏"
"Product Information","商品信息"
"Product Link Block Template","产品链接块模板"
"Product Link Inline Template","产品链接内联模板"
"Product Listing Sort by","产品列表排序按"
"Product Name","产品名称"
"Product Reviews","产品评论"
"Product Tags","商品标签"
"Product Tier Price API","商品分级价格API"
"Product Type","商品类型"
"Product URL Suffix","产品 URL 后缀"
"Product attribute sets API","商品属性组API"
"Product attributes API","商品属性API"
"Product is not loaded","产品未加载"
"Product links API (related, cross sells, up sells)","商品连接 API （相关商品，交叉销售，推荐销售）"""
"Product types API","商品类型API"
"Product with this combination of attributes already associated to configurable.","此组合之属性商品已经绑定到可设置里"
"Products","产品展示"
"Products Comparison List","产品比较列表"
"Products Information","产品信息"
"Products Reviews","产品评论"
"Products Sitemap","商品检索"
"Products only","仅产品"
"Products per Page on Grid Allowed Values","每页网格产品允许值"
"Products per Page on Grid Default Value","每页网格产品默认值"
"Products per Page on List Allowed Values","每页列表产品允许值"
"Products per Page on List Default Value","每页列表产品默认值"
"Properties","属性"
"Qty","数量"
"Qty Increments","数量的增量"
"Qty Uses Decimals","数量使用小数"
"Qty:","数量："
"Quantity","数量"
"Quick Create","快速创建"
"Quick Overview","快速查看"
"Quick simple product creation","简单商品快速创建"
"Redirect","重定向"
"Redirect URL","重定向 URL"
"Regular Price:","原价:"
"Related Products","超售"
"Remove","删除"
"Remove Product From Websites","从网站中删除产品"
"Remove This Item","删除该内容"
"Remove product assignment","删除商品派任"
"Remove product image","删除商品图片"
"Remove product link","删除商品链接"
"Reorganize EAV category structure to flat structure","重新整理 EAV 分类结构为平面结构"
"Reorganize EAV product structure to flat structure","重新整理 EAV 产品结构为平面结构"
"Reset","重置"
"Results","结果"
"Retrieve attribute data","读取属性数据"
"Retrieve attribute list","读取属性列表"
"Retrieve attribute options","读取属性选项
Retrieve categories tree"""
"Retrieve categories tree","获取分类树"
"Retrieve category attributes","读取目录属性"
"Retrieve category data","读取目录数据"
"Retrieve hierarchical tree","读取分级(目录)树"
"Retrieve linked products","读取已连接商品"
"Retrieve list of assigned products","读取已指派之商品列表"
"Retrieve one level of categories by website/store view/parent category","由网站/商店/主目录里读取（其中）一级目录分类"
"Retrieve product","读取商品"
"Retrieve product attribute sets","读取商品属性组"
"Retrieve product image","读取商品图片"
"Retrieve product image list","读取商品图片列表"
"Retrieve product image types","读取商品图片类型"
"Retrieve product link type attributes","读取商品连接类型属性"
"Retrieve product link types","读取商品连接类型"
"Retrieve product tier prices","读取商品分级价格"
"Retrieve product types","读取商品连类型"
"Retrieve products data","读取商品数据"
"Retrieve products list by filters","过滤式读取商品列表"
"Reviews","点评"
"Roll Over for preview","（鼠标）滑过预览"
"Root","根"
"SKU","商品编号SKU"
"Save","保存"
"Save Attribute","保存属性"
"Save Attribute Set","储存属性组"
"Save Category","储存目录"
"Save Search","保存搜索"
"Save and Continue Edit","保存并继续编辑"
"Scope","范围"
"Scope must not be changed, because the attribute is used in configurable products.","范围必须更改，因为属性用于可设置商品。"
"Search","搜索"
"Search Engine Optimizations","搜寻器优化"
"Search Information","搜索信息"
"Search Query","搜索查询"
"Search Weight","搜索组件"
"Searchable","可搜索"
"See price before order confirmation.","确认订单前显示价格。"
"Select Category...","选择类别..."
"Select Configurable Attributes ","选择可设置属性"
"Select Product...","选择产品..."
"Select type of option","选择选项类型"
"Select type options required values rows.","选择类型选项所需的值的行。"
"Selected Product Types","选择商品类型"
"Send Count","发送计数"
"Set Ascending Direction","设置提升方向"
"Set Descending Direction","设置降序方向"
"Set Name","设置名称"
"Set root category for this store in the <a href=""%s"">configuration</a>","于<a href=""%s"">设置</a>里设最高级目录于此商店"
"Set special price","设特价"
"Set/Get current store view","设或读取现有商店"
"Settings","设置"
"Shop By","清除全部"
"Shopping Options","购物的选项"
"Show","显示"
"Show Details","显示详细信息"
"Show Tags","显示标签"
"Simple Product","单一商品"
"Site Map","站点地图"
"Sitemap","网站地图"
"Skip import row, is not valid value ""%s"" for field ""%s""","忽略导入行，不是正确的 ""%s"" 在栏目 ""%s"""
"Some of the selected item options are not currently available.","目前还没有一些选定的项目选项。"
"Sort By","按排序"
"Sort Order","排序"
"Source Model","源模型"
"Special Price:","特价:"
"Starting at:","起价:"
"Static","静态"
"Static block and products","静态模块和产品"
"Static block only","只有静态模块"
"Status","状态"
"Stock Availability","库存"
"Store","商店"
"Store View","商店界面"
"Stretch","拉伸"
"Subscribe to RSS Feed","订阅 Rss"
"Super product attributes configuration","高级商品属性设置"
"Synonym For","同义"
"System Properties","系统属性"
"Tag Name","标签名称"
"Tax","税"
"Template","模板"
"Text","文字"
"The base directory to upload file is not specified.","未指定要上载文件的基目录。"
"The review was removed by another user or does not exist.","评审被另一个用户删除或不存在。"
"There are no %s available.","没有%s。"
"There are no customers for this alert","这提示里没有顾客档案。"
"There are no customers for this alert.","没有客户此警报。"
"There are no products matching the selection.","此选择里没有可匹配的商品"
"This attribute cannot be edited.","不能编辑此属性。"
"This attribute is used in configurable products.","此属性用于在可配置的产品。"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","该属性用于可配置的产品。您无法从属性集中删除它。"
"This attribute no longer exists","此属性组经已不存在。"
"This attribute set no longer exists.","此属性设置不再存在。"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","此组别有用于可设置商品之属性。请移这些属性到另一组别里，然后再试。"
"This group contains system attributes. Please move system attributes to another group and try again.","此组包含系统属性。请将系统属性移动到另一个组，然后重试。"
"This is a required option","必填项"
"This search no longer exists.","该搜索已不存在。"
"This setting will be applied when all prices in the specific price interval are equal.","当所有的价格在特定的价格区间相等时，将应用此设置。"
"Tier Pricing","层级价格"
"Tile","平铺"
"Time Format","时间格式"
"Title","标题"
"To see product price, add this item to your cart. You can always remove it later.","若要查看产品价格，请将此项添加到购物车中。您可以以后再删除它。"
"Top/Left","上方/左方"
"Top/Right","上, / 右"
"Total Qty Base Items","基本商品总件数"
"Total incl. Tax: %1$s","总计含税: %1$s"
"Type","类型"
"URL Rewrite Management","URL 重写管理"
"Unassigned Attributes","未分配的属性"
"Up-sells","优先推荐销售"
"Update","更新"
"Update Attributes","更新属性"
"Update Tier Price","更新分层价格"
"Update assigned product","更新被指定的商品"
"Update attributes","更新属性"
"Update category","更新目录"
"Update product","更新商品"
"Update product image","更新商品图片"
"Update product link","更新商品连接"
"Update product tier prices","更新商品分层价格"
"Upload new product image ","上传商品图片 "
"Use Canonical Link Meta Tag For Categories","使用标准连接元标签的类别"
"Use Canonical Link Meta Tag For Products","为产品使用标准连接元标签"
"Use Categories Path for Product URLs","产品 Url 的使用类别路径"
"Use Config Settings","使用配置设置"
"Use Default Value","使用默认值"
"Use Flat Catalog Category","使用平面目录类别"
"Use Flat Catalog Product","使用平面目录产品"
"Use In Layered Navigation","使用于Layered Navigation"
"Use In Search Results Layered Navigation","使用搜寻结果于Layered Navigation"
"Use JavaScript Calendar","使用 JavaScript 日历"
"Use To Create Configurable Product","使用于创建可设置商品"
"Use Tree Like Category Sitemap","使用树状目录检索"
"Use config","用户配置"
"Use default","使用默认值"
"Use for Promo Rule Conditions","促销规则的情况下使用"
"Use in Layered Navigation","请指定部分区间的产品数量"
"Used for Sorting in Product Listing","用于排序的产品列表"
"Used in Product Listing","在产品列表中使用"
"Varchar","变量"
"View Details","查看详情"
"View as","视图"
"Virtual Product","虚拟商品"
"Visibility","可见性"
"Visible","可比较"
"Visible on Catalog Pages on Front-end","显示于前台目录页"
"Visible on Product View Page on Front-end","显示于前台商品页"
"WYSIWYG Editor","所见即所得编辑器"
"Watermark","水印"
"Watermark Default Size","水印默认尺寸"
"Watermark Position","水印位置"
"We Also Recommend","我们推荐的商品"
"Website","网站"
"Websites","网站"
"What's this?","这是什么？"
"Wrong option type to get group instance.","选项分组里错误读取分组实例。"
"Year Range","年的范围内"
"Yes","是"
"You cannot remove system attribute from this set.","不能从改组合中删除系统属性。"
"You have no items to compare.","你没有要比较的项目。"
"You may also be interested in the following product(s)","您可能对这些商品感兴趣"
"You saved the search term.","您保存的搜索词。"
"Zoom In","放大"
"Zoom Out","缩小"
"and","和"
"and above","及以上"
"categories","目录分类"
"each","一个"
"ex. http://domain.com","如: http://domain.com"
"leave blank if its not an image","若非图片，留空白"
"per page","每页"
"products","商品"
"px.","全部展开"
"save","保存"
"select all","全选"
"unselect all","取消全选"
