"(Excl. Tax)","(Vergi hariç)"
"Checkout as a Guest or Register","Misafir Olarak Alışverişi Bitir veya Üye Kaydı Yap"
"Checkout with Multiple Addresses","Birden Fazla Adresle Alışverişi Bitir"
"City","Şehir"
"Clear Shopping Cart","Alışveriş Sepetini Temizle"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Sipariş onayınızın bir kopyasını yazdırmak için <a href=""%s"" target=""_blank"">BURAYA TIKLAYINIZ</a>."
"Close","Kapat"
"Company","Şirket"
"Condition Name","Koşul Adı"
"Configurable Product Image","Ayarlanabilir Ürün Resmi"
"Confirm Password","Yeni Şifre (Tekrar)"
"Content","İçerik"
"Content Height","İçerik Yüksekliği"
"Content Height (css)","İçerik Yüksekliği (css)"
"Continue","Devam et"
"Continue Shopping","Alışverişe Devam"
"Continue to Billing Information","Fatura Bilgilerine Devam Et"
"Continue to Review Your Order","Siparişini Kontrol Etmek için Devam Et"
"Continue to Shipping Information","Teslimat Bilgisi Sayfasına Devam Et"
"Country","Ülke"
"Coupon code ""%s"" is not valid."," ""%s"" numaralı kupon kodu hatalı."
"Create Billing Address","Fatura Adresi Ekle"
"Create Shipping Address","Teslimat Adresi Ekle"
"Customer Address is not valid.","Müşteri adresi hatalı."
"Customer Information","Müşteri Bilgisi"
"Data saving problem","Veri kaydetme problemi"
"Default Billing","Varsayılan Fatura Adres"
"Default Shipping","Varsayılan Teslimat Adresi"
"Delete Condition","Koşulu Sil"
"Details","Detaylar"
"Disabled","Kapalı"
"Discount Codes","İndirim Kodları"
"Display Cart Summary","Sepet Özetini Göster"
"Display Shopping Cart Sidebar","Sağ/Sol Kolonda Alışveriş Sepeti Kutusunu Göster"
"Display item quantities","Ürün miktarlarını göster"
"Display number of items in cart","Sepetteki ürün sayısını göster"
"Easy access to your order history and status","Sipariş geçmişiniz ve siparişlerinizin durumu için kolay erişim"
"Edit","Düzenle"
"Edit Address","Adresi Düzenle"
"Edit Billing Address","Fatura Adresini Düzelt"
"Edit Condition","Koşulu Düzenle"
"Edit Items","Ürünleri Düzelt"
"Edit Shipping Address","Teslimat Adresini Düzelt"
"Edit Terms and Conditions","Satış Şartları ve Koşullarını Düzenle"
"Edit Your Cart","Sepeti Düzenle"
"Edit item","Ürünü Düzenle"
"Edit item parameters","Ürün parametrelerini düzenle"
"Email Address","E-posta Adresiniz"
"Enable Onepage Checkout","Tek Sayfada Alışveriş Bitirmeyi Kullan"
"Enable Terms and Conditions","Satış Şartları ve Koşulları Aktif et"
"Enabled","Aktif edildi"
"Enter a New Address","Yeni Bir Adres Giriniz"
"Enter your coupon code if you have one.","Kupon kodunuz varsa giriniz."
"Enter your destination to get a shipping estimate.","Kargo ücretinin hesaplanması için siparişinizin teslim edileceği yeri seçiniz."
"Estimate Shipping and Tax","Hesaplanan Kargo Ücreti ve Vergi"
"Excl. Tax","Vergi Hariç"
"Fast and easy check out","Hızlı ve Kolay Sipariş"
"Fax","Faks"
"Forgot an Item?","Ürün mü unuttunuz?"
"Forgot your password?","Şifrenizi mi Unuttunuz?"
"Get a Quote","Fiyat Al"
"Gift Message","Hediye Mesajı"
"Grand Total:","Genel Toplam:"
"Grouped Product Image","Grup Ürün Resmi"
"ID","No"
"Incl. Tax","Vergi Dahil"
"Invalid email address ""%s""","Hatalı e-mail adresleri ""%s"""
"Invalid shipping method.","Hatalı teslimat yöntemi."
"Items","Ürünler"
"Load customer quote error","Müşteri sepeti yükleme hatası"
"Loading next step...","Bir sonraki adım yükleniyor..."
"Login","Giriş"
"Maximum qty allowed for Shipping to multiple addresses is %s","Birden fazla adrese gönderim için gereken en fazla adet : %s"
"Move","Taşı"
"Move to Wishlist","Takip Listesine Taşı"
"My Cart","Sepetim"
"My Cart (%s item)","Sepetim (%s ürün)"
"My Cart (%s items)","Sepetim(%s ürün)"
"My Cart Link","Sepetim Linki"
"New Address","Yeni Adres"
"New Condition","Yeni Koşul"
"New Terms and Conditions","Yeni Satış Şart ve Koşulları"
"No Payment Methods","Herhangi bir Ödeme Yöntemi bulunamadı"
"One Page Checkout","Tek Sayfa ile Alışveriş Sonu"
"Order #","Sipariş #"
"Order Review","Sipariş İnceleme"
"Order Success","Sipariş Başarılı"
"Password","Şifre"
"Payment Failed Email Reciever","Ödeme Sistemi Sorunları İçin Bildirim Maili Alıcısı"
"Payment Failed Email Sender","Başarısız Ödeme E-posta Göndericisi"
"Payment Failed Emails","Başarısız Ödeme E-posta Adresleri"
"Payment Failed Template","Başarısız Ödeme Şablonu"
"Payment Information","Ödeme Bilgisi"
"Payment Method","Tahsilat Yöntemi"
"Payment method is not defined","Tahsilat yöntemi ayarlanmadı"
"Place Order","Sipariş Ver"
"Please agree to all Terms and Conditions before placing the order.","Lütfen siparişi tamamlamadan Satış Şartları ve Koşullarını onaylayınız."
"Please agree to all Terms and Conditions before placing the orders.","Lütfen sipariş eklemeden Tüm Kullanım Koşullarını okuyup onaylayınız."
"Please agree to all the terms and conditions before placing the order.","Siparişi tamamlamak için Satış Şartları ve Koşullarını kabul etmeniz gerekmektedir."
"Please choose to register or to checkout as a guest","Lütfen Üye Olun veya Konuk Olarak Alışverişi Tamamlama seçeneğinden devam edin"
"Please log in below:","Lütfen giriş yapınız :"
"Please select region, state or province","Lütfen bölge, eyalet veya şehir seçiniz"
"Please select shipping address for applicable items","Lütfen gereken ürünler için Teslimat Adresi giriniz"
"Please select shipping methods for all addresses","Lütfen bütün adresler için bir teslimat yöntemi seçiniz"
"Please specify payment method.","Lütfen tahsilat yöntemini seçiniz."
"Please specify shipping method.","Lütfen teslimat yöntemini seçiniz."
"Price","Fiyat"
"Proceed to Checkout","Alışverişe Devam et"
"Product","Ürün"
"Product Name","Ürün Adı"
"Products","Ürünler"
"Qty","Miktar"
"Qty:","Miktar:"
"Quantity","Miktar"
"Quote Lifetime (days)","Teklif Geçerlilik Süresi (gün)"
"Recently added item(s)","En son eklenen ürün(ler)"
"Register","Kaydol"
"Register and save time!","Kaydolun ve zamandan kazanın!"
"Register to Create an Account","Yeni bir hesap oluşturun"
"Register with us for future convenience:","Kalitemizi kullanmak için üye olun :"
"Remove Item","Ürünü Sil"
"Remove This Item","Bu ürünü sil"
"Remove item","Ürünü Sil"
"Review Order","Siparişi Yorumla"
"Review Order - %s","Siparişe Gözat - %s"
"SKU","Ürün Kodu"
"Sales","Satışlar"
"Save Condition","Koşulu Kaydet"
"Save in address book","Adres defterine kaydet"
"See price before order confirmation.","Siparişi onaylamadan önce fiyata bakın."
"Select Address","Adres Seçiniz"
"Select Addresses","Adresleri Seçiniz"
"Select Shipping Method","Teslimat yöntemi Seçiniz"
"Select State/Province...","Şehir Seçiniz..."
"Select a billing address from your address book or enter a new address.","Fatura adresi olarak kullanılmak üzere adres defterinizden bir adres seçin veya yeni bir adres ekleyin."
"Select a shipping address from your address book or enter a new address.","Teslimat adresi olarak kullanılmak üzere adres defterinizden bir adres seçin veya yeni bir adres ekleyin."
"Send Payment Failed Email Copy Method","Gönderilen Başarısız Ödeme E-posta Kopya Yöntemi"
"Send Payment Failed Email Copy To","Gönderilen Başarısız Ödeme E-posta Kopyası"
"Send To","Gönderilen"
"Separate by "","".",""","" ile ayır"
"Ship to Multiple Addresses","Birden fazla adrese gönder"
"Ship to different address","Başka adrese gönder"
"Ship to this address","Bu adrese gönder"
"Shipping Address","Teslimat Adresi"
"Shipping Information","Teslimat Bilgisi"
"Shipping Method","Teslimat Yöntemi"
"Shipping Methods","Teslimat Yöntemleri"
"Shipping To","Teslim Edilecek"
"Shipping method has not been selected yet","Teslimat Yöntemi seçilmedi"
"Shopping Cart","Alışveriş Sepeti"
"Shopping Cart Sidebar","Alışveriş Sepeti Kolon Kutusu"
"Shopping Cart is Empty","Alışveriş Sepetiniz Boş"
"Show Content as","İçerik Göster"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Üzgünüz, kayıtlı olmayan kullanıcılar alışveriş yapamaz. Üye olup alışverişi tamamlayın veya eğer bunun bir hata olduğunu düşünüyorsanız, site yönetimine bildirin."
"Sorry, no quotes are available for this order at this time.","Üzgünüz, bu sipariş için teklif bulunamıyor."
"State/Province","Eyalet/Şehir"
"Status","Durum"
"Store View","Mağaza Görünümü"
"Street Address","Adres"
"Submitting order information...","Sipariş bilgisi gönderiliyor…"
"Subtotal","Ara Toplam"
"Telephone","Telefon"
"Terms and Conditions","Şartlar ve Koşullar"
"Terms and Conditions Information","Satış Şartları ve Koşulları Bilgisi"
"Terms and conditions","Kullanım koşulları"
"Text","Yazı"
"Thank you for your purchase!","Siparişiniz için teşekkür ederiz !"
"The product does not exist.","Ürüne kaydına ulaşılamıyor."
"There was an error processing your order. Please contact us or try again later.","Siparişiniz işlenirken hata oluştu. Lütfen daha sonra tekrar deneyiniz veya bizimle bağlantı kurunuz."
"This condition no longer exists.","Bu durum artık yok."
"Total","Toplam"
"Total for this address","Bu adres için toplam"
"Unit Price","Birim Fiyat"
"Update","Güncelle"
"Update Cart","Sepeti Güncelle"
"Update Qty &amp; Addresses","Adet &amp; Adresleri güncelle"
"Update Shopping Cart","Alışveriş Sepetini Güncelle"
"Update Total","Toplamı Güncelle"
"Use Billing Address","Fatura Adresini Kullan"
"VAT Number","Vergi Numarası"
"View Shopping Cart","Alışveriş Sepetini Görüntüle"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Siparişiniz işleme alındı. En kısa zamanda size sipariş detaylarınızla ilgili bir mail göndereceğiz. Siparişiniz kargoya verilince teslimatla ilgili bir mail daha alacaksınız."
"What's this?","Bu nedir?"
"You have no items in your shopping cart.","Alışveriş sepetinizde hiç ürün yok."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Size siparişiniz için bir onay maili göndereceğiz. Bu mail aynı zamanda siparişinize ulaşmanızı ve izlemenizi sağlayacak."
"Your Checkout Progress","Sipariş Durumunuz"
"Your order number is ","Sipariş Numaranız "
"Zip/Postal Code","Zip/Posta Kodu"
"or","veya"
