"# of Use","# Kullanımda"
"%1$s incl tax.","%1$s vergi dahil."
"%s Item(s)","%s Kayıt"
"(Copy data from: %s)","(Veri kaynağı : %s)"
"Back","Geri"
"Backend Model","Arka Uç Modeli"
"Backend Table","Arka Uç Tablosu"
"Backend Table Title","Arka Uç Tablo Başlığı"
"Backorders","Ön Siparişler"
"Based On","Dayalı"
"Before Order Confirmation","Sipariş Onayından Önce"
"Best Value","En İyi Değer"
"Block after Info Column","Bilgi Sütunundan sonra engelle"
"Bottom/Left","Alt/Sol"
"Bottom/Right","Alt/Sağ"
"Browse By","Daralt"
"Bundle Items","Birleştirilmiş Ürünler"
"Buy %1$s for %2$s","%1$s için %2$s öde"
"Buy %1$s for %2$s (%3$s incl. tax) each","%1$s al, her biri için %2$s öde (Vergi Dahil %3$s)"
"Buy %1$s for %2$s each","%1$s al, her biri için %2$s öde"
"Cache Lifetime (Seconds)","Ön Bellek Ömrü (Saniye)"
"Can be used only with catalog input type Dropdown","Sadece katalog girişi tipindeki Dropdown (açılır menü) ile kullanılır"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Sadece katalog girişi tipindeki açılır menülerde, Çoklu Seçimlerde ve Fiyatta kullanılabilir"
"Can't create image.","Resim Oluşturulamıyor."
"Cancel","İptal"
"Cart Item Attribute","Sepetteki ürün özelliği"
"Catalog","Katalog"
"Catalog Category Link","Katalog Kategorisi Bağlantısı"
"Catalog New Products List","Katalog Yeni Ürünler Listesi"
"Catalog Price Scope","Katalog Fiyat Kapsamı"
"Catalog Product Link","Katalog Ürün Bağlantısı"
"Catalog, Search","Katalog, Arama"
"Categories","Kategoriler"
"Categories Sitemap","Kategorilerin Site Haritası"
"Category","Kategori"
"Category API","Kategori API si"
"Category Data","Kategori Verisi"
"Category Flat Data","Kategori Sabit Tablosu "
"Category Link Block Template","Kategori Link Blok Şablonu"
"Category Link Inline Template","Kategori Link İnline Şablonu"
"Category Products","Kategori Ürünleri"
"Category Top Navigation","Kategori Üst Gezinme"
"Category URL Suffix","Kategori URL Soneki"
"Category attributes API","Kategori Özellikleri API si"
"Category move error","Kategori taşıma hatası"
"Center","Merkez"
"Change","Değiştir"
"Change or Retrieve attribute store view","Özellik görünümünü Gör/Değiştir"
"Change status","Durumu Değiştir"
"Check items to add to the cart or","Ürünleri seçip sepete ekleyiniz veya "
"Choose an Option...","Bir seçenek seçiniz..."
"Clear All","Hepsini Temizle"
"Clear Price","Net Fiyat"
"Click for price","Fiyat için tıklayınız"
"Close Window","Pencereyi Kapat"
"Collapse All","Hepsini Daralt"
"Comma-separated.","Virgülle ayrılmış."
"Comparable","Karşılaştırılabilir"
"Comparable on Front-end","Ön sayfada Karşılaştırılabilir"
"Compare","Karşılaştır"
"Compare Products","Ürünleri Karşılaştır"
"Conditions Combination","Koşullar listesi"
"Configurable Product","Ayarlanabilir Ürün"
"Configurable Product Settings","Ayarlanabilir Ürün Ayarları"
"Configure Product","Ürünü Yapılandır"
"Continue","Devam et"
"Copy From Configurable","Ayarlanabilir Üründen Kopyala"
"Country/State","Ülke/Eyalet"
"Create","Oluştur"
"Create (Upload)","Oluştur (Yükle)"
"Create Empty","Boş Oluştur"
"Create Permanent Redirect for URLs if URL Key Changed","URL anahtarı değişince, URL ler için kalıcı yönlendirme oluştur"
"Create Permanent Redirect for old URL","Eski URL için yönlendirme kaydı ekle"
"Create Product Settings","Ürün Ayarlarını Oluştur"
"Create Simple Associated Product","Basit Ürün Oluştur"
"Create new category","Yeni kategori Ekle"
"Create new product","Yeni Ürün Ekle"
"Cross-sells","Çapraz Satış"
"Custom Design","Özel tasarım"
"Custom Options","Özel Seçenekler"
"Customer Group","Müşteri Grupları"
"Customers Reviews","Müşterilerin Yorumları"
"Customers Tagged Product","Müşteriler tarafından eklenen etiketler"
"Data Type for Saving in Database","Veritabanına kaydederken kullanılacak veri tipi"
"Date & Time Custom Options","Tarih & Saat Özel Seçenekleri"
"Date Fields Order","Tarih Alanları Sıralaması"
"Date Subscribed","Eklendiği Tarih"
"Datetime","Tarih-Saat"
"Decimal","Ondalık"
"Declare attribute value saving scope","Özellik değeri kaydetme havuzunu belirtiniz"
"Default ""What's This"" Text Message","Varsayılan ""Bu Nedir"" Yazılı Mesajı"
"Default Popup Text Message","Varsayılan Açılır Pencere Mesajı"
"Default Price","Varsayılan fiyat"
"Default Price Navigation Step","Ana Fiyat Gezinme Adımı"
"Default Qty","Varsayılan Adet"
"Default Values","Varsayılan Değerler"
"Delete","Sil"
"Delete Attribute","Özelliği Sil"
"Delete Attribute Set","Özellik Setini Sil"
"Delete Category","Kategoriyi Sil"
"Delete Option","Seçeneği Sil"
"Delete Row","Satır Sil"
"Delete Search","Aramayı Sil"
"Delete Selected Group","Seçilen Grubu Sil"
"Delete Tier","Katmanı Sil"
"Delete category","Kategori Sil"
"Delete product","Ürün Sil"
"Depends on design theme","Temaya göre değişir"
"Description","Açıklama"
"Design","Tasarım"
"Details","Detaylar"
"Disabled","Kapalı"
"Disallowed file type.","İzin verilmeyen dosya türü."
"Display Actual Price","Güncel Fiyatları Göster"
"Display Page Control","Sayfa Kontrolü Göster"
"Display Price Interval as One Price","Fiyat aralığını tek bir fiyat olarak göster"
"Display Product Count","Ürün Sayısını Göster"
"Display Type","Tipi Göster"
"Display in Suggested Terms","Tavsiye edilen kelimelerde göster"
"Double click on a group to rename it","Adını değiştirmek istediğiniz gruba tıklayınız"
"Double click on above image to view full picture","Tam boyutu görmek için yukarıdaki resme çift tıklayınız"
"Downloadable Information","İndirilebilir Ürün Bilgisi"
"Duplicate","Çiftleme"
"Duplicate amount found.","Aynı toplam rakamından bir tane daha bulundu."
"Duplicate website tier price customer group and quantity.","Müşteri grubu ve adete özel fiyat vermek için çoğalt."
"Duplicate website, country and state tax found.","Çift web sitesi, ülke ve bölge vergisi bulundu."
"Edit","Düzenle"
"Edit Attribute Set '%s'","Özellik setini düzenle '%s'"
"Edit Product Attribute","Ürün Özelliğini Düzenle"
"Edit Product Attribute ""%s""","Ürün özelliğini düzelt ""%s"""
"Edit Search","Aramayı Düzenle"
"Edit Search '%s'","Aramayı Düzenle '%s'"
"Email","E-posta"
"Email to a Friend","Arkadaşına Gönder"
"Empty","Boş"
"Enable MAP","MAP Aktif et"
"Enable Qty Increments","Miktar Arttırımını Aktif et"
"Enabled","Aktif edildi"
"Error during retrieval of option value: %s","Seçenek değeri alınırken hata oluştu : %s"
"Exclude","Hariç Tut"
"Expand All","Hepsini Genişlet"
"Failed","tamamlanamadı"
"Failed to move file: %s","Dosya taşınamadı : %s"
"Feature Products","Özel Ürünler"
"File upload failed","Dosya yüklemede hata oluştu"
"Filter","Filtre"
"Filterable (no results)","Filtrelenebilir (sonuçsuz)"
"Filterable (with results)","Filtrelenebilir (sonuçlu)"
"First Name","Adı"
"Fixed","Sabit"
"For the last time placed.","Son eklendiğinde."
"Frontend","Ön Sayfa"
"Frontend Model","Ön Sayfa Modeli"
"Frontend Properties","Ön Sayfa Özellikleri"
"Gallery","Galeri"
"General Information","Genel Bilgi"
"Get special price","Özel fiyatı al"
"Global","Genel"
"Globally Editable","Global Düzenelenebilir"
"Go to Home Page","Ana Sayfasına Gidin"
"Grid","Izgara"
"Grouped Product","Grup Ürünü"
"Groups","Gruplar"
"Home","Ana Sayfa"
"ID","No"
"ID: %s","No: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Bir mağaza için özel bir değer belirlemezseniz varsayılan değer uygulanacaktır."
"Image","Resim"
"Image content is not valid base64 data.","Resim içeriği geçerli base64 verisi değil."
"Image type and information need to be specified for each store view.","Resim tipi ve bilgisi her mağaza için ayrı belirlenmeli."
"In Cart","Sepette"
"In Stock","stokta mevcut"
"In stock","stokta mevcut"
"Incl. Tax","Vergi Dahil"
"Index product prices","Ürün fiyatlarını indeksle"
"Indexed category/products association","Kategori/Ürün eşleşmesi indekslendi"
"Input Type","Giriş Tipi"
"Integer","Tamsayı"
"Interval Division Limit","Aralık Bölünme Limiti"
"Invalid Tier Prices","Hatalı Kanal Fiyatı"
"Invalid attribute %s","Hatalı özellik %s"
"Invalid image type.","Hatalı resim tipi."
"Invalid store specified","Hatalı mağaza seçimi"
"Inventory","Envanter"
"Is Default","Varsayılan"
"Is Required","Zorunlu"
"Items %s to %s of %s total","Ürünler %s - %s / Toplam %s "
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Katalogda veya ürün aramalarında gözükmesini istemediğiniz ürünler için istediğiniz mağazada 'Kapalı' seçiniz."
"Keep your eyes open for our special Back to School items and save A LOT!","Gözünüzü açın kampanyaları yakalayın!"
"Label","Etiket"
"Last Name","Soyadı"
"Last Notification","Son Bildirim"
"Layered Navigation","Katmanlı Gezinme"
"Learn More","Daha fazla bilgi"
"Line %d, Email: %s","Satır %d, Email: %s"
"Line %d, SKU: %s","Satır %d, Ürün Kodu: %s"
"Link (Related, Up sell, Cross sell)","Bağlantı (İlişkili, Üst Satış, Çapraz Satış)"
"Link to a Specified Category","Belirlenen kategoriyle ilişkilendir"
"Link to a Specified Product","Belirlenen ürünle ilişkilendir"
"List","Liste"
"List Mode","Liste Tipi"
"List of Products that are set as New","Yeni olarak işaretlenecek ürün listesi"
"Manage Attribute Sets","Özellik Setlerini Yönet"
"Manage Attributes","Özellikleri Yönet"
"Manage Catalog Categories","Katalog Kategorilerini Yönet"
"Manage Categories","Kategorileri Yönet"
"Manage Label / Options","Etiket / Seçenek Yönetimi"
"Manage Product Attributes","Ürün Özelliklerini Yönet"
"Manage Product Sets","Ürün Setlerini Yönet"
"Manage Stock","Stok Yönetimi"
"Manage Titles (Size, Color, etc.)","Etiketleri Yönet (Boyut, Renk vb...)"
"Max Characters","En fazla karakter"
"Maximal Depth","En yüksek Derinlik"
"Maximum Image Size","En yüksek Resim Boyutu"
"Maximum Number of Price Intervals","En yüksek Fiyat Aralık Sayısı"
"Maximum Qty Allowed in Shopping Cart","Sepette izin verilen en yüksek miktar"
"Maximum image height","En fazla resim yüksekliği"
"Maximum image width","En fazla resim genişliği"
"Maximum number of characters:","En fazla karakter sayısı:"
"Maximum number of price intervals is 100","En yüksek Fiyat Aralık Sayısı 100 dür"
"Media Image","Resim"
"Minimum Advertised Price","Minimum Reklam Ücreti"
"Minimum Qty Allowed in Shopping Cart","Sepette izin verilen en düşük miktar"
"Minimum Qty for Item's Status to be Out of Stock","Ürünün stokta yok gözükmesi için gerekli adet"
"More Views","Diğer Görünümler"
"Move","Taşı"
"Move category in tree","Kategoriyi ağaç içinde taşı"
"Must be in the allowed values list.","İzin verilen değerler listesinde olması gerekir."
"My Account","Hesabım"
"N/A","Mevcut Değil"
"Name","Adı"
"New Product","Yeni Ürün"
"New Product Attribute","Yeni Ürün Özelliği"
"New Products","Yeni Ürünler"
"New Products Grid Template","Yeni Ürünler Izgara Görünümü"
"New Products List Template","Yeni Ürünler Liste Görünümü"
"New Search","Yeni Arama"
"New Set Name","Yeni Set Adı"
"New products","Yeni Ürünler"
"Next","Sonraki"
"No","Hayır"
"No image","Resim yok"
"No layout updates","Şablon güncelleme yok"
"No options of this product are available.","Bu ürünün seçenekleri yok."
"None","Hiçbiri"
"Not Visible Individually","Tek başına Görünmez"
"Notify Low Stock RSS","Düşük Stok RSS Akışı"
"Notify for Quantity Below","Miktar Aşağısını Bildir"
"Number of Products per Page","Sayfa başına Ürün Sayısı"
"Number of Products to Display","Gösterilecek Ürün Sayısı"
"Number of Uses","Kullanım Sayısı"
"Number of results","Sonuç numarası"
"Number of results (For the last time placed)","Sonuç sayısı (Son eklendiğinde)"
"OK","TAMAM"
"OR","VEYA"
"Old Price:","Eski fiyat :"
"On Gesture","Jest üzerinde"
"Option:","Seçenek:"
"Options","Seçenekler"
"Options Control","Seçenek Kontrolü"
"Options is required","Seçenek gerekli"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Müşteri destek sistemimize ulaşmak için iletişim sayfamıza bakınız."
"Out of Stock","Stok mevcut değil"
"Out of stock","Stok mevcut değil"
"PM","Öğleden Sonra"
"Page Title Separator","Sayfa Başlık Ayracı"
"Parent Category","Üst Kategori"
"Pending","Bekliyor"
"Pending Reviews RSS","Bekleyen Yorumlar RSS Akışı"
"Percentage","Yüzde"
"Please add rows to option.","Lütfen seçeneğe satır ekleyiniz."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Lütfen dikkatli olunuz. Bu satıra bir kere tıkladığınızda seçili dosyadan veriler yüklenecek, kaydedilmemiş verileriniz kaybolacaktır."
"Please enter a new group name","Yeni bir Grup Adı giriniz"
"Please select one or more attributes.","Lütfen bir veya daha fazla özellik seçiniz."
"Please select products for attributes update","Lütfen özellikleri güncellenecek ürünleri seçiniz"
"Please specify date required option(s).","Lütfen tarih için zorunlu seçenek(ler)i belirleyiniz."
"Please specify the number of products, that will not be divided into subintervals.","En kısa bölünme limiti için ürün sayısını belirtiniz."
"Please specify the product required option(s)","Lütfen gerekli olan ürün seçeneklerini seçiniz"
"Please specify the quantity of product(s).","Lütfen ürün (ler) miktarını belirtin."
"Please specify time required option(s).","Lütfen saat için zorunlu seçenek(ler)i  belirleyiniz."
"Please wait...","Lütfen bekleyin..."
"Position","Konum"
"Position in Layered Navigation","Katmanlı Gezinmedeki Yeri"
"Position of attribute in layered navigation block","Özelliğin Katmanlı Gezinme Menüsündeki Yeri"
"Prev","Önceki"
"Previous","Önceki"
"Price","Fiyat"
"Price Navigation Step Calculation","Fiyat Gezinmesi Adım Hesaplaması"
"Price Type","Fiyat Tipi"
"Price values for options should be specified in system base currency.","Ürün Seçeneklerinin ücretlendirilmesi sistemde kullanılan varsayılan para birimi ile yapılmalıdır."
"Price:","Fiyat:"
"Print This Page","Bu sayfayı yazdır"
"Product","Ürün"
"Product API","Ürün API si"
"Product Alerts","Ürün Alarmları"
"Product Attribute","Ürün Özellikleri"
"Product Attributes","Ürün Özellikleri"
"Product Categories","Ürün Kategorileri"
"Product Description","Ürün Açıklaması"
"Product Flat Data","Sabit Ürün Tablosu"
"Product ID","Ürün ID"
"Product Image Placeholders","Ürün Resmi Çerçevesi"
"Product Image Watermarks","Ürün Resmi Kopya Koruması"
"Product Images","Ürün Resimleri"
"Product Images API","Ürün Resimleri API si"
"Product In Websites","Websitelerindeki Ürün"
"Product Info Column","Ürün Bilgi Sütunu"
"Product Information","Ürün Bilgisi"
"Product Link Block Template","Ürün Link Blok Şablonu"
"Product Link Inline Template","Ürün Linki İç Şablonu"
"Product Listing Sort by","Ürün Listeleme Sıralaması"
"Product Name","Ürün Adı"
"Product Reviews","Ürün Yorumları"
"Product Tags","Ürün Etiketleri"
"Product Tier Price API","Ürün kanal fiyatı API si"
"Product Type","Ürün Tipi"
"Product URL Suffix","Ürün URL Soneki"
"Product attribute sets API","Ürün özellik setleri API si"
"Product attributes API","Ürün özellikleri API si"
"Product is not loaded","Ürün yüklenemedi"
"Product links API (related, cross sells, up sells)","Ürün Bağlantıları API si (ilişkili, çapraz satış, üst satış)"
"Product types API","Ürün Tipleri API si"
"Product with this combination of attributes already associated to configurable.","Bu ürün aynı kombinasyonla Ayarlanabilir Ürün olarak zaten var."
"Products","Ürünler"
"Products Comparison List","Ürün Karşılaştırma Listesi"
"Products Information","Ürün Bilgisi"
"Products Reviews","Ürün Yorumları"
"Products Sitemap","Ürünlerin site haritası"
"Products only","Sadece ürünler"
"Products per Page on Grid Allowed Values","Izgara Modunda İzin Verilen Sayfa Başı Ürün Sayısı"
"Products per Page on Grid Default Value","Izgara Modunda Varsayılan Sayfa Başı Ürün Sayısı"
"Products per Page on List Allowed Values","Liste Modunda İzin Verilen Sayfa Başı Ürün Sayısı"
"Products per Page on List Default Value","Liste Modunda Varsayılan Sayfa Başı Ürün Sayısı"
"Properties","Özellikler"
"Qty","Miktar"
"Qty Increments","Miktar Arttırımı"
"Qty Uses Decimals","Miktarda Ondalık Kullan"
"Qty:","Miktar:"
"Quantity","Miktar"
"Quick Create","Hızlı Oluştur"
"Quick Overview","Hızlı Gözat"
"Quick simple product creation","Hızlı basit ürün oluşturma"
"Redirect","Yönlendirilmiş"
"Redirect URL","Yönlendirilen URL"
"Regular Price:","Normal Fiyat :"
"Related Products","İlişkili Ürünler"
"Remove","Kaldır"
"Remove Product From Websites","Ürünü Websitelerinden Sil"
"Remove This Item","Bu ürünü sil"
"Remove product assignment","Ürün atamasını kaldır"
"Remove product image","Ürün resmini sil"
"Remove product link","Ürün bağlantısını sil"
"Reorganize EAV category structure to flat structure","EAV kategori yapısını sabit yapıya çevir"
"Reorganize EAV product structure to flat structure","EAV ürün yapısını sabit yapıya çevir"
"Reset","Sıfırla"
"Results","Sonuçlar"
"Retrieve attribute data","Özellik verisi al"
"Retrieve attribute list","Özellik listesi al"
"Retrieve attribute options","Özellik seçeneklerini al"
"Retrieve categories tree","Kategori ağacını al"
"Retrieve category attributes","Kategori özelliklerini al"
"Retrieve category data","Kategori verisini al"
"Retrieve hierarchical tree","Hiyerarşik ağacı al"
"Retrieve linked products","Bağlantılı ürünleri al"
"Retrieve list of assigned products","Atanmış ürünlerin listesini al"
"Retrieve one level of categories by website/store view/parent category","Kategorilerin bir seviyesini, web sitesine/mağaza görünümüne/üst kategoriye göre al"
"Retrieve product","Ürün bilgisi oku"
"Retrieve product attribute sets","Ürün özellik setlerini al"
"Retrieve product image","Ürün resmini al"
"Retrieve product image list","Ürün resim listesini al"
"Retrieve product image types","Ürün resim tiplerini al"
"Retrieve product link type attributes","Ürün bağlantı tipi özelliklerini al"
"Retrieve product link types","Ürün bağlantı tipilerini al"
"Retrieve product tier prices","Ürün kanal fiyatlarını al"
"Retrieve product types","Ürün tiplerini al"
"Retrieve products data","Ürün verisini al"
"Retrieve products list by filters","Ürün listesini filtreleyerek al"
"Reviews","Yorumlar"
"Roll Over for preview","Önizleme için üstüne gidin"
"Root","Kök dizin"
"SKU","Ürün Kodu"
"Save","Kaydet"
"Save Attribute","Özelliği Kaydet"
"Save Attribute Set","Özellik Setini Kaydet"
"Save Category","Kategoriyi Kaydet"
"Save Search","Aramayı Kaydet"
"Save and Continue Edit","Kaydet ve Devam Et"
"Scope","Kapsam"
"Scope must not be changed, because the attribute is used in configurable products.","Havuz değiştirilemez, çünkü bu özellik bazı ayarlanabilir ürünlerde kullanıldı."
"Search","Arama"
"Search Engine Optimizations","Arama Motoru Optimizasyonları"
"Search Information","Arama Bilgisi"
"Search Query","Aranan Sorgu"
"Search Weight","Arama ağırlık"
"Searchable","Aranabilir"
"See price before order confirmation.","Siparişi onaylamadan önce fiyata bakın."
"Select Category...","Kategori Seçiniz..."
"Select Configurable Attributes ","Ayarlanabilir Ürün Özelliklerini Seç "
"Select Product...","Ürün Seçiniz..."
"Select type of option","Seçenek tipi seçiniz"
"Select type options required values rows.","Seçenek tipi için gerekli değerleri seçiniz."
"Selected Product Types","Seçili Ürün Tipleri"
"Send Count","Sayımı Gönder"
"Set Ascending Direction","Küçükten Büyüğe Sıralamayı Ayarla"
"Set Descending Direction","Büyükten Küçüğe Sıralamayı Ayarla"
"Set Name","İsmi Ayarla"
"Set root category for this store in the <a href=""%s"">configuration</a>","Mağaza için En Üst Kategoriyi seçmek için <a href=""%s"">BURAYA</a> tıklayınız"
"Set special price","Özel fiyat belirle"
"Set/Get current store view","Mevcut mağaza görünümünü Göster/Düzenle"
"Settings","Ayarlar"
"Shop By","Ürünleri Filtrele"
"Shopping Options","Alışveriş Seçenekleri"
"Show","Göster"
"Show Details","Detayları Göster"
"Show Tags","Etiketleri Göster"
"Simple Product","Basit Ürün"
"Site Map","Site Haritası"
"Sitemap","Site Haritası"
"Skip import row, is not valid value ""%s"" for field ""%s""","Satırı almayı atla, ""%s"" geçerli bir değer değil. ( Alan : ""%s"")"
"Some of the selected item options are not currently available.","Seçilen seçeneklerden bazıları şu anda kullanılabilir değil."
"Sort By","Sırala"
"Sort Order","Sıralama"
"Source Model","Kaynak Modeli"
"Special Price:","Özel Fiyat:"
"Starting at:","Başlama :"
"Static","Statik"
"Static block and products","Sabit blok ve ürünler"
"Static block only","Sadece sabit blok"
"Status","Durum"
"Stock Availability","Stok Durumu"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"Stretch","Esnet"
"Subscribe to RSS Feed","RSS Kaynağına Abone Olun"
"Super product attributes configuration","Süper ürün özellikleri ayarı"
"Synonym For","Eşanlamlısı"
"System Properties","Sistem Özellikleri"
"Tag Name","Etiket Adı"
"Tax","Vergi"
"Template","Şablon"
"Text","Yazı"
"The base directory to upload file is not specified.","Yüklenecek dosyalar için ana klasör seçimi yapılmamış."
"The review was removed by another user or does not exist.","Yorum başka bir kullanıcı tarafından silindi veya bulunamadı."
"There are no %s available.","Hiç %s yok."
"There are no customers for this alert","Bu alarma bağlı müşteri yok"
"There are no customers for this alert.","Bu alarma bağlı müşteri yok."
"There are no products matching the selection.","Seçiminizle eşleşen ürün yok."
"This attribute cannot be edited.","Bu özellik düzenlemedi."
"This attribute is used in configurable products.","Bu özellik ayarlanabilir ürünlerde kullanıldı."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Bu özellik ayarlanabilir ürünlerde kullanıldı. Bu özelliği, özellik setinden çıkaramazsınız."
"This attribute no longer exists","Özellik bulunamıyor"
"This attribute set no longer exists.","Bu özellik seti kaydına ulaşılamıyor."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Bu gruptaki bazı özellikler bazı ayarlanabilir ürünlerde kullanıldı. Bu özellikleri başka gruba kaydırarak tekrar deneyiniz."
"This group contains system attributes. Please move system attributes to another group and try again.","Bu grup bazı sistem özelliklerini içeriyor. Bu sistem özelliklerini başka gruba kaydırıp tekrar deneyiniz."
"This is a required option","Bu seçenek zorunludur"
"This search no longer exists.","Arama kaydına ulaşılamıyor."
"This setting will be applied when all prices in the specific price interval are equal.","Bu ayar, belirli bir fiyat aralığında fiyatların eşit olması durumunda uygulanacak."
"Tier Pricing","Kanal Fiyatı"
"Tile","Döşe"
"Time Format","Zaman Biçimi"
"Title","Başlık"
"To see product price, add this item to your cart. You can always remove it later.","Ürünün fiyatını görmek için sepetinize ekleyiniz. İstediğiniz zaman sepetinizden bu ürünü silebilirsiniz."
"Top/Left","Üst/Sol"
"Top/Right","Üst/Sağ"
"Total Qty Base Items","Temel Ürün Adedi"
"Total incl. Tax: %1$s","Vergi Dahil Toplam: %1$s"
"Type","Tip"
"URL Rewrite Management","URL yeniden yazım yönetimi"
"Unassigned Attributes","Atanmamış Ürün Özellikleri"
"Up-sells","Üst Satışlar"
"Update","Güncelle"
"Update Attributes","Özellikleri Güncelle"
"Update Tier Price","Kanal Fiyatını Güncelle"
"Update assigned product","Bağlı Ürünü Güncelle"
"Update attributes","Özellikleri Güncelle"
"Update category","Kategoriyi Güncelle"
"Update product","Ürünü Güncelle"
"Update product image","Ürün resmini Güncelle"
"Update product link","Ürün bağlantısını Güncelle"
"Update product tier prices","Ürün kanal fiyatlarını Güncelle"
"Upload new product image ","Yeni ürün resmi yükle"
"Use Canonical Link Meta Tag For Categories","Kategoriler için sanal link meta etiketi kullan"
"Use Canonical Link Meta Tag For Products","Ürünler için sanal link meta etiketi kullan"
"Use Categories Path for Product URLs","Kategori yolunu ürün Url lerinde kullan"
"Use Config Settings","Yapılandırma Ayarlarını Kullan"
"Use Default Value","Varsayılan Değeri Kullan"
"Use Flat Catalog Category","Sabit Katalog Kategori Tablosu Kullan"
"Use Flat Catalog Product","Ürünlerde Sabit Katalog Kullan"
"Use In Layered Navigation","Katmanlı Menüde Kullan"
"Use In Search Results Layered Navigation","Arama Sonuçları Katmanlı Gezinme alanında kullan"
"Use JavaScript Calendar","JavaScript Takvim Kullan"
"Use To Create Configurable Product","Ayarlanabilir Ürün oluştururken kullan"
"Use Tree Like Category Sitemap","Ağaç Tipi Kategori Site Haritası Kullan"
"Use config","Yapılandırmayı kullan"
"Use default","Varsayılanı Kullan"
"Use for Promo Rule Conditions","Promosyon Kuralı Koşullarında Kullan"
"Use in Layered Navigation","Katmanlı Gezinmede Kullan"
"Used for Sorting in Product Listing","Ürün Listesinde Sıralama için Kullan"
"Used in Product Listing","Ürün Listelemede Kullanıldı"
"Varchar","Değişken Uzunluklu Karakter Kümesi"
"View Details","Detayları Göster"
"View as","Listeleme Şekli"
