" [deleted]"," [silindi]"
"Add New Variable","Yeni Değişken Ekle"
"Add Products","Ürün Ekle"
"Add URL Rewrite","URL Yeniden Yazma Ekle"
"Add URL Rewrite for a Category","Kategori için URL Yeniden Yazımı Ekle"
"Add URL Rewrite for a Product","Ürün için URL Yeniden Yazımı Ekle"
"Add after","Sonra Ekle"
"Additional Cache Management","Ek Ön Bellek Yönetimi"
"Address Type:","Adres Tipi:"
"Admin","Yönetim"
"Advanced Profiles","Gelişmiş Profiller"
"All","Tümü"
"All Allowed Countries","İzin verilen Tüm ülkeler"
"All Cache","Tüm Ön Bellek"
"All Files","Tüm dosyalar"
"All Reviews","Tüm Yorumlar"
"All Store Views","Tüm Mağaza Görünümleri"
"All Tags","Tüm Etiketler"
"All Websites","Tüm Web siteleri"
"All countries","Tüm ülkeler"
"All fields","Tüm alanlar"
"All valid rates have been saved.","Bütün geçerli oranlar kaydedildi."
"Always (during development)","Herzaman (Geliştirme esnasında)"
"Amounts","Tutarlar"
"An error occurred while clearing the JavaScript/CSS cache.","JavaScript/CSS ön belleği temizlenirken bir hata meydana geldi."
"An error occurred while clearing the image cache.","Resim ön belleği temizlenirken bir hata meydana geldi."
"An error occurred while deleting this role.","Bu rol silinirken bir hata meydana geldi."
"An error occurred while saving account.","Hesap kaydedilirken bir hata meydana geldi."
"An error occurred while saving this role.","Bu rol kaydedilirken bir hata meydana geldi."
"Any","Herhangi biri"
"Any Attribute Set","Herhangi bir Özellik Seti"
"Any Group","Herhangi bir Grup"
"Any Status","Herhangi bir Durum"
"Any Store","Herhangi bir Mağaza"
"Any Type","Herhangi bir Tip"
"Any Visibility","Herhangi bir Görünüm"
"Archive file name:","Arşiv dosya adı:"
"Are you sure that you want to delete this template?","Bu temayı silmek istediğinizden emin misiniz ?"
"Are you sure that you want to strip tags?","Etiketleri görmezden gelmek istediğinizden emin misiniz ?"
"Are you sure you want to do this?","Bu işlemi yapmak istediğinizden emin misiniz?"
"Area","Alan"
"As low as:","En ucuz :"
"Assigned","Atandı"
"Attribute Set Name:","Özellik Seti Adı :"
"Attributes","Öznitelikler"
"Authorize","Yetkilendir"
"Automatic (equalize price ranges)","Otomatik (fiyat aralıklarını eşitle)"
"Automatic (equalize product counts)","Otomatik (ürün sayılarını eşitle)"
"Average Order Amount","Sipariş Toplamı Ortalaması"
"Average Orders","Sipariş Başı Ortalama Toplam"
"Back","Geri"
"Back to Login","Giriş Sayfasına Dön"
"Backup","Yedek"
"Backup Name","Yedek Adı"
"Backup options","Yedekleme ayarları"
"Backups","Yedekler"
"Base currency","Ana Para Birimi"
"Bcc","Gizli"
"Bestsellers","En çok Satanlar"
"Billing Address","Fatura Adresi"
"Billing Address: ","Fatura Adresi: "
"Billing Agreement","Ödeme Sözleşmesi"
"Billing Agreements","Ödeme anlaşmaları"
"Block Information","Blok bilgi"
"Blocks","Bloklar"
"Both (without and with tax)","İkisi (Vergisiz ve vergi dahil)"
"Browse Files...","Dosyalara Gözat..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Dinamik fiyatlandırma ile ek ürün, özel seçenek olarak eklenemez. Seçenekler kaydedilmeyecek."
"By Email","E-posta ile"
"By IP","IP ile"
"By IP and Email","IP ve E posta ile"
"CMS","İçerik Yönetimi (CMS)"
"CRITICAL","KRİTİK"
"CSV","Csv"
"CSV / Tab separated","CSV / Sekme ile ayrılmış"
"Cache Control","Ön Bellek Kontrolü"
"Cache Control (beta)","Önbellek Kontrolü (beta)"
"Cache Management","Ön Bellek Yönetimi"
"Cache Type","Ön Bellek Tipi"
"Cancel","İptal"
"Cannot add new comment.","Yeni açıklama eklenemiyor."
"Cannot add tracking number.","İzleme numarası eklenemiyor."
"Cannot do shipment for the order separately from invoice.","Sipariş için faturadan ayrı teslimat oluşturulamıyor."
"Cannot do shipment for the order.","Sipariş için teslimat oluşturulamadı."
"Cannot save shipment.","Teslimat kaydedilemedi."
"Cannot send shipment information.","Teslimat bilgisi gönderilemedi."
"Cannot update item quantity.","Ürün adedi güncellenemedi."
"Card Verification Number","Kart Güvenlik Numarası"
"Catalog","Katalog"
"Catalog Price Rules","Katalog Fiyat Kuralları"
"Catalog Rewrites","Katalog Yeniden Yazımı"
"Categories","Kategoriler"
"Category","Kategori"
"Category:","Kategori:"
"Checkbox","Onay Kutusu"
"Child Transactions","Alt İşlemler"
"Choose Store View:","Mağaza Görünümünü Seçiniz:"
"Choose an attribute","Özellik Seç"
"Clear","Temizle"
"Close","Kapat"
"Code","Kod"
"Complete","Tamamlandı"
"Config form fieldset clone model required to be able to clone fields","Yapılandırma formu alanseti klonu modeli, alanları klon edebilmek için gereklidir."
"Configuration","Yapılandırma"
"Confirm New Password","Yeni Şifreyi Onayla"
"Confirmed email:","E-posta Onaylandı:"
"Continue","Devam et"
"Convert to Plain Text","Düz yazıya çevir"
"Cookie (unsafe)","Cookie (Güvenli Değil)"
"Country","Ülke"
"Country:","Ülke:"
"Coupons","Kuponlar"
"Create","Oluştur"
"Create DB Backup","Veritabanı Yedeği Oluştur"
"Create New Attribute","Yeni Ürün Özellik Oluştur"
"Created At","Oluşturulduğu Tarih"
"Credit Card Number","Kredi Kartı Numarası"
"Credit Card Number: xxxx-%s","Kredi Kartı Numarası: xxxx-%s"
"Credit Card Type","Kredi Kartı Tipi"
"Credit Card Type: %s","Kredi Kartı Tipi: %s"
"Credit Memo History","İade Kaydı Geçmişi"
"Credit Memo Totals","İade Kaydı Toplamları"
"Credit Memos","İade Kayıtları"
"Currency","Para Birimi"
"Currency Information","Para Birimi Bilgisi"
"Current Configuration Scope:","Mevcut Yapılandırma Kapsamı:"
"Current Month","Bu Ay"
"Custom","Özel"
"Custom Variables","Özel değişkenler"
"Customer","Müşteri"
"Customer Group:","Müşteri Grubu:"
"Customer Groups","Müşteri Grupları"
"Customer Name","Müşteri Adı"
"Customer Reviews","Müşteri Yorumları"
"Customer Shopping Carts","Müşteri Alışveriş Sepetleri"
"Customer Since:","Müşteri Geçmişi :"
"Customer Tax Classes","Müşteri Vergi Sınıfları"
"Customer with the same email already exists.","Aynı adla bir müşteri kaydı zaten var."
"Customers","Müşteriler"
"Customers by Number of Orders","Sipariş Sayısına Göre Müşteriler"
"Customers by Orders Total","Sipariş Toplamına göre Müşteriler"
"DHTML Date/Time Selector","DHTML Tarih/Saat Seçici"
"Dashboard","Panel"
"Data Format","Veri Biçimi"
"Data transfer:","Veri Aktarımı :"
"Database","Veritabanı"
"Date","Tarih"
"Date & Time","Tarih & Saat"
"Date Added","Eklenme Tarihi"
"Date Updated","Güncellenme Tarihi"
"Date selection:","Tarih Seçici :"
"Date selector","Tarih Seçici"
"Day","Gün"
"Debug","Hata düzeltme"
"Decimal separator:","Ondalık Ayracı :"
"Default (Admin) Values","Varsayılan (Yönetici) Değerleri"
"Default Billing Address","Varsayılan Fatura Adresi"
"Default Config","Varsayılan yapılandırma"
"Default Template from Locale","Yerelleştirilmiş Varsayılan Tema"
"Default Values","Varsayılan Değerler"
"Default scope","Varsayılan Kapsam"
"Delete","Sil"
"Delete %s","Sil %s"
"Delete %s '%s'","Sil %s '%s'"
"Delete Block","Bloğu Sil"
"Delete File","Dosya Sil"
"Delete Image","Resim Sil"
"Delete Profile","Profili Sil"
"Delete Role","Kural sil"
"Delete Store","Mağazayı Sil"
"Delete Store View","Mağaza Gorunumünü Sil"
"Delete Template","Şablonu Sil"
"Delete User","Kullanıcıyı Sil"
"Delete Website","Web Sitesini Sil"
"Description","Açıklama"
"Design","Tasarım"
"Details","Detaylar"
"Direction:","Yön :"
"Disable","İptal et"
"Disabled","Kapalı"
"Display %s first","%s Göster"
"Display default currency","Ana para birimini göster"
"Distributed under GNU LGPL. See %s for details.","GNU LGPL Lisansı ile dağıtılmaktadır. Detaylar için : %s."
"Do you really want to KILL parallel process and start new indexing process?","Paralel işlemi sonlandırarak yeni bir indeksleme işlemi başlatmak istiyor musunuz ?"
"Download","İndir"
"Downloads","İndirmeler"
"Drag to move","Taşımak için sürükleyiniz"
"Drop-down","Açılır Menü"
"Edit","Düzenle"
"Edit Block","Bloğu Düzenle"
"Edit Block '%s'","Bloku Düzenle '%s'"
"Edit Design Change","Tasarım Değişimini Düzenle"
"Edit Email Template","E-posta Temasını Düzenle"
"Edit Order","Siparişi Düzenle"
"Edit Poll","Anket Düzenle"
"Edit Queue","Kuyruğu Düzenle"
"Edit Review","Yorumu Düzenle"
"Edit Role","Yetki Sınıfı Düzenle"
"Edit Store View","Mağaza Görünümünü Düzenle"
"Edit System Template","Sistem Şablonunu Düzenle"
"Edit Template","Şablonu Düzenle"
"Edit URL Rewrite","URL yeniden yazımı Düzenle"
"Edit User","Kullanıcı Düzenle"
"Edit User '%s'","Kullanıcı Düzenle : '%s'"
"Edit Variable","Değişkeni düzenle"
"Edit Website","Web Sitesi Düzenle"
"Email","E-posta"
"Email Address:","E-posta Adresi:"
"Email to a Friend","Arkadaşına Gönder"
"Email:","E-posta:"
"Enable","Aktif et"
"Enabled","Aktif edildi"
"Enclose Values In:","Değerleri Birleştir :"
"Entity Attributes","Varlık Özellikleri"
"Entity Type","Varlık Tipi"
"Entity type:","Varlık Tipi:"
"Error","Hata"
"Excl. Tax","Vergi Hariç"
"Excl. Tax:","Vergi Hariç :"
"Exclude media folder from backup","Media klasörünü yedekten hariç tut"
"Expiration Date","Son Kullanma Tarihi"
"Expiration Date: %s/%s","Bitiş Tarihi: %s/%s"
"Export","Ver"
"Export CSV","CSV Olarak Kaydet"
"Export Filters","Veri Çıkarma Filtreleri"
"Export to:","Dışarı Çıkarılan:"
"Export:","Dışarı Veri Çıkar:"
"FTP Host","FTP Sunucu"
"FTP Host[:Port]","FTP Sunucu[:Port]"
"FTP Login","FTP Kullanıcı Adı"
"FTP Password","FTP Şifre"
"FTP credentials","FTP bilgileri"
"Failed","tamamlanamadı"
"Field","Alan"
"Field Mapping","Alan Eşleştirme"
"File","Dosya"
"File Information","Dosya Bilgisi"
"File System","Dosya Sistemi"
"File name:","Dosya Adı :"
"File size should be more than 0 bytes","Dosya boyutu 0 bayttan büyük olmalı"
"Finished profile execution.","Profil çalıştırma tamamlandı."
"First Invoice Created Date","İlk Fatura Oluşturulma Tarihi"
"First Name","Adı"
"First Name:","Adı:"
"Fixed","Sabit"
"Flush Catalog Images Cache","Katalog Resimleri Ön Belleğini Temizle"
"Flush JavaScript/CSS Cache","JavaScript/CSS Ön Belleğini Temizle"
"For category","Kategori için"
"For latest version visit: %s","Son sürüm için : %s"
"For product","Ürün için"
"Forgot your password?","Şifrenizi mi Unuttunuz?"
"Forgot your user name or password?","Kullanıcı adınızı veya şifrenizi mi unuttunuz ?"
"From","Baş"
"General Information","Genel Bilgi"
"Get Image Base64","Base64 Resim Al"
"Global Attribute","Genel Öznitelik"
"Global Record Search","Genel Arama"
"Global Search","Genel Arama"
"Go Today","Bugüne Git"
"Go to Top","Yukarı git"
"Grand Total","Genel Toplam"
"Grid (default) / List","Izgara (varsayılan) / Liste"
"Grid Only","Sadece Izgara"
"Group:","Grup:"
"Guest","Misafir"
"HTTP (unsecure)","HTTP (güvenli olmayan)"
"Home","Ana Sayfa"
"ID","No"
"ID Path","ID Yolu"
"IP Address","IP Adres"
"IPN (Instant Payment Notification) Only","Sadece IPN (Anında Ödeme Bildirimi)"
"Id","No"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Bir mağaza için özel bir değer belirlemezseniz varsayılan değer uygulanacaktır."
"Images (.gif, .jpg, .png)","Resimler (.gif, .jpg, .png)"
"Images Cache","Resim Ön Belleği"
"Import","Veri Al"
"Import Service","İçeri Aktarma Hizmeti"
"Import and Export Tax Rates","Vergi Oranlarını Al ve Ver"
"Import/Export","İçeri Aktarma/Dışarı Çıkarma"
"Import/Export Advanced","Gelişmiş Veri Al/Ver"
"Import/Export Profile","Veri Ver/Al Profili"
"Important: ","Önemli: "
"Imported <strong>%s</strong> records","<strong>%s</strong> kayıt alındı"
"In","Para"
"In Database:","Veritabanında :"
"In File:","Dosyada :"
"Inactive","Pasif"
"Incl. Tax","Vergi Dahil"
"Incl. Tax:","Vergi Dahil:"
"Incoming Message","Gelen Mesaj"
"Insert Variable...","Değişken ekle..."
"Interactive","Etkileşimli"
"Interface Locale: %s","Arayüz Dili: %s"
"Invalid Form Key. Please refresh the page.","Geçersiz Form Anahtarı. Lütfen sayfayı yenileyin."
"Invalid Import Service Specified","Hatalı veri alma servisi seçildi"
"Invalid Secret Key. Please refresh the page.","Invalid Secret Key. Lütfen sayfayı yenileyiniz."
"Invalid data","Hatalı veri"
"Invalid directory: %s","Hatalı Klasör : %s"
"Invalid file: %s","Hatalı Dosya : %s"
"Invalid input data for %s => %s rate"," %s  için hatalı giriş verisi => %s "
"Invalid parent block for this block","Bu blok için hatalı ana blok"
"Invalidated","Geçersiz"
"Inventory Stock Status","Envanter Stok Durumu"
"Invoice #%s comment added"," #%s numaralı fatura için not eklendi"
"Invoice #%s created","#%s numaralı fatura oluşturuldu"
"Invoice History","Fatura Geçmişi"
"Invoice Totals","Fatura Toplamları"
"Invoices","Faturalar"
"Is Closed","Kapatıldı"
"Is Default","Varsayılan"
"Issue Number","İşlem Numarası"
"Items","Ürünler"
"JavaScript seems to be disabled in your browser.","Tarayıcınızda, Javascript Özelliği kapatılmış olarak görünmektedir."
"JavaScript/CSS Cache","JavaScript/CSS Ön Belleği"
"Last 24 Hours","Son 24 Saat"
"Last 5 Orders","Son 5 Sipariş"
"Last 5 Search Terms","Son 5 Aranan Kelime"
"Last 7 Days","Son 7 Gün"
"Last Credit Memo Created Date","Son İade Kaydı Oluşturulma Tarihi"
"Last Invoice Created Date","Son Fatura Oluşturulma Tarihi"
"Last Logged In (%s):","Son Giriş (%s):"
"Last Logged In:","Son Giriş:"
"Last Name","Soyadı"
"Last Name:","Soyadı:"
"Latest Message:","Son Mesaj :"
"Layered Navigation Indices","Katmanlı Gezinme İndisleri"
"Leave empty to use tax identifier","Vergi tanımlayıcısı kullanmak için boş bırakınız"
"Lifetime Sales","Ömürboyu Satışlar"
"Links","Bağlantılar"
"List (default) / Grid","Liste (varsayılan) / Izgara"
"List Only","Sadece Liste"
"Load Template","Şablon Yükle"
"Load default template","Varsayılan Temayı Yükle"
"Loading...","Yükleniyor..."
"Local Server","Yerel Sunucu"
"Local/Remote Server","Yerel/Uzak Sunucu"
"Locale","Yerel"
"Log In","Giriş"
"Log Out","Çıkış"
"Log in to Admin Panel","Yönetici Paneline Giriş"
"Logged in as %s","%s olarak giriş yapıldı"
"Login","Giriş"
"Low Stock","Düşük Stok"
"MAJOR","BÜYÜK"
"MINOR","KÜÇÜK"
"OpenMage Admin","OpenMage Yönetici"
"Magento Logo","OpenMage Logosu"
"Magento root directory","OpenMage Ana Dizini"
"Content","İçerik"
"Currency Rates","Döviz kurları"
"Tax Rules","Vergi Kuralları"
"Tax Zones and Rates","Vergi bölgeleri ve oranları"
"Manual","Elle"
"Maximum sender name length is 255. Please correct your settings.","En yüksek gönderici adı uzunluğu 255 karakterdir. Lütfen ayarlarınızı kontrol ediniz."
"Media (.avi, .flv, .swf)","Medya (.avi, .flv, .swf)"
"Messages Inbox","Mesaj Gelen Kutusu"
"Month","Ay"
"Most Viewed","En çok Görülen"
"Most Viewed Products","En Çok İzlenen Ürünler"
"Multiple Select","Çoklu Seçim"
"My Account","Hesabım"
"N/A","Mevcut Değil"
"NOTICE","NOT"
"Name","Adı"
"Name on Card","Kart Üzerindeki İsim"
"Name on the Card: %s","Kart Üzerindeki İsim: %s"
"Name:","Adı:"
"Never (production)","Asla (site gerçek yayındayken)"
"New ","Yeni "
"New Accounts","Yeni Hesaplar"
"New Attribute","Yeni Özellik"
"New Block","Yeni Blok"
"New Category","Yeni Kategori"
"New Class","Yeni Sınıf"
"New Condition","Yeni Koşul"
"New Custom Variable","Yeni Özel Değişken"
"New Customer","Yeni Müşteri"
"New Customers","Yeni Müşteriler"
"New Design Change","Yeni Tasarım Değişimi"
"New Email Template","Yeni E-posta Şablonu"
"New Group","Yeni Grup"
"New Invoice","Yeni Fatura"
"New Item Type","Yeni Ürün Tipi"
"New Memo","Yeni İade Kaydı"
"New Page","Yeni Sayfa"
"New Password","Yeni Şifre"
"New Poll","Yeni Anket"
"New Profile","Yeni Profil"
"New Rating","Yeni Puanlama"
"New Review","Yorum Ekle"
"New Role","Yeni Yetki Sınıfı"
"New Rule","Yeni Kural"
"New Search","Yeni Arama"
"New Set","Yeni Set"
"New Shipment","Yeni Teslimat"
"New Sitemap","Yeni site haritası"
"New Store View","Yeni Mağaza Görünümü"
"New System Template","Yeni Sistem Şablonu"
"New Tag","Yeni Etiket"
"New Template","Yeni Şablon"
"New User","Yeni Kullanıcı"
"New Website","Yeni Web Sitesi"
"Newsletter","Bülten"
"Newsletter Queue","Duyuru Kuyruğu"
"Newsletter Subscribers","Duyuru Aboneleri"
"Newsletter Templates","Duyuru Temaları"
"Next month (hold for menu)","Sonraki Ay (menü için basılı tutunuz)"
"Next year (hold for menu)","Sonraki Yıl (menü için basılı tutunuz)"
"No","Hayır"
"No (price without tax)","Hayır (vergi hariç fiyat)"
"No Data","Veri Yok"
"No Data Found","Veri Bulunamadı"
"No Templates Found","Şablon bulunamadı."
"No change","Değişiklik Yok"
"No profile loaded...","Profil yüklenmedi..."
"No records found for this period.","Belirtilen aralıkta kayıt bulunamadı."
"No records found.","Kayıt bulunamadı."
"No search keywords.","Aranan kelime yok."
"No search modules were registered","Hiç arama modülü kaydedilmedi"
"None","Hiçbiri"
"Note:","Not:"
"Notes","Notlar"
"Notifications","Bildirimler"
"Number of Orders","Sipariş Sayısı"
"Number of Uses","Kullanım Sayısı"
"Number of Views","Görülme Sayısı"
"Number of records:","Kayıt sayısı :"
"OK","TAMAM"
"Old rate:","Eski oran:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","PayPal Advanced hesabınıza giriş yaptığınızda, aşağıda açıklanmış Servis Ayarları - Uzaktan Alışveriş Sayfaları - Menu Oluşturma ve seçenek ayarlarına yönlendirileceksiniz."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","PayPal Payflow Link hesabınıza giriş yaptığınızda, aşağıda açıklanmış Servis Ayarları - Uzaktan Alışveriş Sayfaları - Menu Oluşturma ve seçenek ayarlarına yönlendirileceksiniz."
"Online Customers","Çevrimiçi Müşteriler"
"Only Once (version upgrade)","Sadece bir kez (versiyon güncelleme)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","""Global"" havuzundaki özelliklerle beraber, ""Açılır Menü"" girişini ve Ayarlanabilir Ürün Eklemede Kullan özelliğine ""Evet"" cevabını veriniz."
"Only mapped fields","Sadece eşleşmiş alanlar"
"Optional","Opsiyonel"
"Options","Seçenekler"
"Options is required","Seçenek gerekli"
"Order","Sipariş"
"Order #%s","Sipariş #%s"
"Order #%s (%s)","Sipariş #%s (%s)"
"Order ID","Sipariş No"
"Order Totals","Sipariş Toplamları"
"Orders","Siparişler"
"Original Magento attribute names in first row:","Orjinal OpenMage özellik adları ilk satırda :"
"Out of stock","Stok mevcut değil"
"Pages","Sayfalar"
"Parent Product Thumbnail","Ana Ürün Küçük Resmi"
"Parent Transaction ID","Üst İşlem Numarası"
"Passive mode","Pasif Mod"
"Password","Şifre"
"Password Confirmation","Şifre (Tekrar)"
"Password:","Şifre:"
"Path:","Dosya Yolu:"
"Pending Reviews","Bekleyen yorumlar"
"Pending Tags","Bekleyen Etiketler"
"Per Item","Ürün Başı"
"Per Order","Sipariş başına"
"Percent","Yüzde"
"Performed At","Uygulandı"
"Period","Periyod"
"Permanent (301)","Kalıcı (301)"
"Permissions","Yetkiler"
"Personal Information","Kişisel Bilgi"
"Phone:","Telefon :"
"Please Select","Lütfen seçiniz"
"Please confirm site switching. All data that hasn't been saved will be lost.","Site geçişini onaylayınız. Kaydedilmemiş verileriniz kaybolacak."
"Please enter 6 or more characters.","Lütfen 6 veya daha fazla karakter giriniz."
"Please enter a number greater than 0 in this field.","Lütfen bu alanda 0'dan büyük bir sayı girin."
"Please enter a valid $ amount. For example $100.00.","Lütfen geçerli bir $ tutar girin. Örneğin 100,00$."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Lütfen geçerli bir adres giriniz. Örnek: http://www.siteniz.com veya www.siteniz.com"
"Please enter a valid URL. http:// is required","Lütfen geçerli bir adres giriniz. http:// gereklidir"
"Please enter a valid credit card number.","Lütfen geçerli bir kredi kartı numarası girin."
"Please enter a valid date.","Lütfen geçerli bir tarih giriniz."
"Please enter a valid email address. For example johndoe@domain.com.","Lütfen geçerli bir e-mail adresi giriniz. Örnek: isminiz@siteniz.com "
"Please enter a valid email.","Lütfen geçerli bir e-posta adresi girin."
"Please enter a valid number in this field.","Lütfen bu alana geçerli bir numara girin."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Lütfen geçerli bir telefon numarası giriniz. Örneğin (123) 456-7890 veya 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Lütfen geçerli bir sosyal güvenlik numarası giriniz. Örnek 123-45-6789."
"Please enter a valid value from list","Lütfen listeden geçerli bir değer girin"
"Please enter a valid value, ex: 10,20,30","Lütfen geçerli bir değer girin, örn: 10,20,30"
"Please enter a valid zip code.","Lütfen geçerli bir posta kodu girin."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Lütfen geçerli bir posta kodu giriniz. Örnek 34100 veya 31300-1234."
"Please enter valid password.","Lütfen geçerli bir şifre giriniz"
"Please make sure that all global admin search modules are installed and activated.","Lütfen bütün küresel yönetici arama modüllerinin yüklü olduğundan ve aktive edildiğinden emin olun."
"Please make sure that your changes were saved before running the profile.","Lütfen profil çalıştırılmadan önce değişikliklerin kaydedildiğinden emin olunuz."
"Please make sure your passwords match.","Lütfen şifrelerinizin uyuştuğundan emin olun."
"Please select State/Province.","Lütfen Eyalet/İl seçin."
"Please select an option.","Lütfen bir seçenek seçin."
"Please select customer(s).","Lütfen müşteri(leri) seçiniz."
"Please select one of the above options.","Lütfen aşağıdaki seçeneklerden birini seçiniz."
"Please select one of the options.","Lütfen seçeneklerden birini seçin."
"Please select review(s).","Lütfen yorumları seçiniz."
"Please specify the admin custom URL.","Lütfen özel yönetim sayfası URL si belirleyiniz."
"Please use in this field only ""a-z,0-9,_"".","Lütfen bu alanda sadece ""a-z,0-9,_"" aralığındaki karakterleri kullanınız ."
"Please use letters only (a-z) in this field.","Lütfen sadece a-z arası karakterleri kullanınız."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Bu alanda sadece harfler (a-z or A-Z), rakamlar (0-9) veya boşluk kullanınız."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Lütfen bu alanda sadece harfler (a-z) veya rakamlar (0-9) kullanınız. Boşluk ve noktalama işaretleri kullanmayınız."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Lütfen bu alanda sadece harfler (a-z), rakamlar (0-9), boşluklar ve # karakteri kullanınız."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Lütfen bu tarih biçimini kullanın: gg/aa/yyyy. Örneğin 17 Mart 2006 için 17/03/2006."
"Please wait, loading...","Lütfen bekleyiniz, yükleniyor..."
"Please wait...","Lütfen bekleyin..."
"Poll Manager","Anket Yönetimi"
"Polls","Anketler"
"Popular","Popüler"
"Position","Konum"
"Position of Watermark for %s","%s için Kopya Koruması yeri"
"Prev. month (hold for menu)","Önceki Ay (menü için basılı tutunuz)"
"Prev. year (hold for menu)","Önceki Yıl (menü için basılı tutunuz)"
"Preview","Ön İzleme"
"Preview Template","Şablon Önizleme"
"Price","Fiyat"
"Price:","Fiyat:"
"Processed <strong>%s%% %s/%d</strong> records","<strong>%s%% %s/%d</strong> kayıt işlendi"
"Processing","İşleniyor"
"Product","Ürün"
"Product Name","Ürün Adı"
"Product Reviews","Ürün Yorumları"
"Product Tax Classes","Ürün Vergi Sınıfları"
"Product Thumbnail Itself","Ürün Küçük Resmi"
"Product:","Ürün:"
"Products","Ürünler"
"Products Bestsellers Report","En çok Satılan Ürünler Raporu"
