"-- Please Select --","-- Lütfen Seçiniz --"
"Date/time format ""%s"" is not supported.","Tarih/Saat biçimi ""%s"" desteklenmiyor."
"Debug","Hata düzeltme"
"Default","Varsayılan"
"Default Country","Varsayılan Ülke"
"Default Description","Varsayılan Açıklama"
"Default Keywords","Varsayılan Kelimeler"
"Default No-route URL","Varsayılan Sayfa bulunamadı URL"
"Default Pages","Varsayılan Sayfalar"
"Default Robots","Varsayılan Robotlar"
"Default Store","Varsayılan Mağaza"
"Default Store View","Varsayılan Mağaza Görünümü"
"Default Title","Varsayılan Başlık"
"Default Web URL","Varsayılan Web URL"
"Delete","Sil"
"Delete Store","Mağazayı Sil"
"Delete Store View","Mağaza Gorunumünü Sil"
"Delete Website","Web Sitesini Sil"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","%1$s silmek %1$s ile bağlı bilgileri silmez (örnek kategoriler, ürünler, vs.), fakat %1$s geri alınamaz. Bu yüzden %1$s silmeden önce veritabanının bir yedeğini almanız tavsiye edilir."
"Design","Tasarım"
"Design Change","Tasarım Değiştir"
"Developer","Geliştirici"
"Developer Client Restrictions","Geliştirici İstemcisi Kısıtlamaları"
"Disable Email Communications","E-posta iletişimini kapat"
"Disable Modules Output","Modül Kullanımını Kapat"
"Display Demo Store Notice","Demo Mağaza Yazısını Göster"
"Duplicate Of Template Name","Yinelenen Şablon İsmi"
"Edit Design Change","Tasarım Değişimini Düzenle"
"Edit Store","Mağazayı Düzenle"
"Edit Store View","Mağaza Görünümünü Düzenle"
"Edit Website","Web Sitesi Düzenle"
"Empty identifier field name","Kimlik alan adını boş"
"Empty main table name","Ana tablo adı boş"
"Enable Charts","Grafikleri Aktif et"
"Enabled","Aktif edildi"
"Enabled for Admin","Yönetici için Aktif Edildi"
"Enabled for Frontend","Ön Sayfa için açık"
"Environment Update Time","Çevresel verilerin güncellenme zamanı"
"Error in file: ""%s"" - %s","Dosyada Hata : ""%s"" - %s"
"European Union Countries","Avrupa Birliği Ülkeleri"
"Exceptions Log File Name","Hata Günlüğü Dosya Adı"
"Favicon Icon","Favicon İkonu"
"File not found","Dosya bulunamadı"
"File system","Dosya Sistemi"
"File with an extension ""%value%"" is protected and cannot be uploaded","""%value%"" uzantılı dosyalar koruma altındadır ve yüklenemez"
"First Day of Week","Haftanın İlk Günü"
"Flush Cache Storage","Ön Bellek Deposunu Boşalt"
"Flush Magento Cache","Magento Ön Belleğini Boşalt"
"Footer","Altbilgi"
"Forgot Password Email Sender","Şifremi Unuttum Mail Göndericisi"
"Forgot Password Email Template","Şifremi Unuttum E-posta Şablonu"
"General","Genel"
"General Contact","Genel İletişim"
"General Settings","Genel Ayarlar"
"Global","Genel"
"HTML Head","HTML Başlık"
"Header","Başlıklar"
"Host","Sunucu"
"How many links to display at once.","Bir defada gösterilecek bağlantı sayısı."
"Incorrect credit card expiration date.","Kredi kartı son kullanma tarihinin yanlış olması."
"Input type ""%value%"" not found in the input types list.","Giriş tipi ""%value%"" giriş tipleri listesinde bulunamadı."
"Invalid base url type","Hatalı ana adres tipi"
"Invalid block type: %s","Hatalı blok tipi : %s"
"Invalid block: %s","Hatalı blok : %s"
"Invalid date","Hatalı tarih"
"Invalid layout update handle","Hatalı yapı güncelleme tutamacı"
"Invalid messages storage ""%s"" for layout messages initialization","""%s"" Yapı mesajları başlangıcı için hatalı mesaj deposu "
"JavaScript Settings","JavaScript Ayarları"
"Layout","Şablon"
"Leave empty for access from any location.","Her yerden erişebilmek için bu alanı boş bırakınız."
"Locale","Yerel"
"Locale Options","Yerel Seçenekler"
"Log Settings","Günlük Ayarları"
"Login is Case Sensitive","Giriş bilgileri büyük/küçük harfe duyarlıdır"
"Logo Image","Logo Resim Dosyası"
"Logo Image Alt","Logo Dosyası Alt Açıklaması"
"Logo Image Src","Logo Dosyası"
"Mail Sending Settings","E-posta Gönderim Ayarları"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Ana adresin '/' (slaş veya bölü) ile bittiğinden emin olunuz, örnek http://www.siteniz.com/magento/"
"Manage Stores","Mağazaları Yönet"
"Match expressions in the same order as displayed in the configuration.","İfadeleri ayarlarda gösterildiği sırayla eşleştir."
"Media Storage","Medya Deposu"
"Merge CSS Files","CSS dosyalarını Birleştir"
"Merge JavaScript Files","Javascript Dosyalarını Birleştir"
"Miscellaneous HTML","Çeşitli HTML"
"Name","Adı"
"New Design Change","Yeni Tasarım Değişimi"
"New Store","Yeni Mağaza"
"New Store View","Yeni Mağaza Görünümü"
"New Website","Yeni Web Sitesi"
"No","Hayır"
"Offloader header","Yükleyici başlığı"
"PHP SOAP extension is required.","PHP SOAP eklentisi zorunludur."
"Package","Paket"
"Pagination","Sayfalama"
"Pagination Frame","Sayfalama çerçevesi"
"Pagination Frame Skip","Sayfalama çerçevesi atlama"
"Path ""%value%"" is not available and cannot be used.","Dosya yolu ""%value%"" bulunamadı ve kullanılamaz."
"Path ""%value%"" is protected and cannot be used.","""%value%"" için erişim yetkisi yok ve kullanılamaz."
"Please define flag code.","Lütfen bayrak kodunu giriniz."
"Please enter a number 0 or greater in this field.","Lütfen bu alanda 0 veya daha büyük bir sayı girin."
"Please enter a number 1 or greater in this field.","Lütfen bu alana 1 veya daha büyük bir sayı giriniz."
"Please enter a number greater than 0 in this field.","Lütfen bu alanda 0'dan büyük bir sayı girin."
"Please enter a valid $ amount. For example $100.00.","Lütfen geçerli bir $ tutar girin. Örneğin 100,00$."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Lütfen geçerli bir adres giriniz. Örnek: http://www.siteniz.com veya www.siteniz.com"
"Please enter a valid credit card number.","Lütfen geçerli bir kredi kartı numarası girin."
"Please enter a valid credit card verification number.","Lütfen geçerli bir kredi kartı doğrulama numarası girin."
"Please enter a valid date.","Lütfen geçerli bir tarih giriniz."
"Please enter a valid email address. For example johndoe@domain.com.","Lütfen geçerli bir e-mail adresi giriniz. Örnek: isminiz@siteniz.com "
"Please enter a valid month (1-12).","Lütfen geçerli bir ay girin (1-12)."
"Please enter a valid number in this field.","Lütfen bu alana geçerli bir numara girin."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Lütfen geçerli bir telefon numarası giriniz. Örneğin (123) 456-7890 veya 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Lütfen geçerli bir sosyal güvenlik numarası giriniz. Örnek 123-45-6789."
"Please enter a valid zip code.","Lütfen geçerli bir posta kodu girin."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Lütfen geçerli bir posta kodu giriniz. Örnek 34100 veya 31300-1234."
"Please enter issue number or start date for switch/solo card type.","Lütfen geçiş/yalnız kart türü için konu numarası veya başlangıç tarihi girin."
"Please make sure your passwords match.","Lütfen şifrelerinizin uyuştuğundan emin olun."
"Please select State/Province.","Lütfen Eyalet/İl seçin."
"Please select an option.","Lütfen bir seçenek seçin."
"Please select one of the above options.","Lütfen aşağıdaki seçeneklerden birini seçiniz."
"Please select one of the options.","Lütfen seçeneklerden birini seçin."
"Please set available and/or protected paths list(s) before validation.","Lütfen doğrulamadan önce mümkün olan korunan dizin listesini ayarlayınız."
"Please use letters only (a-z or A-Z) in this field.","Lütfen bu alanda yalnızca harfler (a-z veya A-Z) kullanın."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Lütfen bu alanda sadece harf (a-z), rakam (0-9), altçizgi (_) ve diyez (#) kullanınız. İlk karakter kesinlikle harf olmalıdır."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Lütfen bu tarih biçimini kullanın: gg/aa/yyyy. Örneğin 17 Mart 2006 için 17/03/2006."
"Please wait, loading...","Lütfen bekleyiniz, yükleniyor..."
"Polls","Anketler"
"Port (25)","Port(25)"
"Profiler","Profil Gösterici"
"Recovery Link Expiration Period (hours)","Kurtarma Bağlantısının Sona Erme Süresi (saatler)"
"Request Path for Specified Store","Belirlenen Mağaza için İstem adresi"
"Requested invalid store ""%s""","Hatalı mağaza isteği ""%s"""
"Return-Path Email","Dönüş E-posta adresi"
"Root Category","Ana Kategori"
"Sales Representative","Satış Sorumlusu"
"Save","Kaydet"
"Save Store","Mağazayı Kaydet"
"Save Store View","Mağaza Görünümünü Kaydet"
"Save Website","Web Sitesini Kaydet"
"Search Engines Optimization","SEO - Arama Motoru Optimizasyonu"
"Secure","Güvenli"
"Security","Güvenlik"
"Select Date","Tarih seçiniz"
"Select Media Database","Medya Veritabanı Seçiniz"
"Sender Email","Gönderici E-posta Adresi"
"Sender Name","Gönderici Adı"
"Services","Hizmetler"
"Session Validation Settings","Oturum Onaylama Ayarları"
"Set Return-Path","Dönüş Yolu Belirt"
"Set as Default","Varsayılan olarak Ayarla"
"Skin (Images / CSS)","Tema (Resimler / CSS)"
"Sort Order","Sıralama"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Girdiğiniz tarih/saat ""%1$s"", ""%2$s"" biçimine uymuyor."
"Startup Page","Başlangıç Sayfası"
"Status","Durum"
"Storage Configuration for Media","Medya için Depolama Yapılandırma"
"Store","Mağaza"
"Store Email Addresses","Mağaza E-posta Adresleri"
"Store Hours of Operation","Mağaza Çalışma Saatleri"
"Store Information","Mağaza Bilgisi"
"Store Name","Mağaza Adı"
"Store View","Mağaza Görünümü"
"Store View Information","Mağaza Görünümü Bilgisi"
"Store View Name","Mağaza Görünüm Adı"
"Store view doesn't exist","Mağaza görünümü bulunamıyor"
"Store with the same code","Aynı kod ile bir mağaza zaten kayıtlı"
"System","Sistem"
"System Log File Name","System Günlük Dosyası Adı"
"Template Path Hints","Tema Dizini İpuçları"
"Template Settings","Şablon Ayarları"
"Template Variables","Şablon Değişkenleri"
"Templates","Temalar"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Girdiğiniz %s hatalı. ""http://domain.com/"" biçiminde olduğundan emin olunuz."
"The store does not exist","Mağaza bulunamıyor"
"The value is not within the specified range.","Değer belirtilen aralıkta değil."
"The website does not exist.","Websitesi kaydı bulunamıyor."
"Themes","Temalar"
"This category and all its child elements","Bu kategori ve tüm alt elemanları"
"This category and its child categories only","Bu kategori ve alt kategorileri"
"This category and its products only","Bu kategori ve ürünleri"
"This category only","Sadece kategori"
"This is a required field.","Bu gerekli bir alandır."
"This store cannot be deleted.","Bu mağaza silinemiyor."
"This store view cannot be deleted.","Bu mağaza görünümü silinemiyor."
"This website cannot be deleted.","Bu web sitesi silinemiyor."
"This will be included before head closing tag in page HTML.","Bu alandaki veriler head kapatma verisinden önceki alana yerleştirilecektir."
"Timezone","Zaman Dilimi"
"Title Prefix","Başlık Öneki"
"Title Suffix","Başlık Soneki"
"Transactional Emails","İşlem E-postaları"
"Translate Inline","Anında Çevir"
"Translations","Çeviriler"
"Unable to delete store view. Please, try again later.","Mağaza görünümü silinemiyor. Lütfen daha sonra tekrar deneyiniz."
"Unable to delete store. Please, try again later.","Mağaza silinemiyor. Lütfen daha sonra tekrar deneyiniz."
"Unable to delete website. Please, try again later.","Web sitesi silinemiyor. Lütfen daha sonra tekrar deneyiniz."
"Unable to proceed. Please, try again","İşlem yapılamadı. Lütfen daha sonra tekrar deneyiniz"
"Unsecure","Güvensiz"
"Url Options","URL Seçenekleri"
"Use Custom Admin Path","Özel Yönetim Sayfası Adresi Kullan"
"Use Custom Admin URL","Yönetim sayfası için Özel URL kullan"
"Use HTTP Only","Sadece HTTP Kullan"
"None","Hiçbiri"
"Use Secure URLs in Admin","Yönetim Sayfasında Güvenli URL kullan"
"Use Secure URLs in Frontend","Ön Sayfada Güvenli Adresler kullan"
"Use Web Server Rewrites","Web Sunucusu URL Yeniden Yazımını (URL Rewrite) Kullan"
"VAT Number","Vergi Numarası"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT bilgisini Doğrula"
"Validate HTTP_VIA","HTTP_VIA bilgisini Doğrula"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR bilgisini Doğrula"
"Validate REMOTE_ADDR","REMOTE_ADDR Doğrula"
"Validation has failed.","Doğrulama yapılamadı."
"Variable Code must be unique.","Değişken Kodu eşsiz olmalıdır."
"Website","Web sitesi"
"Website Information","Web sitesi Bilgisi"
"Website Name","Web sitesi Adı"
"Website with the same code","Aynı Kod ile Web sitesi "
"Weekend Days","Haftasonu Günleri"
"Welcome Text","Karşılama Yazısı"
"Wrong file info format","Hatalı dosya bilgisi biçimi"
"Wrong number of arguments for %s","%s için yanlış sayıda parametre var"
"Yes","Evet"
