"* Required Fields","* Zorunlu Alan"
"Customer Since","Müşteri Geçmişi"
"Customer View","Müşteri Görünümü"
"Customer will stay on the current page if ""No"" is selected.","Eğer ""Hayır"" seçilirse, müşteri bulunduğu sayfada kalacaktır."
"Customers","Müşteriler"
"Customers Only","Sadece Müşteriler"
"DD","GG"
"Date","Tarih"
"Date Added","Eklenme Tarihi"
"Date of Birth","Doğum Tarihi"
"Day","Gün"
"Days in Wishlist","Takip Listesinde Kalma Gün Sayısı"
"Default Addresses","Varsayılan Adresler"
"Default Billing Address","Varsayılan Fatura Adresi"
"Default Email Domain","Varsayılan E-posta Alan Adı"
"Default Group","Varsayılan Grup"
"Default Shipping Address","Varsayılan Teslimat Adresi"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Vergi Numarasına göre otomatik olarak müşteri grubu değiştirme özelliğinin iptali için Varsayılan Değer"
"Default Welcome Email","Varsayılan Karşılama E-postası"
"Delete","Sil"
"Delete Address","Adresi Sil"
"Delete Customer","Müşteriyi Sil"
"Delete Customer Group","Müşteri Grubunu Sil"
"Delete customer","Müşteri Sil"
"Delete customer address","Müşteri Adresi Sil"
"Deleted Stores","Mağazaları Sil"
"Details","Detaylar"
"Disabled","Kapalı"
"Edit","Düzenle"
"Edit Account Info","Hesap Bilgisi Düzenle"
"Edit Account Information","Hesap Bilgisini Düzenle"
"Edit Address","Adresi Düzenle"
"Edit Address Entry","Adres Kaydını Düzenle"
"Edit Customer Group ""%s""","Müşteri Grubunu Düzenle ""%s"""
"Edit Customer Groups","Müşteri Gruplarını Düzenle"
"Edit Customer's Address","Müşteri Adresini Düzenle"
"Edit Group","Grubu Düzenle"
"Edit Newsletters","Duyuru Listelerini Düzenle"
"Email","E-posta"
"Email Address","E-posta Adresiniz"
"Email Sender","E-posta Göndericisi"
"Email:","E-posta:"
"Enable Automatic Assignment to Customer Group","Müşteri Grubuna Otomatik Atamayı Aktif et"
"Failed to confirm customer account.","Müşteri hesabı onaylanamadı."
"Fax","Faks"
"First Name","Adı"
"Forgot Email Template","Şifremi Unuttum E-posta Şablonu"
"Forgot Password","Şifrenizi mi Unuttunuz"
"Forgot Your Password?","Şifrenizi mi Unuttunuz?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Kontrol panelinizden geçmiş işlemlerinizi görebilir, kişisel bilgilerinizi güncelleyebilir, şifrenizi değiştirebilirsiniz. Görmek veya düzeltmek istediğiniz şeylerle ilgili linkler aşağıdadır."
"Gender","Cinsiyet"
"General Subscription","Genel Abonelik"
"Generate Human-Friendly Customer ID","Kullanıcı dostu Müşteri Numarası üret"
"Global","Genel"
"Group","Grup"
"Group Information","Grup Bilgisi"
"Group Name","Grup Adı"
"Group for Invalid VAT ID","Hatalı VAT için Grup"
"Group for Valid VAT ID - Domestic","Geçerli VAT No için Grup - Bölgesel"
"Group for Valid VAT ID - Intra-Union","Geçerli VAT No için Grup - Ulusal"
"Guest","Misafir"
"Hello, %s!","Hoşgeldiniz, %s!"
"ID","No"
"IP Address","IP Adres"
"If you have an account with us, please log in.","Sitemize üyeyseniz lütfen giriş yapınız."
"Invalid current password","Eski şifre hatalı"
"Invalid customer data","Hatalı müşteri verisi"
"Invalid login or password.","Geçersiz giriş veya şifre."
"Last Activity","Son İşlem"
"Last Date Subscribed","Son abonelik tarihi"
"Last Date Unsubscribed","Son abonelikten çıkış tarihi"
"Last Name","Soyadı"
"Leave empty for default (15 minutes).","Varsayılan değer (15 dakika) için boş bırakınız."
"Leave empty for default (2). Valid range: 1-4","Varsayılan değer (2) için boş bırakınız. Valid range: 1-4"
"Lifetime Sales","Ömürboyu Satışlar"
"Log In","Giriş"
"Log Out","Çıkış"
"Login","Giriş"
"Login Information","Giriş Bilgisi"
"Login Options","Giriş Seçenekleri"
"Login or Create an Account","Giriş yapın veya Yeni Bir Hesap Açın"
"MM","AA"
"Manage Addresses","Adresleri Yönet"
"Manage Customers","Müşterileri Yönet"
"Month","Ay"
"My Account","Hesabım"
"My Dashboard","Kontrol Panelim"
"My Orders","Siparişlerim"
"Name","Adı"
"Name and Address Options","Ad ve Adres seçenekleri"
"Never","Asla"
"New Address","Yeni Adres"
"New Address Entry","Yeni Adres Girişi"
"New Customer","Yeni Müşteri"
"New Customer Address","Yeni Müşteri Adresi"
"New Customer Group","Yeni Müşteri Grubu"
"New Customer Groups","Yeni Müşteri Grupları"
"New Customers","Yeni Müşteriler"
"New Group","Yeni Grup"
"New Password","Yeni Şifre"
"New account","Yeni hesap"
"New account confirmation key","Yeni hesap onay anahtar kelimesi"
"New account confirmed","Yeni hesap doğrulandı"
"Newsletter","Bülten"
"Newsletter Finish","Duyuru Sonu"
"Newsletter Information","Duyuru Bilgisi"
"Newsletter Received","Duyuru Alındı"
"Newsletter Start","Duyuru Başlangıcı"
"Newsletter Subscription","Duyuru Aboneliği"
"Newsletters","Duyurular"
"No Items Found","Ürün bulunamadı"
"No Newsletter Found","Duyuru bulunamadı"
"No item specified.","Ürün belirtilmedi."
"Not Sent","Gönderilmedi"
"Not confirmed, can login","Hesap doğrulanmadı, giriş yapabilir"
"Not confirmed, cannot login","Hesap doğrulanmadı, giriş yapamaz"
"Offline","Çevrimdışı"
"Online","Çevrimiçi"
"Online Customers","Çevrimiçi Müşteriler"
"Online Customers Options","Çevrimiçi Müşteri Seçenekleri"
"Online Minutes Interval","Ziyaretçinin sitede sayılması için süre"
"Order #","Sipariş #"
"Order Total","Sipariş Toplamı"
"Orders","Siparişler"
"Password","Şifre"
"Password Management","Şifre Yönetimi"
"Password Options","Şifre Seçenekleri"
"Password forgotten","Şifremi Unuttum"
"Password:","Şifre:"
"Paused","Duraklatıldı"
"Pending","Bekliyor"
"Per Website","Websitesi Başına"
"Personal Information","Kişisel Bilgi"
"Please enter a number 1 or greater in this field.","Lütfen bu alana 1 veya daha büyük bir sayı giriniz."
"Please enter the city.","Lütfen şehir giriniz."
"Please enter the country.","Lütfen ülke giriniz."
"Please enter the first name.","Lütfen adı giriniz."
"Please enter the last name.","Lütfen soyadı giriniz."
"Please enter the state/province.","Lütfen Şehir giriniz."
"Please enter the street.","Lütfen adres bilgisi giriniz."
"Please enter the zip/postal code.","Lütfen Posta Kodu giriniz."
"Please enter your email below and we'll send you confirmation link for it.","Lütfen şifre gönderebilmemiz için, üye olurken kullandığınız e-mail adresini giriniz."
"Please enter your email.","Lütfen e-posta adresinizi giriniz."
"Please make sure your passwords match.","Lütfen şifrelerinizin uyuştuğundan emin olun."
"Please select region, state or province","Lütfen bölge, eyalet veya şehir seçiniz"
"Prefix Dropdown Options","Önek Açılır Menü Seçenekleri"
"Price","Fiyat"
"Product","Ürün"
"Product ID","Ürün ID"
"Product Name","Ürün Adı"
"Product Reviews","Ürün Yorumları"
"Product Tags","Ürün Etiketleri"
"Purchase On","Satın Alındı Yer"
"Purchased On","Satın Alındığı Tarih"
"Qty","Miktar"
"Recent Orders","Geçmiş Siparişler"
"Recovery Link Expiration Period (hours)","Kurtarma Bağlantısının Sona Erme Süresi (saatler)"
"Redirect Customer to Account Dashboard after Logging in","Müşteri giriş yaptıktan sonra Hesap Kontrol Paneline yönlendir"
"Refunded","İadesi Yapıldı"
"Register","Kaydol"
"Registered Customers","Kayıtlı Müşteriler"
"Remind Email Template","Hatırlatma E-posta Şablonu"
"Remove","Kaldır"
"Require Emails Confirmation","E-posta doğrulaması istensin"
"Reset a Password","Şifre Sıfırla"
"Retrieve address data","Adres verisi al"
"Retrieve address info","Adres bilgisi al"
"Retrieve customer addresses","Müşteri adreslerini al"
"Retrieve customer data","Müşteri bilgisini al"
"Retrieve customers","Müşterileri al"
"Retrieve your confirmation link here","Onay linkini al"
"Retrieve your password here","Şifrenizi Buradan Alabilirsiniz"
"SKU","Ürün Kodu"
"Sales Statistics","Satış İstatistikleri"
"Save","Kaydet"
"Save Address","Adresi Kaydet"
"Save Customer","Müşteriyi Kaydet"
"Save Customer Group","Müşteri Grubunu Kaydet"
"Save Password","Şifreyi Kaydet"
"Save and Continue Edit","Kaydet ve Devam Et"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Noktalı virgülle (;) ayrılmış değerler.<br/>Her satır başında boş bilgi için bir adet noktalı virgül olmalıdır.<br/>Yazı alanını açmak için boş bırakınız."
"Send From","Gönderme Adresi"
"Send Welcome Email after Confirmation","Doğrulama işleminden sonra Karşılama Maili Gönder"
"Send confirmation link","Onay Linki Gönder"
"Sending","Gönderiliyor"
"Sent","Gönderildi"
"Session Start Time","Oturum Başlama Saati"
"Set as Default Billing Address","Varsayılan Fatura Adresi Olarak Kaydet"
"Set as Default Shipping Address","Varsayılan Teslimat Adresi Olarak Kaydet"
"Share Customer Accounts","Müşteri Hesaplarını Paylaş"
"Shipped to First Name","Gönderildiği Kişi Adı"
"Shipped to Last Name","Gönderildiği Kişi SoyAdı"
"Shipped to Name","Gönderildiği İsim"
"Shopping Cart","Alışveriş Sepeti"
"Shopping Cart - %d item(s)","Alışveriş Sepeti - %d ürün var"
"Show Date of Birth","Doğum tarihini göster"
"Show Gender","Cinsiyet alanını göster"
"Show Middle Name (initial)","Orta ad alanını göster"
"Show Prefix","Öneki Göster"
"Show Suffix","Soneki Göster"
"Show Tax/VAT Number","Vergi/Vatandaşlık Numarasını göster"
"Sign Up for Newsletter","Duyuru Servisine Abone Ol"
"State/Province","Eyalet/Şehir"
"Status","Durum"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"Street Address","Adres"
"Subject","Konu"
"Submit","Gönder"
"Subscribe to Newsletter","Duyuru Servisine Abone Ol"
"Subscribed to Newsletter?","Duyurulara abone oldunuz mu ?"
"Suffix Dropdown Options","Sonek Açılır Menü Seçenekleri"
"Tag Name","Etiket Adı"
"Tax Calculation Based On","Vergi Hesaplama Yöntemi"
"Tax Class","Vergi Sınıfı"
"Tax/VAT number","Vergi/Vatandaşlık numarası"
"Telephone","Telefon"
"Text","Yazı"
"Text One Line","Tek satır yazı"
"The VAT ID entered (%s) is not a valid VAT ID.","Girdiğiniz VAT (%s) geçerli bir VAT değildir."
"The VAT ID is valid. The current Customer Group will be used.","Vergi numarası geçerli. Mevcut müşteri grubu kullanılacak."
"The customer does not have default billing address.","Müşterinin varsayılan fatura adresi bulunmamaktadır."
"The suffix that goes after name (Jr., Sr., etc.)","Sonek, isimden sonra gelen ikinci isim veya isim ekidir (Jr., Sr., veya ikinci ad gibi)"
"The title that goes before name (Mr., Mrs., etc.)","Önek, isimden önce gelen eklerdir (Bay, Bayan vb. gibi)"
"There are no items in customer's wishlist at the moment","Müşterinin takip listesinde ürün yok"
"There are no items in customer's shopping cart at the moment","Müşterinin sepetinde henüz ürün yok."
"This account is not confirmed.","Hesap doğrulanmadı."
"This customer has no saved addresses.","Bu müşteriye ait kayıtlı adres bulunamadı."
"This email does not require confirmation.","Bu e-posta adresi için doğrulamaya gerek yoktur."
"To Cart","Sepete"
"Total","Toplam"
"Type","Tip"
"Unknown","Bilinmeyen"
"Unsubscribe from Newsletter","Duyuru Aboneliğini İptal Et"
"Update","Güncelle"
"Update customer address data","Müşteri adres verisini güncelle"
"Update customer data","Müşteri bilgilerini güncelle"
"Use as my default billing address","Varsayılan Fatura Adresim Olarak Kullan"
"Use as my default shipping address","Varsayılan Teslimat Adresim Olarak Kullan"
"VAT Number","Vergi Numarası"
"VAT Request Date","Vergi Numarası İsteme Tarihi"
"VAT Request Identifier","Vergi İstek Tanımlayıcısı"
"Validate VAT Number","Vergi Numarasını Doğrula"
"Validate on Each Transaction","Her işlemde yeniden doğrula"
"Validation Error Group","Doğrulama Hata Grubu"
"View","Göster"
"View Order","Siparişi Göster"
"Visitor","Ziyaretçi"
"Visitors Only","Sadece Ziyaretçiler"
"Website","Web sitesi"
"Welcome Email","Karşılama E-postası"
"Wishlist","Takip Listesi"
"Wishlist - %d item(s)","Takip Listesi - %d ürün var"
"Would you like to change the Customer Group for this order?","Bu sipariş için Müşteri Grubunu değiştirmek ister misiniz?"
"Wrong confirmation key.","Hatalı onay anahtarı."
"Wrong customer account specified.","Müşteri hesabı seçiminde hata."
"Wrong email.","Hatalı e-posta."
"Year","Yıl"
"You are currently not subscribed to any newsletter.","Hiç bir duyuruya abone olmadınız."
"You are currently subscribed to 'General Subscription'.","'Genel Abonelik' duyurumuza abone oldunuz."
"You are currently subscribed to our newsletter.","Duyurumuza abone oldunuz."
"You have no additional address entries in your address book.","Adres defterinizde başka adres yok."
"You have no additional entries in your address book.","Adres defterinizde başka adres yok."
"You have no default billing address in your address book.","Adres defterinizde birincil fatura adresiniz yok."
"You have no default shipping address in your address book.","Adres defterinizde birincil teslimat adresiniz yok."
"You have not set a default billing address.","Varsayılan fatura adresi belirlemediniz."
"You have not set a default shipping address.","Varsayılan teslimat adesi ayarlamadınız."
"You have placed no orders yet.","Hiç sipariş vermediniz."
"You have placed no products yet.","Hiç ürün eklemediniz."
"You will be charged tax.","Siparişinize vergi eklenecek."
"You will not be charged tax.","Siparişinize vergi eklenmeyecek."
"Your Tax ID cannot be validated.","Vergi numaranız doğrulanamadı."
"Your VAT ID was successfully validated.","Vergi numaranız başarıyla doğrulandı."
"Your account balance is: %s","Hesap Bakiyeniz : %s"
"ZIP","Posta Kodu"
"ZIP/Post Code","ZIP/Posta Kodu"
"Zip/Postal Code","Zip/Posta Kodu"
"n/a","yok"
"or","veya"
