"# of Use","número de usos"
"%1$s incl tax.","%1$s incl imposto."
"(Copy data from: %s)","(Copiar dados de: %s)"
"Details","Detalhes"
"Disabled","Desabilitado"
"Disallowed file type.","Tipo de arquivo não permitido."
"Display Actual Price","Mostrar Preço Atual"
"Display Page Control","Exibir controle de página"
"Display Price Interval as One Price","Mostrar Intervalo de Preço como Um Preço"
"Display Product Count","Mostrar Total de Produtos"
"Display Type","Tipo de Exibição"
"Display in Suggested Terms","Exibir em termos sugeridos"
"Double click on a group to rename it","Duplo clique em um grupo para renomeá-lo"
"Double click on above image to view full picture","Duplo clique na imagem para vê-la ampliada"
"Downloadable Information","Informações de Download"
"Duplicate","Duplicar"
"Duplicate amount found.","Encontrada quantidade duplicada."
"Duplicate website tier price customer group and quantity.","Duplicar website, preço diferenciado, grupo de usuários e quantidade."
"Duplicate website, country and state tax found.","Duplicar website, país e imposto do estado."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar grupo de atributos '%s'"
"Edit Product Attribute","Editar atributo do produto"
"Edit Product Attribute ""%s""","Editar atributo do produto ""%s"""
"Edit Search","Editar pesquisa"
"Edit Search '%s'","Editar busca '%s'"
"Email","E-mail"
"Email to a Friend","Enviar por E-mail à um Amigo"
"Empty","Vazio"
"Enable MAP","Habilitar MAP"
"Enable Qty Increments","Habilitar os Incrementos de Qtd"
"Enabled","Habilitado"
"Error during retrieval of option value: %s","Erro durante a recuperação da opção de valor: %s"
"Exclude","Excluir"
"Expand All","Expandir Tudo"
"Failed","Falhou"
"Failed to move file: %s","Falha ao mover o arquivo: %s"
"Feature Products","Produtos em destaque"
"File upload failed","Falha ao carregar arquivo"
"Filter","Filtro"
"Filterable (no results)","Filtrável (nenhum resultado)"
"Filterable (with results)","Filtrável (com resultados)"
"First Name","Nome"
"Fixed","Fixo"
"For the last time placed.","Colocados pela última vez."
"Frontend Model","Modelo Frontend"
"Frontend Properties","Propriedades de frontend"
"Gallery","Galeria"
"General Information","Informação Geral"
"Get special price","Obter preço especial"
"Global","Todas as Lojas"
"Globally Editable","Globalmente editável"
"Go to Home Page","Ir para a página inicial"
"Grid","Grade"
"Grouped Product","Produtos agrupados"
"Groups","Grupos"
"Home","Início"
"ID","Id."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se você não especificar um valor para opção na visão de loja específica o valor padrão(Admin) será usado."
"Image","Imagem"
"Image content is not valid base64 data.","Conteúdo da imagem não é um dado base64 válido"
"Image type and information need to be specified for each store view.","Tipo de imagem e informações precisam ser especificada para cada visão de loja."
"In Cart","No carrinho"
"In Stock","Em Estoque"
"In stock","Em estoque"
"Incl. Tax","Imposto Incl."
"Index product prices","Indexar os preços de produtos"
"Indexed category/products association","Associação categoria/produtos indexados"
"Input Type","Tipo de input"
"Integer","Inteiro"
"Interval Division Limit","Limite de Divisão de Interalo"
"Invalid Tier Prices","Preços diferenciados inválidos"
"Invalid attribute %s","Atributo inválido %s"
"Invalid image type.","Tipo inválido de imagem"
"Invalid store specified","Loja especificada inválida"
"Inventory","Inventário"
"Is Default","É o Padrão"
"Is Required","É necessário"
"Items %s to %s of %s total","Itens %s para %s de %s total"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer exibir no catálogo ou nos resultados de busca devem ter status 'Desabilitado' na loja desejada."
"Label","Título"
"Last Name","Sobrenome"
"Last Notification","Última notificação"
"Layered Navigation","Navegação em Camadas"
"Learn More","Saiba Mais"
"Line %d, Email: %s","Linha %d, e-mail: %s"
"Line %d, SKU: %s","Linha %d, ID do produto: %s"
"Link (Related, Up sell, Cross sell)","Link (relacionado, venda agregada, vendas cruzada)"
"Link to a Specified Category","Link para uma Categoria Especificada"
"Link to a Specified Product","Link para um produto específico"
"List","Lista"
"List Mode","Modo de lista"
"List of Products that are set as New","Lista de produtos definidos como novo"
"Manage Attribute Sets","Gerenciar Conjuntos de Atributos"
"Manage Attributes","Gerenciar atributos"
"Manage Catalog Categories","Gerenciar Catálogo de Categorias"
"Manage Categories","Gerenciar Categorias"
"Manage Label / Options","Gerenciar etiqueta / opções"
"Manage Product Attributes","Gerenciar os atributos do produto"
"Manage Product Sets","Gerenciar Conjuntos de Produtos"
"Manage Stock","Gerenciar Estoque"
"Manage Titles (Size, Color, etc.)","Gerenciar Títulos (tamanho, cor, etc.)"
"Max Characters","Caracteres Máximo"
"Maximal Depth","Profundidade máxima"
"Maximum Image Size","Tamanho Máximo da Imagem"
"Maximum Number of Price Intervals","Quantidade Máxima de Intervalos de Preço"
"Maximum Qty Allowed in Shopping Cart","Quantidade Máxima Permitida no Carrinho"
"Maximum image height","Altura máxima da imagem"
"Maximum image width","Largura máxima da imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"Maximum number of price intervals is 100","O Número Máximo de Intervalos de Preço é 100"
"Media Image","Mídia de Imagem"
"Minimum Advertised Price","Preço mínimo anunciado"
"Minimum Qty Allowed in Shopping Cart","Quantidade Mínima Permitida no Carrinho"
"Minimum Qty for Item's Status to be Out of Stock","Quantidade mínima de itens para o status ser esgotado"
"More Views","Mais visualizações"
"Move","Mover"
"Move category in tree","Mover categoria na árvore"
"Must be in the allowed values list.","Deve estar na lista de valores permitidos."
"My Account","Minha Conta"
"N/A","Não Disponível"
"Name","Nome"
"New Product","Novo Produto"
"New Product Attribute","Novo Atributo de Produto"
"New Products","Novos Produtos"
"New Products Grid Template","Novo modelo de grade de produtos"
"New Products List Template","Novo modelo de lista de produtos"
"New Search","Nova pesquisa"
"New Set Name","Novo Nome do Conjunto"
"New products","Novos Produtos"
"Next","Próximo"
"No","Não"
"No image","Sem imagem"
"No layout updates","Não há atualizações de layout"
"No options of this product are available.","Não há opções deste produto estão disponíveis."
"None","Nenhum"
"Not Visible Individually","Não Visível Individualmente"
"Notify Low Stock RSS","Notificar baixo estoque via RSS"
"Notify for Quantity Below","Notificar para Quantidade Abaixo"
"Number of Products per Page","Número de produtos por página"
"Number of Products to Display","Número de produtos para exibir"
"Number of Uses","Número de Usos"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (Colocados pela última vez)"
"OK","CONFIRMAR"
"OR","OU"
"Old Price:","Preço antigo"
"On Gesture","Ao Gesto"
"Option:","Opção:"
"Options","Opções"
"Options Control","Opções de controle"
"Options is required","Opções são obrigatórias"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nosso SAC está disponível 24 horas por dia e 7 dias por semana. Pelo número: (55) 5555-0123."
"Out of Stock","Fora de Estoque"
"Out of stock","Fora de estoque"
"Page Title Separator","Separador do título da página"
"Parent Category","Categoria Mãe"
"Pending","Pendente"
"Pending Reviews RSS","Avaliações RSS Pendentes"
"Percentage","Porcentagem"
"Please add rows to option.","Por favor, adicione linhas a opção."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Tenha cuidado por favor, ao clicar sobre a linha será carregado o pacote de dados do arquivo selecionado e todos os dados do formulário não salvos serão perdidos."
"Please enter a new group name","Por favor, insira um novo nome para o grupo"
"Please select one or more attributes.","Por favor, selecione um ou mais atributos."
"Please select products for attributes update","Por favor, selecione produtos para atualizações de atributos"
"Please specify date required option(s).","Por favor, especifique as opções de data solicitadas."
"Please specify the number of products, that will not be divided into subintervals.","Por favor, especifique a quantidade de produtos que não serão divididos em sub-intervalos."
"Please specify the product required option(s)","Por favor, especifique as opções obrigatórias do produto"
"Please specify the quantity of product(s).","Por favor, especifique a quantidade de produto(s)."
"Please specify time required option(s).","Por favor, especifique as opções de data solicitada(s)."
"Please wait...","Por favor, aguarde..."
"Position","Posição"
"Position in Layered Navigation","Posição na Navegação em Camadas"
"Position of attribute in layered navigation block","Posição do atributo no bloco de navegação por camadas"
"Prev","Anterior"
"Previous","Anterior"
"Price","Preço"
"Price Navigation Step Calculation","Cálculo de Intervalo da Navegação por Preço"
"Price Type","Tipo de preço"
"Price values for options should be specified in system base currency.","Valores de preço para opções devem ser especificados na moeda base do sistema"
"Price:","Preço:"
"Print This Page","Imprimir esta Página"
"Product","Produto"
"Product API","API do produto"
"Product Alerts","Alertas de Produto"
"Product Attribute","Atributo do Produto"
"Product Attributes","Atributos de Produto"
"Product Categories","Categorias de Produto"
"Product Description","Descrição do produto"
"Product Flat Data","Dados Flat do Produto"
"Product ID","Identificador do Produto"
"Product Image Placeholders","Espaços reservados da imagem de produto"
"Product Image Watermarks","Marcas D'água da Imagem de Produto"
"Product Images","Imagens do produto"
"Product Images API","API das imagens do produto"
"Product In Websites","Produto em Websites"
"Product Info Column","Coluna de Informações do Produto"
"Product Information","Informações do produto"
"Product Link Block Template","Template de Bloco para o Link do Produto"
"Product Link Inline Template","Template Inline para o Link do Produto"
"Product Listing Sort by","Listagem de produto, ordenar por"
"Product Name","Nome do produto"
"Product Reviews","Avaliações do Produto"
"Product Tags","Tags do produto"
"Product Tier Price API","API do preço diferenciado do produto"
"Product Type","Tipo do produto"
"Product URL Suffix","Sufixo de URL do produto"
"Product attribute sets API","API do grupo de atributos do produto"
"Product attributes API","API dos atributos do produto"
"Product is not loaded","Produto não está carregado"
"Product links API (related, cross sells, up sells)","API dos links do produto (relacionados, vendas agregadas, vendas cruzadas)"
"Product types API","API dos tipos de produtos"
"Product with this combination of attributes already associated to configurable.","Produtos com esta combinação de atributos já associado a configurável."
"Products","Produtos"
"Products Comparison List","Lista de Comparação de Produtos"
"Products Information","Informação de produtos"
"Products Reviews","Avaliações do Produto"
"Products Sitemap","Mapa dos produtos"
"Products only","Somente produtos"
"Products per Page on Grid Allowed Values","Valores Permitidos para o Número de Produtos por Página quando Visualizados em Grade"
"Products per Page on Grid Default Value","Valor pré-definido para Produtos por Página quando visto em Grade"
"Products per Page on List Allowed Values","Valores Permitidos para o Número de Produtos por Página quando Visualizados em Lista"
"Products per Page on List Default Value","Valor pré-definido para Produtos por Página quando visto em Lista"
"Properties","Propriedades"
"Qty","Qtd"
"Qty Increments","Incrementos de Qtd"
"Qty Uses Decimals","Qtd Usa Casas Decimais"
"Qty:","Qtd:"
"Quantity","Quantidade"
"Quick Create","Criação rápida"
"Quick Overview","Descrição rápida"
"Quick simple product creation","Criação rápida de um produto simples"
"Redirect","Redirecionar"
"Redirect URL","URL de redirecionamento"
"Regular Price:","Preço normal:"
"Related Products","Produtos Relacionados"
"Remove","Remover"
"Remove Product From Websites","Remover Produto dos Websites"
"Remove This Item","Remover este Item"
"Remove product assignment","Remover designação do produto"
"Remove product image","Remover imagem do produto"
"Remove product link","Remover link do produto"
"Reorganize EAV category structure to flat structure","Reorganizar a estrutura EAV da categoria para estrutura flat"
"Reorganize EAV product structure to flat structure","Reorganizar a estrutura EAV do produto para estrutura flat"
"Reset","Reiniciar"
"Results","Resultados"
"Retrieve attribute data","Obter dados de atributo"
"Retrieve attribute list","Obter lista de atributos"
"Retrieve attribute options","Obter opções de atributos"
"Retrieve categories tree","Obter árvore de categorias"
"Retrieve category attributes","Obter atributos da categoria"
"Retrieve category data","Obter dados da categoria"
"Retrieve hierarchical tree","Obter árvore hierarquica"
"Retrieve linked products","Obter produtos com links"
"Retrieve list of assigned products","Obter lista de produtos atribuídos"
"Retrieve one level of categories by website/store view/parent category","Obter um nível de categoria por website/loja visão/categoria pai"
"Retrieve product","Obter produto"
"Retrieve product attribute sets","Obter grupo de atributos do produtos"
"Retrieve product image","Obter imagem de produto"
"Retrieve product image list","Obter lista de imagens de produtos"
"Retrieve product image types","Obter tipos de imagem do produto"
"Retrieve product link type attributes","Obter atributos do tipo de link do produto"
"Retrieve product link types","Obter tipos do link do produto"
"Retrieve product tier prices","Obter preço diferenciado do produto"
"Retrieve product types","Obter tipos do produto"
"Retrieve products data","Obter dados dos produtos"
"Retrieve products list by filters","Obter lista de produtos através de filtros"
"Reviews","Avaliações"
"Roll Over for preview","Passe o mouse para uma pré-visualização"
"Root","Raiz"
"SKU","Código de Produto:"
"Save","Salvar"
"Save Attribute","Salvar Atributo"
"Save Attribute Set","Salvar grupo de atributo"
"Save Category","Salvar categoria"
"Save Search","Salvar busca"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Scope","Escopo"
"Scope must not be changed, because the attribute is used in configurable products.","Escopo não deve ser alterado, pois o atributo é usado em produtos configuráveis."
"Search","Pesquisa"
"Search Engine Optimizations","Otimização do mecanismo de busca"
"Search Information","Informações de pesquisa"
"Search Query","Termos de Pesquisa"
"Search Weight","Peso da Pesquisa"
"Searchable","Pesquisável"
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"Select Category...","Selecione a Categoria..."
"Select Configurable Attributes ","Selecionar atributos configuráveis "
"Select Product...","Selecionar Produto..."
"Select type of option","Selecionar tipo de opção"
"Select type options required values rows.","As linhas de valores são obrigatórias para este tipo de opção."
"Selected Product Types","Tipos de produtos selecionados"
"Send Count","Total de Envios"
"Set Ascending Direction","Definir Direção Crescente"
"Set Descending Direction","Definir Direção Decrescente"
"Set Name","Definir nome"
"Set root category for this store in the <a href=""%s"">configuration</a>","Definir categoria raiz para esta loja em <a href=""%s"">configuração</a>"
"Set special price","Definir preço especial"
"Set/Get current store view","Definir/Obter visão atual da loja"
"Settings","Configurações"
"Shop By","Filtrar por"
"Shopping Options","Opções de Compra"
"Show","Exibir"
"Show Details","Mostrar detalhes"
"Show Tags","Mostrar tags"
"Simple Product","Produto simples"
"Site Map","Mapa do Site"
"Sitemap","Mapa do site"
"Skip import row, is not valid value ""%s"" for field ""%s""","Pular importação da linha, o valor ""%s"" não é válido para o campo ""%s"""
"Some of the selected item options are not currently available.","Opções de itens selecionados não estão disponíveis atualmente."
"Sort By","Ordenar por"
"Sort Order","Ordenação"
"Source Model","Modelo Fonte"
"Special Price:","Preço especial:"
"Starting at:","A partir de:"
"Static","Estático"
"Static block and products","Bloco estático e produtos"
"Static block only","Somente bloco estático"
"Status","Situação"
"Stock Availability","Disponibilidade de Estoque"
"Store","Loja"
"Store View","Visão de Loja"
"Stretch","Ajustar"
"Subscribe to RSS Feed","Assinar o RSS Feed"
"Super product attributes configuration","Configuração de atributos de super produtos"
"Synonym For","Sinônimo para"
"System Properties","Propriedades do sistema"
"Tag Name","Nome da tag"
"Tax","Taxa"
"Template","Modelo"
"Text","Texto"
"The base directory to upload file is not specified.","O diretório base para carregar o arquivo não foi especificado."
"The review was removed by another user or does not exist.","A avaliação foi removida por outro usuário ou não existe."
"There are no %s available.","Não há %s disponível"
"There are no customers for this alert","Não há clientes para este alerta"
"There are no customers for this alert.","Não há clientes para esse alerta."
"There are no products matching the selection.","Não há produtos com esta seleção."
"This attribute cannot be edited.","Esse atributo não pode ser editado."
"This attribute is used in configurable products.","Esse atributo é usado em produtos configuráveis."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo é usado em produtos configuráveis. Não pode removê-lo do conjunto de atributos."
"This attribute no longer exists","Este atributo não existe mais"
"This attribute set no longer exists.","Este conjunto de atributos não existe mais."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contém atributos usados em produtos configuráveis. Por favor, mova estes atributos para outro grupo e tente novamente."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contém os atributos de sistema. Por favor mover atributos do sistema para outro grupo e tente novamente."
"This is a required option","Esta opção é obrigatória"
"This search no longer exists.","Esta pesquisa não existe mais."
"This setting will be applied when all prices in the specific price interval are equal.","Esta configuração será aplicada quando todos os preços no intervalo de preço específico forem iguais."
"Tier Pricing","Nível de Preços"
"Tile","Lado a Lado"
"Time Format","Formato de hora"
"Title","Título"
"To see product price, add this item to your cart. You can always remove it later.","Para ver o preço do produto, o adicione no seu carrinho. Você poderá removê-lo depois se desejar."
"Top/Left","Superior/Esquerda"
"Top/Right","Superior/Direita"
"Total Qty Base Items","Quantidade total de itens de base"
"Total incl. Tax: %1$s","Total incl. imposto: %1$s"
"Type","Tipo"
"URL Rewrite Management","Gerenciamento de Reescrita de URL"
"Unassigned Attributes","Atributos Não Associados"
"Up-sells","Venda Agregada"
"Update","Atualizar"
"Update Attributes","Atualizar Atributos"
"Update Tier Price","Atualizar preço diferenciado"
"Update assigned product","Atualizar produto atribuído"
"Update attributes","Atualizar atributos"
"Update category","Atualizar categoria"
"Update product","Atualizar produto"
"Update product image","Atualizar imagem do produto"
"Update product link","Atualizar link do produto"
"Update product tier prices","Atualizar preços diferenciados do produto"
"Upload new product image ","Carregar nova imagem do produto"
"Use Canonical Link Meta Tag For Categories","Usar o Link Meta Tag Canônico para Categorias"
"Use Canonical Link Meta Tag For Products","Usar o Link Meta Tag Canônico para Produtos"
"Use Categories Path for Product URLs","Usar o Caminho da Categoria para os URLs dos Produtos"
"Use Config Settings","Usar Configurações padrão"
"Use Default Value","Utilizar Valor Padrão"
"Use Flat Catalog Category","Usar Categoria do Catálogo Flat"
"Use Flat Catalog Product","Usar Produto do Catálogo Flat"
"Use In Layered Navigation","Usar em navegação por camadas"
"Use In Search Results Layered Navigation","Usar em resultados de pesquisas de navegação por camadas"
"Use JavaScript Calendar","Usar calendário JavaScript"
"Use To Create Configurable Product","Usar para criar produto configurável"
"Use Tree Like Category Sitemap","Usar mapa do site em forma árvore"
"Use config","Usar o config"
"Use default","Usar padrão"
"Use for Promo Rule Conditions","Uso para condições de regra de Promoções"
"Use in Layered Navigation","Utilizar em Navegação por Camadas"
"Used for Sorting in Product Listing","Usado para ordenação na listagem de produtos"
"Used in Product Listing","Usado na listagem de produtos"
"View Details","Ver Detalhes"
"View as","Ver como"
"Virtual Product","Produto virtual"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visível nas páginas do catálogo no Front-end"
"Visible on Product View Page on Front-end","Visível na página de exibição do produto no front-end"
"WYSIWYG Editor","Editor WYSIWYG"
"Watermark","Marca d'água"
"Watermark Default Size","Tamanho padrão de marca d'água"
"Watermark Position","Posição da marca d'água"
"We Also Recommend","Nós recomendamos também"
"Website","Site"
"Websites","Sites"
"What's this?","O que é isto?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Se deve aparecer a opção ""Todos"" no menu 'Mostrar X Por Página'."
"Wrong option type to get group instance.","Tipo de opção incorreta para obter o grupo de instância."
"Year Range","Intervalo de ano"
"Yes","Sim"
"You cannot remove system attribute from this set.","Você não pode remover atributos de sistema deste grupo."
"You have no items to compare.","Você não tem itens para comparar."
"You may also be interested in the following product(s)","Você pode também estar interessado nos seguintes produtos"
"You saved the search term.","Você salvou o termo de pesquisa."
"Zoom In","Aumentar"
"Zoom Out","Reduzir"
"and","e"
"and above","e acima"
"categories","categorias"
"each","cada"
"ex. http://domain.com","ex. http://dominio.com"
"leave blank if its not an image","deixe em branco se o seu não é uma imagem"
"per page","por página"
"products","produtos"
"save","salvar"
"select all","selecionar tudo"
"unselect all","desmarcar todos"
