"(Excl. Tax)","(Excl. Imposto)"
"My Cart (%s items)","Meu carrinho (%s itens)"
"My Cart Link","Link para Meu Carrinho"
"New Address","Novo Endereço"
"New Condition","Nova Condição"
"New Terms and Conditions","Novos Termos e Condições"
"No Payment Methods","Não há Métodos de Pagamento"
"One Page Checkout","Finalizar compra em uma página"
"Order #","Pedido #"
"Order Review","Resumo do Pedido"
"Order Success","Pedido realizado"
"Password","Senha"
"Payment Failed Email Reciever","E-mail de recebimento de erro no pagamento"
"Payment Failed Email Sender","Remetente de E-mails de Falha de Pagamento"
"Payment Failed Emails","E-mails de Falha de Pagamento"
"Payment Failed Template","Template de Falha de Pagamento"
"Payment Information","Informação de Pagamento"
"Payment Method","Forma de pagamento"
"Payment method is not defined","Método de pagamento não foi definido"
"Place Order","Finalizar Pedido"
"Please agree to all Terms and Conditions before placing the order.","Por favor concorde com todos os termos e condições antes de fazer a encomenda."
"Please agree to all Terms and Conditions before placing the orders.","Por favor, concorde com todos os termos e condições antes de finalizar os pedidos."
"Please agree to all the terms and conditions before placing the order.","Por favor, concorde com todos os termos e condições antes de fazer o pedido."
"Please choose to register or to checkout as a guest","Por favor, escolha registrar ou finalizar como visitante."
"Please log in below:","Por favor, entre abaixo:"
"Please select region, state or province","Por favor selecione região, estado ou província"
"Please select shipping address for applicable items","Por favor, selecione endereço de envio para os itens aplicáveis"
"Please select shipping methods for all addresses","Por favor, selecione o método de envio para todos endereços"
"Please specify payment method.","Por favor, especifique o método de pagamento"
"Please specify shipping method.","Por favor, especifique o método de envio"
"Price","Preço"
"Proceed to Checkout","Avançar para o Checkout"
"Product","Produto"
"Product Name","Nome do produto"
"Products","Produtos"
"Qty","Qtd"
"Qty:","Qtd:"
"Quantity","Quantidade"
"Quote Lifetime (days)","Tempo de Vida de Cotação (dias)"
"Recently added item(s)","Iten(s) recém adicionado(s)"
"Register","Registrar"
"Register and save time!","Cadastre-se e ganhe tempo!"
"Register to Create an Account","Registrar-se"
"Register with us for future convenience:","Registre-se para futura conveniência:"
"Remove Item","Remover Item"
"Remove This Item","Remover este Item"
"Remove item","Remover item"
"Review Order","Revisar pedido"
"Review Order - %s","Rever pedido - %s"
"SKU","Código de Produto:"
"Sales","Vendas"
"Save Condition","Salvar Condição"
"Save in address book","Salvar no catálogo de endereços"
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"Select Address","Selecione o endereço"
"Select Addresses","Selecione os endereços"
"Select Shipping Method","Selecionar Modo de Envio"
"Select State/Province...","Selecionar estado..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança da sua lista de endereços ou cadastre um novo."
"Select a shipping address from your address book or enter a new address.","Selecione um endereço de entrega de seu catálogo de endereços ou insira um novo endereço."
"Send Payment Failed Email Copy Method","Envio de Falha de Pagamento por E-mail"
"Send Payment Failed Email Copy To","Envie E-mail de Falha de Pagamento Para"
"Send To","Enviar para"
"Separate by "","".","Separados por "",""."
"Ship to Multiple Addresses","Enviar para vários endereços"
"Ship to different address","Enviar para endereços diferentes"
"Ship to this address","Enviar para este endereço"
"Shipping Address","Endereço de entrega"
"Shipping Information","Dados de Entrega"
"Shipping Method","Método de Entrega"
"Shipping Methods","Métodos de Envio"
"Shipping To","Enviar para"
"Shipping method has not been selected yet","Método de envio não foi selecionado ainda"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart Sidebar","Barra lateral do carrinho de compras"
"Shopping Cart is Empty","Carrinho de compras está vazio"
"Show Content as","Mostrar o Conteúdo como"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Desculpe, finalizar compra como visitante não está disponível. Por favor, tente novamente ou contate o gerente da loja."
"Sorry, no quotes are available for this order at this time.","Desculpe, nenhuma cotação está disponível para este pedido no momento."
"State/Province","Estado"
"Status","Situação"
"Store View","Visão de Loja"
"Street Address","Endereço"
"Submitting order information...","Enviado informações do pedido..."
"Subtotal","Sub-total"
"Telephone","Telefone"
"Terms and Conditions","Termos e Condições"
"Terms and Conditions Information","Informações sobre Termos e Condições"
"Terms and conditions","Termos e condições"
"Text","Texto"
"Thank you for your purchase!","Obrigado por sua compra!"
"The product does not exist.","Produto não existe."
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro processando seu pedido. Por favor, entre em contato conosco ou tente novamente mais tarde."
"This condition no longer exists.","Essa condição não está mais disponível."
"Total for this address","Total para este endereço"
"Unit Price","Preço unitário"
"Update","Atualizar"
"Update Cart","Atualizar Carrinho"
"Update Qty &amp; Addresses","Atualizar Qtd &amp; Endereços"
"Update Shopping Cart","Atualizar Carrinho de Compras"
"Update Total","Atualizar total"
"Use Billing Address","Usar o endereço de cobrança"
"VAT Number","CPF/CNPJ"
"View Shopping Cart","Ver Carrinho de Compras"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Nós estamos processando seu pedido e você logo receberá um e-mail com mais detalhes. Ao enviarmos o pedido, você receberá outro e-mail com um link para rastreá-lo."
"What's this?","O que é isto?"
"You have no items in your shopping cart.","Você não possui nenhum item em seu carrinho de compras."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você receberá um e-mail de confirmação de compra com mais detalhes e um link para rastreá-lo."
"Your Checkout Progress","Progresso da sua compra"
"Your order number is ","O número do seu pedido é "
"Zip/Postal Code","CEP"
"or","ou"
