" [deleted]"," [apagado]"
"A user with the same user name or email already exists.","Um usuário com o mesmo nome de usuário ou e-mail já existe."
"API Key","Chave de API"
"Abandoned Carts","Carrinhos abandonados"
"About the calendar","Sobre o calendário"
"Account Created in:","Conta criada no:"
"Account Created on (%s):","Conta criada em (%s):"
"Account Created on:","Conta criada em:"
"Account Information","Informações de Conta"
"Account Status","Status da Conta"
"Account status","Status da conta"
"Action","Ação"
"Actions","Ações"
"Actions XML","Ações XML"
"Active","Ativo"
"Add","Adicionar"
"Add Exception","Adicionar exceção"
"Add Field Mapping","Adicionar mapeamento de campos"
"Add Field with URL:","Adicionar campo com URL:"
"Add New","Adicionar Novo"
"Add New Block","Adicionar novo bloco"
"Add New Image","Adicionar Nova Imagem"
"Add New Profile","Adicionar novo perfil"
"Add New Role","Adicionar Nova Função"
"Add New Template","Adicionar novo template"
"Add New URL Rewrite","Adicionar Nova Reescrita de URL"
"Add New User","Adicionar Novo Usuário"
"Add New Variable","Adicionar nova variável"
"Add Products","Adicionar Produtos"
"Add URL Rewrite","Adicionar URL Rewrite"
"Add URL Rewrite for a Category","Adicionar Reescrita de URL para uma Categoria"
"Add URL Rewrite for a Product","Adicionar Reescrita de URL para um Produto"
"Add after","Adicionar depois"
"Additional Cache Management","Gerenciamento Adicional de Cache"
"Address Type:","Tipo de endereço:"
"Admin","Administrador"
"Advanced Admin Section","Seção de Administração Avançada"
"Advanced Profiles","Perfis avançados"
"Advanced Section","Seção Avançada"
"All","Todos"
"All Allowed Countries","Todos os países permitido"
"All Cache","Todo Cache"
"All Files","Todos os Arquivos"
"All Reviews","Todas Avaliações"
"All Store Views","Todas as Visões de Loja"
"All Tags","Todas tags"
"All Websites","Todos os sites"
"All countries","Todos os Países"
"All fields","Todos campos"
"All valid rates have been saved.","Todos os preços válidos foram salvos."
"Always (during development)","Sempre (durante o desenvolvimento)"
"Amounts","Montantes"
"An error occurred while clearing the JavaScript/CSS cache.","Ocorreu um erro ao limpar o cache de JavaScript/CSS."
"An error occurred while clearing the image cache.","Ocorreu um erro ao limpar o cache de imagem."
"An error occurred while deleting this role.","Ocorreu um erro ao apagar esta permissão."
"An error occurred while saving account.","Ocorreu um erro ao salvar a conta."
"An error occurred while saving this role.","Ocorreu um erro ao salvar a permissão."
"Any","Qualquer"
"Any Attribute Set","Qualquer grupo de atributos"
"Any Group","Qualquer grupo"
"Any Status","Qualquer status"
"Any Store","Qualquer loja"
"Any Type","Qualquer tipo"
"Any Visibility","Qualquer visibilidade"
"Archive file name:","Nome do arquivo comprimido:"
"Are you sure that you want to delete this template?","Você tem certeza que deseja excluir este modelo?"
"Are you sure that you want to strip tags?","Você tem certeza que deseja remover as tags?"
"Are you sure you want to do this?","Deseja realmente fazer isso?"
"Area","Área"
"As low as:","Maiores quantidades:"
"Assigned","Atribuído"
"Attribute Set Name:","Nome do grupo de atributos:"
"Attributes","Atributos"
"Authorize","Autorizar"
"Automatic (equalize price ranges)","Automático (equalizar variação de preço)"
"Automatic (equalize product counts)","Automático (equalizar contagens de produto)"
"Average Order Amount","Média de valor de pedido"
"Average Orders","Média de pedidos"
"Back","Voltar"
"Back to Login","Voltar para entrar"
"Backup Name","Nome do backup"
"Backup options","Opções de backup"
"Base currency","Moeda base"
"Bcc","BCC"
"Bestsellers","Mais Vendidos"
"Billing Address","Endereço de Cobrança"
"Billing Address: ","Endereço de cobrança: "
"Billing Agreement","Acorde de faturamento"
"Billing Agreements","Acordos de Faturamento"
"Block Information","Informação do Bloco"
"Blocks","Blocos"
"Both (without and with tax)","Ambos (sem e com imposto)"
"Browse Files...","Procurar Arquivos..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacotes com preços dinâmicos não pode incluir opções personalizadas. Opções não serão salvas."
"By Email","Por E-mail"
"By IP","Por IP"
"By IP and Email","Por IP e E-mail"
"CSV / Tab separated","CSV / Separado por aba"
"Cache Control","Controle de Cache"
"Cache Control (beta)","Controle de cache (beta)"
"Cache Management","Gerenciamento de Cache"
"Cache Type","Tipo de cache"
"Cancel","Cancelar"
"Cannot add new comment.","Não é possível adicionar novos comentários."
"Cannot add tracking number.","Não é possível adicionar o número de rastreamento."
"Cannot do shipment for the order separately from invoice.","Não é possível realizar o envio do pedido separadamente da fatura."
"Cannot do shipment for the order.","Não é possível fazer o envio do pedido."
"Cannot save shipment.","Não foi possível salvar o envio."
"Cannot send shipment information.","Não é possível enviar informações de envio."
"Cannot update item quantity.","Não foi possível atualizar a quantidade do item."
"Card Verification Number","Código de Verificação do Cartão"
"Catalog","Catálogo"
"Catalog Price Rules","Regras de Preço de Catálogo"
"Catalog Rewrites","Reescrita de Catálogo"
"Categories","Categorias"
"Category","Categoria"
"Category:","Categoria:"
"Checkbox","Caixa de seleção"
"Child Transactions","Transacções filhas"
"Choose Store View:","Escolha o visual da Loja:"
"Choose an attribute","Escolher um atributo"
"Clear","Limpar"
"Close","Fechar"
"Code","Código"
"Complete","Finalizado"
"Config form fieldset clone model required to be able to clone fields","Modelo clone de conjunto de campo de formulation de configuração precisa ser capaz de clonar campos"
"Configuration","Configuração"
"Confirm New Password","Confirmar nova senha"
"Confirmed email:","Confirmar e-mail:"
"Connect with the Magento Community","Conectar com a comunidade Magento"
"Continue","Próximo"
"Convert to Plain Text","Converter para texto sem formatação"
"Cookie (unsafe)","Cookie (inseguro)"
"Country","País"
"Country:","País:"
"Coupons","Cupons"
"Create","Criar"
"Create DB Backup","Criar Backup do Banco"
"Create New Attribute","Criar Novo Atributo"
"Created At","Criado em"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do cartão de crédito: xxxx-%s"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Memo History","História de memorando de crédito"
"Credit Memo Totals","Totais de memorando de crédito"
"Credit Memos","Memorandos de Crédito"
"Currency","Moeda"
"Currency Information","Informações de moeda"
"Currency Setup Section","Seção de Configuração de Moeda"
"Current Configuration Scope:","Configuração de Escopo Atual:"
"Current Month","Mês atual"
"Custom","Personalizado"
"Custom Variables","Variáveis personalizadas"
"Customer","Cliente"
"Customer Group:","Grupo de clientes:"
"Customer Groups","Grupos de Cliente"
"Customer Name","Nome do cliente"
"Customer Reviews","Avaliações de Clientes"
"Customer Shopping Carts","Carrinhos de compras dos clientes"
"Customer Since:","Cliente desde:"
"Customer Tax Classes","Classes de Impostos de Clientes"
"Customer with the same email already exists.","Já existe cliente com o mesmo e-mail."
"Customers","Clientes"
"Customers by Number of Orders","Clientes por Número de Pedidos"
"Customers by Orders Total","Clientes por Total de Pedidos"
"DHTML Date/Time Selector","Seletor DHTML de data/hora"
"Dashboard","Painel de Controle"
"Data Format","Formato de dados"
"Data transfer:","Transferência de dados:"
"Database","Banco de dados"
"Date","Data"
"Date & Time","Data & Hora"
"Date Added","Data de inclusão"
"Date Updated","Data atualizada"
"Date selection:","Selecionar data:"
"Date selector","Seletor de data"
"Day","Dia"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores padrões (admin)"
"Default Billing Address","Endereço de cobrança padrão"
"Default Config","Configuração Padrão"
"Default Template from Locale","Modelo padrão de localidade"
"Default Values","Valor Padrão"
"Default scope","Escopo Padrão"
"Delete","Excluir"
"Delete %s","Excluir %s"
"Delete %s '%s'","Excluir %s '%s'"
"Delete Block","Excluir Bloco"
"Delete File","Excluir Arquivo"
"Delete Image","Excluir imagem"
"Delete Profile","Excluir perfil"
"Delete Role","Apagar Permissão"
"Delete Store","Apagar Loja"
"Delete Store View","Apagar Visão de Loja"
"Delete Template","Excluir Template"
"Delete User","Apagar Usuário"
"Delete Website","Excluir website"
"Description","Descrição"
"Design","Visual"
"Design Section","Seção de Design"
"Details","Detalhes"
"Developer Section","Seção de Programador"
"Direction:","Direção:"
"Disable","Desabilitado"
"Disabled","Desabilitado"
"Display %s first","Mostrar %s primeiro"
"Display default currency","Exibir a moeda padrão"
"Distributed under GNU LGPL. See %s for details.","Distribuído sobre GNU LGPL. Ver %s para detalhes."
"Do you really want to KILL parallel process and start new indexing process?","Você realmente deseja TERMINAR os processos paralelos e começar um novo processo de indexação?"
"Download","Fazer Download"
"Downloads","Transferências"
"Drag to move","Arraste para mover"
"Drop-down","Lista suspensa"
"Edit","Editar"
"Edit Block","Editar o Bloco"
"Edit Block '%s'","Editar bloco '%s'"
"Edit Design Change","Editar Mudança de Design"
"Edit Email Template","Editar Template de e-mail"
"Edit Order","Editar pedido"
"Edit Poll","Editar pesquisa"
"Edit Queue","Editar Fila"
"Edit Review","Editar Avaliação"
"Edit Role","Editar Função"
"Edit Store View","Editar Visão de Loja"
"Edit System Template","Editar o Template do sistema"
"Edit Template","Editar Template"
"Edit URL Rewrite","Edite o Reescrita de URL"
"Edit User","Editar Usuário"
"Edit User '%s'","Editar usuário '%s'"
"Edit Variable","Editar Variável"
"Edit Website","Editar website"
"Email","E-mail"
"Email Address:","Endereço de e-mail:"
"Email to a Friend","Enviar por E-mail à um Amigo"
"Email:","E-mail:"
"Enable","Habilitado"
"Enabled","Habilitado"
"Enclose Values In:","Valores incluídos em:"
"Entity Attributes","Atributos de Entidade"
"Entity Type","Tipo de entidade"
"Entity type:","Tipo de entidade:"
"Error","Erro"
"Excel XML","Excel, XML"
"Excl. Tax","Excl. Impostos"
"Excl. Tax:","Excl. imposto:"
"Exclude media folder from backup","Excluir a pasta de mídia do backup"
"Expiration Date","Data de Validade"
"Expiration Date: %s/%s","Data de expiração: %s/%s"
"Export","Exportar"
"Export CSV","Exportar CSV"
"Export Filters","Exportar filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"FTP Host","Servidor FTP"
"FTP Host[:Port]","FTP Host [: porta]"
"FTP Login","Login FTP"
"FTP Password","Senha FTP"
"FTP credentials","Credenciais FTP"
"Failed","Falhou"
"Field","Campo"
"Field Mapping","Mapeamento de campo"
"File","Arquivo"
"File Information","Informações de arquivo"
"File System","Sistema de arquivos"
"File name:","Nome do arquivo:"
"File size should be more than 0 bytes","Tamanho do arquivo deve ser maior que 0 bytes"
"Finished profile execution.","Execução do perfil terminada."
"First Invoice Created Date","Data de Criação da Primeira Fatura"
"First Name","Nome"
"First Name:","Nome:"
"Fixed","Fixo"
"Flush Catalog Images Cache","Liberar Cache das Imagens do Catálogo"
"Flush JavaScript/CSS Cache","Liberar Cache JavaScript/CSS"
"For category","Para a categoria"
"For latest version visit: %s","Para última versão visite: %s"
"For product","Para o produto"
"Forgot your password?","Esqueceu a sua senha?"
"Forgot your user name or password?","Esqueceu seu usuário ou senha?"
"From","De"
"General Information","Informação Geral"
"General Section","Seção Geral"
"Get Image Base64","Obter imagem Base64"
"Get help for this page","Obter ajuda para esta página"
"Global Attribute","Atributos globais"
"Global Record Search","Busca global de registro"
"Global Search","Busca Global"
"Go Today","Hoje"
"Go to Top","Ir para o topo"
"Google Base","Base do Google"
"Grand Total","Total geral"
"Grid (default) / List","Grade (padrão) / Lista"
"Grid Only","Apenas Grade"
"Group:","Grupo:"
"Guest","Visitante"
"HTTP (unsecure)","HTTP (não segura)"
"Help Us Keep Magento Healthy - Report All Bugs","Ajude-nos a manter a qualidade do Magento – reporte todos os bugs"
"Home","Início"
"ID","Id."
"ID Path","Caminho do ID"
"IP Address","Endereço IP"
"IPN (Instant Payment Notification) Only","Apenas IPN (Instant Payment Notification)"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se você não especificar um valor para opção na visão de loja específica o valor padrão(Admin) será usado."
"Images (.gif, .jpg, .png)","Imagens (. gif,. jpg,. png)"
"Images Cache","Cache de Imagens"
"Import","Importar"
"Import Service","Serviço de importação"
"Import and Export Tax Rates","Imposto de Importação e Exportação"
"Import/Export","Importar/Exportar"
"Import/Export Advanced","Importação/Exportação avançadas"
"Import/Export Profile","Importar/Exportar Perfil"
"Important: ","Importante: "
"Imported <strong>%s</strong> records","Registros importados <strong>%s</strong>"
"In","Em"
"In Database:","Em banco de dados:"
"In File:","Em arquivo:"
"Inactive","Inativo"
"Incl. Tax","Imposto Incl."
"Incl. Tax:","Incl. imposto:"
"Incoming Message","Nova mensagem"
"Insert Variable...","Inserir variável..."
"Interactive","Interativo"
"Interface Locale: %s","Localidade da interface: %s"
"Invalid Form Key. Please refresh the page.","Chave de formulário inválida. Por favor, atualize a página."
"Invalid Import Service Specified","Especificado serviço inválido de importação"
"Invalid Secret Key. Please refresh the page.","Chave secreta inválida. Por favor, atualize a página."
"Invalid data","Dados inválidos"
"Invalid directory: %s","Diretório inválido: %s"
"Invalid file: %s","Arquivo inválido: %s"
"Invalid input data for %s => %s rate","Dados de entrada inválidos para %s => taxa %s"
"Invalid parent block for this block","O bloco pai é inválido para este bloco"
"Invalid response","Resposta inválida"
"Invalidated","Invalidado"
"Inventory Stock Status","Status do Estoque"
"Invoice #%s comment added","Comentário da fatura número %s foi adicionado"
"Invoice #%s created","Fatura número %s criada"
"Invoice History","Histórico de Faturas"
"Invoice Totals","Totais da Fatura"
"Invoices","Faturas"
"Is Closed","Está fechado"
"Is Default","É o Padrão"
"Issue Number","Número de emissão"
"Items","Itens"
"JavaScript seems to be disabled in your browser.","O JavaScript parece estar desabilitado no seu navegador."
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Last 24 Hours","Últimas 24 horas"
"Last 5 Orders","Últimos 5 pedidos"
"Last 5 Search Terms","Últimos 5 termos de busca"
"Last 7 Days","Últimos 7 Dias"
"Last Credit Memo Created Date","Data de Criação da Última Nota de Crédito"
"Last Invoice Created Date","Data de Criação da Última Fatura"
"Last Logged In (%s):","Última conexão em (%s):"
"Last Logged In:","Último login em:"
"Last Name","Sobrenome"
"Last Name:","Sobrenome:"
"Latest Message:","Última mensagem:"
"Layered Navigation Indices","Índices de navegação em camadas"
"Leave empty to use tax identifier","Deixe vazio para utilizar o identificador de imposto"
"Lifetime Sales","Vendas Acumuladas"
"List (default) / Grid","Lista (padrão) / Grade"
"List Only","Apenas Lista"
"Load Template","Carregar Template"
"Load default template","Carregar modelo padrão"
"Loading...","Carregando..."
"Local Server","Servidor Local"
"Local/Remote Server","Servidor Local/Remoto"
"Locale","Localidade"
"Log In","Entrar"
"Log Out","Sair"
"Log in to Admin Panel","Entrar no painel de administração"
"Log into Magento Admin Page","Entrar na página de administração do Magento"
"Logged in as %s","Conectado como %s"
"Login","Entrar"
"Low Stock","Estoque Mínimo"
"Magento Admin","Administração do Magento"
"Magento Commerce - Administrative Panel","Painel de administração – Magento Commerce"
"Magento Logo","Logo do Magento"
"Magento root directory","Diretório raiz do Magento"
"Manage Attribute Sets","Gerenciar Conjuntos de Atributos"
"Manage Attributes","Gerenciar atributos"
"Manage Categories","Gerenciar Categorias"
"Manage Currency Rates","Gerenciar taxas de moeda"
"Manage Customers","Gerenciar Clientes"
"Manage Options (values of your attribute)","Gerenciar opções (valores de seu atributo)"
"Manage Ratings","Gerenciar Classificações"
"Manage Stores","Gerenciar Lojas"
"Manage Tax Rules","Gerenciar Taxas de Imposto"
"Manage Titles (Size, Color, etc.)","Gerenciar Títulos (tamanho, cor, etc.)"
"Maximum sender name length is 255. Please correct your settings.","Comprimento do nome do remetente máximo é 255. Por favor, corrija suas configurações."
"Media (.avi, .flv, .swf)","Mídia (.avi, .flv, .swf)"
"Messages Inbox","Caixa de Entrada de Mensagens"
"Month","Mês"
"Most Viewed","Mais visitados"
"Most Viewed Products","Produtos Mais Visualizados"
"Multiple Select","Múltipla Seleção"
"My Account","Minha Conta"
"N/A","Não Disponível"
"Name","Nome"
"Name on Card","Nome no cartão"
"Name on the Card: %s","Nome no cartão: %s"
"Name:","Nome:"
"Never (production)","Nunca (produção)"
"New ","Novo "
"New Accounts","Nova Conta"
"New Attribute","Novo Atributo"
"New Block","Novo Bloco"
"New Category","Adicionar categoria"
"New Class","Nova classe"
"New Condition","Nova Condição"
"New Custom Variable","Nova variável personalizada"
"New Customer","Novo Cliente"
"New Customers","Novos Clientes"
"New Design Change","Nova alteração de design"
"New Email Template","Novo Template de e-mail"
"New Group","Novo Grupo"
"New Invoice","Nova fatura"
"New Item Type","Novo tipo de item"
"New Memo","Novo memorando"
"New Page","Nova Página"
"New Password","Nova Senha"
"New Poll","Nova pesquisa"
"New Profile","Novo perfil"
"New Rating","Nova avaliação"
"New Review","Nova Avaliação"
"New Role","Nova Permissão"
"New Rule","Nova Regra"
"New Search","Nova pesquisa"
"New Set","Novo Conjunto"
"New Shipment","Nova remessa"
"New Sitemap","Novo mapa do site"
"New Store View","Nova Visão de Loja"
"New System Template","Novo template do sistema"
"New Tag","Nova tag"
"New Template","Novo template"
"New User","Novo Usuário"
"New Website","Novo website"
"Newsletter","Boletim informativo"
"Newsletter Queue","Fila de Newsletter"
"Newsletter Subscribers","Inscritos de Newsletter"
"Newsletter Templates","Modelos de newsletter"
"Next month (hold for menu)","Próximo mês (mantenha para menu)"
"Next year (hold for menu)","Próximo ano (mantenha para menu)"
"No","Não"
"No (price without tax)","Não (preço sem imposto)"
"No Data","Não há dados disponíveis"
"No Data Found","Nenhum dado encontrado"
"No Templates Found","Nenhum modelo foi encontrado"
"No change","Sem alteração"
"No profile loaded...","Nenhum perfil carregado..."
"No records found for this period.","Nenhum registro encontrado para este período."
"No records found.","Nenhum registro encontrado."
"No search keywords.","Nenhuma palavra-chave de busca."
"No search modules were registered","Nenhum módulo de pesquisa registrado"
"None","Nenhum"
"Note:","Nota:"
"Notes","Notas"
"Notifications","Notificações"
"Number of Orders","Número de pedidos"
"Number of Uses","Número de Usos"
"Number of Views","Número de visitas"
"Number of records:","Número de registros:"
"OK","CONFIRMAR"
"Old rate:","Taxa antiga:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Uma vez logado na sua conta PayPal Avançado, navegue em Configurações de Serviço - Páginas Hosted Checkout - Configurar e marque as opções abaixo"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Uma vez logado na sua conta Payflow Link, navegue em Configurações de Serviço - Páginas Hosted Checkout - Configurar e marque as opções abaixo"
"Online Customers","Clientes On-line"
"Only Once (version upgrade)","Apenas uma vez (atualização de versão)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Somente atributos com escopo ""Global"", tipo de entrada ""Dropdown"" e utilidade para criar produto configurável ""Sim"" estão disponíveis."
"Only mapped fields","Apenas campos mapeados"
"Optional","Opcional"
"Options","Opções"
"Options is required","Opções são obrigatórias"
"Order","Pedido"
"Order #%s","Pedido número %s"
"Order #%s (%s)","Pedido número %s (%s)"
"Order ID","ID do Pedido"
"Order Totals","Total do pedido"
"Orders","Pedidos"
"Original Magento attribute names in first row:","Nomes originais de atributo do Magento na primeira linha:"
"Out of stock","Fora de estoque"
"Pages","Páginas"
"Parent Product Thumbnail","Miniatura de Produto Mãe"
"Parent Transaction ID","ID da Transacção pai"
"Passive mode","Modo passivo"
"Password","Senha"
"Password Confirmation","Confirmação de Senha"
"Password:","Senha:"
"Path:","Caminho:"
"Pending Reviews","Comentários pendentes"
"Pending Tags","Tags pendentes"
"Per Item","Por Item"
"Per Order","Por pedido"
"Percent","Por cento"
"Performed At","Feito em"
"Period","Período"
"Permanent (301)","Permanente (301)"
"Permissions","Permissões"
"Personal Information","Informações Pessoais"
"Phone:","Fone:"
"Please Select","Por Favor Selecione"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirme a mudança de escopo. Todos os dados que ainda não foram salvos serão perdidos."
"Please enter 6 or more characters.","Por favor, insira 6 ou mais caracteres."
"Please enter a number greater than 0 in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Por favor insira um montante de R$ válido. Por exemplo, R$100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, insira um URL válido. Por exemplo http://www.exemplo.com.br ou www.exemplo.com.br"
"Please enter a valid URL. http:// is required","Por favor, insira um URL válido. http:// é obrigatório"
"Please enter a valid credit card number.","Por favor, insira um número de cartão de crédito válido."
"Please enter a valid date.","Por favor insira uma data válida."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, insira um endereço de e-mail válido. Por exemplo, joao@dominio.com.br"
"Please enter a valid email.","Por favor insira um e-mail válido."
"Please enter a valid number in this field.","Por favor insira um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo (+35) 21 1234 1234"
"Please enter a valid social security number. For example 123-45-6789.","Por favor, insira um número de seguro social válido. Por exemplo 123-45-6789."
"Please enter a valid value from list","Por favor, insira um valor válido para a lista"
"Please enter a valid value, ex: 10,20,30","Por favor insira um valor válido, ex: 10,20,30"
"Please enter a valid zip code.","Por favor informe um Cep válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, insira um CEP válido. Por exemplo 90602123 ou 90602-123."
"Please enter valid password.","Por favor, insira uma senha válida."
"Please make sure that all global admin search modules are installed and activated.","Por favor, certifique-se de que todos os módulos de pesquisa de escopo global estão instalados e ativados."
"Please make sure that your changes were saved before running the profile.","Por favor, tenha certeza que suas modificações foram salvas antes de executar o perfil."
"Please make sure your passwords match.","Verifique se suas senhas estão iguais."
"Please select State/Province.","Por favor selecione o estado."
"Please select an option.","Por favor selecione uma opção."
"Please select customer(s).","Por favor, selecione o(s) cliente(s)."
"Please select one of the above options.","Por favor, selecione uma das opções acima."
"Please select one of the options.","Por favor, selecione uma das opções."
"Please select review(s).","Por favor, selecione uma ou mais avaliações."
"Please specify the admin custom URL.","Por favor, especifique uma URL personalizada para de admin."
"Please use in this field only ""a-z,0-9,_"".","Por favor, use somente ""a-z,0-9,_"" neste campo."
"Please use letters only (a-z) in this field.","Por favor, use somente letras (a-z) neste campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Por favor, use somente letras (a-z ou A-Z), números (0-9) ou espaços neste campo."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, use somente letras (a-z) ou números (0-9) neste campo. Espaços ou outros caracteres não são permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor, use somente letras (a-z), números (0-9) ou espaços e # neste campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 de 17 de março de 2006."
"Please wait, loading...","Por favor aguarde, carregando..."
"Please wait...","Por favor, aguarde..."
"Poll Manager","Gerenciador de pesquisa"
"Polls","Pesquisas"
"Position","Posição"
"Position of Watermark for %s","Posição da marca d'água para %s"
"Prev. month (hold for menu)","Mês anterior (mantenha para menu)"
"Prev. year (hold for menu)","Ano anterior (mantenha para menu)"
"Preview","Pré-visualização"
"Preview Template","Visualizar template"
"Price","Preço"
"Price:","Preço:"
"Processed <strong>%s%% %s/%d</strong> records","Processou <strong>%s%% %s/%d</strong> registros"
"Processing","Processando"
"Product","Produto"
"Product Name","Nome do produto"
"Product Reviews","Avaliações do Produto"
"Product Tax Classes","Classes de impostos de produto"
"Product Thumbnail Itself","Miniatura de Produto Em Si"
"Product:","Produto:"
"Products","Produtos"
"Products Bestsellers Report","Relatório de Produtos Mais Vendidos"
"Products Most Viewed Report","Relatório dos produtos mais vistos"
"Products Ordered","Produtos comprados"
"Products in Carts","Produtos no Carrinho"
"Profile Action","Ação do perfil"
"Profile Actions XML","XML de ações de perfis"
"Profile Direction","Direção de perfil"
"Profile History","Histórico de perfil"
"Profile Information","Informações de perfil"
"Profile Name","Nome do perfil"
"Profile Wizard","Assistente de perfil"
"Profiles","Perfis"
"Promo","Promoção"
"Promotions","Promoções"
"Quantity","Quantidade"
"Queue Refresh","Atualizar fila"
"Queued... Cancel","Cancelar fila"
"Radio Buttons","Botões de radio"
"Rates","Taxas"
"Read details","Ler detalhes"
"Rebuild","Recriar"
"Rebuild Catalog Index","Reconstruir Índice do Catálogo"
"Rebuild Flat Catalog Category","Reconstruir Tabela Flat de Categoria"
"Rebuild Flat Catalog Product","Reconstruir Tabela Flat de Produtos"
"Recent Orders","Pedidos Recentes"
"Recent statistics have been updated.","Estatísticas recentes foram atualizadas."
"Recursive Dir","Dir recursivo"
"Redirect","Redirecionar"
"Reference ID","ID de referência"
"Refresh","Atualizar"
"Refresh Now*","Atualizar agora*"
"Refresh Statistics","Atualizar estatísticas"
"Region/State","Região/estado"
"Regular Price:","Preço normal:"
"Reject","Rejeitar"
"Release","Lançamento"
"Release Stability","Estabilidade da versão"
"Release Version","Versão de lançamento"
"Reload captcha","Recarregar captcha"
"Remote FTP","FTP Remoto"
"Remove","Remover"
"Reports","Relatórios"
"Request Path","Caminho da Solicitação"
"Required","Obrigatório"
"Reset","Reiniciar"
"Reset Filter","Limpar Filtro"
"Reset Password","Redefinir Senha"
"Reset a Password","Redefinir uma senha"
"Resize","Redimensionar"
"Resource Access","Acesso a Recursos"
"Resources","Recursos"
"Results","Resultados"
"Retrieve Password","Recuperar senha"
"Return Html Version","Retornar a versão Html"
"Revenue","Receita"
"Reviews","Avaliações"
"Reviews and Ratings","Opiniões e avaliações"
"Role ID","ID do cargo"
"Role Info","Informação de Permissão"
"Role Information","Informações de Acesso"
"Role Name","Nome da Permissão"
"Role Resources","Permissões a Recursos"
"Role Users","Permissões a Usuários"
"Roles","Permissões"
"Roles Resources","Permissões a Recursos"
"Root Category","Categoria Principal"
"Rotate CCW","Girar sentido anti-horário"
"Rotate CW","Girar sentido horário"
"Run","Executar"
"Run Profile","Executar perfil"
"Run Profile Inside This Window","Executar perfil dentro desta janela"
