"* Required Fields","* Campos Obrigatórios"
"General Subscription","Subscrição Geral"
"Generate Human-Friendly Customer ID","Gerar ID Amigável para Cliente"
"Global","Todas as Lojas"
"Group","Grupo"
"Group Information","Informações do Grupo"
"Group Name","Nome do grupo"
"Group for Invalid VAT ID","Grupo de CPF/CNPJ Inválido"
"Group for Valid VAT ID - Domestic","Grupo de CPF/CNPJ válidos - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo de CPF/CNPJ válidos - Intra-Union"
"Guest","Visitante"
"Hello, %s!","Olá, %s!"
"ID","Id."
"IP Address","Endereço IP"
"If you have an account with us, please log in.","Se você tem uma conta conosco, por favor entre."
"Invalid current password","Senha atual inválida"
"Invalid customer data","Dados de cliente inválidos"
"Invalid login or password.","Login ou senha inválida."
"Last Activity","Última atividade"
"Last Date Subscribed","Data da Última Inscrição"
"Last Date Unsubscribed","Data do Último Descadastramento"
"Last Name","Sobrenome"
"Leave empty for default (15 minutes).","Deixe em branco para o padrão (15 minutos)."
"Leave empty for default (2). Valid range: 1-4","Deixe vazio para utilizar o padrão (2). Intervalo válido: 1-4"
"Lifetime Sales","Vendas Acumuladas"
"Log In","Entrar"
"Log Out","Sair"
"Login","Entrar"
"Login Information","Informações de entrada"
"Login Options","Opções de Login"
"Login or Create an Account","Entrar ou criar uma conta"
"Manage Addresses","Gerenciar endereços"
"Manage Customers","Gerenciar Clientes"
"Month","Mês"
"My Account","Minha Conta"
"My Dashboard","Meu painel"
"My Orders","Meus pedidos"
"Name","Nome"
"Name and Address Options","Opções de Nome e Endereço"
"Never","Nunca"
"New Address","Novo Endereço"
"New Address Entry","Nova entrada de endereço"
"New Customer","Novo Cliente"
"New Customer Address","Novo endereço de cliente"
"New Customer Group","Novo Grupo de Cliente"
"New Customer Groups","Novo Grupo de Clientes"
"New Customers","Novos Clientes"
"New Group","Novo Grupo"
"New Password","Nova Senha"
"New account","Nova conta"
"New account confirmation key","Chave de confirmação de uma nova conta"
"New account confirmed","Nova conta confirmada"
"Newsletter","Boletim informativo"
"Newsletter Finish","Fim do boletim informativo"
"Newsletter Information","Informações da Newsletter"
"Newsletter Received","Boletim informativo recebido"
"Newsletter Start","Início do boletim informativo"
"Newsletter Subscription","Assinar Newsletter"
"Newsletters","Newsletter"
"No Items Found","Nenhum item encontrado"
"No Newsletter Found","Nenhuma newsletter foi encontrada"
"No item specified.","Nenhum item especificado."
"Not Sent","Não Enviado"
"Not confirmed, can login","Não confirmado, pode entrar"
"Not confirmed, cannot login","Não confirmado, não pode entrar"
"Offline","Off-line"
"Online","On-line"
"Online Customers","Clientes On-line"
"Online Customers Options","Opções de Clientes Online"
"Online Minutes Interval","Intervalo de Minutos Online"
"Order #","Pedido #"
"Order Total","Total do Pedido"
"Orders","Pedidos"
"Password","Senha"
"Password Management","Gerenciamento de senha"
"Password Options","Opções de Senha"
"Password forgotten","Esqueci a senha"
"Password:","Senha:"
"Paused","Pausado"
"Pending","Pendente"
"Per Website","Por Website"
"Personal Information","Informações Pessoais"
"Please enter a number 1 or greater in this field.","Por favor, insira um número maior ou igual a 1 neste campo."
"Please enter the city.","Por favor, informe a cidade."
"Please enter the country.","Por favor, informe o país."
"Please enter the first name.","Por favor, informe o nome."
"Please enter the last name.","Por favor, informe o sobrenome."
"Please enter the state/province.","Por favor digite o estado/província."
"Please enter the street.","Por favor, informe a rua."
"Please enter the zip/postal code.","Por favor, informe o Cep."
"Please enter your email below and we'll send you confirmation link for it.","Por favor, insira seu e-mail abaixo e enviaremos um link de confirmação para isto."
"Please enter your email.","Por favor, digite o seu e-mail."
"Please make sure your passwords match.","Verifique se suas senhas estão iguais."
"Please select region, state or province","Por favor selecione região, estado ou província"
"Prefix Dropdown Options","Opções de Prefixo de Menu Suspenso"
"Price","Preço"
"Product","Produto"
"Product ID","Identificador do Produto"
"Product Name","Nome do produto"
"Product Reviews","Avaliações do Produto"
"Product Tags","Tags do produto"
"Purchase On","Comprado em"
"Purchased On","Comprado na"
"Qty","Qtd"
"Recent Orders","Pedidos Recentes"
"Recovery Link Expiration Period (hours)","Período de Expiração do Link de Recuperação (em horas)"
"Redirect Customer to Account Dashboard after Logging in","Redirecionar Cliente para Dashboard depois do Login"
"Refunded","Reembolsado"
"Register","Registrar"
"Registered Customers","Clientes Registrados"
"Remind Email Template","Lembrar Modelo de E-mail"
"Remove","Remover"
"Require Emails Confirmation","Requerer Confirmação de E-mail"
"Reset a Password","Redefinir uma senha"
"Retrieve address data","Obter dados do endereço"
"Retrieve address info","Obter informações do endereço"
"Retrieve customer addresses","Obter endereços dos clientes"
"Retrieve customer data","Obter dados dos clientes"
"Retrieve customers","Obter clientes"
"Retrieve your confirmation link here","Obter seu link de confirmação aqui"
"Retrieve your password here","Recuperar sua senha aqui"
"SKU","Código de Produto:"
"Sales Statistics","Estatísticas de vendas"
"Save","Salvar"
"Save Address","Salvar endereço"
"Save Customer","Salvar Cliente"
"Save Customer Group","Gravar Grupo de Cliente"
"Save Password","Salvar senha"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por ponto e vírgula (;). Coloque ponto e vírgula no início para deixar em branco a primeira opção.<br/>Deixe vazio para abrir campo de texto."
"Send From","Enviado por"
"Send Welcome Email after Confirmation","Enviar e-mail de boas-vindas após confirmação"
"Send confirmation link","Enviar link de confirmação"
"Sending","Enviando"
"Sent","Enviado"
"Session Start Time","Horário de início da sessão"
"Set as Default Billing Address","Definir como endereço padrão de cobrança"
"Set as Default Shipping Address","Definir como endereço padrão de envio"
"Share Customer Accounts","Compartilhar contas de clientes"
"Shipped to First Name","Enviado para o nome"
"Shipped to Last Name","Enviado para o sobrenome"
"Shipped to Name","Enviado para o nome"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart - %d item(s)","Carrinho de compras - %d item(s)"
"Show Date of Birth","Mostrar Data de Nascimento"
"Show Gender","Mostrar Gênero Sexual"
"Show Middle Name (initial)","Mostrar Nome do Meio (initial)"
"Show Prefix","Mostrar Prefixo"
"Show Suffix","Mostrar Sufixo"
"Show Tax/VAT Number","Mostrar CPF/CNPJ"
"Sign Up for Newsletter","Assinar Newsletter"
"State/Province","Estado"
"Status","Situação"
"Store","Loja"
"Store View","Visão de Loja"
"Street Address","Endereço"
"Subject","Assunto"
"Submit","Enviar"
"Subscribe to Newsletter","Assinar newsletter"
"Subscribed to Newsletter?","Já assina nossa boletim informativo?"
"Suffix Dropdown Options","Opções de Dropdown de Sufixo"
"Tag Name","Nome da tag"
"Tax Calculation Based On","Cálculo do imposto com base no"
"Tax Class","Classe de Impostos"
"Tax/VAT number","CPF"
"Telephone","Telefone"
"Text","Texto"
"Text One Line","Texto Uma Linha"
"The VAT ID entered (%s) is not a valid VAT ID.","O CPF/CNPJ informado (%s) não é um CPF/CNPJ válido."
"The VAT ID is valid. The current Customer Group will be used.","O CPF/CNPJ é válido. O Grupo de Clientes será usado."
"The customer does not have default billing address.","O cliente não tem um endereço de cobrança padrão."
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo que vai depois de nome (Jr, Sr., etc)"
"The title that goes before name (Mr., Mrs., etc.)","O titulo vem antes do nome (Mr., Mrs, etc.)"
"There are no items in customer's wishlist at the moment","Não há itens na lista de desejos do cliente no momento"
"There are no items in customer's shopping cart at the moment","Não há itens no carrinho de compras do cliente no momento"
"This account is not confirmed.","Esta conta não foi confirmada."
"This customer has no saved addresses.","Este cliente não tem endereços salvos."
"This email does not require confirmation.","Este e-mail não requer confirmação."
"To Cart","Para o carrinho de compras"
"Type","Tipo"
"Unknown","Desconhecido"
"Unsubscribe from Newsletter","Cancelar assinatura de Newsletter"
"Update","Atualizar"
"Update customer address data","Atualizar dados do endereço do cliente"
"Update customer data","Atualizar dados do cliente"
"Use as my default billing address","Usar como meu endereço padrão de cobrança"
"Use as my default shipping address","Usar como meu endereço padrão de entrega"
"VAT Number","CPF/CNPJ"
"VAT Request Date","Data do pedido de IVA"
"VAT Request Identifier","Identificador de solicitação do VAT"
"Validate VAT Number","Validar número CPF/CNPJ"
"Validate on Each Transaction","Validar em Cada Transação"
"Validation Error Group","Validar Erro de Grupo"
"View","Visualizar"
"View Order","Visualizar pedido"
"Visitor","Visitante"
"Visitors Only","Apenas visitantes"
"Website","Site"
"Welcome Email","E-mail de boas vindas"
"Wishlist","Lista de desejos"
"Wishlist - %d item(s)","Lista de desejos - %d item(s)"
"Would you like to change the Customer Group for this order?","Você gostaria de trocar o grupo de clientes para esta compra?"
"Wrong confirmation key.","Chave de confirmação incorreta."
"Wrong customer account specified.","Conta de usuário incorreta."
"Wrong email.","E-mail errado."
"YYYY","AAAA"
"Year","Ano"
"You are currently not subscribed to any newsletter.","Você não está inscrito em nenhum boletim informativo."
"You are currently subscribed to 'General Subscription'.","Você está inscrito na 'assinatura comum'."
"You are currently subscribed to our newsletter.","Você está inscrito em nosso boletim informativo."
"You have no additional address entries in your address book.","Você não possui entradas de endereços adicionais em sua lista de endereços."
"You have no additional entries in your address book.","Você não possui entradas adicionais em sua lista de endereços."
"You have no default billing address in your address book.","Você não tem endereço de cobrança padrão no seu catalogo de endereço."
"You have no default shipping address in your address book.","Você não tem endereço de envio padrão em seu catalogo de endereço."
"You have not set a default billing address.","Você não definiu um endereço de faturamento padrão."
"You have not set a default shipping address.","Você não definiu um endereço de entrega padrão."
"You have placed no orders yet.","Você ainda não fez nenhum pedido."
"You have placed no products yet.","Você ainda não solicitou produtos."
"You will be charged tax.","Você será cobrado imposto."
"You will not be charged tax.","Você não será cobrado imposto."
"Your Tax ID cannot be validated.","Seu CPF não pode ser validado."
"Your VAT ID was successfully validated.","O seu CPF/CNPJ foi validado com êxito."
"Your account balance is: %s","O balanço de sua conta é: %s"
"ZIP","CEP"
"ZIP/Post Code","Código postal / CEP"
"Zip/Postal Code","CEP"
"or","ou"
