"-- Please Select --","-- Selecione uma opção --"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Excluir um %1$s não excluirá as informações associadas com o %1$s (ex: categorias, produtos, etc.), mas o %1$s não poderá de ser restaurardo. É recomendado você criar um backup do banco de dados antes de excluir o %1$s."
"Design","Visual"
"Design Change","Mudança de Design"
"Developer","Desenvolvedor"
"Developer Client Restrictions","Restrições de desenvolvimento para Clientes"
"Disable Email Communications","Desabilitar Comunicações de E-mail"
"Disable Modules Output","Desativar o Output dos Módulos"
"Display Demo Store Notice","Aviso de loja demo"
"Duplicate Of Template Name","Nome do template duplicado"
"Edit Design Change","Editar Mudança de Design"
"Edit Store","Editar Loja"
"Edit Store View","Editar Visão de Loja"
"Edit Website","Editar website"
"Empty identifier field name","Nome do campo do identificador vazio"
"Empty main table name","Nome da tabela principal vazio"
"Enable Charts","Habilitar gráficos"
"Enabled","Habilitado"
"Enabled for Admin","Ativado para Administradores"
"Enabled for Frontend","Habilitado para frontend"
"Environment Update Time","Tempo de Atualização do Ambiente"
"Error in file: ""%s"" - %s","Erro no arquivo: ""%s"" - %s"
"European Union Countries","Países da União Europeia"
"Exceptions Log File Name","Nome do log de exceções"
"Favicon Icon","Ícone Favicon"
"File not found","Arquivo não encontrado"
"File system","Sistema de arquivos"
"File with an extension ""%value%"" is protected and cannot be uploaded","O arquivo com a extensão ""%value%"" está protegido e não pode ser enviado"
"First Day of Week","Primeiro dia da semana"
"Flush Cache Storage","Liberar Cache Armazenado"
"Flush Magento Cache","Liberar Cache do Magento"
"Footer","Rodapé"
"Forgot Password Email Sender","Esqueceu rementente do e-mail de senha"
"Forgot Password Email Template","Modelo de E-mail de Esqueci Minha Senha"
"General","Geral"
"General Contact","Contato geral"
"General Settings","Configurações Gerais"
"Global","Todas as Lojas"
"HTML Head","Cabeçalho HTML"
"Header","Cabeçalho"
"Host","Servidor"
"How many links to display at once.","Quantos links a mostrar de uma vez."
"Incorrect credit card expiration date.","Data de validade de cartão de crédito incorrecto."
"Input type ""%value%"" not found in the input types list.","O tipo de entrada ""%value%"" não foi encontrado na lista de tipos de entrada."
"Invalid base url type","Tipo inválido de URL base"
"Invalid block type: %s","Tipo inválido do bloco: %s"
"Invalid block: %s","Bloco inválido: %s"
"Invalid date","Data inválida"
"Invalid layout update handle","Layout update handle inválido"
"Invalid messages storage ""%s"" for layout messages initialization","Mensagens de armazenamento ""%s"" inválido para inicialização de mensagens de layout"
"JavaScript Settings","Definições de JavaScript"
"Leave empty for access from any location.","Deixe em branco para acessar a partir de qualquer lugar."
"Locale","Localidade"
"Locale Options","Opções de localidade"
"Log Settings","Configuração de log"
"Login is Case Sensitive","O Login é Case Sensitive"
"Logo Image","Imagem do logotipo"
"Logo Image Alt","Alt da imagem do logotipo"
"Logo Image Src","Src da imagem de logo"
"Mail Sending Settings","Configurações de Envio de E-mail"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Certifique-se que a URL base termine com '/' (barra), ex. http://yourdomain/magento/"
"Manage Stores","Gerenciar Lojas"
"Match expressions in the same order as displayed in the configuration.","Combinar expressões na mesma ordem exibida na configuração."
"Media Storage","Armazenamento de Mídia"
"Merge CSS Files","Mesclar arquivos CSS"
"Merge JavaScript Files","Mesclar arquivos JavaScript"
"Miscellaneous HTML","HTML Diversos"
"Name","Nome"
"New Design Change","Nova alteração de design"
"New Store","Nova Loja"
"New Store View","Nova Visão de Loja"
"New Website","Novo website"
"No","Não"
"Offloader header","Cabeçalho offloader"
"PHP SOAP extension is required.","Extensão PHP SOAP é necessária."
"Package","Pacote"
"Pagination","Paginação"
"Pagination Frame","Quadro de Paginação"
"Pagination Frame Skip","Salto entre Quadros de Paginação"
"Path ""%value%"" is not available and cannot be used.","O caminho ""%value%"" não está disponível e não pode ser usado."
"Path ""%value%"" is protected and cannot be used.","O caminho ""%value%"" está protegido e não pode ser usado."
"Please define flag code.","Por favor, defina o código da bandeira"
"Please enter a number 0 or greater in this field.","Por favor, insira um número maior ou igual a 0 neste campo."
"Please enter a number 1 or greater in this field.","Por favor, insira um número maior ou igual a 1 neste campo."
"Please enter a number greater than 0 in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Por favor insira um montante de R$ válido. Por exemplo, R$100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, insira um URL válido. Por exemplo http://www.exemplo.com.br ou www.exemplo.com.br"
"Please enter a valid credit card number.","Por favor, insira um número de cartão de crédito válido."
"Please enter a valid credit card verification number.","Por favor, insira um número de verificação de cartão de crédito válido."
"Please enter a valid date.","Por favor insira uma data válida."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, insira um endereço de e-mail válido. Por exemplo, joao@dominio.com.br"
"Please enter a valid month (1-12).","Por favor insira um mês válido (1-12)."
"Please enter a valid number in this field.","Por favor insira um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo (+35) 21 1234 1234"
"Please enter a valid social security number. For example 123-45-6789.","Por favor, insira um número de seguro social válido. Por exemplo 123-45-6789."
"Please enter a valid zip code.","Por favor informe um Cep válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, insira um CEP válido. Por exemplo 90602123 ou 90602-123."
"Please enter issue number or start date for switch/solo card type.","Por favor, insira o número de emissão ou data de início para o cartão switch/solo."
"Please make sure your passwords match.","Verifique se suas senhas estão iguais."
"Please select State/Province.","Por favor selecione o estado."
"Please select an option.","Por favor selecione uma opção."
"Please select one of the above options.","Por favor, selecione uma das opções acima."
"Please select one of the options.","Por favor, selecione uma das opções."
"Please set available and/or protected paths list(s) before validation.","Por favor defina listas de caminhos disponíveis e/ou protegidos antes da validação."
"Please use letters only (a-z or A-Z) in this field.","Por favor use apenas letras (a-z ou A-Z) neste campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, use somente letras (a-z), números (0-9) ou underscore(_) neste campo e o primeiro caractere deve ser uma letra."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 de 17 de março de 2006."
"Please wait, loading...","Por favor aguarde, carregando..."
"Polls","Pesquisas"
"Port (25)","Porta (25)"
"Recovery Link Expiration Period (hours)","Período de Expiração do Link de Recuperação (em horas)"
"Request Path for Specified Store","Caminho da solicitação para a Loja especificada"
"Requested invalid store ""%s""","Loja ""%s"" solicitada inválida"
"Return-Path Email","E-mail para Caminho de Retorno"
"Root Category","Categoria Principal"
"Sales Representative","Representante de Vendas"
"Save","Salvar"
"Save Store","Salvar Loja"
"Save Store View","Salvar Visão de Loja"
"Save Website","Salvar website"
"Search Engines Optimization","Otimização do mecanismo de busca"
"Secure","Assegurar"
"Security","Segurança"
"Select Date","Selecionar data"
"Select Media Database","Selecione a Base de Dados de Mídia"
"Sender Email","E-mail do remetente"
"Sender Name","Nome do remetente"
"Services","Serviços"
"Session Validation Settings","Definições de Validação de Sessão"
"Set Return-Path","Definir Caminho de Retorno"
"Set as Default","Definir como Padrão"
"Skin (Images / CSS)","Skin (imagens / CSS)"
"Sort Order","Ordenação"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Data/hora especificado ""%1$s"" diferente do formato ""%2$s""."
"Startup Page","Página Inicial"
"Status","Situação"
"Storage Configuration for Media","Configuração de Armazenamento para Midia"
"Store","Loja"
"Store Email Addresses","Endereços de E-mail da Loja"
"Store Hours of Operation","Horários de funcionamento"
"Store Information","Informação da Loja"
"Store Name","Nome da loja"
"Store View","Visão de Loja"
"Store View Information","Informações da Visão de Loja"
"Store View Name","Nome da visão da loja"
"Store view doesn't exist","Visão de loja inexistente"
"Store with the same code","Loja com o mesmo código"
"System","Sistema"
"System Log File Name","Nome do arquivo de log do sistema"
"Template Path Hints","Dicas de caminho de modelo"
"Template Settings","Configurações de modelo"
"Template Variables","Variáveis do template"
"Templates","Modelos"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","O %s que você inseriu é inválido. Por favor, tenha certeza que isto segue o formato ""http://dominio.com.br/""."
"The store does not exist","A loja não existe"
"The value is not within the specified range.","O valor não está dentro do intervalo especificado."
"The website does not exist.","O website não existe."
"Themes","Temas"
"This category and all its child elements","Esta categoria e todos seus elementos filhos"
"This category and its child categories only","Somente esta categoria e suas categorias filho"
"This category and its products only","Somente esta categoria e seus produtos"
"This category only","Somente esta categoria"
"This is a required field.","Campo obrigatório."
"This store cannot be deleted.","Essa loja não pode ser excluída."
"This store view cannot be deleted.","Essa visão de loja não pode ser excluída."
"This website cannot be deleted.","Esse website não pode ser excluído."
"This will be included before head closing tag in page HTML.","Este será incluído antes do fechamento da tag head na página HTML."
"Timezone","Fuso horário"
"Title Prefix","Prefixo do título"
"Title Suffix","Sufixo do título"
"Transactional Emails","E-mails transacionais"
"Translate Inline","Traduzir em linha"
"Translations","Traduções"
"Unable to delete store view. Please, try again later.","Não foi possível excluir visão da loja. Por favor, tente novamnte mais tarde."
"Unable to delete store. Please, try again later.","Não foi possível excluir loja. Por favor, tente novamente mais tarde."
"Unable to delete website. Please, try again later.","Não foi possível excluir website. Por favor, tente novamente mais tarde."
"Unable to proceed. Please, try again","Impossível continuar. Por favor, tente novamente"
"Unsecure","Inseguro"
"Url Options","Opções de Url"
"Use Custom Admin Path","Utilizar Caminho de Admin Personalizado"
"Use Custom Admin URL","Utilizar URL Personalizada para o Admin"
"Use HTTP Only","Usar HTTP somente"
"None","Nenhum"
"Use Secure URLs in Admin","Usar URLs Seguros na Secção de Administração"
"Use Secure URLs in Frontend","Usar URLs seguras em Frontend"
"Use Web Server Rewrites","Usar opção de Reescrever do Servidor Web"
"VAT Number","CPF/CNPJ"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Validation has failed.","Ocorreu uma falha na validação."
"Variable Code must be unique.","O código da variável deve ser único."
"Website","Site"
"Website Information","Informações do website"
"Website Name","Nome do website"
"Website with the same code","Site com o mesmo código"
"Weekend Days","Final de Semana"
"Welcome Text","Texto de boas vindas"
"Wrong file info format","Formato de arquivo incorreto"
"Wrong number of arguments for %s","Número incorreto de argumentos para %s"
"Yes","Sim"
