" [deleted]"," [ slettet]"
"Add New Variable","Tilføj ny variabel"
"Add Products","Tilføj produkter"
"Add after","Tilføj senere"
"Additional Cache Management","Yderligere Cache Management"
"Address Type:","Adressetype:"
"Admin","Administrator"
"Advanced Profiles","Avancerede profiler"
"All","Alle"
"All Allowed Countries","Alle tilladte lande"
"All Cache","Alle Cache"
"All Files","Alle Filer"
"All Reviews","Alle anmeldelser"
"All Store Views","Alle butiks visninger"
"All Tags","Alle tags"
"All Websites","Alle Websites"
"All countries","Alle lande"
"All fields","Alle felter"
"Always (during development)","Altid (ved udvikling)"
"Amounts","Beløb"
"An error occurred while clearing the JavaScript/CSS cache.","En fejl opstod under sletning af JavaScript/CSS cache."
"An error occurred while clearing the image cache.","En fejl opstod under nulstilling af billede cache."
"An error occurred while saving account.","Der opstod en fejl under lagring af konto."
"Any","Enhver"
"Any Attribute Set","Valgfri sæt af egenskaber"
"Any Group","Valgfri gruppe"
"Any Status","Valgfri status"
"Any Store","Valgfri forretning"
"Any Type","Valgfri type"
"Any Visibility","Valgfri synlighed"
"Archive file name:","Arkivfilnavn:"
"Are you sure that you want to delete this template?","Er du sikker på, at skabelonen skal slettes?"
"Are you sure that you want to strip tags?","Er du sikker på, at du ønsker at fjerne tags?"
"Are you sure you want to do this?","Er du sikker på, at du vil gøre dette?"
"Area","Område"
"As low as:","Ned til:"
"Assigned","Tildelt"
"Attribute Set Name:","Navn på sæt af egenskaber:"
"Attributes","Attributter"
"Authorize","Autoriser"
"Automatic (equalize price ranges)","Automatisk (udligning af prisklasser)"
"Automatic (equalize product counts)","Automatisk (udligning af produkt tællere)"
"Average Order Amount","Gns. ordrebeløb"
"Average Orders","Gennemsnitsordre"
"Back","Tilbage"
"Back to Login","Tilbage til Log ind"
"Backup Name","Backup navn"
"Backup options","Backup muligheder"
"Backups","Sikkerhedskopier"
"Base currency","Standard valuta"
"Bestsellers","Bestsellere"
"Billing Address","Faktureringsadresse"
"Billing Address: ","Faktureringsadresse: "
"Billing Agreement","Faktureringsaftale"
"Billing Agreements","Faktureringsaftaler"
"Block Information","Blok oplysninger"
"Blocks","Blokke"
"Both (without and with tax)","Begge (med og uden moms)"
"Browse Files...","Gennemse filer..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Sammensatte produkter med dynamisk prissætning kan ikke inkludere specialdefinerede valgmuligheder."
"By Email","Via E-mail"
"By IP","Efter IP"
"CRITICAL","KRITISK"
"CSV / Tab separated","CVS / Tab - separeret"
"Cache Control","Cache kontrol"
"Cache Control (beta)","Cache-styring (beta)"
"Cache Management","Cache-styring"
"Cache Type","Cache type"
"Cancel","Annuller"
"Cannot add new comment.","Kan ikke tilføje ny kommentar."
"Cannot add tracking number.","Kan ikke tilføje trackingnummer."
"Cannot save shipment.","Kan ikke gemme leverancen."
"Cannot send shipment information.","Kan ikke sende leveringsoplysninger."
"Cannot update item quantity.","Kan ikke opdatere vareantallet."
"Card Verification Number","Kortnummer verifikation"
"Catalog","Katalog"
"Catalog Price Rules","Katalog pris regler"
"Catalog Rewrites","Katalog fornyelse"
"Categories","Kategorier"
"Category","Kategori"
"Category:","Kategori:"
"Checkbox","Afkrydsningsfelt"
"Choose an attribute","Vælg en egenskab"
"Clear","Ryd"
"Close","Luk"
"Code","Kode"
"Complete","Fuldført"
"Config form fieldset clone model required to be able to clone fields","Konfig form feltsæt klon model påkrævet for at kunne klone felter"
"Configuration","Konfiguration"
"Confirm New Password","Bekræft ny adgangskode"
"Confirmed email:","Bekræftet e-mail:"
"Continue","Fortsæt"
"Convert to Plain Text","Konverter til almindelig tekst"
"Country","Land"
"Country:","Land:"
"Coupons","Rabatkoder"
"Create","Opret"
"Create DB Backup","Opret DB sikkerhedskopi"
"Create New Attribute","Opret ny attribut"
"Created At","Oprettet den"
"Credit Card Number","Kreditkortnummer"
"Credit Card Number: xxxx-%s","<strong>Kreditkortnummer:</strong> <span class=nowrap"">xxxx-%s</span>"""
"Credit Card Type","Kreditkorttype"
"Credit Card Type: %s","<strong>Kreditkorttype:</strong> <span class=nowrap"">%s</span>"""
"Credit Memo History","Historik for kreditnota"
"Credit Memo Totals","Kreditnota total"
"Credit Memos","Kreditnotaer"
"Currency","Valuta"
"Currency Information","Valuta - detaljer"
"Current Configuration Scope:","Konfiguration for:"
"Current Month","Indeværende måned"
"Custom","Brugerdefineret"
"Custom Variables","Tilpassede variabler"
"Customer","Kunde"
"Customer Group:","Kundegruppe:"
"Customer Groups","Kundegrupper"
"Customer Name","Kundenavn"
"Customer Reviews","Kunde anmeldelser"
"Customer Since:","Kunde siden:"
"Customer Tax Classes","Momsgrupper (kunder)"
"Customer with the same email already exists.","E-mailadresse er allerede i brug på en anden kundes konto."
"Customers","Kunder"
"DHTML Date/Time Selector","DHTML dato/tidsvælger"
"Dashboard","Instrumentbræt"
"Data Format","Dataformat"
"Data transfer:","Dataoverførsel:"
"Date","Dato"
"Date Added","Dato tilføjet"
"Date Updated","Opdateret den"
"Date selection:","Datovalg:"
"Date selector","Dato Vælger"
"Day","Dag"
"Debug","Fejlsøgning"
"Decimal separator:","Decimalseparator:"
"Default (Admin) Values","Standard (Admin) værdier"
"Default Billing Address","Standard faktureringsadresse"
"Default Config","Standard Konfiguration"
"Default Template from Locale","Standardskabelon fra sprogpakke"
"Default Values","Standardværdi"
"Default scope","Standard virkefelt"
"Delete","Slet"
"Delete %s","Slet %s"
"Delete %s '%s'","Slet %s '%s'"
"Delete Block","Slet blok"
"Delete File","Slet fil"
"Delete Image","Slet billede"
"Delete Profile","Slet profil"
"Delete Role","Slet rolle"
"Delete Store","Slet butik"
"Delete Store View","Slet Butiksvisning"
"Delete Template","Slet skabelon"
"Delete User","Slet bruger"
"Delete Website","Slet website"
"Description","Beskrivelse"
"Details","Detaljer"
"Direction:","Retning:"
"Disable","Slå fra"
"Disabled","Slået fra"
"Display %s first","Vis %s først"
"Display default currency","Standard visnings valuta"
"Distributed under GNU LGPL. See %s for details.","Distribueret under GNU LGPL. Se %s for detaljer."
"Do you really want to KILL parallel process and start new indexing process?","Er du sikker på at du vil dræbe den parallelle proces og starte en ny indekseringsproces?"
"Download"," Download"
"Drag to move","Træk for at flytte"
"Edit","Redigér"
"Edit Block","Rediger blok"
"Edit Block '%s'","Rediger Blok '%s'"
"Edit Design Change","Redigér designændringer"
"Edit Email Template","Rediger e-mail skabelon"
"Edit Order","Rediger ordre"
"Edit Poll","Rediger afstemning"
"Edit Queue","Rediger kø"
"Edit Review","Rediger bedømmelse"
"Edit Role","Rediger rolle"
"Edit Store View","Rediger butiks visning"
"Edit System Template","Rediger systemskabelon"
"Edit Template","Rediger skabelon"
"Edit User","Redigér bruger"
"Edit User '%s'","Rediger bruger '%s'"
"Edit Website","Rediger website"
"Email","E-mail"
"Email Address:","E-mailadresse:"
"Email to a Friend","Mail til en ven"
"Email:","E-mail:"
"Enable","Aktivér"
"Enabled","Aktiveret"
"Enclose Values In:","Indram værdier med:"
"Entity Type","Enhedstype"
"Entity type:","Enhedstype:"
"Error","Fejl"
"Excl. Tax","Ekskl. moms"
"Excl. Tax:","Ekskl. moms:"
"Exclude media folder from backup","Ekskluder media arkiv fra backup"
"Expiration Date","Udløbsdato"
"Expiration Date: %s/%s","Udløbsdato: %s/%s"
"Export","Eksportér"
"Export CSV","Eksporter CSV"
"Export Filters","Eksport-filtre"
"Export to:","Eksportér til:"
"Export:","Eksport:"
"FTP Host","FTP vært"
"FTP Host[:Port]","FTP Vært[:Port]"
"FTP Password","FTP adgangskode"
"FTP credentials","FTP oplysninger"
"Failed","Mislykket"
"Field","Felt"
"Field Mapping","Feltmapning"
"File","Fil"
"File Information","Filinformation"
"File name:","Filnavn:"
"File size should be more than 0 bytes","Fejl: Filstørrelse skal være større end 0 bytes"
"Finished profile execution.","Profilen er gemt"
"First Name","Fornavn"
"First Name:","Fornavn:"
"Fixed","Fast"
"Flush Catalog Images Cache","Flush billedkatalogets Cache"
"For category","For kategori"
"For latest version visit: %s","For seneste version, gå til: %s"
"For product","For produkt"
"Forgot your password?","Glemt din adgangskode?"
"Forgot your user name or password?","Glemt dit brugernavn og adgangskode?"
"From","Fra"
"General Information","Generelle informationer"
"Get Image Base64","Få billede Base64"
"Get help for this page","Få hjælp til denne side"
"Global Attribute","Global egenskab"
"Global Record Search","Søg globalt"
"Global Search","Global søgning"
"Go Today","Gør det idag"
"Grand Total","Ordretotal"
"Grid (default) / List","Gitter (standard) / liste"
"Grid Only","Kun gitter"
"Group:","Gruppe:"
"Guest","Gæst"
"HTTP (unsecure)","HTTP (usikker)"
"HTTPS (SSL)","HTTPS (Sikker)"
"Home","Forsiden"
"ID Path","ID Sti"
"IP Address","IP-adresse"
"Id","Jeg ville"
"Images (.gif, .jpg, .png)","Billeder (.gif, .jpg, .png)"
"Images Cache","Billede Cache"
"Import","Importer"
"Import Service","Import-service"
"Import/Export","Import/Eksport"
"Import/Export Advanced","Import/Eksport avanceret"
"Import/Export Profile","Importer/Eksporter profil"
"Imported <strong>%s</strong> records","Importerede <strong>%s</strong> optegnelser"
"In","I"
"In Database:","I databasen:"
"In File:","I filen:"
"Inactive","Inaktiv"
"Incl. Tax","Inkl. moms"
"Incl. Tax:","Inkl. moms:"
"Incoming Message","Beskeder"
"Insert Variable...","Indsæt variabel..."
"Interactive","Interaktiv"
"Interface Locale: %s","Sprog: %s"
"Invalid Form Key. Please refresh the page.","Siden er udløbet og skal opdateres."
"Invalid Import Service Specified","Ugyldig import-service"
"Invalid data","Ugyldige data"
"Invalid directory: %s","Ugyldig mappe/sti: %s"
"Invalid file: %s","Ugyldig fil: %s"
"Invalid input data for %s => %s rate","Ugyldige indtastede værdier for %s => %s pris"
"Invalid parent block for this block","Ugyldig overordnet blok for denne blok"
"Invalidated","Ødelagt"
"Inventory Stock Status","Lagerstatus"
"Invoice #%s comment added","Kommentar til faktura #%s tilføjet"
"Invoice #%s created","Faktura #%s blev oprettet"
"Invoice History","Fakturaoversigt"
"Invoice Totals","Fakturatotaler"
"Invoices","Fakturaer"
"Is Closed","Er lukket"
"Is Default","Er standard"
"Issue Number","Udstedelsesnummer"
"Items","Varer"
"Last 24 Hours","Sidste 24 timer"
"Last 5 Orders","Sidste 5 ordrer"
"Last 5 Search Terms","Sidste 5 søgeudtryk"
"Last 7 Days","Sidste 7 dage"
"Last Logged In (%s):","Senest logget ind (%s):"
"Last Logged In:","Sidst Logget In:"
"Last Name","Efternavn"
"Last Name:","Efternavn:"
"Latest Message:","Seneste besked:"
"Layered Navigation Indices","Lagdelt navigations-indices"
"Leave empty to use tax identifier","Lad feltet være tomt for at bruge moms-ID"
"Lifetime Sales","Totalt salg"
"List (default) / Grid","Liste (standard) / gitter"
"List Only","Kun liste"
"Load Template","Indlæs skabelon"
"Load default template","Indlæs standard-skabelon"
"Loading...","Indlæser..."
"Local Server","Lokal server"
"Local/Remote Server","Lokal/Fjern server"
"Locale","Lokal"
"Log In","Log ind"
"Log Out","Log ud"
"Log in to Admin Panel","<em>Log ind</em> til OpenMage administration"
"Logged in as %s","Logget ind som <strong>%s</strong>"
"Login","Log ind"
"MAJOR","STØRRE"
"MINOR","MINDRE"
"Magento root directory","OpenMage rodmappen"
"Content","Indhold"
"Currency Rates","Valutakurser"
"Tax Rules","Moms regler"
"Maximum sender name length is 255. Please correct your settings.","Maksimal afsender navns længde er 255. Venligst ret dine indstillinger."
"Media (.avi, .flv, .swf)","Medier (.avi, .flv, .swf)"
"Messages Inbox","Indbakke"
"Month","Måned"
"Most Viewed","Mest viste"
"Most Viewed Products","Mest sete produkter"
"Multiple Select","Marker flere"
"My Account","Min Konto"
"NOTICE","NOTITS"
"Name","Navn"
"Name on Card","Kortholders navn"
"Name on the Card: %s","Kortholders navn: %s"
"Name:","Navn:"
"Never (production)","Aldrig (produktion)"
"New ","Ny "
"New Accounts","Nye konti"
"New Attribute","Ny attribut"
"New Block","Ny blok"
"New Category","Ny Kategori"
"New Class","Ny gruppe"
"New Condition","Ny betingelse"
"New Custom Variable","Nye brugerdefinerede variabel"
"New Customer","Ny kunde"
"New Customers","Nye kunder"
"New Design Change","Ny designændring"
"New Email Template","Ny e-mail skabelon"
"New Group","Ny gruppe"
"New Invoice","Ny faktura"
"New Item Type","Ny produkttype"
"New Memo","Nyt Memo"
"New Page","Ny side"
"New Password","Ny adgangskode"
"New Poll","Ny afstemning"
"New Profile","Ny profil"
"New Rating","Ny bedømmelse"
"New Review","Ny anmeldelse"
"New Role","Ny rolle"
"New Rule","Ny regel"
"New Search","Ny søgning"
"New Set","Nyt sæt"
"New Shipment","Ny leverance"
"New Sitemap","Nyt sitemap"
"New Store View","Ny butiks visning"
"New System Template","Ny systemskabelon"
"New Tag","Nyt tag"
"New Template","Ny Skabelon"
"New User","Ny bruger"
"New Website","Nyt website"
"Newsletter","Nyhedsbrev"
"Newsletter Queue","Nyhedsbrev kø"
"Newsletter Subscribers","Nyhedsbrev abonnenter"
"Newsletter Templates","Nyhedsbrevsskabeloner"
"Next month (hold for menu)","Næste måned (hold for menu)"
"Next year (hold for menu)","Næste år (hold for menu)"
"No","Nej"
"No (price without tax)","Nej (pris uden moms)"
"No Data","Ingen Data"
"No Data Found","Der er ingen data"
"No Templates Found","Ingen skabeloner fundet"
"No change","Ingen ændringer"
"No profile loaded...","Ingen profil hentet ind..."
"No records found for this period.","Der blev ikke fundet nogen poster for denne periode."
"No records found.","Ingen poster fundet."
"No search keywords.","Ingen søgeord."
"No search modules were registered","Ingen søgemoduler blev registreret"
"None","Ingen"
"Note:","Bemærk:"
"Notes","Noter"
"Notifications","Meddelelser"
"Number of Orders","Antal ordrer"
"Number of Uses","Anvendt (antal gange)"
"Number of Views","Antal visninger"
"Number of records:","Antal poster:"
"Old rate:","Gamle rate:"
"Online Customers","Online kunder"
"Only Once (version upgrade)","Enkeltstående (version opgradering)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Kun egenskaber med anvendelsesområdet Global"", inputtypen ""Dropdown"" og anvend til konfigurerbart produkt ""Ja"" kan bruges."
"Only mapped fields","Kun felter som er mappede"
"Optional","Valgfri"
"Options","Valgmuligheder"
"Options is required","Muligheder er påkrævet"
"Order","Bestil"
"Order #%s","Ordre #%s"
"Order #%s (%s)","Ordre #%s (%s)"
"Order ID","Ordre ID"
"Order Totals","Ordretotaler"
"Orders","Ordrer"
"Original Magento attribute names in first row:","Originale OpenMage egenskabsnavne i første række:"
"Out of stock","Udsolgt"
"Pages","Sider"
"Parent Product Thumbnail","Overordnede produkt miniaturebillede"
"Parent Transaction ID","Overordnet transaktions-ID"
"Passive mode","Passiv (passive mode)"
"Password","Kodeord"
"Password Confirmation","Gentag adgangskode"
"Password:","Adgangskode:"
"Path:","Sti:"
"Pending Reviews","Afventende anmeldelser"
"Pending Tags","Manglende godkendelse"
"Per Item","Per vare"
"Per Order","Per ordre"
"Percent","Procent"
"Performed At","Udført på"
"Period","Periode"
"Permissions","Tilladelser"
"Personal Information","Personlig informationer"
"Phone:","Telefon:"
"Please Select","Vælg venligst"
"Please confirm site switching. All data that hasn't been saved will be lost.","Bekræft skift af website. Alle data der ikke er gemt vil gå tabt."
"Please enter 6 or more characters.","Indtast venligst 6 eller flere karakterer."
"Please enter a number greater than 0 in this field.","Angiv et tal større end 0 i feltet."
"Please enter a valid $ amount. For example $100.00.","Angiv et gyldigt $ beløb. For eksempel $100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Indtast venligst en gyldig hjemmesideadresse (URL), eks.http://www.mindemoshop.dk or www.mindemoshop.dk"
"Please enter a valid URL. http:// is required","Indtast venligst en gyldig hjemmesideadresse (URL). NB! adressen skal starte med http://"
"Please enter a valid credit card number.","Indtast et gyldigt kreditkortnummer."
"Please enter a valid date.","Angiv en gyldig dato."
"Please enter a valid email address. For example johndoe@domain.com.","Indtast venligst en gyldig e-mail-adresse, f.eks. johndoe@domain.com."
"Please enter a valid email.","Angiv venligst en gyldig e-mail."
"Please enter a valid number in this field.","Angiv et gyldigt tal i dette felt."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Indtast venligst et gyldigt telefonnummer. For eksempel (123) 456-7890 eller 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Indtast venligst et gyldigt CPR-nummer, eks. 19051970-2369."
"Please enter a valid value from list","Angiv en gyldig værdi fra listen"
"Please enter a valid value, ex: 10,20,30","Angiv en gyldig værdi, ex: 10,20,30"
"Please enter a valid zip code.","Angiv et gyldigt postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Indtast venligst et gyldigt postnummer, eks. 6430 eller 8000."
"Please enter valid password.","Indtast venligst et gyldigt kodeord."
"Please make sure that all global admin search modules are installed and activated.","Sørg for, at alle globale admin søgemoduler er installeret og aktiveret."
"Please make sure that your changes were saved before running the profile.","Husk at gemme ændringer, før profilen køres."
"Please make sure your passwords match.","Kontroller at dine adgangskoder stemmer overens."
"Please select State/Province.","Vælg stat/region."
"Please select an option.","Foretag venligst et valg."
"Please select customer(s).","Vælg venligst kunde(r)."
"Please select one of the above options.","Vælg venligst en af mulighederne ovenfor"
"Please select one of the options.","Vælg en af de givne muligheder."
"Please select review(s).","Vælg venligst en eller flere anmeldelser."
"Please specify the admin custom URL.","Venligst udfyld admin login Url'en."
"Please use in this field only ""a-z,0-9,_"".","Brug kun tegnene ""a-z,0-9,_"" i dette felt."
"Please use letters only (a-z) in this field.","Feltet må kun indeholde bogstaver (a-z)"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Brug venligst kun bogstaver (a-z eller A-Z), tal (0-9) eller mellemrum i dette felt."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Feltet må kun indeholde bogstaver (a-z) eller heltal (0-9). Mellemrum eller andre karakterer er ikke tilladt."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Feltet må kun indeholde bogstaver (a-z), heltal (0-9), mellemrum og nummertegn (#)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Brug venligst dette datoformat: dd/mm/åååå. For eksempel 17/03/2006 for den 17. marts 2006."
"Please wait, loading...","Vent venligst, henter data..."
"Please wait...","Vent venligst..."
"Poll Manager","Afstemninger"
"Polls","Afstemninger"
"Popular","Populære produkter"
"Position","Placering"
"Position of Watermark for %s","Vandmærkeposition for %s"
"Prev. month (hold for menu)","Forrige måned (hold for menu)"
"Prev. year (hold for menu)","Forrige år (hold for menu)"
"Preview","Forhåndsvisning"
"Preview Template","Preview skabelon"
"Price","Pris"
"Price:","Pris:"
"Processed <strong>%s%% %s/%d</strong> records","Behandlede <strong>%s%% %s/%d </strong> optegnelser"
"Processing","Behandler"
"Product","Produkt"
"Product Name","Produktnavn"
"Product Reviews","Produktanmeldelser"
"Product Tax Classes","Momsgrupper (produkter)"
"Product Thumbnail Itself","Produkt miniaturebillede"
"Product:","Produkt:"
"Products","Produkter"
"Products in Carts","Produkter i indkøbskurven"
"Profile Action","Profilhandling"
"Profile Actions XML","Profilhandlinger-XML"
"Profile Direction","Profilretning"
"Profile History","Profilhistorik"
"Profile Information","Profilinformation"
"Profile Name","Profilnavn"
"Profile Wizard","Profilguide"
"Profiles","Profiler"
"Promo","Kampagne"
"Promotions","Kampagner"
"Quantity","Antal"
"Queue Refresh","Sæt opdatering i kø"
"Queued... Cancel","Sat i kø... Annuller"
"Radio Buttons","Knapper"
"Rates","Kurser"
"Read details","Læs detaljer"
"Rebuild","Genopbyg"
"Rebuild Catalog Index","Genopbyg katalogindeks"
"Rebuild Flat Catalog Category","Genopbyg flad katalogkategori"
"Rebuild Flat Catalog Product","Genopbyg fladt katalogprodukt"
"Recent Orders","Bestilt for nyligt"
"Recursive Dir","Rekursiv mappe"
"Redirect","Omdiriger"
"Refresh","Opdatér"
"Refresh Now*","Opdater nu*"
"Region/State","Region/stat"
"Regular Price:","Pris:"
"Reject","Afvis"
"Release","Udgivelse"
"Release Stability","Udgivelsesstabilitet"
"Release Version","Udgivelsesversion"
"Reload captcha","Genindlæs captcha"
"Remote FTP","FTP (remote)"
"Remove","Fjern"
"Reports","Rapporter"
"Request Path","Forespørgselssti"
"Required","Påkrævet"
"Reset","Nulstil"
"Reset Filter","Nulstil Filter"
"Reset Password","Nulstil adgangskode"
"Resize","Juster str."
"Resource Access","Ressourceadgang"
"Resources","Ressourcer"
"Results","Resultater"
"Retrieve Password","Hent kodeord"
"Return Html Version","Returner til HTML-version"
"Revenue","Indtægter"
"Reviews","Anmeldelser"
"Reviews and Ratings","Bedømmelser og karakterer"
"Role ID","Rolle ID"
"Role Info","Rolleinformation"
"Role Information","Rolleinformation"
"Role Name","Rollenavn"
"Role Resources","Rolleressourcer"
"Role Users","Rollebrugere"
"Roles","Roller"
"Roles Resources","Rettigheder"
"Root Category","Rod Kategori"
"Rotate CCW","Roter (mod uret)"
"Rotate CW","Roter (med uret)"
"Run","Kør"
"Run Profile","Kør profilen"
"Run Profile Inside This Window","Kør profilen i dette vindue"
"Running... Kill","Kører... Dræb"
"SKU","Varenummer"
"SKU:","Varenummer:"
"SSL Error: Invalid or self-signed certificate","SSL fejl: Ugyldig eller selv-signeret certifikat"
"Sales","Salg"
"Sales Report","Salg"
"Samples","Prøver"
"Save","Gem"
"Save & Generate","Gem og generer"
"Save Account","Gem konto"
"Save Block","Gem blok"
"Save Cache Settings","Gem Cache Indstillinger"
"Save Config","Gem indstillinger"
"Save Currency Rates","Gem valutakurser"
"Save Profile","Gem profil"
"Save Role","Gem rolle"
"Save Template","Gem skabelon"
"Save User","Gem bruger"
"Save and Continue Edit","Gem og fortsæt redigering"
"Search","Søg"
"Search Index","Søgeindeks"
"Search Term","Søgeord"
"Search Terms","Søgeord"
"Search entire store here...","Søg..."
"Select","Vælg"
"Select All","Vælg alle"
"Select Category","Vælg kategori"
"Select Date","Vælg dato"
"Select Range","Vælg interval"
"Select date","Vælg dato"
"Sender","Afsender"
"Separate Email","Separat Email"
"Shipment #%s comment added","Kommentar tilføjet til forsendelse #%s"
"Shipment #%s created","Forsendelse #%s blev oprettet"
"Shipment Comments","Leveringskommentarer"
"Shipment History","Leveringshistorie"
"Shipments","Leveringer"
"Shipping","Levering"
"Shipping Address","Leveringsadresse"
"Shipping Address: ","Leveringsadresse: "
"Shipping Price","Leveringspris"
"Shipping address selection is not applicable","Leveringsadresse kan ikke vælges"
"Shipping method selection is not applicable","Leveringsform kan ikke vælges"
"Shopping Cart","Indkøbskurv"
"Shopping Cart Price Rules","Prisregler for indkøbskurv"
"Shopping Cart from %s","Indkøbskurv fra %s"
"Show By","Vis efter"
"Show Reviews","Vis anmeldelser"
"Sitemap Information","Sitemap-information"
"Size for %s","Størrelse for %s"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Nogle varer i denne ordre har forskellige faktura- og leveringstyper. Du kan først oprette levering når fakturaen er oprettet."
"Sorry, this feature is coming soon...","Vi undskylder, men denne funktion er undervejs..."
"Special Price:","Specialpris:"
"Specific Countries","Bestemte lande"
"Specified","Angivet"
"Spreadsheet Name:","Navn på regneark:"
"Start Date","Start dato"
"Starting at:","Starter ved:"
"Starting profile execution, please wait...","Starter profilkørsel, vent venligst..."
"State/Province:","Stat eller Region:"
"Static Blocks","Statiske blokke"
"Stock Quantity:","Antal på lager:"
"Store","Butik"
"Store View","Butiksvisning"
"Store:","Butik:"
"Stores","Butikker"
"Subject","Emne"
"Submit","Send"
"Switch/Solo card issue number: %s","Switch/Solo kort udstedelsesnummer: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo kort start dato: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Kun Switch/Solo/Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/solo/Maestro(UK Domestic) kort udstedelses nummer: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) kort start dato: %s/%s"
"Synchronize","Synkronisér"
"Synchronizing...","Synkroniserer..."
"Target Path","Målsti"
"Tax","Moms"
"Template","Skabelon"
"Template Content","Skabelon indhold"
"Template Information","Template information"
"Template Name","Skabelonnavn"
"Template Styles","Skabelonstil"
"Template Subject","Skabelon emne"
"Template Type","Skabelontype"
"Temporary (302)","Midlertidig (302)"
"Terms and Conditions","Vilkår og betingelser"
"Text","Tekst"
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS cache er blevet slettet."
"The OpenMage cache storage has been flushed.","OpenMage cache lager er blevet renset."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Arkivet kan udpakkes med <a href=""%s"">%s</a> på Windowssystemer"
"The attribute set has been removed.","Attribut sættet er blevet fjernet."
