"-- Please Select --","-- Molim odaberite --"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Uverite se da se osnovna adresa URL završava sa „/” (kosa crta), Npr. http://yourdomain/magento/"
"Manage Stores","Upravljanje prodavnicama"
"Merge CSS Files","Spajanje CSS datoteka"
"Merge JavaScript Files","Spajanje JavaScript datoteka"
"Name","Ime"
"New Store","Nova prodavnica"
"New Store View","Novi prikaz prodavnice"
"No","Ne"
"Offloader header","Offloader zaglavlje"
"Pagination","Numerisanje stranica"
"Pagination Frame","Numerisanje stranica okvira"
"Pagination Frame Skip","Preskoči numerisanje stranica okvira"
"Please enter a number 0 or greater in this field.","U ovo polje unesite broj 0 ili veći."
"Please enter a number 1 or greater in this field.","U ovo polje unesite broj 1 ili veći."
"Please enter a number greater than 0 in this field.","U ovo polje unesite broj veći od 0."
"Please enter a valid $ amount. For example $100.00.","Molimo unesite ispravan iznos u $. Na primer $100.00."
"Please enter a valid credit card number.","Molimo unesite važeći broj kreditne kartice."
"Please enter a valid credit card verification number.","Molimo unesite važeći broj za verifikaciju kreditne kartice."
"Please enter a valid date.","Unesite ispravan datum."
"Please enter a valid number in this field.","Molimo unesite važeći broj u ovo polje."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Unesite ispravan broj telefona. Na primer (123) 456-7890 or 123-456-7890."
"Please enter a valid zip code.","Unesite ispravan poštanski broj."
"Please make sure your passwords match.","Proverite da li se vaše lozinke podudaraju."
"Please select State/Province.","Izaberite državu/pokrajinu."
"Please select an option.","Izaberite neku opciju."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Molimo da koristite ovaj format datuma: dd/mm/yyyy. Na primer 17/03/2006 za 17. mart, 2006."
"Recovery Link Expiration Period (hours)","Vreme isteka linka za oporavak (sati)"
"Return-Path Email","E-mail povratna adresa"
"Root Category","Root kategorija"
"Sales Representative","Predstavnik prodaje"
"Save","Sačuvaj"
"Save Store","Čuvanje prodavnice"
"Save Store View","Sačuvaj prikaz prodavnice"
"Security","Sigurnost"
"Sender Email","E-pošta pošaljioca"
"Sender Name","Ime pošaljioca"
"Services","Servisi"
"Session Validation Settings","Postavke za proveru ispravnosti sesije"
"Set Return-Path","Postavi povratnu adresu"
"Set as Default","Postavi kao zadani"
"Sort Order","Redosled porudžbina"
"Startup Page","Početna stranica"
"Store","Prodavnica"
"Store Email Addresses","Sačuvaj e-mail adrese"
"Store Hours of Operation","Radno vreme prodavnice"
"Store Information","Sačuvaj informacije"
"Store Name","Ime prodavnice"
"Store View","Prikaz prodavnice"
"Store View Information","Prikaz informacija o prodavnici"
"Store view doesn't exist","Izgled prodavnice ne postoji"
"System","Sistem"
"Template Settings","Podešavanja šablona"
"The store does not exist","Prodavnica ne postoji"
"The website does not exist.","Web lokacija ne postoji."
"This is a required field.","Ovo polje je neophodno."
"This store cannot be deleted.","Prodavnicu nije moguće izbrisati."
"This store view cannot be deleted.","Ovaj prikaz prodavnice nije moguće obrisati."
"This website cannot be deleted.","Ovu web lokaciju nije moguće obrisati."
"Timezone","Vremenska zona"
"Transactional Emails","Transaktivni Emailovi"
"Translate Inline","Prevedite sadržaj"
"Url Options","Opcije URL adrese"
"Use Custom Admin Path","Koristi prilagođenu Url putanju admina"
"Use Custom Admin URL","Koristi prilagođen URL admina"
"None","Ništa"
"Use Secure URLs in Admin","Koristi sigurne URL-ove u admin"
"Use Web Server Rewrites","Koristi Web server za pisanje"
"VAT Number","PDV broj"
"Validate HTTP_USER_AGENT","Proveri ispravnost HTTP_USER_AGENT"
"Validate HTTP_VIA","Proveri ispravnost HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Proveri ispravnost HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Proveri ispravnost REMOTE_ADDR"
"Website","Web sajt"
"Weekend Days","Dani vikenda"
"Yes","Da"
