"* Required Fields","* Nødvendige felt"
"Items Shipped","Varene er sendt"
"Items in the Package","Enheter i pakken"
"Items to Ship","Elementer for sending"
"Key","Nøkkel"
"Last Name","Etternavn"
"Last Ordered Items","Siste bestilte varer"
"Length","Lengde"
"Logo for HTML Print View","Logo for HTML-utskriftsvisning"
"Make Check payable to:","Gjør sjekk betalbar til:"
"Manage","Administrere"
"Message","Beskjed"
"Message:","Melding:"
"Minimum Amount","Minimum Antall"
"Move to Shopping Cart","Legg til handlekurv"
"Move to Wishlist","Flytt til ønskeliste"
"Multi-address Error to Show in Shopping Cart","Multi-adressefeil vises i handlekurv"
"My Orders","Mine ordrer"
"N/A","I/T"
"Name","Navn"
"New","Ny"
"New Billing Agreement","Ny faktureringsavtale"
"New Order Status","Ny ordrestatus"
"New Shipment","Ny forsendelse"
"Newsletter Subscription","Nyhetsbrev-abonnement"
"No","Nei"
"No Payment Methods","Ingen betalingsmetoder"
"No items","Ingen produkter"
"No ordered items","Ingen bestilte varer"
"No shipping information available","Ingen forsendelsesinformasjon tilgjengelig"
"Not Notified","Ikke varslet"
"Notified","Varslet"
"Notify Customer by Email","Varsle kunden via e-post"
"Number","Nummer"
"Order","Rekkefølge"
"Order #","Ordre #"
"Order # ","Bestill # "
"Order Comment","Kommentarer til ordren"
"Order Grand Total","Ordre totalsum"
"Order History","Ordrehistorikk"
"Order ID","Ordre-ID"
"Order Information","Ordreinformasjon"
"Order State","Bestillingsstatus"
"Order Status","Bestillingsstatus"
"Order Status Information","Informasjon om ordrestatus"
"Order Statuses","Ordrestatuser"
"Order Total","Ordretotal"
"Order Totals","Ordretotal"
"Order View","Ordregjennomgang"
"Ordered","Bestilt"
"Orders","Ordrer"
"Orders and Returns","Ordrer og retur"
"Original Price","Opprinnelig pris"
"Package","Pakke"
"Packages","Pakker"
"Paid","Betalt"
"Paid Amount","Betalt beløp"
"Payment Information","Betalingsinformasjon"
"Payment Method","Betalingsmåte"
"Payment Method:","Betalingsvalg:"
"Pending","Ventende"
"Period","Periode"
"Price","Pris"
"Print","Skriv ut"
"Print All Shipments","Skrive ut alle forsendelser"
"Print Order","Skriv ut ordre"
"Print Shipment","Skrive ut forsendelse"
"Print Shipping Label","Skriv ut fraktetikett"
"Processing","Behandler"
"Product","Produkt"
"Product Name","Produktnavn"
"Products","Produkter"
"Products Bestsellers Report","Produkt-bestselgerrapport"
"Products in Comparison List","Produkter i sammenligningslisten"
"Products should be added to package(s)","Produkter skal legges til pakke(r)"
"Purchased From","Kjøpt fra"
"Qty","Antall"
"Qty Invoiced","Antall fakturert"
"Qty Ordered","Antall bestilt"
"Qty Shipped","Antall sendt"
"Qty to Ship","Antall å sende"
"Recent Orders","Siste bestillinger"
"Recently Compared Products","Nylig sammenlignede produkter"
"Recently Viewed","Nylig vist"
"Recently Viewed Products","Nylig viste produkter"
"Reference ID","Referanse-ID"
"Refresh","Oppdater"
"Refund","Refundering"
"Refund Offline","Tilbakebetaling Frakoblet"
"Refund Shipping","Tilbakebetal fraktkostnader"
"Refunded","Refundert"
"Related Orders","Relaterte ordrer"
"Remove","Fjern"
"Remove Coupon Code","Fjern kupong kode"
"Reorder","Bestill igjen"
"Returned","Returnert"
"Returns","Retur"
"Revenue","Inntekter"
"Row Subtotal","Rad delsum"
"Row Total","Rader Totalt"
"SKU","Varenummer"
"Sales","Salg"
"Sales Discount","Salgsrabatt"
"Sales Emails","Salg e-post"
"Sales Emails Section","Epost del for salg"
"Sales Items","Salgsvarer"
"Sales Section","Salgsdel"
"Sales Shipping","Salg frakt"
"Sales Tax","Merverdiavgift"
"Sales Total","Salgssum"
"Save Order Address","Lagre bestillingsadresse"
"Save Status","Lagre Status"
"Save in address book","Lagre i adresseboken"
"Schedule","Tidsplan"
"Select","Velg"
"Select All","Velg alle"
"Send Email","Send e-post"
"Send Sales Emails","Send salgsepost"
"Send Tracking Information","Send sporingsinformasjon"
"Ship","Sende"
"Ship to:","Leveres til:"
"Shipment","Forsendelse"
"Shipment #","Forsendelse #"
"Shipment Comments","Forsendelsekommentarer"
"Shipments","Forsendelser"
"Shipped","Sendt"
"Shipping","Frakt"
"Shipping & Handling","Frakt & håndtering"
"Shipping &amp; Handling","Frakt &amp; håndtering"
"Shipping &amp; Handling Information","Frakt &amp; håndteringsinginformasjon"
"Shipping Address","Leveringsadresse"
"Shipping Amount","Fraktbeløp"
"Shipping Information","Leveringsinformasjon"
"Shipping Method","Forsendelsesmåte"
"Shipping Method:","Leveringsmetode:"
"Shipping and Tracking Information","Frakt- og sporingsinformasjon"
"Shopping Cart","Handlekurv"
"Show Packages","Vis pakker"
"Signature Confirmation","Signaturbekreftelse"
"Size","Størrelse"
"Sold to:","Solgt til:"
"State/Province","Stat/provins"
"Status Code","Status kode"
"Store Credit","Kreditt"
"Street Address","Gateadresse"
"Submit Comment","Send kommentar"
"Submit Invoice","Send faktura"
"Submit Order","Send inn bestilling"
"Submit Shipment","Sende forsendelsen"
"Subscribe to Newsletter","Abonnerer på nyhetsbrev"
"Subscribe to Order Status","Abonner på bestillingsstatus"
"Subtotal","Delsum"
"Subtotal:","Delsum:"
"Tax","Avgift"
"Tax Amount","Mva beløp"
"Tax Percent","MVA prosent"
"The coupon code has been accepted.","Rabattkoden er godkjent."
"The requested Payment Method is not available.","Den angitte betalingsmetoden er ikke tilgjengelig."
"The value that you entered is not valid.","Den innskrevne verdien er ikke gyldig."
"There are no billing agreements yet.","Det er ingen faktureringsavtaler ennå."
"There are no shipping labels related to selected orders.","Det er ingen fraktetikett relatert til valgte ordre."
"There are no shipping labels related to selected shipments.","Det er ingen fraktetiketter knyttet til valgte leveringer."
"This product does not have any configurable options","Dette produktet har ingen konfigurerbare alternativer"
"Tier Pricing","Nivå prising"
"Title","Tittel"
"To","Til"
"To Name","Til Navn"
"To:","Til:"
"Total","Totalt"
"Total Ordered Report","Totalt bestilt rapport"
"Total Paid","Totalt Betalt"
"Total Refund","Totalt Tilbakebetaling"
"Total Sales Shipping","Totalt salg frakt"
"Total Shipping Charges","Totale fraktkostnader"
"Total Tax","MVA total"
"Total Weight","Totalvekt"
"Track Order","Spor ordre"
"Track this shipment","Spor denne forsendelsen"
"Track your order","Spor din bestilling"
"Tracking Number(s):","Sporingsnummer:"
"Transaction ID","Transaksjons-ID"
"Transaction Type","Transaksjonstype"
"Transactions","Transaksjoner"
"Unassign","Oppheve tilordning"
"Unknown Status","Ukjent status"
"Update Changes","Oppdater endringer"
"Update Qty's","Oppdater antall"
"Value","Verdi"
"View","Visning"
"View All","Vis alle"
"View Another Order","Vise en annen ordre"
"View Order","Vis bestilling"
"Website","Nettsted"
"Weight","Vekt"
"Width","Bredde"
"Wishlist","Ønskeliste"
"Yes","Ja"
"You have placed no orders.","Du har ingen ordrer."
"You will be redirected to the payment system website.","Du blir videresendt til PayPal."
"Zip/Postal Code","Postnummer"
"in","i"
"the shipment email is not sent","forsendelsen epost ikke sendt"
"the shipment email was sent","forsendelsen e-posten ble sendt"
