"* Required Fields","* Nødvendige felt"
"Please enter the first name.","Skriv inn fornavnet."
"Please enter the last name.","Skriv inn etternavnet."
"Please enter the state/province.","Angi delstaten/området."
"Please enter the street.","Angi gaten."
"Please enter the zip/postal code.","Angi postnummeret."
"Please enter your email.","Angi din e-post adresse."
"Please make sure your passwords match.","Kontroller at passordene er like."
"Prefix Dropdown Options","Prefix dropdown alternativer"
"Price","Pris"
"Product","Produkt"
"Product ID","Produkt ID"
"Product Name","Produktnavn"
"Product Reviews","Produktomtaler"
"Qty","Antall"
"Recent Orders","Siste bestillinger"
"Recovery Link Expiration Period (hours)","Gjenopprettingslink utløpsperiode (timer)"
"Redirect Customer to Account Dashboard after Logging in","Omdiriger kunder til dashbord etter innlogging"
"Refunded","Refundert"
"Registered Customers","Registrerte kunder"
"Remind Email Template","Påminn e-postmal"
"Remove","Fjern"
"Require Emails Confirmation","Påkrev E-post bekreftelse"
"Reset a Password","Tilbakestille et passord"
"SKU","Varenummer"
"Sales Statistics","Salgsstatistikk"
"Save","Lagre"
"Save Address","Lagre adresse"
"Save Customer","Lagre kunde"
"Save Customer Group","Lagre kundegruppe"
"Save and Continue Edit","Lagre og fortsett redigering"
"Send From","Sende fra"
"Send confirmation link","Sende bekreftelseslenke"
"Sending","Sender"
"Sent","Sendt"
"Share Customer Accounts","Dele kundekontoer"
"Shopping Cart","Handlekurv"
"Show Date of Birth","Vis fødselsdato"
"Show Gender","Vis kjønn"
"Show Middle Name (initial)","Vis mellomnavn (første)"
"Show Prefix","Vis prefiks"
"Show Suffix","Vis suffiks"
"Show Tax/VAT Number","Vis mva-/ organisasjonsnummer"
"Sign Up for Newsletter","Motta nyhetsbrev"
"State/Province","Stat/provins"
"Store","Butikk"
"Store View","Butikkvisning"
"Street Address","Gateadresse"
"Subject","Emne"
"Submit","Lagre"
"Subscribe to Newsletter","Abonnerer på nyhetsbrev"
"Suffix Dropdown Options","Suffix dropwdown alternativer"
"Tax Calculation Based On","Skatteberegning basert på"
"Tax Class","Avgiftsklasse"
"Text","Tekst"
"The VAT ID entered (%s) is not a valid VAT ID.","Mva-ID angitt (%s) er ikke en gyldig MVA-ID."
"The VAT ID is valid. The current Customer Group will be used.","MVA-IDen er gyldig. Gjeldende kundegruppe vil bli brukt."
"The customer does not have default billing address.","Kunden har ikke standard adresse."
"The suffix that goes after name (Jr., Sr., etc.)","Suffikset som går etter navn (Jr., Sr., osv.)"
"The title that goes before name (Mr., Mrs., etc.)","Tittelen som går før navnet (Mr., fru, etc.)"
"This email does not require confirmation.","Denne e-posten krever ingen bekreftelse."
"Total","Totalt"
"Unknown","Ukjent"
"Unsubscribe from Newsletter","Avslutte abonnementet til nyhetsbrev"
"Update","Oppdater"
"Use as my default billing address","Bruk som standard faktureringsadresse"
"Use as my default shipping address","Bruk som standard leveringsadresse"
"VAT Number","Mva-nummer"
"Validate VAT Number","Validere mva-nummer"
"Validate on Each Transaction","Validere på hver transaksjon"
"Validation Error Group","Gruppe for valideringsfeil"
"View","Visning"
"View Order","Vis bestilling"
"Visitor","Besøkende"
"Website","Nettsted"
"Welcome Email","Velkomst e-post"
"Wishlist","Ønskeliste"
"Would you like to change the Customer Group for this order?","Ønsker du å endre kundegruppe for denne ordren?"
"Wrong email.","Feil e-post adresse."
"Year","År"
"You have no default billing address in your address book.","Du har ingen standard faktureringsadresse i adresseboken."
"You have no default shipping address in your address book.","Du har ingen standard leveringsadresse i adresseboken."
"You have not set a default billing address.","Du har ikke angitt en standard faktureringsadresse."
"You have not set a default shipping address.","Du har ikke angitt en standard leveringsadresse."
"You will be charged tax.","Du vil bli belastet for skatt."
"You will not be charged tax.","Du vil ikke bli belastet for skatt."
"Your Tax ID cannot be validated.","Din tax-ID kan ikke bli validert."
"Your VAT ID was successfully validated.","Din VAT ID ble validert."
"Zip/Postal Code","Postnummer"
"or","eller"
