"* Required Fields","* Pakolliset kentät"
"Newsletter","Uutiskirje"
"Newsletter Finish","Uutiskirjeen loppu"
"Newsletter Information","Uutiskirje info"
"Newsletter Received","Uutiskirje vastaanotettu"
"Newsletter Start","Uutiskirjeen alku"
"Newsletter Subscription","Uutiskirjeen tilaus"
"Newsletters","Uutiskirjeet"
"No Items Found","Yhtään kohdetta ei löytynyt"
"No Newsletter Found","Uutiskirjeitä ei löytynyt"
"No item specified.","Kohdetta ei ole määritelty."
"Not Sent","Ei lähetetty"
"Not confirmed, can login","Ei vahvistettu, kirjautuminen sallittu"
"Not confirmed, cannot login","Ei vahvistettu, kirjautuminen estetty"
"Online Customers","Online-asiakkaat"
"Order #","Tilausnumero"
"Order Total","Loppusumma"
"Orders","Tilaukset"
"Password","Salasana"
"Password Management","Salasanojen hallinta"
"Password Options","Salasana-asetukset"
"Password forgotten","Salasana unohtunut"
"Password:","Salasana:"
"Paused","Keskeytetty"
"Pending","Odottaa"
"Per Website","Verkkosivukohtainen"
"Personal Information","Henkilökohtaiset tiedot"
"Please enter a number 1 or greater in this field.","Syötä numero 1 tai suurempi tähän kenttään."
"Please enter the city.","Anna kaupunki."
"Please enter the country.","Syötä maa."
"Please enter the first name.","Kirjoita etunimesi."
"Please enter the last name.","Syötä sukunimi."
"Please enter the street.","Syötä katu."
"Please enter the zip/postal code.","Anna postinumero."
"Please enter your email below and we'll send you confirmation link for it.","Syötä sähköpostiosoitteesi, lähetämme vahvistuslinkin."
"Please enter your email.","Syötä sähköpostiosoitteesi."
"Please make sure your passwords match.","Varmista, että salasanat täsmäävät."
"Please select region, state or province","Valitse alue, osavaltio tai provinssi"
"Price","Hinta"
"Product","Tuote"
"Product ID","Tuotetunnus"
"Product Name","Tuotenimi"
"Product Reviews","Tuotteen arvostelut"
"Product Tags","Tuotteen asiasanat"
"Purchase On","Ostettu"
"Purchased On","Ostettu (milloin)"
"Qty","Määrä"
"Recent Orders","Viimeisimmät tilaukset"
"Recovery Link Expiration Period (hours)","Salasanan palautuslinkin voimassaoloaika (tuntia)"
"Refunded","Hyvitetty"
"Register","Rekisteröidy"
"Registered Customers","Rekisteröityneet asiakkaat"
"Remove","Poista"
"Reset a Password","Salasanan palauttaminen"
"Retrieve your password here","Nouda salasanasi täältä"
"SKU","Tuotenro"
"Sales Statistics","Myyntitilastot"
"Save","Tallenna"
"Save Address","Tallenna osoite"
"Save Customer","Tallenna asiakas"
"Save Customer Group","Tallenna asiakasryhmä"
"Save Password","Tallenna salasana"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Send confirmation link","Lähetä vahvistuslinkki"
"Sending","Lähettäminen"
"Sent","Lähetetty"
"Session Start Time","Istunto alkoi"
"Set as Default Billing Address","Aseta ensisijaiseksi laskutusosoitteeksi"
"Set as Default Shipping Address","Aseta ensisijaiseksi lähetysosoitteeksi"
"Share Customer Accounts","Jaa asiakastilit"
"Shipped to First Name","Vastaanottajan etunimi"
"Shipped to Last Name","Vastaanottajan sukunimi"
"Shipped to Name","Vastaanottajan nimi"
"Shopping Cart","Ostoskori"
"Shopping Cart - %d item(s)","Ostoskori - %d tuote(tta)"
"Show Date of Birth","Näytä syntymäaika"
"Show Gender","Näytä sukupuoli"
"Show Tax/VAT Number","Näytä ALV-numero / Y-tunnus"
"Sign Up for Newsletter","Tilaa uutiskirje"
"State/Province","Osavaltio/provinssi"
"Status","Tila"
"Store","Kauppa"
"Store View","Kauppanäkymä"
"Street Address","Katuosoite"
"Subject","Aihe"
"Submit","Lähetä"
"Subscribe to Newsletter","Tilaa Uutiskirje"
"Subscribed to Newsletter?","Uutiskirje tilattu?"
"Tag Name","Asiasanan nimi"
"Tax Class","Veroluokka"
"Tax/VAT number","Y-tunnus"
"Telephone","Puhelin"
"Text","Teksti"
"Text One Line","Teksti yksi rivi"
"The VAT ID entered (%s) is not a valid VAT ID.","Annettu ALV-tunnus (%s) ei ole kelvollinen ALV-tunnus."
"The VAT ID is valid. The current Customer Group will be used.","Y-tunnus oikein. Käytetään valittua asiakasryhmää."
"The customer does not have default billing address.","Asiakkaalla ei ole oletuslaskutusosoitetta."
"There are no items in customer's wishlist at the moment","Asiakkaan toivelistalla ei tällä hetkellä ole kohteita"
"There are no items in customer's shopping cart at the moment","Asiakkaan ostoskorissa ei ole tällä hetkellä tuotteita"
"This account is not confirmed.","Tätä asiakastiliä ei ole vahvistettu."
"This customer has no saved addresses.","Tällä asiakkaalla ei ole tallennettuja osoitteita."
"This email does not require confirmation.","Tämä sähköposti ei vaadi vahvistusta."
"To Cart","Ostoskoriin"
"Total","Yhteensä"
"Type","Tyyppi"
"Unknown","Tuntematon"
"Unsubscribe from Newsletter","Peru uutiskirjeen tilaus"
"Update","Päivitä"
"Use as my default billing address","Käytä oletuslaskutusosoitteenani"
"Use as my default shipping address","Käytä oletustoimitusosoitteenani"
"VAT Number","Y-tunnus"
"Validate VAT Number","Tarkista y-tunnus"
"View","Katso"
"View Order","Katso tilaus"
"Visitor","Vierailija"
"Visitors Only","Vain vieraille"
"Website","Sivusto"
"Welcome Email","Tervetuliaissähköposti"
"Wishlist","Toivelista"
"Wishlist - %d item(s)","Toivelista - %d tuote(tta)"
"Would you like to change the Customer Group for this order?","Haluatko vaihtaa asiakasryhmän tälle tilaukselle?"
"Wrong email.","Väärä sähköpostiosoite."
"YYYY","VVVV"
"Year","Vuosi"
"You are currently not subscribed to any newsletter.","Et ole tällä hetkellä minkään uutiskirjeen tilaaja."
"You are currently subscribed to 'General Subscription'.","Olet uutiskirjeen 'Yleinen' tilaaja."
"You are currently subscribed to our newsletter.","Olet uutiskirjeemme tilaaja."
"You have no additional address entries in your address book.","Sinulla ei ole muita tallennettuja osoitteita osoitekirjassasi."
"You have no additional entries in your address book.","Sinulla ei ole muita merkintöjä osoitekirjassasi."
"You have no default billing address in your address book.","Sinulla ei ole oletuslaskutusosoitetta osoitekirjassasi."
"You have no default shipping address in your address book.","Sinulla ei ole oletustoimitusosoitetta osoitekirjassasi."
"You have not set a default billing address.","Et ole määrittänyt oletusosoitetta."
"You have not set a default shipping address.","Et ole määrittänyt oletustoimitusosoitetta."
"You have placed no orders yet.","Et ole vielä tehnyt tilauksia."
"You have placed no products yet.","Et ole vielä valinnut tuotteita."
"You will be charged tax.","Sinulta tullaan veloittamaan verot."
"You will not be charged tax.","Sinulta ei tulla veloittamaan veroja."
"Your Tax ID cannot be validated.","Alv-tunnusta ei voida vahvistaa."
"Your VAT ID was successfully validated.","ALV-tunnuksen varmennus onnistui."
"Your account balance is: %s","Tilisi saldo tällä hetkellä: %s"
"ZIP","Postinumero"
"ZIP/Post Code","Postinumero"
"Zip/Postal Code","Postinumero"
"n/a","ei saatavissa"
"or","tai"
