"(Excl. Tax)","(Veroton)"
"Country","Maa"
"Coupon code ""%s"" is not valid.","Kupongin koodi ""%s"" ei kelpaa."
"Create Billing Address","Luo laskutusosoite"
"Create Shipping Address","Luo toimitusosoite"
"Customer Information","Asiakstiedot"
"Data saving problem","Tietojen tallennuksessa ongelmia"
"Default Billing","Ensisijainen laskutus"
"Default Shipping","Ensisijainen lähetys"
"Delete Condition","Poista ehto"
"Details","Yksityiskohdat"
"Disabled","Ei käytössä"
"Discount Codes","Alennuskoodit"
"Display Cart Summary","Näytä ostoskorin yhteenveto"
"Display Shopping Cart Sidebar","Näytä ostoskori sivupalkissa"
"Display item quantities","Näytä nimikkeiden määrät"
"Display number of items in cart","Ostoskorissa näytettävien tuotteiden määrä"
"Easy access to your order history and status","Tilausten seuranta ja tilaushistoria"
"Edit","Muokkaa"
"Edit Address","Muokkaa osoitetta"
"Edit Billing Address","Muokkaa laskutusosoitetta"
"Edit Condition","Muokkaa ehtoa"
"Edit Items","Muokkaa tuotteita"
"Edit Shipping Address","Muokkaa toimitusosoitetta"
"Edit Terms and Conditions","Muokkaa ehtoja"
"Edit Your Cart","Muokkaa ostoskoria"
"Edit item","Muokkaa tuotetta"
"Edit item parameters","Muokkaa tuotteen parametreja"
"Email Address","Sähköpostiosoite"
"Enable Onepage Checkout","Ota yhden sivun osto käyttöön"
"Enabled","Käytössä"
"Enter a New Address","Kirjoita uusi osoite"
"Enter your coupon code if you have one.","Syötä Alennuskuponkisi koodi jos sinulla on sellainen."
"Enter your destination to get a shipping estimate.","Syötä toimituspaikkasi saadaksesi arvion toimituskuluista."
"Estimate Shipping and Tax","Arvioi toimituskulut ja vero"
"Excl. Tax","Veroton"
"Fast and easy check out","Nopea ja helppo tilaus"
"Fax","Faksi"
"Forgot an Item?","Unohditko tuotteen?"
"Forgot your password?","Unohditko salasanasi?"
"Get a Quote","Laske"
"Gift Message","Lahjaviesti"
"Grand Total:","Loppusumma:"
"ID","Tunnus"
"Incl. Tax","Verollinen"
"Invalid shipping method.","Virheellinen toimitustapa."
"Items","Tuotteet"
"Load customer quote error","Asiakkaan tarjouksen latausvirhe"
"Loading next step...","Ladataan seuraavaa vaihetta..."
"Login","Kirjaudu"
"Maximum qty allowed for Shipping to multiple addresses is %s","Toimitusosoitteiden maksimimäärä on %s"
"Move","Siirrä"
"Move to Wishlist","Siirrä toivelistalle"
"My Cart","Ostoskori"
"My Cart (%s item)","Ostoskorini (%s tuote)"
"My Cart (%s items)","Ostoskorini (%s tuotetta)"
"My Cart Link","Ostoskorini-linkki"
"New Address","Uusi osoite"
"New Condition","Uusi ehto"
"New Terms and Conditions","Uudet käyttöehdot"
"No Payment Methods","Ei maksutapoja"
"Order #","Tilausnumero"
"Order Review","Tilauksen katselma"
"Order Success","Tilaus onnistui"
"Password","Salasana"
"Payment Failed Email Reciever","Maksutapahtumien virhesähköpostien vastaanottaja"
"Payment Failed Email Sender","Epäonnistuneen maksun sähköpostin lähettäjä"
"Payment Failed Emails","Epäonnistuneen maksun sähköpostit"
"Payment Failed Template","Epäonnistuneen maksun sähköpostimalli"
"Payment Information","Maksutiedot"
"Payment Method","Maksutapa"
"Payment method is not defined","Maksutapaa ei ole määritelty"
"Place Order","Tee tilaus"
"Please agree to all Terms and Conditions before placing the order.","Kaikki ehdot tulee hyväksyä ennen tilauksen tekemistä."
"Please agree to all the terms and conditions before placing the order.","Kaikki ehdot tulee hyväksyä ennen tilauksen tekemistä."
"Please log in below:","Kirjaudu sisään alla olevalla lomakkeella:"
"Please select region, state or province","Valitse alue, osavaltio tai provinssi"
"Please select shipping address for applicable items","Valitse toimistusosoitteet tuotteille"
"Please select shipping methods for all addresses","valitse toimitustapa kikkiin osoitteisiin"
"Please specify shipping method.","Valitse toimitustapa."
"Price","Hinta"
"Proceed to Checkout","Siirry kassalle"
"Product","Tuote"
"Product Name","Tuotenimi"
"Products","Tuotteet"
"Qty","Määrä"
"Qty:","Määrä:"
"Quantity","Määrä"
"Quote Lifetime (days)","Tarjouksen voimassaoloaika (päivää)"
"Recently added item(s)","Uusimmat tuotteet"
"Register","Rekisteröidy"
"Register and save time!","Rekisteröidy ja säästä aikaa!"
"Register to Create an Account","Rekisteröidy luodaksesi Oman tilin"
"Register with us for future convenience:","Rekisteröidy verkkokauppamme ja helpota tulevaa asiointia:"
"Remove Item","Poista kohde"
"Remove This Item","Poista tämä nimike"
"Remove item","Poista kohde"
"Review Order","Tarkastele tilausta"
"Review Order - %s","Tarkasta tilaus - %s"
"SKU","Tuotenro"
"Sales","Myynti"
"Save Condition","Tallenna ehto"
"Save in address book","Tallenna osoitekirjaan"
"See price before order confirmation.","Katso hinta ennen tilauksen vahvistusta."
"Select Address","Valitse osoite"
"Select Addresses","Valitse osoitteet"
"Select Shipping Method","Valitse toimitustapa"
"Select State/Province...","Valitse osavatio/provinssi..."
"Select a billing address from your address book or enter a new address.","Valitse osoite osoitekirjastasi tai syötä uusi osoite."
"Select a shipping address from your address book or enter a new address.","Valitse toimitusosoite osoitekirjastasi tai syötä uusi osoite."
"Send Payment Failed Email Copy Method","Epäonnistuneen maksun sähköpostikopion tyyppi"
"Send Payment Failed Email Copy To","Epäonnistuneen maksun sähköpostikopion vastaanottaja"
"Separate by "","".","Erota "",""-merkillä."
"Ship to Multiple Addresses","Toimitus useampaan osoitteeseen"
"Ship to different address","Lähetä eri osoitteeseen"
"Ship to this address","Lähetä samaan osoitteeseen"
"Shipping Address","Toimitusosoite"
"Shipping Information","Toimitustiedot"
"Shipping Method","Toimitustapa"
"Shipping Methods","Toimitustavat"
"Shipping method has not been selected yet","Toimitustapaa ei ole vielä valittu"
"Shopping Cart","Ostoskori"
"Shopping Cart Sidebar","Ostoskori-sivupalkki"
"Shopping Cart is Empty","Ostoskori on tyhjä"
"Show Content as","Näytä sisältö muodossa"
"Sorry, no quotes are available for this order at this time.","Ei annettuja lainauksia tälle tuotteelle tällä hetkellä."
"State/Province","Osavaltio/provinssi"
"Status","Tila"
"Store View","Kauppanäkymä"
"Street Address","Katuosoite"
"Submitting order information...","Lähetetään tilauksen tietoja..."
"Subtotal","Välisumma"
"Telephone","Puhelin"
"Terms and Conditions","Käyttöehdot"
"Terms and Conditions Information","Toimitusehdon tiedot"
"Terms and conditions","Toimitusehdot"
"Text","Teksti"
"Thank you for your purchase!","Kiitos ostoksestasi!"
"The product does not exist.","Tuotetta ei ole olemassa."
"There was an error processing your order. Please contact us or try again later.","Tilauksen lähetyksessä tapahtui virhe. Ole hyvä ja ota yhteyttä meihin tai yritä myöhemmin uudelleen."
"This condition no longer exists.","Tätä ehtoa ei ole enää olemassa."
"Total","Yhteensä"
"Total for this address","Yhteensä tähän osoitteeseen"
"Unit Price","Yksikköhinta"
"Update","Päivitä"
"Update Cart","Päivitä ostoskori"
"Update Qty &amp; Addresses","Päivitä määrä ja osoitteet"
"Update Shopping Cart","Päivitä ostoskori"
"Update Total","Päivitä summa"
"Use Billing Address","Käytä laskutusosoitetta"
"VAT Number","Y-tunnus"
"View Shopping Cart","Tarkastele ostoskoria"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Tilauksesi on käsittelyssä. Saat kohta sähköpostiisi tarkemmat tiedot tilauksestasi. Kun tilauksesi on toimituksessa, saat toisen sähköpostin seurantaa varten."
"What's this?","Mikä tämä on?"
"You have no items in your shopping cart.","Sinulla ei ole tuotteita ostoskorissasi."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Saat sähköpostissa tilausvahvistuksen ja linkin josta voit seurata tilauksesi etenemistä."
"Your Checkout Progress","Tilauksen eteneminen"
"Zip/Postal Code","Postinumero"
"or","tai"
