"-- Please Select --","--- Valitse ---"
"Delete Store View","Poista kauppanäkymä"
"Delete Website","Poista sivusto"
"Design","Ulkoasu"
"Design Change","Ulkoasun muutos"
"Developer","Kehittäjä"
"Developer Client Restrictions","Kehittäjän rajoitukset"
"Disable Email Communications","Poista sähköpostiviestintä käytöstä"
"Disable Modules Output","Estä moduulin ulostulo"
"Duplicate Of Template Name","Mallin nimen kaksoiskappale"
"Edit Design Change","Muokkaa ulkoasun muutosta"
"Edit Store","Muokkaa kauppaa"
"Edit Store View","Muokkaa kauppanäkymää"
"Edit Website","Muokkaa sivustoa"
"Empty identifier field name","Tyhjä tunnistekentän nimi"
"Empty main table name","Tyhjä päätaulun nimi"
"Enable Charts","Salli diagrammit"
"Enabled","Käytössä"
"Enabled for Admin","Käytössä järjestelmänvalvojalla"
"Enabled for Frontend","Käytössä kaupassa"
"Error in file: ""%s"" - %s","Virhe tiedostossa: ""%s"" - %s"
"European Union Countries","Euroopan unionin maat"
"File system","Tiedostojärjestelmä"
"First Day of Week","Viikon ensimmäinen päivä"
"Flush Cache Storage","Tyhjennä välimuistitila"
"Flush OpenMage Cache","Tyhjennä OpenMagen välimuisti"
"Footer","Alatunniste"
"Forgot Password Email Sender","Unohditko salasanasi? -sähköpostin lähettäjä"
"Forgot Password Email Template","""Unohtuiko salasana"" -sähköpostimalli"
"General","Yleiset"
"General Contact","Yleiset yhteystiedot"
"General Settings","Yleiset asetukset"
"Global","Globaali"
"Header","Ylätunniste"
"Host","Isäntä"
"How many links to display at once.","Kuinka monta linkkiä esitetään yhdellä kertaa."
"Incorrect credit card expiration date.","Väärä luottokortin vanhentumispäivämäärä."
"Invalid base url type","Virheellinen juuriosoite tyyppi"
"Invalid block type: %s","Virheellinen sisältölohkon tyyppi: %s"
"Invalid block: %s","Virheellinen sisältölohko: %s"
"Invalid date","Virheellinen päivämäärä"
"Invalid layout update handle","Virheellinen ulkoasupäivityksen käsittely"
"Invalid messages storage ""%s"" for layout messages initialization","Virheellinen viestivarasto ""%s"" ulkoasun viestien käyttöönotolle."
"JavaScript Settings","JavaScript-asetukset"
"Layout","Asettelu"
"Locale","Kieli"
"Locale Options","Kieliasetukset"
"Login is Case Sensitive","Kirjautumistunnus on merkkikokoriippuvainen"
"Logo Image","Logon kuva"
"Logo Image Alt","Logon kuvan vaihtoehtoisteksti"
"Mail Sending Settings","Sähköpostin lähetyksen asetukset"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Varmista, että Base URL päättyy ' /' (leikata), esimerkiksi http://yourdomain/magento/"
"Match expressions in the same order as displayed in the configuration.","Säännöt käsitellään asetuksissa näytettävässä järjestyksessä."
"Merge CSS Files","Yhdistä CSS-tiedostot"
"Merge JavaScript Files","Yhdistä JavaScript tiedostot"
"Miscellaneous HTML","Muu HTML-sisältö"
"Name","Nimi"
"New Design Change","Uusi ulkomuodon vaihdos"
"New Store","Uusi kauppa"
"New Store View","Uusi kauppanäkymä"
"New Website","Uusi sivusto"
"No","Ei"
"Offloader header","Offloader otsikko"
"Package","Paketti"
"Pagination","Sivutus"
"Pagination Frame","Sivutuksen runko"
"Pagination Frame Skip","Sivutuksen runko ohitus"
"Please enter a number 0 or greater in this field.","Syötä tähän kenttää numero, joka on nolla (0) tai sitä suurempi."
"Please enter a number 1 or greater in this field.","Syötä numero 1 tai suurempi tähän kenttään."
"Please enter a number greater than 0 in this field.","Kirjoita tähän kenttää nollaa (0) suurempi numero."
"Please enter a valid $ amount. For example $100.00.","Kirjoita kelvollinen $ summa. Esimerkiksi 100,00 dollaria."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Anna osoite muodossa http://www.example.com tai www.example.com"
"Please enter a valid credit card number.","Kirjoita voimassa oleva luottokorttinumero."
"Please enter a valid credit card verification number.","Anna kelvollinen luottokortin tarkistenumero."
"Please enter a valid date.","Anna kelvollinen päivämäärä."
"Please enter a valid email address. For example johndoe@domain.com.","Anna sähköpostiosoite muodossa mattimeikalainen@domain.com."
"Please enter a valid month (1-12).","Kirjoita kelvollinen kuukausi (1-12)."
"Please enter a valid number in this field.","Kirjoita kelvollinen numero tähän kenttään."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Kirjoita kelvollinen puhelinnumero. Esimerkiksi (123) 456-7890 tai 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Anna sosiaaliturvatunnus muodossa 123456-123A"
"Please enter a valid zip code.","Anna kelvollinen postinumero."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Anna postinumero muodossa 00100."
"Please enter issue number or start date for switch/solo card type.","Kirjoita switch- tai solo -korttityypin julkaisunumero tai aloituspäivämäärä."
"Please make sure your passwords match.","Varmista, että salasanat täsmäävät."
"Please select State/Province.","Valitse osavaltio/provinssi."
"Please select an option.","Valitse vaihtoehto."
"Please select one of the above options.","Valitse yksi yllä olevista vaihtoehdoista"
"Please select one of the options.","Valitse yksi vaihtoehdoista."
"Please use letters only (a-z or A-Z) in this field.","Käytä vain kirjaimia (a-z tai A-Z) tässä kentässä."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Käytä vain kirjaimia (a-ö), numeroita (0-9) tai alaviivaa (_) tässä kentässä. Ensimmäisen merkin tulee olla kirjain."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Käytä päivämäärämuotoa: pp/kk/vvvv. Esimerkiksi 17/03/2006, eli 17. maaliskuuta, 2006."
"Please wait, loading...","Hetkinen, ladataan..."
"Port (25)","Portti (25)"
"Profiler","Profiloija"
"Recovery Link Expiration Period (hours)","Salasanan palautuslinkin voimassaoloaika (tuntia)"
"Return-Path Email","Return-Path sähköposti"
"Root Category","Juurikategoria"
"Sales Representative","Myyntiedustaja"
"Save","Tallenna"
"Save Store","Tallenna kauppa"
"Save Store View","Tallenna kauppanäkymä"
"Save Website","Tallenna sivusto"
"Search Engines Optimization","Hakukoneiden optimointi"
"Secure","Salattu"
"Security","Turvallisuusasetukset"
"Select Date","Valitse päivämäärä"
"Sender Email","Lähettäjän sähköposti"
"Sender Name","Lähettäjän nimi"
"Services","Palvelut"
"Session Validation Settings","Istunnon vahvistusasetukset"
"Set Return-Path","Aseta Return-Path"
"Set as Default","Aseta oletukseksi"
"Skin (Images / CSS)","Ulkoasun tyyli (Kuvat / CSS)"
"Sort Order","Lajittelujärjestys"
"Startup Page","Aloitussivu"
"Status","Tila"
"Store","Kauppa"
"Store Email Addresses","Kaupan sähköpostiosoitteet"
"Store Hours of Operation","Kaupan aukioloajat"
"Store Information","Kaupan tiedot"
"Store Name","Kaupan nimi"
"Store View","Kauppanäkymä"
"Store View Information","Kauppanäkymän tiedot"
"Store View Name","Kauppanäkymän nimi"
"Store view doesn't exist","Kauppanäkymää ei ole olemassa"
"Store with the same code","Kauppa samalla koodilla"
"System","Järjestelmä"
"Template Path Hints","Ulkoasun polun vihjeet"
"Template Settings","Malliasetukset"
"Template Variables","Mallin muuttujat"
"Templates","Ulkoasut"
"The store does not exist","Kauppaa ei ole olemassa"
"The value is not within the specified range.","Arvo ei ole määritetyissä rajoissa."
"The website does not exist.","Sivustoa ei ole olemassa."
"Themes","Teemat"
"This category and all its child elements","Tässä ja kaikissa alakategorioissa ja -tuotteissa"
"This category and its child categories only","Vain tässä ja kaikissa alakategorioissa"
"This category and its products only","Vain tässä kategoriassa ja sen tuotteissa"
"This category only","Vain tässä kategoriassa"
"This is a required field.","Tämä on pakollinen kenttä."
"This store cannot be deleted.","Tätä kauppaa ei voi poistaa."
"This store view cannot be deleted.","Tätä kauppanäkymää ei voi poistaa."
"This website cannot be deleted.","Tätä sivustoa ei voida poistaa."
"Timezone","Aikavyöhyke"
"Transactional Emails","Transaktioihin liittyvät sähköpostit"
"Translate Inline","Käännä dynaamisesti"
"Translations","Käännökset"
"Unsecure","Salaamaton"
"Url Options","Url-asetukset"
"Use Custom Admin Path","Käytä mukautettua järjestelmänvalvojan osoitepolkua"
"Use Custom Admin URL","Käytä mukautettua järjestelmänvalvojan URL:ia"
"Use HTTP Only","Käytä vain HTTP:tä"
"None","Poista valinnat"
"Use Secure URLs in Admin","Käytä suojattua URL-osoitetta järjestelmänhallinta-osiossa"
"Use Secure URLs in Frontend","Käytä salattuja osoitteita kaupassa"
"Use Web Server Rewrites","Käytä Web-palvelimen uudelleenkirjoitus -asetusta"
"VAT Number","Y-tunnus"
"Validate HTTP_USER_AGENT","Validoi HTTP_USER_AGENT"
"Validate HTTP_VIA","Vahvista HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Vahvista HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Vahvista REMOTE_ADDR"
"Web","Verkko"
"Website","Sivusto"
"Website Information","Sivuston tiedot"
"Website Name","Sivuston nimi"
"Website with the same code","Sivusto samalla koodilla"
"Weekend Days","Viikonlopun päivät"
"Welcome Text","Tervetuliaisteksti"
"Wrong number of arguments for %s","Virheellinen määrä muuttujia kohteelle %s"
"Yes","Kyllä"
"Frontend","Kaupan näkymä"
