" and ","ja"
"Any Type","Mikä tahansa tyyppi"
"Any Visibility","Mikä tahansa näkyvyys"
"Archive file name:","Arkiston tiedoston nimi:"
"Are you sure that you want to delete this template?","Haluatko varmasti poistaa tämän pohjan?"
"Are you sure that you want to strip tags?","Haluatko varmasti poistaa asiasanat?"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Area","Alue"
"As low as:","Niinkin matala kuin:"
"Assigned","Osoitettu"
"Attribute Set Name:","Ominaisuuksien joukon nimi:"
"Attributes","Attribuutit"
"Authorize","Valtuuta"
"Average Order Amount","Tilausten keskihinta"
"Average Orders","Keskimääräinen tilaus"
"Back","Takaisin"
"Back to Login","Takaisin sisäänkirjautumiseen"
"Backup","Varmuuskopioi"
"Backup Name","Varmuuskopion nimi"
"Backup options","Varmuuskopioinnin asetukset"
"Backups","Varmuuskopiot"
"Base currency","Oletusvaluutta"
"Bcc","Piilokopio"
"Bestsellers","Myydyimmät"
"Billing Address","Laskutusosoite"
"Billing Address: ","Laskutusosoite: "
"Billing Agreements","Laskutussopimukset"
"Block Information","Lohkon tiedot"
"Blocks","Lohkot"
"Both (without and with tax)","Molemmat (veroton ja verollinen)"
"Browse Files...","Selaa tiedostoja..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Yhdistelmätuote ei voi sisältää muokattavia ominaisuuksia, jos käytössä on muuttuva hinta. Ominaisuuksia ei tallenneta."
"By Email","Sähköpostitse"
"By IP and Email","IP-osoitteen ja sähköpostin mukaan"
"CMS","Sisällönhallinta"
"CRITICAL","KRIITTINEN"
"CSV / Tab separated","CSV / Eroteltu sarkaimin"
"Cache Control","Välimuistin hallinta"
"Cache Control (beta)","Välimuistin toiminta (beta)"
"Cache Management","Välimuistin hallinta"
"Cache Type","Välimuistityyppi"
"Cancel","Peruuta"
"Cannot add new comment.","Uutta kommentia ei voida lisätä."
"Cannot add tracking number.","Seurantakoodia ei voida lisätä."
"Cannot save shipment.","Lähetystä ei voi tallentaa."
"Card Verification Number","Luottokortin tarkistenumero"
"Catalog","Katalogi"
"Catalog Price Rules","Tuoteluettelon hintasäännöt"
"Catalog Rewrites","Luettelon uudelleenohjaukset"
"Categories","Kategoriat"
"Category","Kategoria"
"Category:","Kategoria:"
"Checkbox","Valintaruutu"
"Choose Store View:","Valitse kauppanäkymä:"
"Choose an attribute","Valitse ominaisuus"
"Clear","Tyhjennä"
"Close","Sulje"
"Code","Koodi"
"Complete","Valmis"
"Configuration","Konfigurointi"
"Confirm New Password","Vahvista uusi salasana"
"Confirmed email:","Vahvistettu sähköposti:"
"Continue","Jatka"
"Convert to Plain Text","Muuta tekstimuotoon"
"Country","Maa"
"Country:","Maa:"
"Coupons","Alennuskoodit"
"Create","Luo"
"Create DB Backup","Luo tietokannan varmuuskopio"
"Create New Attribute","Luo uusi attribuutti"
"Created At","Luotu"
"Credit Card Number","Luottokortin numero"
"Credit Card Number: xxxx-%s","Luottokortin numero: xxxx-%s"
"Credit Card Type","Luottokorttityyppi"
"Credit Card Type: %s","Luottokortin tyyppi: %s"
"Credit Memo History","Hyvityslaskuhistoria"
"Credit Memo Totals","Hyvityslaskujen kokonaismäärä"
"Credit Memos","Hyvityslaskut"
"Currency","Valuutta"
"Currency Information","Valuutan tiedot"
"Current Configuration Scope:","Nykyisen asennuksen laajuus."
"Current Month","Nykyinen kuukausi"
"Custom","Mukautettu"
"Custom Variables","Muokatut muuttujat"
"Customer","Asiakas"
"Customer Group:","Asiakasryhmät:"
"Customer Groups","Asiakasryhmät"
"Customer Name","Asiakkaan nimi"
"Customer Reviews","Asiakkaiden arvostelut"
"Customer Since:","Asiakas alkaen:"
"Customer Tax Classes","Asiakkaan veroluokat"
"Customer with the same email already exists.","Samalla sähköpostiosoitteella on jo asiakas."
"Customers","Asiakkaat"
"Customers by Orders Total","Asiakkaat tilausten loppusummien mukaan"
"DHTML Date/Time Selector","DHTML päivämäärän/ajan valitsin"
"Dashboard","Hallintasivu"
"Data Format","Tiedon formaatti"
"Data transfer:","Tiedonsiirto:"
"Database","Tietokanta"
"Date","Päivämäärä"
"Date & Time","Päivämäärä & aika"
"Date Added","Lisäyspäivämäärä"
"Date Updated","Päivämäärä päivitetty"
"Date selection:","Päivämäärän valinta:"
"Date selector","Päivämäärän valitsin"
"Day","Päivä"
"Debug","Vianselvitys"
"Decimal separator:","Desimaalin erotinmerkki:"
"Default (Admin) Values","Oletusarvot (ylläpito)"
"Default Billing Address","Oletuslaskutusosoite"
"Default Config","Oletusasetukset"
"Default Template from Locale","Kieliversion oletuspohja"
"Default Values","Oletusarvot"
"Default scope","Oletuslaajuus"
"Delete","Poista"
"Delete %s","Poista %s"
"Delete %s '%s'","Poista %s '%s'"
"Delete Block","Poista lohko"
"Delete File","Poista tiedosto"
"Delete Image","Poista kuva"
"Delete Profile","Poista profiili"
"Delete Role","Poista rooli"
"Delete Store","Poista kauppa"
"Delete Store View","Poista kauppanäkymä"
"Delete Template","Poista malli"
"Delete User","Poista käyttäjä"
"Delete Website","Poista sivusto"
"Description","Kuvaus"
"Design","Ulkoasu"
"Details","Yksityiskohdat"
"Direction:","Suunta:"
"Disable","Poista käytöstä"
"Disabled","Ei käytössä"
"Display %s first","Näytä %s ensimmäisenä"
"Display default currency","Näytä oletusvaluutta"
"Distributed under GNU LGPL. See %s for details.","Julkaistu GNU LGPL -lisenssillä. Katso lisätietoja: %s"
"Do you really want to KILL parallel process and start new indexing process?","Haluatko varmasti KESKEYTTÄÄ rinnakkaisen prosessin ja aloittaa uuden indeksoinnin?"
"Download","Lataa"
"Downloads","Lataukset"
"Drag to move","Raahaa siirtääksesi"
"Drop-down","Pudotusvalikko"
"Edit","Muokkaa"
"Edit Block","Muokkaa lohkoa"
"Edit Block '%s'","Muokkaa sisältölohkoja '%s'"
"Edit Design Change","Muokkaa ulkoasun muutosta"
"Edit Email Template","Muokkaa sähköpostimallia"
"Edit Order","Muokkaa tilausta"
"Edit Poll","Muokkaa kyselyä"
"Edit Queue","Muokkaa jonoa"
"Edit Review","Muokkaa arvostelua"
"Edit Role","Muokkaa roolia"
"Edit Store View","Muokkaa kauppanäkymää"
"Edit System Template","Muokkaa järjestelmäpohjaa"
"Edit Template","Muokkaa mallia"
"Edit URL Rewrite","Muokkaa URL-uudelleenohjausta"
"Edit User","Muokkaa käyttäjää"
"Edit User '%s'","Muokkaa käyttäjää '%s'"
"Edit Website","Muokkaa sivustoa"
"Email","Sähköposti"
"Email Address:","Sähköpostiosoite:"
"Email to a Friend","Sähköpostita kaverille"
"Email:","Sähköposti:"
"Enable","Käytä"
"Enabled","Käytössä"
"Enclose Values In:","Sulje arvot (missä):"
"Entity Type","Entiteetin tyyppi"
"Entity type:","Kokonaisuuden tyyppi:"
"Error","Virhe"
"Excl. Tax","Veroton"
"Excl. Tax:","Veroton:"
"Exclude media folder from backup","Rajaa media-kansio varmuuskopioinnin ulkopuolelle"
"Expiration Date","Viimeinen voimassaolopäivä"
"Expiration Date: %s/%s","Erääntymispäivä: %s/%s"
"Export","Vie"
"Export CSV","Vie CSV"
"Export Filters","Vie suodattimet"
"Export to:","Vieminen:"
"Export:","Vie:"
"FTP Host","FTP palvelin"
"FTP Host[:Port]","FTP-isäntä[:portti]"
"FTP Login","FTP-kirjautuminen"
"FTP Password","FTP-salasana"
"FTP credentials","FTP-tunnukset"
"Failed","Epäonnistui"
"Field","Kenttä"
"Field Mapping","Tietokenttien kartoitus"
"File","Tiedosto"
"File Information","Tiedoston tiedot"
"File name:","Tiedoston nimi:"
"File size should be more than 0 bytes","Tiedoston koon pitäisi olla enemmän kuin 0 tavua."
"Finished profile execution.","Profiilin toimeenpano valmistui."
"First Name","Etunimi"
"First Name:","Etunimi:"
"Fixed","Kiinteä"
"Flush Catalog Images Cache","Tyhjennä katalogikuvien välimuisti"
"Flush JavaScript/CSS Cache","Tyhjennä JavaScript-/CSS-välimuisti"
"For category","Kategorialle"
"For latest version visit: %s","Katso viimeisin versio: %s"
"For product","Tuotteelle"
"Forgot your password?","Unohditko salasanasi?"
"Forgot your user name or password?","Unohditko käyttäjätunnuksesi tai salasanasi?"
"From","Alkaen"
"General Information","Yleistä"
"Get Image Base64","Hanki kuva Base64"
"Get help for this page","Hae apua tälle sivulle"
"Global Attribute","Globaali ominaisuus"
"Global Record Search","Tietueiden globaali haku"
"Global Search","Globaali haku"
"Go Today","Siirry päivään"
"Go to Top","Takaisin ylös"
"Grand Total","Loppusumma"
"Grid (default) / List","Ruudukko (oletus) / luettelo"
"Grid Only","Vain ruudukko"
"Group:","Ryhmä:"
"Guest","Vieras"
"HTTP (unsecure)","HTTP (suojaamaton)"
"Home","Etusivu"
"ID","Tunnus"
"ID Path","Tunnistepolku"
"IP Address","IP-osoite"
"IPN (Instant Payment Notification) Only","Vain IPN (Instant Payment Notification)"
"Id","Tunnus"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jos et määrittele ominaisuuden arvoa kaupalle, oletusarvoa (Admin) käytetään."
"Images (.gif, .jpg, .png)","Kuvat (.gif, .jpg, .png)"
"Images Cache","Kuvien välimuisti"
"Import","Tuo"
"Import Service","Tuontipalvelu"
"Import/Export","Tuo/Vie"
"Import/Export Advanced","Edistynyt tuo / vie"
"Import/Export Profile","Tuo / vie profiili"
"Important: ","Tärkeää: "
"Imported <strong>%s</strong> records","Tuotu <strong>%s</strong> tietuetta"
"In","Paikka"
"In Database:","Tietokannassa:"
"In File:","Tiedostossa:"
"Inactive","Ei käytössä"
"Incl. Tax","Verollinen"
"Incl. Tax:","Verollinen:"
"Incoming Message","Saapuva viesti"
"Insert Variable...","Lisää muuttuja..."
"Interactive","Interaktiivinen"
"Interface Locale: %s","Käyttöliittymän kieli: %s"
"Invalid Form Key. Please refresh the page.","Virheellinen lomakkeen avain. Ole hyvä ja päivitä sivu."
"Invalid Import Service Specified","Virheellinen tuomispalvelu määritetty"
"Invalid Secret Key. Please refresh the page.","Virheellinen salainen avain. Lataa sivu uudelleen."
"Invalid data","Virheellinen tieto"
"Invalid directory: %s","Virheellinen kansio: %s"
"Invalid file: %s","Virheellinen tiedosto: %s"
"Invalid input data for %s => %s rate","Virheellinen syöttötieto %s => %s valuuttakurssi"
"Invalidated","Mitätöity"
"Inventory Stock Status","Varaston tilanne"
"Invoice #%s comment added","Laskuun #%s lisätty kommentti"
"Invoice #%s created","Lasku #%s luotu"
"Invoice History","Laskutushistoria"
"Invoice Totals","Laskun loppusummat"
"Invoices","Laskut"
"Is Default","Oletus"
"Issue Number","Tapausnumero"
"Items","Tuotteet"
"JavaScript/CSS Cache","JavaScript/CSS-välimuisti"
"Last 24 Hours","Viimeiset 24 tuntia"
"Last 5 Orders","Viimeisimmät 5 tilausta"
"Last 5 Search Terms","Viimeisimmät 5 hakusanaa"
"Last 7 Days","Edelliset 7 päivää"
"Last Logged In (%s):","Viimeksi kirjautunut sisään (%s):"
"Last Logged In:","Viimeksi kirjautunut:"
"Last Name","Sukunimi"
"Last Name:","Sukunimi:"
"Latest Message:","Uusin viesti:"
"Layered Navigation Indices","Kerroksittaisen navigaation indeksit"
"Leave empty to use tax identifier","Jätä tyhjäksi käyttääksesi veron tunnistetta"
"Lifetime Sales","Kaikki myynnit"
"Links","Linkit"
"List (default) / Grid","Luettelo (oletus) / Ruudukko"
"List Only","Vain luettelo"
"Load Template","Lataa malli"
"Load default template","Lataa oletuspohja"
"Loading...","Ladataan..."
"Local Server","Lähiverkon palvelin"
"Local/Remote Server","Lähiverkon/ulkopuolinen palvelin"
"Locale","Kieli"
"Log In","Kirjaudu sisään"
"Log Out","Kirjaudu ulos"
"Log in to Admin Panel","Kirjaudu hallinnointipaneeliin"
"Logged in as %s","Kirjauduttu sisään käyttäjänä %s"
"Login","Kirjaudu"
"Low Stock","Alhainen varastotilanne"
"MAJOR","KORKEA"
"MINOR","ALHAINEN"
"Magento root directory","OpenMagen juurikansio"
"Manage Attribute Sets","Hallitse attribuuttiryhmiä"
"Manage Attributes","Hallinnoi ominaisuuksia"
"Manage Categories","Hallitse kategorioita"
"Manage Currency Rates","Hallitse valuuttakursseja"
"Manage Customers","Hallinnoi asiakkaita"
"Manage Stores","Hallinnoi kauppoja"
"Manage Titles (Size, Color, etc.)","Hallinnoi nimiä (koko, väri jne.)"
"Manual","Käsin"
"Messages Inbox","Saapuneet-kansio"
"Month","Kuukausi"
"Most Viewed","Useimmin katsotut"
"Most Viewed Products","Katsotuimmat tuotteet"
"Multiple Select","Monivalinta"
"My Account","Oma tili"
"N/A","Ei tietoa"
"NOTICE","HUOMAUSTUS"
"Name","Nimi"
"Name on Card","Kortissa oleva nimi"
"Name on the Card: %s","Kortissa oleva nimi: %s"
"Name:","Nimi:"
"New ","Uusi "
"New Accounts","Uudet tilit"
"New Attribute","Uusi ominaisuus"
"New Block","Uusi lohko"
"New Category","Uusi kategoria"
"New Class","Uusi luokka"
"New Condition","Uusi ehto"
"New Customer","Uusi asiakas"
"New Customers","Uudet asiakkaat"
"New Design Change","Uusi ulkomuodon vaihdos"
"New Email Template","Uusi sähköpostimalli"
"New Group","Uusi ryhmä"
"New Invoice","Uusi lasku"
"New Item Type","Uusi kohteen tyyppi"
"New Page","Uusi sivu"
"New Password","Uusi salasana"
"New Poll","Uusi kysely"
"New Profile","Uusi profiili"
"New Rating","Uusi arvostelu"
"New Review","Lisää arvostelu"
"New Role","Uusi rooli"
"New Rule","Uusi sääntö"
"New Search","Uusi haku"
"New Set","Uusi kokoelma"
"New Shipment","Uusi lähetys"
"New Sitemap","Uusi sivukartta"
"New Store View","Uusi kauppanäkymä"
"New System Template","Uusi järjestelmän pohja"
"New Tag","Uusi asiasana"
"New Template","Uusi viestipohja"
"New User","Uusi käyttäjä"
"New Website","Uusi sivusto"
"Newsletter","Uutiskirje"
"Newsletter Queue","Uutiskirjejono"
"Newsletter Subscribers","Uutiskirjeen tilaajat"
"Newsletter Templates","Uutiskirjeiden mallipohjat"
"Next month (hold for menu)","Seuraava kuukausi"
"Next year (hold for menu)","Seuraava vuosi"
"No","Ei"
"No (price without tax)","Ei (veroton)"
"No Data","Ei tietoja"
"No Data Found","Tietoja ei löytynyt"
"No Templates Found","Malleja ei löydy"
"No change","Ei muutosta"
"No profile loaded...","Ei ladattua profiilia..."
"No records found for this period.","Ei merkintöjä tällä aikavälillä."
"No records found.","Tuloksia ei löytynyt."
"No search keywords.","Ei hakusanoja."
"No search modules were registered","Yhtään hakumoduulia ei rekisteröity"
"None","Poista valinnat"
"Note:","Muistiinpano:"
"Notes","Muistiinpanot"
"Notifications","Ilmoitukset"
"Number of Orders","Tilausten määrä"
"Number of Uses","Käyttökertojen määrä"
"Number of Views","Katsottu"
"Number of records:","Tietueiden määrä:"
"Old rate:","Vanha kurssi:"
"Online Customers","Online-asiakkaat"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Vain ominaisuudet, joiden laajuus on ""Globaali"", syöttötyyppi on ""pudotus"" ja muokattavan tuotteen luonnin asetus on ""Kyllä"" , ovat saatavilla."
"Only mapped fields","Vain kartoitetut tietokentät"
"Optional","Valinnainen"
"Options","Asetukset"
"Options is required","Vaihtoehdot vaaditaan"
"Order","Tilaus"
"Order #%s","Tilaus #%s"
"Order #%s (%s)","Tilaus #%s (%s)"
"Order ID","Tilausnumero"
"Order Totals","Loppusummat"
"Orders","Tilaukset"
"Original Magento attribute names in first row:","Alkuperäiset OpenMagen ominaisuuksien nimet ensimmäisellä rivillä:"
"Out of stock","Ei varastossa"
"Pages","Sivut"
"Parent Product Thumbnail","Ylätuotteen miniatyyrikuva"
"Passive mode","Passiivinen tila"
"Password","Salasana"
"Password Confirmation","Salasanan vahvistus"
"Password:","Salasana:"
"Path:","Polku:"
"Pending Reviews","Odottavat tuotearvostelut"
"Pending Tags","Asiasanoja odottaa"
"Per Item","Per tuote"
"Per Order","Per tilaus"
"Percent","Prosenttia"
"Performed At","Suoritettu (missä)"
"Period","Aikaväli"
"Permanent (301)","Pysyvä (301)"
"Permissions","Oikeudet"
"Personal Information","Henkilökohtaiset tiedot"
"Phone:","Puhelin:"
"Please Select","Valitse"
"Please confirm site switching. All data that hasn't been saved will be lost.","Vahvista sivuston vaihtaminen. Kaikki tallentamattomat tiedot menetetään."
"Please enter 6 or more characters.","Anna vähintään kuusi merkkiä."
"Please enter a number greater than 0 in this field.","Kirjoita tähän kenttää nollaa (0) suurempi numero."
"Please enter a valid $ amount. For example $100.00.","Kirjoita kelvollinen $ summa. Esimerkiksi 100,00 dollaria."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Anna osoite muodossa http://www.example.com tai www.example.com"
"Please enter a valid URL. http:// is required","Anna osoite. http:// vaaditaan."
"Please enter a valid credit card number.","Kirjoita voimassa oleva luottokorttinumero."
"Please enter a valid date.","Anna kelvollinen päivämäärä."
"Please enter a valid email address. For example johndoe@domain.com.","Anna sähköpostiosoite muodossa mattimeikalainen@domain.com."
"Please enter a valid email.","Anna voimassa oleva sähköpostiosoite."
"Please enter a valid number in this field.","Kirjoita kelvollinen numero tähän kenttään."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Kirjoita kelvollinen puhelinnumero. Esimerkiksi (123) 456-7890 tai 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Anna sosiaaliturvatunnus muodossa 123456-123A"
"Please enter a valid value from list","Kirjoita kelvollinen arvo luettelosta"
"Please enter a valid value, ex: 10,20,30","Kirjoita kelvollinen arvo, esimerkiksi 10,20,30"
"Please enter a valid zip code.","Anna kelvollinen postinumero."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Anna postinumero muodossa 00100."
"Please enter valid password.","Anna salasana."
"Please make sure that all global admin search modules are installed and activated.","Varmista, että kaikki jokaisesta ohjelman osasta käytettävissä olevat järjestelmänvalvojan haku-moduulit ovat asennettu ja aktivoitu."
"Please make sure that your changes were saved before running the profile.","Varmista, että muutoksesi tallentui ennen kuin profiili ajetaan."
"Please make sure your passwords match.","Varmista, että salasanat täsmäävät."
"Please select State/Province.","Valitse osavaltio/provinssi."
"Please select an option.","Valitse vaihtoehto."
"Please select customer(s).","Valitse asiakas/asiakkaat."
"Please select one of the above options.","Valitse yksi yllä olevista vaihtoehdoista"
"Please select one of the options.","Valitse yksi vaihtoehdoista."
"Please use in this field only ""a-z,0-9,_"".","Käytä tässä kentässä vain merkkejä ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Käytä tässä kentässä vain kirjaimia (a-z)."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Käytä vain kirjaimia (a – ö tai A-Z), numeroita (0-9) tai välilyöntejä tässä kentässä."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Käytä vain kirjaimia (a-z) tai numeroita (0-9) tässä tietokentässä. Välilyöntejä tai muita merkkejä ei sallita."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Käytä vain kirjaimia (a-z), numeroita (0-9), välilyöntejä tai risuaitaa (#) tässä tietokentässä."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Käytä päivämäärämuotoa: pp/kk/vvvv. Esimerkiksi 17/03/2006, eli 17. maaliskuuta, 2006."
"Please wait, loading...","Hetkinen, ladataan..."
"Please wait...","Ole hyvä ja odota..."
"Poll Manager","Kyselyiden hallinnointi"
"Popular","Suositut"
"Position","Sijainti"
"Position of Watermark for %s","Vesileiman sijainti kuvalle  %s"
"Prev. month (hold for menu)","Edellinen kuukausi"
"Prev. year (hold for menu)","Edellinen vuosi"
"Preview","Esikatselu"
"Preview Template","Esikatsele mallia"
"Price","Hinta"
"Price:","Hinta:"
"Processed <strong>%s%% %s/%d</strong> records","Käsitelty <strong>%s%% %s/%d</strong> tietuetta"
"Processing","Käsitellään"
"Product","Tuote"
"Product Name","Tuotenimi"
"Product Reviews","Tuotteen arvostelut"
"Product Tax Classes","Tuotteiden veroluokat"
"Product Thumbnail Itself","Tuotteen miniatyyrikuva itsestä"
"Product:","Tuote:"
"Products","Tuotteet"
"Profile Action","Profiilin toiminto"
"Profile Actions XML","Profiilin toimintojen XML"
"Profile Direction","Profiilisuunta"
"Profile History","Profiilihistoria"
"Profile Information","Profiilitiedot"
"Profile Name","Profiilinimi"
"Profile Wizard","Profiilivelho"
"Profiles","Profiilit"
"Promo","Myynninedistäminen"
"Promotions","Myynninedistäminen"
"Quantity","Määrä"
"Queue Refresh","Päivitä kun valmis"
"Queued... Cancel","Jonossa... Peruuta"
"Radio Buttons","Valintanapit"
"Rates","Valuuttakurssit"
"Read details","Katso yksityiskohdat"
"Rebuild","Rakenna uudelleen"
"Rebuild Catalog Index","Uudelleenrakenna luettelon indeksi"
"Rebuild Flat Catalog Category","Jälleenrakenna Flat Katalogi-kategoria"
"Rebuild Flat Catalog Product","Jälleenrakenna Flat Katalogi-tuote"
"Recent Orders","Viimeisimmät tilaukset"
"Recursive Dir","Rekursiivinen hakemisto"
"Redirect","Uudelleenohjaa"
"Refresh","Virkistä"
"Refresh Now*","Päivitä heti*"
"Refresh Statistics","Päivitä tilastot"
"Region/State","Alue/osavaltio"
"Regular Price:","Normaali hinta:"
"Release","Julkaisu"
"Release Stability","Julkaisun vakaus"
"Release Version","Julkaisun versio"
"Reload captcha","Uudelleenlataa CAPTCHA"
"Remote FTP","Ulkopuolinen FTP"
"Remove","Poista"
"Reports","Raportit"
"Request Path","Vaadi polku"
"Required","Vaadittu"
"Reset","Tyhjennä"
"Reset Filter","Nollaa suodatin"
"Reset Password","Nollaa salasana"
"Reset a Password","Salasanan palauttaminen"
"Resize","Muuta kokoa"
"Resource Access","Pääsy resurssiin"
"Resources","Resurssit"
"Results","Tulokset"
"Retrieve Password","Hae salasana"
"Return Html Version","Palauta html-versio"
"Revenue","Tulot"
"Reviews","Arvostelut"
"Role ID","Roolitunniste"
"Role Info","Roolin tiedot"
"Role Information","Roolin tiedot"
"Role Name","Roolin nimi"
"Role Resources","Roolin resurssit"
"Role Users","Roolikäyttäjät"
"Roles","Roolit"
"Roles Resources","Roolien resurssit"
"Root Category","Juurikategoria"
"Rotate CCW","Kierrä vastapäivään"
"Rotate CW","Kierrä myötäpäivään"
"Run","Suorita"
"Run Profile","Aja profiili"
"Run Profile Inside This Window","Aja profiili tässä ikkunassa"
"Running... Kill","Ajetaan... Keskeytä"
"SKU","Tuotenro"
"SKU:","Tuotekoodi:"
"SSL Error: Invalid or self-signed certificate","SSL-virhe: virheellinen tai itse allekirjoitettu sertifikaatti"
"Sales","Myynti"
"Sales Report","Myyntiraportti"
"Samples","Näytteet"
"Save","Tallenna"
"Save & Generate","Tallenna & luo"
"Save Account","Tallenna tili"
"Save Block","Tallenna sisältölohko"
"Save Cache Settings","Tallenna välimuistin asetukset"
"Save Config","Tallenna asetus"
"Save Currency Rates","Tallenna valuuttakurssit"
"Save Profile","Tallenna profiili"
"Save Role","Tallenna rooli"
"Save Template","Tallenna malli"
