"* Required Fields","* 必須項目"
"Retrieve customer addresses","顧客住所を取得"
"Retrieve customer data","顧客データ取得"
"Retrieve customers","顧客取得"
"Retrieve your confirmation link here","認証リンクをここから取得"
"Retrieve your password here","パスワードを再入力してください"
"SKU","商品番号"
"Sales Statistics","売上情報"
"Save","保存"
"Save Address","住所を保存"
"Save Customer","保存"
"Save Customer Group","保存"
"Save Password","保存"
"Save and Continue Edit","保存して編集を続ける"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","セミコロン(;) を切り離しました。<br/>セミコロンは空白の最初のオプションにおいてください。<br/>開いたテキストフィールドは空のままにしてください。"
"Send From","送信元"
"Send Welcome Email after Confirmation","ウェルカムメールを確認後に送信する"
"Send confirmation link","確認リンクを送信する"
"Sending","送信中"
"Sent","送信済"
"Session Start Time","セッション開始時間"
"Set as Default Billing Address","標準の請求先住所に設定する"
"Set as Default Shipping Address","標準の配送先住所に設定する"
"Share Customer Accounts","顧客アカウントを共有"
"Shipped to First Name","送り先名"
"Shipped to Last Name","送り先姓"
"Shipped to Name","お届け先名"
"Shopping Cart","カート"
"Shopping Cart - %d item(s)","ショッピングカート - %d個の商品"
"Show Date of Birth","誕生日を表示"
"Show Gender","性別を表示する"
"Show Middle Name (initial)","ミドルネームを表示する（イニシャル）"
"Show Prefix","称号を表示"
"Show Suffix","敬称を表示"
"Show Tax/VAT Number","税/VAT番号を表示"
"Sign Up for Newsletter","ニュースレターを購読"
"State/Province","都道府県"
"Status","ステータス"
"Store","店舗"
"Store View","ストアビュー"
"Street Address","住所"
"Subject","件名"
"Submit","送信"
"Subscribe to Newsletter","ニュースレター購読"
"Subscribed to Newsletter?","メールマガジンを購読しますか？"
"Suffix Dropdown Options","サフィックスドロップダウンオプション"
"Tag Name","タグ名"
"Tax Calculation Based On","税計算基準"
"Tax Class","税区分"
"Tax/VAT number","税/付加価値税番号"
"Telephone","電話番号"
"Text","テキスト"
"Text One Line","一行テキスト"
"The VAT ID entered (%s) is not a valid VAT ID.","VAT番号 (%s) が不正です。"
"The VAT ID is valid. The current Customer Group will be used.","正しいVAT番号です。 現在のグループが使用されます。"
"The customer does not have default billing address.","この顧客は標準の請求先を登録していません。"
"The suffix that goes after name (Jr., Sr., etc.)","名前に続くサフィックスが必要 (Jr., Sr., など)"
"The title that goes before name (Mr., Mrs., etc.)","名前の前につけるタイトル (Mr., Mrs., など)"
"There are no items in customer's wishlist at the moment","現在顧客のほしい物リストに商品がありません"
"There are no items in customer's shopping cart at the moment","現在顧客のショッピングカートに商品がありません"
"This account is not confirmed.","このアカウントは認証されていません。"
"This customer has no saved addresses.","この顧客は住所を保存していません。"
"This email does not require confirmation.","このメールアドレスは確認を必要としません。"
"To Cart","カートへ"
"Total","合計"
"Type","種別"
"Unknown","不明"
"Unsubscribe from Newsletter","ニュースレターを購読解除する"
"Update","更新"
"Update customer address data","顧客アドレスデータ更新"
"Update customer data","顧客データ更新"
"Use as my default billing address","標準ご連絡先住所として使用する"
"Use as my default shipping address","標準の配送先として使用する"
"VAT Number","VAT番号"
"VAT Request Date","VATリクエスト日"
"VAT Request Identifier","VATリクエスト識別番号"
"Validate VAT Number","VAT番号検証"
"Validate on Each Transaction","各トランザクションごとに検証する"
"Validation Error Group","エラーグループ検証"
"View","表示"
"View Order","注文の詳細を表示"
"Visitor","訪問者"
"Visitors Only","訪問者のみ"
"Website","ウェブサイト"
"Welcome Email","ウェルカムメール"
"Wishlist","欲しいものリスト"
"Wishlist - %d item(s)","ほしい物リスト - %dの商品"
"Would you like to change the Customer Group for this order?","この注文の顧客グループを変更しますか？"
"Wrong confirmation key.","認証キーが違います"
"Wrong customer account specified.","不正な顧客アカウント番号が指定されました。"
"Wrong email.","間違ったメールアドレス"
"YYYY","ＹＹＹＹ"
"Year","年"
"You are currently not subscribed to any newsletter.","メールマガジンをご購読いただいておりません。"
"You are currently subscribed to 'General Subscription'.","あなたは現在'一般的な購読'を購読しています。"
"You are currently subscribed to our newsletter.","メールマガジンを購読中です。"
"You have no additional address entries in your address book.","その他の住所データがありません。"
"You have no additional entries in your address book.","その他の住所が住所録にありません。"
"You have no default billing address in your address book.","標準のご連絡先住所がアドレス帳にありません。"
"You have no default shipping address in your address book.","標準の配送先がアドレス帳にありません。"
"You have not set a default billing address.","標準のご請求先が指定されていません。"
"You have not set a default shipping address.","標準の配送先を指定してください。"
"You have placed no orders yet.","まだ注文はありません。"
"You have placed no products yet.","まだ商品はありません。"
"You will be charged tax.","税が加算されます。"
"You will not be charged tax.","税が加算されません。"
"Your Tax ID cannot be validated.","税IDは承認できません。"
"Your VAT ID was successfully validated.","VAT IDは問題なく認証されました。"
"Your account balance is: %s","お客様の残高: %s"
"ZIP","郵便番号"
"ZIP/Post Code","郵便番号"
"Zip/Postal Code","郵便番号"
"n/a","ｎ／ａ"
"or","または"
