"# of Use","# 使用中"
"%1$s incl tax.","%1$s 税込"
"%s Item(s)","%s件の商品"
"(Copy data from: %s)","(コピーしています: %s)"
"Category Link Inline Template","カテゴリリンクインラインテンプレート"
"Category Products","カテゴリの商品"
"Category Top Navigation","カテゴリTOPナビゲーション"
"Category URL Suffix","カテゴリURL拡張子"
"Category attributes API","カテゴリ属性API"
"Category move error","カテゴリ移動エラー"
"Center","中央"
"Change","変更"
"Change or Retrieve attribute store view","属性ストアビューを変更または回収"
"Change status","ステータス変更"
"Check items to add to the cart or","チェックした商品をカートに入れるか"
"Choose an Option...","オプションを選択してください..."
"Clear All","すべてクリア"
"Clear Price","クリア価格"
"Click for price","クリックして価格を表示"
"Close Window","ウインドウを閉じる"
"Collapse All","すべて折りたたむ"
"Comma-separated.","コンマ区切り"
"Comparable","比較可能"
"Comparable on Front-end","フロントエンドで比較可能な"
"Compare","比較する"
"Compare Products","商品の比較"
"Conditions Combination","条件の組み合わせ"
"Configurable Product","設定可能な商品"
"Configurable Product Settings","設定可能な商品設定"
"Configure Product","商品を構成する"
"Continue","続ける"
"Copy From Configurable","設定可能な商品からコピー"
"Country/State","都道府県"
"Create","作成"
"Create (Upload)","作成 (アップロード)"
"Create Empty","空を作成"
"Create Permanent Redirect for URLs if URL Key Changed","URLが変更されたら恒久的なリダイレクト設定を作成する"
"Create Permanent Redirect for old URL","古いURLに対する恒久的なリダイレクトを作成する"
"Create Product Settings","商品設定を作成する"
"Create Simple Associated Product","簡単な関連商品を作成"
"Create new category","カテゴリの新規作成"
"Create new product","商品の新規作成"
"Cross-sells","クロスセル"
"Custom Design","カスタムデザイン"
"Custom Options","カスタムオプション"
"Customer Group","顧客グループ"
"Customers Reviews","顧客のレビュー"
"Customers Tagged Product","顧客がタグ付けている商品"
"Data Type for Saving in Database","データベースに保存するデータタイプ"
"Date & Time Custom Options","日付と時間のオプション"
"Date Fields Order","日付入力欄の形式"
"Date Subscribed","日付を予約しました"
"Datetime","日時"
"Decimal","10進数"
"Declare attribute value saving scope","属性値の保存スコープを定義"
"Default ""What's This"" Text Message","標準の ""これは何ですか"" メッセージ"
"Default Popup Text Message","標準のポップアップメッセージ"
"Default Price","標準の価格"
"Default Price Navigation Step","標準の価格ナビゲーション区切り"
"Default Qty","標準個数"
"Default Values","標準の値"
"Delete","削除"
"Delete Attribute","属性を削除"
"Delete Attribute Set","属性の削除"
"Delete Category","カテゴリの削除"
"Delete Option","オプションの削除"
"Delete Row","行の削除"
"Delete Search","検索の削除"
"Delete Selected Group","選択したグループの削除"
"Delete Tier","削除"
"Delete category","カテゴリの削除"
"Delete product","商品の削除"
"Description","概要"
"Design","デザイン"
"Details","詳細"
"Disabled","無効"
"Disallowed file type.","許可しないファイルタイプ"
"Display Actual Price","実際の価格を表示"
"Display Page Control","ページコントロールを表示"
"Display Price Interval as One Price","価格範囲を1つの価格で表示する"
"Display Product Count","商品点数を表示"
"Display Type","表示方法"
"Display in Suggested Terms","おすすめのキーワードを表示"
"Double click on a group to rename it","ダブルクリックしてグループをリネームします"
"Double click on above image to view full picture","ダブルクリックすると大きな画像を表示します。"
"Downloadable Information","ダウンロード情報"
"Duplicate","複製"
"Duplicate amount found.","重複した金額が見つかりました。"
"Duplicate website tier price customer group and quantity.","ウェブサイトの価格階層設定を顧客グループと数量で複製する"
"Edit","編集"
"Edit Attribute Set '%s'","属性セット '%s'を編集"
"Edit Product Attribute","商品属性の編集"
"Edit Product Attribute ""%s""","商品属性 ""%s""を編集"
"Edit Search","検索の編集"
"Edit Search '%s'","検索 '%s'編集"
"Email","Eメール"
"Email to a Friend","友達にメールを送る"
"Empty","空"
"Enable MAP","MAPを有効にする"
"Enable Qty Increments","個数の増分を許可する"
"Enabled","有効"
"Error during retrieval of option value: %s","オプションの値を取得中にエラーが発生しました: %s"
"Exclude","除外"
"Expand All","すべて展開する"
"Failed","失敗"
"Failed to move file: %s","ファイルの移動に失敗しました。: %s"
"Feature Products","商品の特徴"
"Filter","フィルタ"
"Filterable (no results)","フィルタ可能 (結果なし)"
"Filterable (with results)","フィルタ可能 (結果あり)"
"First Name","名"
"Fixed","固定"
"For the last time placed.","最終検索結果件数"
"Frontend","フロントエンド"
"Frontend Model","フロントエンドモデル"
"Frontend Properties","フロントエンドプロパティ"
"Gallery","ギャラリー"
"General Information","全般情報"
"Get special price","特別価格を得る"
"Global","グローバル"
"Globally Editable","全体で編集可能"
"Go to Home Page","ホームページへ"
"Grid","表"
"Grouped Product","グループ化商品"
"Groups","グループ"
"Home","ホーム"
"Image","画像"
"Image content is not valid base64 data.","画像コンテンツは妥当なBase64データではありません。"
"Image type and information need to be specified for each store view.","画像タイプと情報はそれぞれのストアビューで特定となる必要があります。"
"In Cart","カートの中"
"In Stock","在庫あり"
"In stock","在庫あり"
"Incl. Tax","税込"
"Index product prices","商品価格インデックス"
"Indexed category/products association","カテゴリ/商品の関連インデックス"
"Input Type","入力形式"
"Integer","整数"
"Interval Division Limit","ステップ分割制限数"
"Invalid Tier Prices","不正な価格階層"
"Invalid image type.","不正な画像形式です"
"Invalid store specified","不正なストア特定"
"Inventory","在庫"
"Is Default","標準"
"Is Required","必須"
"Items %s to %s of %s total","商品 %s から %s の %s 合計"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","カタログ、検索結果に表示したくない商品は希望のストアでステータスを""無効""にしてください。"
"Label","ラベル"
"Last Name","姓"
"Last Notification","最終通知"
"Layered Navigation","絞込検索"
"Learn More","もっと詳しく"
"Line %d, Email: %s","ライン %d, Email: %s"
"Line %d, SKU: %s","ライン %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","関連商品 (おすすめ, アップセル, クロスセル)"
"Link to a Specified Category","特定のカテゴリにひもづける"
"Link to a Specified Product","指定商品にリンク"
"List","リスト"
"List Mode","リストモード"
"List of Products that are set as New","新着商品リスト"
"Manage Attribute Sets","属性セット管理"
"Manage Attributes","属性管理"
"Manage Catalog Categories","カタログカテゴリ管理"
"Manage Categories","カテゴリ管理"
"Manage Label / Options","ラベルとオプションの管理"
"Manage Options (values of your attribute)","オプション管理 (属性の値)"
"Manage Product Attributes","商品属性管理"
"Manage Product Sets","商品セット管理"
"Manage Products","商品管理"
"Manage Stock","在庫管理"
"Manage Titles (Size, Color, etc.)","タイトル管理(サイズ;色, etc.)"
"Max Characters","最大文字数"
"Maximal Depth","最小深度"
"Maximum Image Size","最大画像サイズ"
"Maximum Number of Price Intervals","価格ステップの最大数"
"Maximum Qty Allowed in Shopping Cart","カートの中で許可する最大個数"
"Maximum image height","画像の最大高さ"
"Maximum image width","画像の最大幅"
"Maximum number of characters:","最大文字数:"
"Maximum number of price intervals is 100","価格ステップの最大数は100です"
"Media Image","メディアイメージ"
"Minimum Advertised Price","希望小売価格"
"Minimum Qty Allowed in Shopping Cart","カートの中で許可する最小個数"
"Minimum Qty for Item's Status to be Out of Stock","ステータスを在庫切れにする最小の個数"
"More Views","もっと見る"
"Move","移動"
"Move category in tree","カテゴリをツリー内で移動する"
"Must be in the allowed values list.","は、許可された値リスト内にある必要があります。"
"My Account","マイアカウント"
"N/A","該当無し"
"Name","名前"
"New Product","新規商品"
"New Product Attribute","新規商品属性"
"New Products","新しい商品"
"New Products Grid Template","新着商品グリッドテンプレート"
"New Products List Template","新着商品リストテンプレート"
"New Search","新規検索条件"
"New Set Name","新規セット名"
"New products","新商品"
"Next","次"
"No","いいえ"
"No image","画像なし"
"No layout updates","更新するレイアウトがありません"
"No options of this product are available.","利用可能なオプションがありません。"
"None","なし"
"Not Visible Individually","非表示"
"Notify Low Stock RSS","在庫僅か通知RSS"
"Notify for Quantity Below","これ以下の数量になれば通知"
"Number of Products per Page","1ページあたりの商品表示件数"
"Number of Products to Display","商品表示点数"
"Number of Uses","利用回数"
"Number of results","結果"
"Number of results (For the last time placed)","結果 (最新の結果)"
"OR","または"
"Old Price:","旧価格:"
"On Gesture","操作で"
"Option:","オプション:"
"Options","オプション"
"Options Control","オプション管理"
"Options is required","必須のオプション"
"Out of Stock","在庫切れ"
"Out of stock","在庫切れ"
"Page Title Separator","ページタイトル区切文字"
"Parent Category","親カテゴリ"
"Pending","処理待ち"
"Pending Reviews RSS","承認待ちレビューRSS"
"Percentage","割合"
"Please add rows to option.","オプションに行を追加してください。"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","列上でクリックしないように気をつけてください。選択されたパッケージデータフォームはロードされ、保存されていないフォームデータは失われてしまいます。"
"Please enter a new group name","新しいグループの名前を入力してください"
"Please select one or more attributes.","ひとつ以上の属性を選択してください"
"Please select products for attributes update","更新対象の商品属性を選択してください"
"Please specify date required option(s).","日付の必須オプションを指定してください。"
"Please specify the number of products, that will not be divided into subintervals.","下階層の価格帯の中で価格帯を区切らないための商品数を指定してください。"
"Please specify the product required option(s)","商品の必須オプションを指定してください"
"Please specify the quantity of product(s).","商品の個数を指定してください。"
"Please specify time required option(s).","時間の必須項目を指定してください。"
"Please wait...","しばらくお待ちください。。"
"Position","おすすめ"
"Position in Layered Navigation","絞込検索内の位置"
"Position of attribute in layered navigation block","レイアウトナビゲーションブロックの位置属性"
"Prev","前へ"
"Previous","前"
"Price","価格"
"Price Navigation Step Calculation","価格ナビゲーション計算区切り"
"Price Type","価格タイプ"
"Price values for options should be specified in system base currency.","価格オプションはシステム基準通貨で指定する必要があります。"
"Price:","価格:"
"Print This Page","ページを印刷する"
"Product","商品"
"Product API","商品API"
"Product Alerts","商品通知"
"Product Attribute","商品属性"
"Product Attributes","商品属性"
"Product Categories","商品カテゴリ"
"Product Description","商品の詳細"
"Product Flat Data","商品フラットデータ"
"Product ID","商品ID"
"Product Image Placeholders","商品画像プレースホルダ"
"Product Image Watermarks","商品画像ウォーターマーク"
"Product Images","商品画像"
"Product Images API","商品画像API"
"Product In Websites","ウェブサイト内の商品"
"Product Info Column","商品情報行"
"Product Information","商品情報"
"Product Link Block Template","商品リンクブロックテンプレート"
"Product Link Inline Template","商品インラインリンクテンプレート"
"Product Listing Sort by","商品リスト表示の表示順"
"Product Name","商品名"
"Product Reviews","商品レビュー"
"Product Tags","商品タグ"
"Product Tier Price API","商品価格階層API"
"Product Type","商品種別"
"Product URL Suffix","商品URL拡張子"
"Product attribute sets API","商品属性セットAPI"
"Product attributes API","商品属性API"
"Product is not loaded","商品が読み込まれていません。"
"Product links API (related, cross sells, up sells)","商品関連API (おすすめ,クロスセル,アップセル)"
"Product types API","商品タイプAPI"
"Product with this combination of attributes already associated to configurable.","この属性の組み合わせの商品はすでに作成されています"
"Products","商品"
"Products Comparison List","比較リスト"
"Products Information","商品情報"
"Products Reviews","商品レビュー"
"Products Sitemap","商品サイトマップ"
"Products only","商品のみ"
"Products per Page on Grid Allowed Values","商品グリッド表示で使用できる候補"
"Products per Page on Grid Default Value","商品グリッド表示のデフォルト値"
"Products per Page on List Allowed Values","商品リスト表示の表示件数候補"
"Products per Page on List Default Value","商品リスト表示でのデフォルト値"
"Properties","プロパティ"
"Qty","個数"
"Qty Increments","個数の増分"
"Qty Uses Decimals","個数に小数表記を使う"
"Qty:","個数:"
"Quantity","個数"
"Quick Create","クイック作成"
"Quick Overview","商品の概要"
"Quick simple product creation","クイックシンプル商品作成"
"Redirect","リダイレクト"
"Redirect URL","リダイレクトURL"
"Regular Price:","通常価格:"
"Related Products","関連商品"
"Remove","削除"
"Remove Product From Websites","ウェブサイトから商品を削除"
"Remove This Item","この商品を削除する"
"Remove product assignment","削除商品の割り当て"
"Remove product image","商品画像の削除"
"Remove product link","商品関連の削除"
"Reorganize EAV category structure to flat structure","EAVカテゴリストラクチャをフラットストラクチャに変換したインデックス"
"Reorganize EAV product structure to flat structure","EAV商品ストラクチャをフラットストラクチャに変換したインデックス"
"Reset","リセット"
"Results","結果"
"Retrieve attribute list","属性リストの復元"
"Retrieve attribute options","属性オプションの復元"
"Retrieve categories tree","カテゴリーツリーを回復"
"Retrieve category attributes","カテゴリ属性の復元"
"Retrieve category data","カテゴリデータの復元"
"Retrieve hierarchical tree","階層ツリーの復元"
"Retrieve linked products","関連商品の復元"
"Retrieve list of assigned products","割り当て済み商品リストの復元"
"Retrieve one level of categories by website/store view/parent category","ウェブサイト/店舗 ビュー/親カテゴリの1階層カテゴリの復元"
"Retrieve product","商品の復元"
"Retrieve product attribute sets","商品属性セットの復元"
"Retrieve product image","商品画像の復元"
"Retrieve product image list","商品画像リストの復元"
"Retrieve product image types","商品画像タイプの復元"
"Retrieve product link type attributes","商品関連属性の復元"
"Retrieve product link types","商品関連タイプの復元"
"Retrieve product tier prices","商品価格階層の復元"
"Retrieve product types","商品タイプの復元"
"Retrieve products data","製品データを回復"
"Retrieve products list by filters","フィルタによる商品リス他の復元"
"Reviews","レビュー"
"Roll Over for preview","プレビューのロールオーバー"
"Root","ルート"
"SKU","商品番号"
"Save","保存"
"Save Attribute","属性保存"
"Save Attribute Set","保存"
"Save Category","保存"
"Save Search","検索の保存"
"Save and Continue Edit","保存して編集を続ける"
"Scope","スコープ"
"Scope must not be changed, because the attribute is used in configurable products.","設定可能な商品で属性が使用されているため、スコープは変更できません"
"Search","検索"
"Search Engine Optimizations","検索エンジン最適化"
"Search Information","検索情報"
"Search Query","検索クエリ"
"Search Weight","検索ウエイト"
"Searchable","検索可能"
"See price before order confirmation.","注文確定前に価格を表示する。"
"Select Category...","カテゴリ選択..."
"Select Configurable Attributes ","設定可能な属性を選択"
"Select Product...","商品選択..."
"Select type of option","オプションタイプの選択"
"Select type options required values rows.","価格の列を要求されたタイプオプションを選択"
"Selected Product Types","選択された商品タイプ"
"Send Count","カウント送信"
"Set Ascending Direction","昇順"
"Set Descending Direction","降順"
"Set Name","セット名"
"Set root category for this store in the <a href=""%s"">configuration</a>","このストアのルートカテゴリを<a href=""%s"">設定</a>"
"Set special price","特別価格の設定"
"Set/Get current store view","現在の店舗を設定/取得"
"Settings","設定"
"Shop By","閲覧中"
"Shopping Options","絞り込み条件"
"Show","表示"
"Show Details","詳細を表示"
"Show Tags","タグを見る"
"Simple Product","シンプル商品"
"Site Map","サイトマップ"
"Sitemap","サイトマップ"
"Skip import row, is not valid value ""%s"" for field ""%s""","インポート業をスキップ、""%s""はフィールド""%s""で正しい値ではありません"
"Some of the selected item options are not currently available.","選択いただいたオプションのうちいくつかは現在ご利用いただけません。"
"Sort By","並び順"
"Sort Order","表示順"
"Source Model","ソースモデル"
"Special Price:","特別価格:"
"Starting at:","開始日:"
"Static","固定"
"Static block and products","静的ブロックと商品"
"Static block only","静的ブロックのみ"
"Status","ステータス"
"Stock Availability","在庫の有無"
"Store","店舗"
"Store View","ストアビュー"
"Stretch","拡大"
"Subscribe to RSS Feed","RSSフィードを購読する"
"Super product attributes configuration","親商品の属性を設定"
"Synonym For","別名"
"System Properties","システムプロパティ"
"Tag Name","タグ名"
"Tax","税"
"Template","テンプレート"
"Text","テキスト"
"The base directory to upload file is not specified.","ファイルをアップロードするディレクトリが未指定です。"
"The review was removed by another user or does not exist.","レビューがほかのユーザーによって削除されたか、または存在していません。"
"There are no %s available.","%sは利用できません。"
"There are no customers for this alert","このアラートに顧客は登録されていません。"
"There are no customers for this alert.","このアラートに顧客は登録されていません。"
"There are no products matching the selection.","条件にマッチする商品はありません。"
"This attribute cannot be edited.","この属性は変更できません。"
"This attribute is used in configurable products.","この属性はコンフィグ商品で使用されています。"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","この属性はコンフィグ商品で使用されているため、属性セットから削除できません。"
"This attribute no longer exists","この属性は存在していません。"
"This attribute set no longer exists.","この属性セットが存在していません。"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","このグループは設定できる商品の中で使われた属性を含んでいます。これらの属性を他のグループに移し、もう一度試してください。"
"This group contains system attributes. Please move system attributes to another group and try again.","グループはシステム属性を含んでいます。システム属性を他のグループに移した後にやり直してください。"
"This search no longer exists.","この検索キーワードは存在していません。"
"This setting will be applied when all prices in the specific price interval are equal.","この設定はすべての商品が特定の価格帯にある場合に適用されます。"
"Tier Pricing","段階的価格"
"Tile","タイル"
"Time Format","時間のフォーマット"
"Title","タイトル"
"To see product price, add this item to your cart. You can always remove it later.","商品の価格を確認するためにカートに入れてください。カートから削除することはいつでも可能です。"
"Top/Left","上/左"
"Top/Right","上/右"
"Total Qty Base Items","トータルクオリティベースアイテム"
"Type","種別"
"URL Rewrite Management","URL書換管理"
"Unassigned Attributes","未割り当ての属性"
"Up-sells","アップセル商品"
"Update","更新"
"Update Attributes","属性を更新"
"Update Tier Price","列価格をアップでート"
"Update assigned product","割り当てた商品を更新"
"Update attributes","属性アップデート"
"Update category","カテゴリを更新"
"Update product","商品を更新"
"Update product image","商品画像を更新"
"Update product link","商品関連を更新"
"Update product tier prices","商品価格階層を更新"
"Upload new product image ","新しい商品画像をアップロード"
"Use Canonical Link Meta Tag For Categories","カテゴリにCanonicalタグを使用する"
"Use Canonical Link Meta Tag For Products","商品に正確なCanonicalタグを使用する"
"Use Categories Path for Product URLs","商品URLにカテゴリパスを使用する"
"Use Config Settings","設定を使用"
"Use Default Value","標準の値を使用"
"Use Flat Catalog Category","フラットカタログカテゴリを使用する"
"Use Flat Catalog Product","フラットカタログ商品を使用する"
"Use In Layered Navigation","階層ナビゲーションで使用する。"
"Use In Search Results Layered Navigation","Search Results Layered Navigationを使用"
"Use JavaScript Calendar","JavaScriptカレンダーを使用する"
"Use To Create Configurable Product","設定可能商品を使って作成する"
"Use config","設定を使用する"
"Use default","標準を使用"
"Use for Promo Rule Conditions","プロモーションルールの条件で使用する"
"Use in Layered Navigation","絞込検索で使用する"
"Used for Sorting in Product Listing","商品リスト表示の並べ替え順で使用する"
"Used in Product Listing","商品リスト表示で使用する"
"Varchar","varchar"
"View Details","詳細を表示"
"View as","表示方法"
"Virtual Product","仮想商品"
"Visibility","表示"
"Visible","表示"
"Visible on Catalog Pages on Front-end","カタログページをフロントエンドに表示する"
"WYSIWYG Editor","WYSIWYGエディタ"
"Watermark","透かし"
"Watermark Default Size","透かしディフォルトサイズ"
"Watermark Position","透かし位置"
"We Also Recommend","私たちもお勧めします。"
"Website","ウェブサイト"
"Websites","ウェブサイト"
"What's this?","これは何ですか？"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","「1ページあたりのXを表示」ドロップダウンに「すべて」オプションを表示するかどうか。"
"Year Range","年範囲"
"Yes","はい"
"You cannot remove system attribute from this set.","個のセットからシステム属性を削除できません。"
"You have no items to compare.","比較する商品はありません"
"You may also be interested in the following product(s)","以下の商品にご興味はありませんか？"
"You saved the search term.","検索タームを保存しました"
"Zoom In","ズームイン"
"Zoom Out","ズームアウト"
"and","と"
"and above","またはそれ以上"
"categories","カテゴリ"
"each","それぞれ"
"ex. http://domain.com","例: http://domain.com"
"per page","件"
"products","商品"
"px.","ピクセル"
"save","お値引き"
"select all","全て選択"
"unselect all","全て未選択にする"
