"(Excl. Tax)","(税別)"
"Email Address","メールアドレス"
"Enable Onepage Checkout","ワンページチェックアウトを有効にする"
"Enable Terms and Conditions","契約条件を有効にする"
"Enabled","有効"
"Enter a New Address","新しい住所を入力"
"Enter your coupon code if you have one.","クーポンコードがあれば入力してください。"
"Enter your destination to get a shipping estimate.","配送料の見積もりを表示するにはお届け先を入力してください。"
"Estimate Shipping and Tax","送料と税金の計算"
"Excl. Tax","税抜"
"Fast and easy check out","早く，簡単に支払い手続きができます．"
"Fax","FAX"
"Forgot an Item?","上記の注文でよろしいですか？"
"Forgot your password?","パスワードをお忘れですか？"
"Get a Quote","見積もる"
"Gift Message","ギフトメッセージ"
"Grand Total:","合計："
"Grouped Product Image","グループ商品の画像"
"Incl. Tax","税込"
"Invalid email address ""%s""","有効なメールアドレスではありません ""%s"""
"Invalid shipping method.","不正な配送方法です。"
"Items","アイテム"
"Load customer quote error","顧客の見積もり読み込みエラー"
"Loading next step...","次のステップを読み込んでいます..."
"Login","ログイン"
"Terms and Conditions","契約条件"
"Maximum qty allowed for Shipping to multiple addresses is %s","複数の住所へ配送する場合の最大の数量は%sです"
"Move","移動"
"Move to Wishlist","欲しいものリストに移動"
"My Cart","マイカート"
"My Cart (%s item)","マイカート(%s個)"
"My Cart (%s items)","マイカート (%s 個)"
"My Cart Link","マイカートリンク"
"New Address","新しい住所"
"New Condition","新しい条件"
"New Terms and Conditions","新規条件"
"No Payment Methods","支払方法なし"
"One Page Checkout","チェックアウトページ"
"Order #","注文 #"
"Order Review","ご注文の確認"
"Order Success","注文成功"
"Password","パスワード"
"Payment Failed Email Reciever","支払失敗時のメール受取先"
"Payment Failed Email Sender","支払失敗時のメール送信元"
"Payment Failed Emails","支払失敗時のメール"
"Payment Failed Template","支払失敗時のテンプレート"
"Payment Information","お支払情報"
"Payment Method","お支払方法"
"Payment method is not defined","支払い方法が定義されていません"
"Place Order","注文を確定する"
"Please agree to all Terms and Conditions before placing the order.","ご注文前にご一読ください。"
"Please agree to all Terms and Conditions before placing the orders.","ご注文前にご一読ください。"
"Please agree to all the terms and conditions before placing the order.","ご注文前にすべての契約条件にご同意ください。"
"Please choose to register or to checkout as a guest","登録せずに購入または新規登録して購入を選択してください"
"Please log in below:","こちらからログインしてください:"
"Please select region, state or province","都道府県を選択してください"
"Please select shipping address for applicable items","お届け先を選択してください。"
"Please select shipping methods for all addresses","すべての住所への配送方法を選択してください"
"Please specify payment method.","支払方法を選択してください。"
"Please specify shipping method.","配送方法を選択してください。"
"Price","価格"
"Proceed to Checkout","レジに進む"
"Product","商品"
"Product Name","商品名"
"Products","商品"
"Qty","個数"
"Qty:","個数:"
"Quantity","個数"
"Quote Lifetime (days)","見積もりの有効期間(日)"
"Recently added item(s)","最近カートに入れた商品"
"Register","新規登録"
"Register and save time!","登録すると手続きが簡単に!"
"Register to Create an Account","アカウントを作成するために登録"
"Register with us for future convenience:","登録のメリット"
"Remove Item","商品を削除"
"Remove This Item","この商品を削除する"
"Remove item","商品を削除"
"Review Order","注文の確認"
"Review Order - %s","注文のレビュー - %s"
"SKU","商品番号"
"Sales","セールス"
"Save Condition","条件を保存"
"Save in address book","アドレス帳に保存"
"See price before order confirmation.","注文確定前に価格を表示する。"
"Select Address","住所選択"
"Select Addresses","住所選択"
"Select Shipping Method","配送方法を選択"
"Select State/Province...","州 / 県を選択してください。。"
"Select a billing address from your address book or enter a new address.","アドレスブックから請求先の住所を選択するか、新しい住所を入力してください。"
"Select a shipping address from your address book or enter a new address.","アドレス帳から住所を選択するか、新しい住所を選択してください。"
"Send Payment Failed Email Copy Method","支払失敗コピーメール送信方法"
"Send Payment Failed Email Copy To","支払失敗コピーメール送信先"
"Send To","配送先"
"Separate by "","".",""",""で区切られた"
"Ship to Multiple Addresses","複数の住所へ送る"
"Ship to different address","別の住所へ送る"
"Ship to this address","この住所へ送る"
"Shipping Address","お届け先住所"
"Shipping Information","配送情報"
"Shipping Method","お届け方法"
"Shipping Methods","配送方法"
"Shipping To","配送先"
"Shipping method has not been selected yet","配送方法が選択されていません"
"Shopping Cart","カート"
"Shopping Cart Sidebar","サイドバーショッピングカート"
"Shopping Cart is Empty","カートの中には何もありません。"
"Show Content as","内容の提示"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","申し訳ありませんが、未ログインユーザによる清算は出来ません。もう一度ためすか、店のオーナーに連絡してください。"
"Sorry, no quotes are available for this order at this time.","申し訳ありません、現在この注文でお見積もりはご利用できません。"
"State/Province","都道府県"
"Status","ステータス"
"Store View","ストアビュー"
"Street Address","住所"
"Submitting order information...","注文情報を送信しています。。。"
"Subtotal","小計"
"Telephone","電話番号"
"Terms and Conditions Information","契約条件情報"
"Terms and conditions","契約条件"
"Text","テキスト"
"Thank you for your purchase!","ご購入ありがとうございました！"
"The product does not exist.","商品が見つかりません。"
"There was an error processing your order. Please contact us or try again later.","ご注文の処理中にエラーが発生しました。やり直してください。"
"This condition no longer exists.","この条件は存在しません。"
"Total","合計"
"Total for this address","このアドレスへの合計"
"Unit Price","ユニット価格"
"Update","更新"
"Update Cart","カートを更新"
"Update Qty &amp; Addresses","数量&amp"
"Update Shopping Cart","ショッピングカートを更新"
"Update Total","合計更新"
"Use Billing Address","請求先の住所を使う"
"VAT Number","VAT番号"
"View Shopping Cart","ショッピングカートを表示"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","ご注文を処理しています、注文の詳細をメールでお送りします。また、ご注文が発送されると発送状況を確認できるURLを付けてもメールをお送ります。"
"What's this?","これは何ですか？"
"You have no items in your shopping cart.","カートの中には何もありません。"
"You will receive an order confirmation email with details of your order and a link to track its progress.","注文の確認メールをお送りしました。メールには注文状況を確認するURLがあります。"
"Your Checkout Progress","チェックアウト状況"
"Your order number is ","ご注文番号は"
"Zip/Postal Code","郵便番号"
"or","または"
