" [deleted]"," [削除済]"
"First Invoice Created Date","初回請求書作成日"
"First Name","名"
"First Name:","名:"
"Fixed","固定"
"Flush Catalog Images Cache","カタログ画像キャッシュ更新"
"Flush JavaScript/CSS Cache","JavaScript/CSSキャッシュ更新"
"For latest version visit: %s","最新のバージョンへ: %s"
"For product","製品用"
"Forgot your password?","パスワードをお忘れですか？"
"Forgot your user name or password?","ユーザー名またはパスワードをお忘れですか？"
"From","開始"
"General Information","全般情報"
"Get Image Base64","画像のBase64エンコードを取得する"
"Get help for this page","このページのヘルプを見る"
"Global Attribute","全般属性"
"Global Record Search","全体検索"
"Global Search","グローバル検索"
"Go Today","今日へ"
"Go to Top","トップへ"
"Google Base","Googleベース"
"Grand Total","総合計"
"Grid (default) / List","グリッド（デフォルト） /リスト"
"Grid Only","グリッドのみ"
"Group:","グループ:"
"Guest","ゲスト様"
"HTTP (unsecure)","HTTP (非セキュア)"
"Home","ホーム"
"ID Path","IDパス"
"IP Address","IPアドレス"
"IPN (Instant Payment Notification) Only","IPN (Instant Payment Notification) のみ"
"Images (.gif, .jpg, .png)","画像（.gif, .jpg, .png）"
"Images Cache","画像のキャッシュ"
"Import","インポート"
"Import Service","サービスのインポート"
"Import and Export Tax Rates","税率のインポートとエクスポート"
"Import/Export","インポート/エクスポート"
"Import/Export Advanced","インポート/エクスポート上級"
"Import/Export Profile","インポート/エクスポートのプロファイル"
"Important: ","重要:"
"Imported <strong>%s</strong> records","<strong>%s</strong>件のレコードを取り込みました"
"In Database:","データベース:"
"In File:","ファイル:"
"Inactive","未アクティブ"
"Incl. Tax","税込"
"Incoming Message","受信メッセージ"
"Insert Variable...","変数の挿入..."
"Interactive","インタラクティブ"
"Interface Locale: %s","インターフェイスの言語: %s"
"Invalid Form Key. Please refresh the page.","不正なフォームキーです。ページを再読み込みしてください。"
"Invalid Import Service Specified","不正なインポート処理があります"
"Invalid data","不正なデータ"
"Invalid directory: %s","不正なディレクトリ: %s"
"Invalid file: %s","不正なファイル: %s"
"Invalid input data for %s => %s rate","不正な%sから%sへの変換レートデータです"
"Invalid parent block for this block","不正な親ブロックです"
"Invalid response","無効な応答"
"Invalidated","期限切れ"
"Inventory Stock Status","在庫の状態"
"Invoice #%s comment added","領収書 #%s にコメントを追加しました"
"Invoice #%s created","領収書 #%s を作成しました"
"Invoice History","請求書履歴"
"Invoice Totals","請求書合計"
"Invoices","請求書"
"Is Closed","クローズ済"
"Is Default","標準"
"Issue Number","取引番号"
"Items","アイテム"
"JavaScript seems to be disabled in your browser.","JavaScriptがお使いのブラウザで無効になっているようです。"""
"JavaScript/CSS Cache","JavaScript/CSSキャッシュ"
"Last 24 Hours","直近24時間"
"Last 5 Orders","最近の5件"
"Last 5 Search Terms","直近5件の検索キーワード"
"Last 7 Days","直近7日"
"Last Credit Memo Created Date","直近のクレジットメモ作成日"
"Last Invoice Created Date","直近の請求書作成日"
"Last Logged In (%s):","前回ログイン(%s):"
"Last Logged In:","最終ログイン日:"
"Last Name","姓"
"Last Name:","姓:"
"Latest Message:","最新メッセージ:"
"Layered Navigation Indices","階層ナビゲーションインデックス"
"Leave empty to use tax identifier","税鑑定のため未記入にしておく"
"Lifetime Sales","セール期間"
"Links","リンク"
"List (default) / Grid","リスト（デフォルト） /グリッド"
"List Only","リストのみ"
"Load Template","テンプレートを読み込む"
"Load default template","標準のテンプレートを読み込む"
"Loading...","読み込み中"
"Local Server","ローカルサーバ"
"Local/Remote Server","ローカル/リモートサーバー"
"Locale","ロケール"
"Log In","ログイン"
"Log Out","ログアウト"
"Log in to Admin Panel","管理画面にログイン"
"Logged in as %s","%sとしてログイン中"
"Login","ログイン"
"Low Stock","在庫薄"
"MAJOR","メジャー"
"MINOR","マイナー"
"OpenMage Admin","OpenMage管理者"
"Magento Logo","OpenMageロゴ"
"Magento root directory","OpenMageルートディレクトリ"
"Manage Attribute Sets","属性セット管理"
"Manage Attributes","属性管理"
"Manage Categories","カテゴリ管理"
"Manage Currency Rates","為替レート管理"
"Manage Customers","顧客管理"
"Manage Ratings","評価管理"
"Manage Stores","ストア管理"
"Manage Tax Rules","課税方法管理"
"Manage Titles (Size, Color, etc.)","タイトル管理(サイズ;色, etc.)"
"Manual","手動"
"Maximum sender name length is 255. Please correct your settings.","送信者名の長さは最大255文字です。設定を見なおしてください。"
"Media (.avi, .flv, .swf)","メディアファイル(.avi, .flv, .swf)"
"Messages Inbox","受信箱"
"Month","月"
"Most Viewed","最も閲覧された"
"Most Viewed Products","最も閲覧された商品"
"Multiple Select","複数選択"
"My Account","マイアカウント"
"N/A","該当無し"
"NOTICE","お知らせ"
"Name","名前"
"Name on Card","カード名義"
"Name on the Card: %s","カードの名義: %s"
"Name:","名前:"
"Never (production)","停止 (稼働中)"
"New ","新規 "
"New Accounts","新しいアカウント"
"New Attribute","新規属性"
"New Block","新規ブロック"
"New Category","新規カテゴリ"
"New Class","新しい区分"
"New Condition","新しい条件"
"New Custom Variable","新しいカスタム変数"
"New Customer","新規顧客"
"New Customers","まだご登録いただいていないお客様"
"New Design Change","新しいデザイン変更"
"New Email Template","新規メールテンプレート"
"New Group","新規グループ"
"New Invoice","新しい請求書"
"New Item Type","ニューアイテムタイプ"
"New Memo","新規メモ"
"New Page","新しいページ"
"New Password","新パスワード"
"New Poll","新しい投票"
"New Profile","新規プロファイル"
"New Rating","新しい評価"
"New Review","新しいレビュー"
"New Role","新しい権限"
"New Rule","新しいルール"
"New Search","新規検索条件"
"New Set","新しいセット"
"New Shipment","新しい配送"
"New Sitemap","新しいサイトマップ"
"New Store View","新しいストアビュー"
"New System Template","新規システムテンプレート"
"New Tag","新規タグ"
"New Template","新規テンプレート"
"New User","新規ユーザー"
"New Website","新規ウェブサイト"
"Newsletter","ニュースレター"
"Newsletter Queue","ニュースレターキュー"
"Newsletter Subscribers","ニュースレター購読者"
"Newsletter Templates","ニュースレターテンプレート"
"Next month (hold for menu)","次月 (hold for menu)"
"Next year (hold for menu)","次年 (hold for menu)"
"No","いいえ"
"No (price without tax)","No（税抜価格）"
"No Data","データなし"
"No Data Found","データが見つかりませんでした"
"No Templates Found","テンプレートが見つかりませんでした"
"No change","変更なし"
"No profile loaded...","プロファイルが読み込まれていません"
"No records found for this period.","この期間のレコードが見つかりませんでした。"
"No records found.","レコードが見つかりませんでした"
"No search keywords.","検索キーワードがありません。"
"No search modules were registered","検索モジュールが登録されていません。"
"None","なし"
"Note:","メモ:"
"Notes","ノート"
"Notifications","お知らせ"
"Number of Orders","注文点数"
"Number of Uses","利用回数"
"Number of Views","見られた回数"
"Number of records:","レコード数:"
"Old rate:","旧レート:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","PayPal Advanced アカウントにログインすると, サービス設定に移動 - 所持するチェックアウトページ - メニューの設定と下で説明されたオプションの設定"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","PayPal Payflowリンクアカウントにログインすると, サービス設定に移動 - 所持するチェックアウトページ - メニューの設定と下で説明されたオプションの設定"
"Online Customers","接続中の顧客"
"Only Once (version upgrade)","一度だけ (バージョンアップ)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","適用範囲「グローバル」と入力方式「ドロップダウン」と構成可能商品「Yes」のみが属性として利用可能です。"
"Only mapped fields","関連付け済フィールドのみ"
"Optional","オプション"
"Options","オプション"
"Options is required","必須のオプション"
"Order","注文"
"Order #%s","受注番号%s"
"Order #%s (%s)","受注番号%s (%s)"
"Order ID","注文 ID"
"Order Totals","注文合計"
"Orders","注文"
"Original Magento attribute names in first row:","オリジナルのOpenMage属性名を先頭行に表示する:"
"Out of stock","在庫切れ"
"Pages","ページ"
"Parent Product Thumbnail","親商品のサムネイル"
"Parent Transaction ID","親トランザクションID"
"Passive mode","パッシブモード"
"Password","パスワード"
"Password Confirmation","確認用パスワード"
"Password:","パスワード:"
"Path:","パス:"
"Pending Reviews","承認待ちのレビュー"
"Pending Tags","審査中のタグ"
"Per Item","商品ごと"
"Per Order","注文ごと"
"Percent","パーセント"
"Performed At","実行"
"Period","期間"
"Permanent (301)","永久(301)"
"Permissions","権限"
"Personal Information","個人情報"
"Phone:","電話番号:"
"Please Select","選択してください"
"Please confirm site switching. All data that hasn't been saved will be lost.","サイトの切替を確認してください。保存されていないデータは失われます。"
"Please enter 6 or more characters.","6文字以上入力してください"
"Please enter a number greater than 0 in this field.","0以上の数を入力してください。"
"Please enter a valid $ amount. For example $100.00.","正しい金額表示で入力してください。(例) $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","正しいURLを入力してください。（例：http://www.example.com または www.example.com）"
"Please enter a valid URL. http:// is required","正しいURLを入力してください。「http://」が必要です。"
"Please enter a valid credit card number.","正しいクレジットカード番号を入力してください。"
"Please enter a valid date.","正しい日付を入力してください。"
"Please enter a valid email address. For example johndoe@domain.com.","正しいメールアドレスを入力してください。（例：johndoe@domain.com）"
"Please enter a valid email.","正しいメールアドレスを入力してください。"
"Please enter a valid number in this field.","正しい数字で入力してください。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","正しい電話番号の形式で入力してください。（例：(123) 456-7890 or 123-456-7890）"
"Please enter a valid social security number. For example 123-45-6789.","正しい社会保障番号を入力してください。（例：123-45-6789）"
"Please enter a valid value from list","一覧から正しい値を入力してください"
"Please enter a valid value, ex: 10,20,30","正しい値を入力してください。 例: 10,20,30"
"Please enter a valid zip code.","正しい郵便番号を入力してください。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","正しい郵便番号を入力してください。（例：123-4567）"
"Please enter valid password.","正しいパスワードを入力してください。"
"Please make sure that all global admin search modules are installed and activated.","全体検索モジュールがインストールされていて有効になっているか確認してください"
"Please make sure that your changes were saved before running the profile.","プロファイルを実行する前に変更を保存してください"
"Please make sure your passwords match.","パスワードが合っているか確かめてください"
"Please select State/Province.","地域を選択してください"
"Please select an option.","オプションを選択してください。"
"Please select customer(s).","顧客を選択してください。"
"Please select one of the above options.","オプションをひとつ選択してください。"
"Please select one of the options.","1つ以上のオプションを選択してください。"
"Please select review(s).","レビューを選択してください。"
"Please specify the admin custom URL.","管理画面のURLを指定してください。"
"Please use in this field only ""a-z,0-9,_"".","""a-z,0-9,_""の文字で入力してください。"
"Please use letters only (a-z) in this field.","記号と数字以外で入力してください。"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","半角英数字またはスペースを使用してください。"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","このフィールドには記号以外の文字を入力してください。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","このフィールドには記号以外の文字を入力してください。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","日付の形式は右の通りです: dd/mm/yyyy. （例: 17/03/2006 は 2006年3月17日）。"
"Please wait, loading...","読み込み中です"
"Please wait...","しばらくお待ちください。。"
"Poll Manager","投票管理"
"Polls","投票"
"Popular","人気"
"Position","おすすめ"
"Position of Watermark for %s","%sの透かしの位置"
"Prev. month (hold for menu)","前月(メニューに適用)"
"Prev. year (hold for menu)","前年 (メニューに適用)"
"Preview","プレビュー"
"Preview Template","テンプレートのプレビュー"
"Price","価格"
"Price:","価格:"
"Processed <strong>%s%% %s/%d</strong> records","<strong>%s%% %s%d</strong>レコードの処理完了"
"Processing","処理中"
"Product","商品"
"Product Name","商品名"
"Product Reviews","商品レビュー"
"Product Tax Classes","商品税区分"
"Product Thumbnail Itself","商品サムネイル"
"Product:","商品:"
"Products","商品"
"Products Bestsellers Report","商品ベストセラーレポート"
"Products Most Viewed Report","最も閲覧されている商品レポート"
"Products Ordered","最近注文された商品"
"Products in Carts","カートに入っている商品"
"Profile Action","アクションの概要"
"Profile Actions XML","アクションXMLの概要"
"Profile Direction","指示の概要"
"Profile History","履歴の概要"
"Profile Information","情報の概要"
"Profile Name","名前の概要"
"Profile Wizard","ウィザードの概要"
"Profiles","概要"
"Promo","プロモーション"
"Promotions","プロモーション"
"Quantity","個数"
"Queue Refresh","キューを更新する"
"Queued... Cancel","キューに入りました...キャンセル "
"Radio Buttons","ラジオボタン"
"Rates","レート"
"Read details","詳細読み込み"
"Rebuild","再構築"
"Rebuild Catalog Index","カタログインデックスを再構築"
"Rebuild Flat Catalog Category","フラットカタログカテゴリを再構築"
"Rebuild Flat Catalog Product","フラットカタログ商品を再構築"
"Recent Orders","最近のご注文"
"Recent statistics have been updated.","統計情報を更新しました。"
"Recursive Dir","再帰的な Dir"
"Redirect","リダイレクト"
"Reference ID","リファレンスID"
"Refresh","更新"
"Refresh Now*","*"
"Refresh Statistics","統計を更新"
"Region/State","地域"
"Regular Price:","通常価格:"
"Release","リリース"
"Release Stability","リリース状態"
"Release Version","リリースバージョン"
"Reload captcha","CAPTCHAの再読込"
"Remote FTP","リモートFTP"
"Remove","削除"
"Reports","レポート"
"Request Path","リダイレクトパス"
"Required","必須"
"Reset","リセット"
"Reset Filter","リセット"
"Reset Password","パスワード再発行"
"Reset a Password","パスワードリセット"
"Resize","リサイズ"
"Resource Access","リソースアクセス"
"Resources","リソース"
"Results","結果"
"Retrieve Password","パスワード再発行"
"Return Html Version","HTMLバージョンに戻る"
"Revenue","収入"
"Reviews","レビュー"
"Reviews and Ratings","レビューと評価"
"Role ID","ロールID"
"Role Info","権限情報"
"Role Information","権限情報"
"Role Name","権限名"
"Role Resources","権限リソース"
"Role Users","権限ユーザー"
"Roles","権限"
"Roles Resources","権限リソース"
"Root Category","ルートカテゴリ"
"Rotate CCW","反時計回りに回転"
"Rotate CW","時計回りに回転"
"Run","実行"
"Run Profile","プロファイルを実行"
"Run Profile Inside This Window","このウインドウの中でプロファイルを実行"
"Running... Kill","実行中...終了"
"SKU","商品番号"
"SKU:","単位:"
"SSL Error: Invalid or self-signed certificate","SSLエラー: 不正な証明書です"
"Sales","セールス"
"Sales Report","セールスレポート"
"Samples","サンプル"
"Save","保存"
"Save & Generate","保存して生成"
"Save Account","アカウントの保存"
"Save Block","保存"
"Save Cache Settings","キャッシュ設定を保存"
"Save Config","設定を保存"
"Save Currency Rates","通貨レートの保存"
"Save Profile","プロファイルの保存"
"Save Role","権限の保存"
"Save Template","テンプレートの保存"
"Save User","ユーザーの保存"
"Save and Continue Edit","保存して編集を続ける"
"Search","検索"
"Search Index","検索インデックス"
"Search Term","検索ワード"
"Search Terms","検索ワード"
"Search entire store here...","ストア全体から検索...."
"Select","選択"
"Select All","全て選択"
"Select Category","カテゴリを選択"
"Select Date","日付を選択"
"Select Range","表示期間"
"Select date","日付選択"
"Sender","送り主"
"Separate Email","分割メール"
"Shipment #%s comment added","配送伝票 #%s にコメントを追加しました"
"Shipment #%s created","配送伝票 #%s を作成しました"
"Shipment Comments","配送コメント"
"Shipment History","配送履歴"
"Shipments","配送"
"Shipping","配送"
"Shipping Address","お届け先住所"
"Shipping Address: ","配送先住所:"
"Shipping Origin","配送元"
"Shipping Price","配送料"
"Shipping address selection is not applicable","配送先の選択が適切ではありません"
"Shipping method selection is not applicable","配送方法の選択が適切ではありません"
"Shopping Cart","カート"
"Shopping Cart Price Rules","ショッピングカート価格ルール"
"Shopping Cart from %s","%sのショッピングカートで"
"Show By","表示先"
"Show Report For:","レポートを表示:"
"Show Reviews","レビューを表示"
"Sitemap Information","サイトマップ情報"
"Size for %s","%s のサイズ"
"Skip Category Selection","カテゴリ選択をスキップする"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","この受注のいくつかの商品は異なる請求先と配送先を含んでいます。出荷処理は領収書を作成した後にのみ可能です。"
"Sorry, this feature is coming soon...","申し訳ありません、もうすぐ利用できます"
"Special Price:","特別価格:"
"Specific Countries","選択された国のみ"
"Specified","特定の"
"Spreadsheet Name:","スプレッドシート名:"
"Start Date","開始日"
"Starting at:","開始日:"
"Starting profile execution, please wait...","プロファイルを開始しています。お待ちください。"
"State/Province:","都道府県:"
"Static Blocks","静的ブロック"
"Status","ステータス"
"Status:","状態:"
"Stock Quantity:","在庫数:"
"Store","店舗"
"Store View","ストアビュー"
"Store:","店舗:"
"Stores","店舗"
"Subject","件名"
"Submit","送信"
"Subtotal","小計"
"Switch/Solo card issue number: %s","スイッチ/ソロカード発行番号: %s"
"Switch/Solo card start Date: %s/%s","スイッチ/ソロカード開始日: %s%s"
"Switch/Solo/Maestro Only","Switch/Solo/Maestroのみ"
