" and ","和"
"Newsletter Queue","郵件列表隊列"
"Newsletter Subscribers","郵件列表訂閱人"
"Newsletter Templates","郵件列表模板"
"No","否"
"No (price without tax)","否(價格不含稅) "
"No Data Found","找不到資料"
"No Templates Found","沒有找到模板"
"No change","沒有變更"
"No profile loaded...","沒有加載配置文件... "
"No records found for this period.","該時間段內沒有找到記錄。 "
"No records found.","找不到記錄。"
"No search keywords.","沒有搜索關鍵字"
"No search modules were registered","沒有註冊搜索模塊"
"None","無"
"Notes","備註"
"Notifications","通知"
"Number of Orders","訂單數量"
"Number of Uses","使用次數"
"Number of Views","查看數量"
"OK","確定"
"Old rate:","Old rate: "
"Online Customers","在線客戶"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","僅""全站""屬性、輸入類型""下拉菜單""和用於創建可配置商品""是""可用。 "
"Only mapped fields","僅映射字段"
"Optional","可選"
"Options","選項"
"Options is required","必填選項"
"Order","訂單"
"Order #%s","訂單號%s "
"Order #%s (%s)","訂單號%s (%s) "
"Order ID","訂單編號"
"Order Totals","訂單總額"
"Orders","訂單"
"Original Magento attribute names in first row:","第一行的OpenMage原有屬性名稱： "
"Out of stock","缺貨"
"Parent Product Thumbnail","相關商品縮略圖"
"Passive mode","被動模式"
"Password","密碼"
"Password Confirmation","密碼確認"
"Password:","密碼： "
"Path:","路徑： "
"Pending Reviews","待審評論"
"Pending Tags","等待中的標籤"
"Per Item","每商品"
"Per Order","每訂單"
"Percent","%"
"Performed At","執行時間"
"Period","區間"
"Permissions","權限"
"Personal Information","個人信息"
"Phone:","電話： "
"Please Select","請選擇"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost. "
"Please enter 6 or more characters.","請輸入6個或更多字符。 "
"Please enter a number greater than 0 in this field.","請在該欄目輸入大於0的數字。 "
"Please enter a valid $ amount. For example $100.00.","請輸入正確的金額，例如$100.00 "
"Please enter a valid URL. For example http://www.example.com or www.example.com","請輸入正確的網址，例如http://www.example.com或www.example.com "
"Please enter a valid URL. http:// is required","請輸入正確的網址。必須帶http:// "
"Please enter a valid credit card number.","請輸入正確的信用卡號碼。 "
"Please enter a valid date.","請輸入正確的日期。 "
"Please enter a valid email address. For example johndoe@domain.com.","請輸入正確的電子郵件地址。例如johndoe@domain.com "
"Please enter a valid number in this field.","請在該欄目輸入正確的數字。 "
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","請輸入正確的電話號碼。例如(123) 456-7890或123-456-7890 "
"Please enter a valid social security number. For example 123-45-6789.","請輸入正確的社會保險號。例如123-45-6789 "
"Please enter a valid zip code.","請輸入正確的郵遞區號。 "
"Please enter a valid zip code. For example 90602 or 90602-1234.","請輸入正確的郵遞區號。例如90602或90602-1234 "
"Please enter valid password.","請輸入正確的密碼。 "
"Please make sure that all global admin search modules are installed and activated.","請確保所有的全域管理員搜索模組已安裝並啟動。"
"Please make sure that your changes were saved before running the profile.","允許配置文件前，請確認已保存修改。 "
"Please make sure your passwords match.","請確認密碼一致。 "
"Please select State/Province.","請選擇省份。 "
"Please select an option.","請選擇選項。 "
"Please select one of the above options.","請在上面選擇。 "
"Please select one of the options.","請選擇。 "
"Please use in this field only ""a-z,0-9,_"".","該欄目只能輸入""a-z,0-9,_""。 "
"Please use letters only (a-z) in this field.","該欄目只能輸入字母(a-z)。 "
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","請在此欄位中使用字母 （a 到 z 或 A 到 Z），數位 (0-9) 或空格。"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","該欄目只能輸入字母(az)或數字(0-9)，不能輸入空格或其它字符。 "
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","該欄目只能輸入字母(az)、數字(0-9)、空格、或#。 "
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","請用該日期格式：dd/mm/yyyy例如17/03/2006表示2006年3月17日"
"Please wait, loading...","請等待，加載中... "
"Please wait...","請等待... "
"Poll Manager","投票管理"
"Popular","熱門"
"Position","位置"
"Position of Watermark for %s","%s的浮水印位置"
"Preview","預覽"
"Preview Template","預覽模板"
"Price","價格"
"Price:","價格： "
"Processed <strong>%s%% %s/%d</strong> records","處理<strong>%s%% %s/%d</strong>個記錄"
"Processing","受理"
"Product","商品"
"Product Name","產品名稱"
"Product Reviews","商品評論"
"Product Tax Classes","商品稅種"
"Product Thumbnail Itself","商品縮略圖"
"Products","產品"
"Profile Actions XML","配置文件操作XML "
"Profile Direction","配置文件方向"
"Profile History","配置文件記錄"
"Profile Information","配置文件信息"
"Profile Name","配置文件名稱"
"Profile Wizard","配置文件嚮導"
"Profiles","配置文件"
"Promo","促銷"
"Promotions","促銷"
"Quantity","數量"
"Radio Buttons","單選按鈕"
"Rates","匯率"
"Rebuild","重建"
"Rebuild Catalog Index","重建產品索引"
"Rebuild Flat Catalog Category","重建平面類別"
"Rebuild Flat Catalog Product","重建平面產品"
"Recent Orders","最近訂單"
"Redirect","轉向"
"Refresh","重新整理"
"Region/State","地區／國家"
"Regular Price:","原價： "
"Release","版本"
"Release Stability","版本穩定性"
"Release Version","版本"
"Reload captcha","重新載入驗證碼"
"Remote FTP","遠程FTP "
"Remove","移除"
"Reports","報表"
"Request Path","請求路徑"
"Required","必要"
"Reset","重置"
"Reset Filter","重設篩選"
"Resize","調整大小"
"Resource Access","資源存取"
"Resources","資源"
"Results","結果"
"Retrieve Password","取回密碼"
"Return Html Version","返回Html版本"
"Revenue","收入"
"Reviews","評論"
"Role ID","角色編號"
"Role Info","角色信息"
"Role Information","角色信息"
"Role Name","角色名稱"
"Role Resources","角色資源"
"Role Users","角色用戶"
"Roles","角色"
"Roles Resources","角色資源"
"Root Category","根類別"
"Rotate CCW","逆時鍾旋轉 "
"Rotate CW","順時鍾旋轉"
"Run Profile","運行配置文件"
"Run Profile Inside This Window","在本窗口中運行配置文件"
"SKU","商品編號"
"SKU:","SKU: "
"Sales Report","銷售報表"
"Save","儲存"
"Save Account","儲存帳戶"
"Save Block","保存方框"
"Save Cache Settings","儲存緩存設定"
"Save Config","保存設置"
"Save Currency Rates","保存貨幣匯率"
"Save Profile","保存配置文件"
"Save Role","保存角色"
"Save Template","保存模板"
"Save User","保存用戶"
"Save and Continue Edit","保存並繼續編輯"
"Search","搜尋"
"Search Index","搜尋索引"
"Search Term","搜索關鍵詞"
"Search Terms","搜索關鍵詞"
"Search entire store here...","Search entire store here... "
"Select All","全選"
"Select Date","選擇日期"
"Select Range","選擇區間"
"Sender","發件人"
"Shipment #%s comment added","配送單%s增加了備註"
"Shipment #%s created","配送單%s已建立"
"Shipment Comments","配送備註"
"Shipment History","配送記錄"
"Shipments","配送"
"Shipping","物流"
"Shipping Address","配送地址"
"Shipping Price","運費"
"Shopping Cart","購物車"
"Shopping Cart Price Rules","購物車價格規則"
"Shopping Cart from %s","Shopping Cart from %s "
"Sitemap Information","網站地圖信息"
"Size for %s","%s的大小"
"Sorry, this feature is coming soon...","對不起，該功能尚未實現... "
"Special Price:","特價： "
"Specific Countries","選擇國家"
"Spreadsheet Name:","電子表名： "
"Start Date","開始日期"
"Starting at:","起價： "
"Starting profile execution, please wait...","開始執行配置文件，請稍候... "
"State/Province:","省份： "
"Static Blocks","固定方框"
"Status","狀態"
"Status:","狀態： "
"Stock Quantity:","庫存數量： "
"Store","商店"
"Store View","店面"
"Store:","商店： "
"Stores","商店"
"Subject","主題"
"Submit","提交"
"Subtotal","小計"
"Switch/Solo card issue number: %s","Switch/Solo卡號：%s "
"Switch/Solo card start Date: %s/%s","Switch/Solo卡開始日期：%s/%s "
"System","系統"
"Tags","標籤"
"Target Path","目標路徑"
"Tax","稅金"
"Tb","Tb "
"Template","範本"
"Template Content","模板內容"
"Template Information","模板信息"
"Template Name","模板名稱"
"Template Subject","模板主題"
"Template Type","模板類型"
"Text","文字"
"The JavaScript/CSS cache has been cleaned.","已清理JavaScript/CSS緩存。"
"The OpenMage cache storage has been flushed.","已清空OpenMage緩存記憶。"
"The attribute set has been removed.","屬性集已刪除。"
"The image cache was cleaned.","已清空圖像緩存。"
"This account is","This account is "
"This action cannot be undone.","此動作無法復原。"
"This attribute shares the same value in all the stores","該屬性在所有商店中共享相同的值"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","這是演示商店，所有訂單都不會發貨。 "
"This is a required field.","這是必填欄目。 "
"Time","時間"
"To","至"
"Toggle Editor","切換編輯器"
"Tools","工具"
"Top 5 Search Terms","最熱門5個搜索關鍵詞"
"Total","總計"
"Total Invoiced","發票總額"
"Total Order Amount","訂單總額"
"Total Refunded","所有退款"
"Track Order","查詢訂單"
"Track this shipment","查詢配送"
"Tracking number %s for %s assigned","運單號%s已生成，屬於%s "
"Transaction ID","交易編號"
"Transaction Type","交易類型"
"Transactional Emails","交易郵件"
"Type","類別"
"Type:","類型： "
"Unable to initialize import model","無法初始化導入模塊"
"Unknown","未知"
"Updated At","更新於"
"Upload File","上載檔案"
"Upload Files","上載檔案"
"Upload HTTP Error","上傳HTTP錯誤"
"Upload I/O Error","上傳I/O錯誤"
"Upload Security Error","上傳安全錯誤"
"Upload import file","上傳導入文件"
"Use All Available Attributes","使用所有可用的屬性"
"Use Config Settings","使用配置設置"
"Use Default","使用預設值"
"Use Default Value","使用預設值"
"Use FTP Connection","使用 FTP 連接"
"User Email","使用者電郵"
"User ID","用戶編號"
"User Info","用戶信息"
"User Information","用戶信息"
"User Name","使用者名稱"
"User Name:","用戶名： "
"User Password","使用者密碼"
"User Role","用戶角色"
"User Roles","用戶角色"
"User Roles Information","用戶角色信息"
"User name","用戶名"
"Users","用戶"
"Value Delimiter:","值分隔符： "
"Variable","Variable "
"View Actions XML","查看操作XML "
"View Statistics For:","查看統計資料︰"
"Visibility:","可見性： "
"Warning","警告"
"Watermark File for %s","%s的浮水印文件"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","We're in our typing table, coding away more features for OpenMage. Thank you for your patience. "
"Website","網站"
"What is this?","這是什麽？"
"Wishlist Report","購物清單報表"
"XML","XML "
"YTD","本年度"
"Year","年 "
"Yes","是"
"Yes (only price with tax)","是(僅價格含稅) "
"You have logged out.","您已登出。"
"Your answers contain duplicates.","您的回復重復了。 "
"Zip/Postal Code","郵政編碼"
"Zip/Postal Code:","郵遞區號： "
"[ deleted ]","[已刪除]"
"[GLOBAL]","[全站] "
"[STORE VIEW]","[商店總覽]"
"b","b "
"close","關閉"
"critical","關鍵"
"failed","失敗"
"major","主要"
"minor","次要"
"notice","通知"
"store(%s) scope","商店(%s)範圍"
"successful","成功。"
"to","到"
"website(%s) scope","網站(%s)範圍"
