"* Required Fields","* 為必填項"
"Remove Item","刪除商品"
"Remove This Item","移除此物品"
"Remove item","刪除項目"
"Review Order","查看訂單"
"Review Order - %s","查看訂單- %s "
"SKU","商品編號"
"See price before order confirmation.","確認訂單前請確認價格。"
"Select Address","選擇地址"
"Select Addresses","選擇地址"
"Select Shipping Method","選擇配送方式"
"Select State/Province...","選擇省份... "
"Select a billing address from your address book or enter a new address.","從您的地址簿中選擇賬單地址，或者輸入新的地址。 "
"Select a shipping address from your address book or enter a new address.","從您的地址簿中選擇送貨地址，或者輸入新的地址。 "
"Ship to Multiple Addresses","發貨到多個地址"
"Ship to different address","發貨到不同地址"
"Ship to this address","發貨到該地址"
"Shipping Address","配送地址"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Shipping Methods","配送方式"
"Shipping method has not been selected yet","還未選擇配送方式"
"Shopping Cart","購物車"
"Shopping Cart is Empty","購物車空"
"Sorry, no quotes are available for this order at this time.","對不起，目前沒有該訂單的報價。 "
"State/Province","州/省"
"Status","狀態"
"Store View","店面"
"Street Address","首行地址"
"Submitting order information...","提交訂單信息... "
"Subtotal","小計"
"Telephone","電話"
"Text","文字"
"Thank you for your purchase!","感謝您的惠顧！ "
"Total","總計"
"Total for this address","該地址總計"
"Unit Price","單價"
"Update Qty &amp; Addresses","更新數量和地址"
"Update Shopping Cart","更新購物車"
"Update Total","更新總額"
"Use Billing Address","使用賬單地址"
"VAT Number","增值稅號"
"View Shopping Cart","查看購物車"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","我們正處理您的訂單，您很快會收到含有訂單詳細內容的郵件。訂單發貨後，您會收到另一封含有查詢訂單狀態鏈接的郵件。 "
"What's this?","這是什麼？"
"You have no items in your shopping cart.","您的購物車中沒有商品"
"You will receive an order confirmation email with details of your order and a link to track its progress.","您會收到訂單確認郵件，包含詳細的訂單內容以及查詢訂單狀態的鏈接。 "
"Your Checkout Progress","您的結帳步驟"
"Zip/Postal Code","郵政編碼"
"or","或"
