"* Required Fields","* 為必填項"
"Edit Account Information","修改帳戶信息"
"Edit Address","修改地址"
"Edit Address Entry","修改地址"
"Edit Customer Group ""%s""","修改客戶分組""%s"" "
"Edit Customer Groups","修改客戶分組"
"Edit Customer's Address","修改客戶地址"
"Edit Group","修改分組"
"Edit Newsletters","修改郵件列表"
"Email","電郵"
"Email Address","電子郵件地址"
"Email Sender","發件人"
"Email:","電子郵件： "
"Fax","傳真"
"First Name","名字"
"Forgot Email Template","取回密碼郵件的模板"
"Forgot Your Password?","忘記您的密碼了？ "
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","在我的帳號面板中，可以查看最近帳戶存取情況，以及更新帳戶信息。選擇下面的鏈接查看或修改信息。 "
"General Subscription","本店快訊"
"Global","全球"
"Group","分組"
"Group Information","分組信息"
"Group Name","分組名稱"
"Guest","訪客"
"Hello, %s!","您好，%s! "
"ID","編號"
"IP Address","IP地址"
"If you have an account with us, please log in.","如果您已有帳號，請登錄。 "
"Invalid current password","當前密碼不正確"
"Invalid customer data","客戶數據不正確"
"Last Activity","最近訪問"
"Last Name","姓氏"
"Lifetime Sales","累計銷售"
"Log In","登錄"
"Log Out","登出"
"Login","登錄"
"Login Information","登錄信息"
"Login or Create an Account","登錄或註冊新帳號"
"Manage Addresses","地址管理"
"Manage Customers","管理客戶"
"Month","月"
"My Account","我的帳戶"
"My Dashboard","我的面板"
"My Orders","我的訂單"
"Name","名稱"
"Never","從不"
"New Address","New Address "
"New Address Entry","增加一個地址"
"New Customer","新客戶"
"New Customer Address","新客戶地址"
"New Customer Group","新客戶分組"
"New Customer Groups","新客戶分組"
"New Customers","新客戶"
"New Group","新分組"
"New Password","新密碼"
"New account","新的帳戶"
"Newsletter","郵件列表"
"Newsletter Finish","郵件列表完成"
"Newsletter Information","郵件列表信息"
"Newsletter Received","收到郵件列表"
"Newsletter Start","郵件列表開始"
"Newsletters","郵件列表"
"No Items Found","沒有找到項目"
"No Newsletter Found","沒有郵件列表"
"No item specified.","沒有指定的項目。"
"Not Sent","沒有發送"
"Offline","離線"
"Online","在線"
"Online Customers","在線客戶"
"Order Total","訂單總額"
"Orders","訂單"
"PDF","PDF "
"Password","密碼"
"Password Management","密碼管理"
"Password Options","密碼選項"
"Password:","密碼： "
"Paused","暫停"
"Pending","等待"
"Per Website","每站"
"Personal Information","個人信息"
"Please enter a number 1 or greater in this field.","請在此欄位中輸入1或更大的數字。"
"Please enter your email.","請輸入您的電子郵件。 "
"Please make sure your passwords match.","請確認密碼一致。 "
"Please select region, state or province","請選擇地區、 州或省"
"Price","價格"
"Product","商品"
"Product ID","商品編號"
"Product Name","產品名稱"
"Product Reviews","商品評論"
"Product Tags","商品標籤"
"Purchase On","購買日期"
"Purchased On","購買日期"
"Qty","數量"
"Recent Orders","最近訂單"
"Recovery Link Expiration Period (hours)","恢復鏈接到期時間（小時）"
"Refunded","已退款"
"Register","註冊"
"Registered Customers","老客戶"
"Remove","移除"
"Retrieve your password here","在這裡找回密碼"
"SKU","商品編號"
"Sales Statistics","銷售統計"
"Save","儲存"
"Save Address","保存地址"
"Save Customer","保存客戶"
"Save Customer Group","保存客戶分組"
"Save Password","保存密碼"
"Save and Continue Edit","保存並繼續編輯"
"Sending","正在發送"
"Sent","已發出"
"Session Start Time","Session開始時間"
"Set as Default Billing Address","設為缺省的賬單地址"
"Set as Default Shipping Address","設為缺省的配送地址"
"Share Customer Accounts","共享客戶帳戶"
"Shipped to First Name","收貨人名字"
"Shipped to Last Name","收貨人姓氏"
"Shipped to Name","收貨人姓名"
"Shopping Cart","購物車"
"Shopping Cart - %d item(s)","購物車- %d件商品"
"Sign Up for Newsletter","登記郵件列表"
"State/Province","州/省"
"Status","狀態"
"Store","商店"
"Store View","店面"
"Street Address","首行地址"
"Subject","主題"
"Submit","提交"
"Subscribe to Newsletter","訂閱郵件列表"
"Subscribed to Newsletter?","訂閱郵件列表？ "
"Tag Name","標籤名稱 "
"Telephone","電話"
"Text","文字"
"Text One Line","一行文字"
"There are no items in customer's wishlist at the moment","客戶的收藏中沒有商品"
"There are no items in customer's shopping cart at the moment","There are no items in customer's shopping cart at the moment "
"This customer has no saved addresses.","該客戶沒有保存地址。 "
"To Cart","到購物車"
"Total","總計"
"Type","類別"
"Unknown","未知"
"Use as my default billing address","作為我的缺省賬單地址"
"Use as my default shipping address","作為我的缺省配送地址"
"VAT Number","增值稅號"
"View","每頁"
"View Order","查看訂單"
"Visitor","訪客"
"Visitors Only","僅限訪客"
"Website","網站"
"Wishlist","願望清單"
"Wishlist - %d item(s)","收藏- %d件商品"
"Year","年 "
"You are currently not subscribed to any newsletter.","您沒有訂閱郵件列表。 "
"You are currently subscribed to 'General Subscription'.","您訂閱了'本店快訊'. "
"You are currently subscribed to our newsletter.","您訂閱了我們的郵件列表。 "
"You have no additional address entries in your address book.","您的地址簿中沒有其它地址項。 "
"You have no additional entries in your address book.","您的地址簿中沒有其它地址項。 "
"You have no default billing address in your address book.","您的地址簿中沒有缺省的賬單地址。 "
"You have no default shipping address in your address book.","您的地址簿中沒有缺省的配送地址。 "
"You have placed no orders yet.","您還沒有任何訂單。 "
"You have placed no products yet.","您還沒有訂購任何商品。 "
"Your account balance is: %s","您的帳戶餘額為：%s "
"ZIP","郵編"
"ZIP/Post Code","郵編"
"Zip/Postal Code","郵政編碼"
"n/a","空"
"or","或"
