"# of Use","使用次數"
"%s Item(s)","%s件商品"
"(Copy data from: %s)","(複製數據自: %s) "
"Data Type for Saving in Database","在數據庫中保存的數據類型"
"Date Subscribed","訂閱日期"
"Datetime","日期時間"
"Decimal","小數點"
"Declare attribute value saving scope","定義屬性值保存範圍"
"Default Price","預設價格"
"Default Values","預設值"
"Delete","刪除"
"Delete Attribute","刪除屬性"
"Delete Attribute Set","刪除屬性組合"
"Delete Category","刪除分類"
"Delete Option","刪除選項"
"Delete Row","刪除整行"
"Delete Search","刪除搜索"
"Delete Selected Group","刪除選定的群組"
"Description","描述"
"Design","設計"
"Details","詳細資料"
"Disabled","停用"
"Display in Suggested Terms","在建議關鍵詞中顯示"
"Double click on a group to rename it","雙擊組改名"
"Duplicate","重複"
"Duplicate website tier price customer group and quantity.","複製網站價格客戶組和數量。 "
"Edit","編輯"
"Edit Attribute Set '%s'","修改屬性組合'%s' "
"Edit Product Attribute","編輯產品屬性"
"Edit Product Attribute ""%s""","修改商品屬性""%s"" "
"Edit Search","編輯搜尋"
"Edit Search '%s'","編輯搜尋 '%s' "
"Email","電郵"
"Empty","空白"
"Enabled","啟用"
"Error during retrieval of option value: %s","讀取選項值時出錯：%s "
"Exclude","排除"
"Expand All","全部展開"
"Failed","失敗"
"Failed to move file: %s","無法移動文件：%s "
"Feature Products","推薦商品"
"Filterable (no results)","有條件(不含結果) "
"Filterable (with results)","有條件(含結果) "
"First Name","名字"
"Fixed","已修復"
"Frontend","前台"
"Frontend Model","前台型號"
"Frontend Properties","前台屬性"
"Gallery","圖庫"
"General Information","基本信息"
"Global","全球"
"Globally Editable","可全站修改"
"Go to Home Page","回到首頁"
"Grid","格狀"
"Grouped Product","組合商品"
"Groups","組合"
"Home","首頁"
"ID","編號"
"Image","圖像"
"Image type and information need to be specified for each store view.","每個商店界面要輸入圖片類型和信息。 "
"In Stock","有庫存"
"In stock","有貨"
"Incl. Tax","含稅"
"Input Type","輸入類型"
"Integer","整數"
"Invalid store specified","指定的商店不正確"
"Inventory","庫存"
"Is Default","是預設"
"Items %s to %s of %s total","商品%s到%s，共%s件"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","不要顯示在目錄或搜索結果中的商品，相應商店中的狀態要設置為'禁用'。 "
"Label","標籤"
"Last Name","姓氏"
"Last Notification","最近通知"
"Learn More","詳細內容"
"Line %d, Email: %s","行%d，電子郵件：%s "
"Line %d, SKU: %s","行%d，SKU: %s "
"List","列表"
"List Mode","列表模式"
"Maximum Qty Allowed in Shopping Cart","購物車中允許的最多商品數量"
"Media Image","媒體形像"
"Minimum Qty Allowed in Shopping Cart","購物車中必須的最少商品數量"
"Minimum Qty for Item's Status to be Out of Stock","Minimum Qty for Item's Status to be Out of Stock "
"More Views","更多"
"My Account","我的帳戶"
"N/A","不適用 "
"Name","名稱"
"New Product","新產品"
"New Product Attribute","新的產品屬性"
"New Products","新商品"
"New Search","新搜索"
"New Set Name","新組合名稱"
"New products","新產品"
"Next","下一頁"
"No","否"
"No image","沒有圖片"
"No layout updates","沒有佈局更新"
"No options of this product are available.","沒有這種產品可用的選項。"
"None","無"
"Notify Low Stock RSS","RSS低庫存通知"
"Notify for Quantity Below","提醒數量低於"
"Number of Uses","使用次數"
"OK","確定"
"OR","或"
"Old Price:","原價： "
"Option:","選項： "
"Options","選項"
"Options Control","選項控制"
"Options is required","必填選項"
"Out of Stock","缺貨"
"Out of stock","缺貨"
"PM","下午"
"Page Title Separator","頁面標題分隔符"
"Parent Category","主要類別"
"Pending","等待"
"Pending Reviews RSS","待審評論的RSS "
"Percentage","百分比"
"Please enter a new group name","請輸入新組名"
"Please select one or more attributes.","請選擇一個以上屬性。 "
"Please select products for attributes update","請選擇商品更新屬性"
"Please wait...","請等待... "
"Position","位置"
"Position of attribute in layered navigation block","層導航方框中的屬性位置"
"Prev","上一頁"
"Previous","上一頁"
"Price","價格"
"Price Type","價格類型"
"Price values for options should be specified in system base currency.","請在系統基準貨幣中輸入選項價格。 "
"Price:","價格： "
"Print This Page","打印此頁"
"Product","商品"
"Product Alerts","商品提醒"
"Product Attribute","產品屬性"
"Product Attributes","產品屬性"
"Product Categories","商品分類"
"Product Description","商品說明"
"Product ID","商品編號"
"Product In Websites","商品網站"
"Product Information","商品信息"
"Product Name","產品名稱"
"Product Reviews","商品評論"
"Product Tags","商品標籤"
"Product Type","商品類型"
"Product is not loaded","產品未載入"
"Product with this combination of attributes already associated to configurable.","該屬性組合的商品已與配置關聯。 "
"Products","產品"
"Products Comparison List","商品比較表"
"Products Information","產品資訊"
"Products Reviews","商品評論"
"Products only","僅產品"
"Products per Page on Grid Allowed Values","這個網頁允許的產品展示數量"
"Properties","屬性"
"Qty","數量"
"Qty Uses Decimals","數量用十進制"
"Quantity","數量"
"Quick Create","快速創建"
"Quick Overview","快速查看"
"Quick simple product creation","快速創建簡單商品"
"Redirect","轉向"
"Redirect URL","重定向超連結"
"Regular Price:","原價： "
"Related Products","相關產品"
"Remove","移除"
"Remove This Item","移除此物品"
"Reset","重置"
"Results","結果"
"Reviews","評論"
"Roll Over for preview","總評"
"Root","根"
"SKU","商品編號"
"Save","儲存"
"Save Attribute","保存屬性"
"Save Attribute Set","保存屬性組合"
"Save Category","保存分類"
"Save Search","保存搜索"
"Save and Continue Edit","保存並繼續編輯"
"Scope","範圍"
"Search","搜尋"
"Search Engine Optimizations","搜索引擎優化"
"Search Information","搜索信息"
"Search Query","搜尋查詢"
"Searchable","可搜索"
"See price before order confirmation.","確認訂單前請確認價格。"
"Select Configurable Attributes ","選擇可設置屬性"
"Selected Product Types","選擇商品類型"
"Send Count","發送計數"
"Set Ascending Direction","設置升序說明"
"Set Descending Direction","設置降序說明"
"Set Name","組合名稱"
"Set root category for this store in the <a href=""%s"">configuration</a>","在<a href=""%s"">設置</a>中給該商店設置根分類"
"Settings","設定"
"Shopping Options","購物選項"
"Show","顯示"
"Simple Product","簡單商品"
"Site Map","網站架構圖"
"Skip import row, is not valid value ""%s"" for field ""%s""","忽略導入行，不是正確的""%s""在欄目""%s"" "
"Sort Order","訂單排序"
"Source Model","源型號"
"Special Price:","特價： "
"Starting at:","起價： "
"Static","靜態"
"Static block and products","固定方框和商品"
"Static block only","僅固定方框"
"Status","狀態"
"Stock Availability","庫存情況"
"Store","商店"
"Store View","店面"
"Stretch","伸展"
"Subscribe to RSS Feed","訂閱RSS"
"Super product attributes configuration","高級商品屬性設置"
"Synonym For","同義"
"System Properties","系統屬性"
"Tag Name","標籤名稱 "
"Tax","稅金"
"Template","範本"
"Text","文字"
"There are no %s available.","沒有%s可用。 "
"There are no customers for this alert","該提醒沒有客戶"
"There are no customers for this alert.","這個提示沒有客戶。"
"There are no products matching the selection.","沒有與選擇匹配的商品。 "
"This attribute cannot be edited.","不能編輯此屬性。"
"This attribute no longer exists","該屬性不存在"
"This attribute set no longer exists.","此屬性設置不再存在。"
"This group contains system attributes. Please move system attributes to another group and try again.","該組含有系統屬性。請將系統屬性移到另外一個組後再試。 。 "
"Tier Pricing","第層定價"
"Tile","Tile "
"Title","標題"
"Top/Left","左上"
"Top/Right","右上"
"Type","類別"
"Unassigned Attributes","未指定的屬性"
"Up-sells","向上銷售"
"Update attributes","更新屬性"
"Use Config Settings","使用配置設置"
"Use Default Value","使用預設值"
"Use In Layered Navigation","用於分層導航"
"Use To Create Configurable Product","用於創建可配置商品"
"Use config","使用設置"
"Use default","適用缺省"
"Use for Promo Rule Conditions","可以作為促銷條件之一"
"Used for Sorting in Product Listing","用於排序產品的列表"
"Varchar","Varchar "
"View Details","檢視詳細資料"
"View as","查看"
"Visibility","可見度"
"Visible","可見"
"Visible on Catalog Pages on Front-end","在前台目錄頁面可見"
"WYSIWYG Editor","所見即所得編輯器"
"Watermark","水印"
"Watermark Default Size","水印缺省大小"
"Watermark Position","水印位置"
"Website","網站"
"Websites","網站"
"What's this?","這是什麼？"
"Yes","是"
"You cannot remove system attribute from this set.","不能從改組合中刪除系統屬性。 "
"You have no items to compare.","您沒有要比較的商品"
"You may also be interested in the following product(s)","您也許會喜歡下面的商品"
"Zoom In","放大"
"Zoom Out","縮小"
"and","和"
"and above","及以上"
"ex. http://domain.com","例如http://domain.com "
"per page","每頁"
"select all","全選"
"unselect all","全部取消選擇"
