" [deleted]"," [삭제됨]"
"Sitemap Information","사이트맵 정보"
"Start Date","시작 날짜"
"Static Blocks","정적 블럭"
"Status","상태"
"Status:","상태:"
"Store","스토어"
"Store View","스토어뷰"
"Stores","스토어"
"Subject","제목"
"Submit","전송"
"Subtotal","소계"
"System","시스템"
"Tags","태그"
"Tax","세금"
"Template","템플릿"
"Template Information","템플릿 정보"
"Terms and Conditions","이용약관"
"Text","텍스트"
"The JavaScript/CSS cache has been cleaned.","자바스크립트/CSS 캐시를 비웠습니다."
"The Magento cache storage has been flushed.","마젠토 캐시 저장소를 비웠습니다."
"The attribute set has been removed.","어트리뷰트 세트가 삭제되었습니다."
"The image cache was cleaned.","이미지 캐시를 비웠습니다."
"This action cannot be undone.","이 작업은 취소할 수 없습니다."
"This block no longer exists.","블록이 존재하지 않습니다. "
"This is a required field.","필수 항목 입니다."
"Time","시간"
"To","받는 사람"
"Tools","도구"
"Total","총합계"
"Total Invoiced","청구서 총합"
"Transaction ID","트랜잭션 ID"
"Transaction Type","트랜잭션 타입"
"Type","타입"
"Unknown","알 수 없음"
"Unlimited","무제한"
"Update","확인"
"Upload File","파일 업로드"
"Upload Files","파일 업로드"
"Use All Available Attributes","사용 가능한 모든 어트리뷰트 사용"
"Use Config Settings","스토어 설정값 사용"
"Use Default","기본값 사용"
"Use Default Value","기본값 사용"
"Use FTP Connection","FTP 연결 사용"
"Use Website","웹사이트 사용"
"User Email","사용자 이메일"
"User Name","사용자 이름"
"User Password","비밀번호"
"View Full Size","전체 사이즈 보기"
"View Statistics For:","다음 통계 보기:"
"Warning","경고"
"Website","웹사이트"
"What is this?","이게 뭐죠?"
"Year","연도"
"Yes","네"
"You have logged out.","로그아웃했습니다."
"Your password reset link has expired.","비밀번호 변경 링크의 유효기간이 만료되었습니다."
"Zip/Postal Code","우편번호"
"[ deleted ]","[ 삭제됨 ]"
"[GLOBAL]","[글로벌]"
"[STORE VIEW]","[스토어뷰]"
"[WEBSITE]","[웹사이트]"
"close","닫기"
"critical","심각"
"example: sitemap.xml","예: sitemap.xml"
"failed","실패"
"major","중요함"
"minor","사소함"
"notice","알림"
"successful","성공"
