"* Required Fields","* 필수 항목"
"Subscribe to Newsletter","뉴스레터 구독"
"Subscribe to Order Status","주문 상태 알림받기"
"Subtotal","소계"
"Subtotal:","소계:"
"Tax","세금"
"Tax Amount","세액"
"Tax Percent","세율"
"The requested Payment Method is not available.","요청된 결제수단을 사용할 수 없습니다."
"The value that you entered is not valid.","입력한 값이 유효 하지 않습니다."
"There are no billing agreements yet.","구매 및 결제에 대한 계약이 없습니다."
"There are no printable documents related to selected orders.","선택한 주문과 관련해 인쇄할 문서가 없습니다."
"Title","타이틀"
"To","받는 사람"
"Total","총합계"
"Total Invoiced","청구서 총합"
"Total Invoiced VS Paid Report","총 청구금액 대비 결제 보고서"
"Total Shipping Charges","총 배송 요금"
"Total Weight","총 중량"
"Transaction ID","트랜잭션 ID"
"Transaction Type","트랜잭션 타입"
"Type","타입"
"Update Qty's","수량 편집"
"Updated:","업데이트:"
"View","보기"
"View All","모두 보기"
"View Another Order","다른 주문 보기"
"View Order","주문 보기"
"Website","웹사이트"
"Weight","중량"
"Wishlist","위시리스트"
"Yes","네"
"You have placed no orders.","아직 주문을 하지 않았습니다."
"Your credit card will be charged for","실제 신용카드로 청구되는 금액"
"Zip/Postal Code","우편번호"
