" and ","y"
"Both (without and with tax)","Ambos (sin y con impuesto)"
"Browse Files...","Ver Archivos"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Agrupación con precios dinámicos no puede incluirse en las opciones definidas a medida. Las opciones no se guardarán."
"CRITICAL","CRITICO"
"CSV","csv"
"CSV / Tab separated","csv / Separado por Tab"
"Cache Control","Control del Caché"
"Cache Control (beta)","Control del Caché (beta)"
"Cache Management","Administración del Caché"
"Cancel","Cancelar"
"Card Verification Number","Número de verificación de la tarjeta"
"Catalog","Catálogo"
"Catalog Price Rules","Regla Catalogo de Precios"
"Categories","Categorias"
"Category","Categoría"
"Category:","Categoría:"
"Choose an attribute","Elegir un atributo"
"Clear","Limpiar"
"Close","Cerrar"
"Configuration","Configuración"
"Confirm New Password","Confirmar nueva contraseña"
"Connect with the Magento Community","Conectar con la comunidad Magento"
"Convert to Plain Text","Convertir a texto plano"
"Country","País"
"Country:","País:"
"Coupons","Cupones"
"Create","Crear"
"Created At","Creado el"
"Credit Card Number","Número de tarjeta de crédito"
"Credit Card Number: xxxx-%s","<strong>Número de tarjeta de crédito:</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Type: %s","<strong>Tipo de tarjeta de crédito:</strong> <span class=""nowrap"">%s</span>"
"Credit Memos","Notas de Crédito"
"Currency","Divisa"
"Currency Information","Información de la moneda"
"Currency Setup Section","Sección de Configuración de Moneda"
"Current Configuration Scope:","Alcanze de la configuración actual:"
"Customer","Cliente"
"Customer Groups","Grupos de Clientes"
"Customer Reviews","Revisiones de Clientes"
"Customer Since:","Cliente Desde:"
"Customer with the same email already exists.","Existe un cliente con el mismo correo."
"Customers","Clientes"
"Dashboard","Panel"
"Data Format","Formato de Fecha"
"Database","Base de Datos"
"Date","Fecha"
"Date & Time","Fecha & Hora"
"Date Added","Fecha Añadida"
"Date Updated","Fecha de actualización"
"Day","Día"
"Decimal separator:","Separador decimal"
"Default Billing Address","Dirección de facturación"
"Delete","Borrar"
"Delete %s","Borrar %s"
"Delete Block","Eliminar Bloque"
"Delete Profile","Borrar Perfil"
"Delete Role","Borrar rol"
"Delete Store View","Borrar Vista de Tienda"
"Delete Template","Borrar plantilla"
"Delete User","Borrar usuario"
"Delete Website","Borrar Website"
"Description","Descripción"
"Design","Diseño"
"Direction:","Dirección:"
"Disable","Desactivar"
"Disabled","Desabilitado"
"Download","Descarga"
"Downloads","Descargas"
"Edit","Editar"
"Edit Block","Editar Bloque"
"Edit Block '%s'","Editar Bloque '%s'"
"Edit Email Template","Editar plantilla de Email"
"Edit Poll","Editar Encuesta"
"Edit Role","Editar Rol"
"Edit System Template","Editar plantilla de sistema"
"Edit Template","Editar plantilla"
"Edit User","Editar usuario"
"Edit User '%s'","Editar usuario '%s'"
"Edit Website","Editar sitio web"
"Email","Correo"
"Email to a Friend","Envíar a un amigo"
"Enable","Habilitar"
"Enabled","Habilitado"
"Expiration Date","Fecha de finalización"
"Expiration Date: %s/%s","Fecha de finalización: %s/%s"
"Export","Exportar"
"Export CSV","Exportar CSV"
"Export to:","Exportar a:"
"FTP Host[:Port]","Host FTP[:Puerto]"
"Failed","Fallido"
"Field","Campo"
"Field Mapping","Mapeo de Campos"
"File","Archivo"
"File Information","Información del Archivo"
"File name:","Nombre de Archivo:"
"File size should be more than 0 bytes","El tamaño del archivo debe ser mayor que 0 bytes"
"Finished profile execution.","Finalizada la ejecución del perfil."
"First Name","Nombre"
"First Name:","Nombre:"
"Fixed","corregido"
"For category","Por categoría"
"For latest version visit: %s","Por la última versión visitada: %s"
"For product","Por producto"
"Forgot your password?","¿Olvidó su contraseña?"
"Forgot your user name or password?","¿Olvidó su nombre de usuario o contraseña?"
"From","De"
"General Information","Información general"
"Global Attribute","Características globales"
"Global Record Search","Búsqueda de archivos global"
"Grand Total","Total"
"Grid (default) / List","Cuadrícula (defecto) / Lista"
"Guest","Invitado"
"HTTP (unsecure)","HTTP (no seguro)"
"Help Us Keep Magento Healthy - Report All Bugs","Ayúdanos a mantener a Magento saludable - <a href=""http://www.magentocommerce.com/bug-tracking"" target=""varien_external""><strong>Reporta todos los bugs</strong></a>"
"Home","Inicio"
"ID Path","Ruta ID"
"IP Address","Dirección IP"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si no se especifica un valor de opción para una vista específica tienda entonces se usará la (Admin) valor predeterminado."
"Images (.gif, .jpg, .png)","Imágenes (.gif, .jpg, .png)"
"Import","Importar"
"Inactive","Inactivo"
"Interface Locale: %s","Interfaz Local: %s"
"Invalid data","Datos incorrectos"
"Invoices","Facturas"
"Is Default","Es Predeterminado"
"Last Name","Apellido"
"Lifetime Sales","Ventas de por vida"
"List (default) / Grid","Reporte (por defecto) / Rejilla"
"Loading...","Cargando..."
"Log Out","Salir"
"Log in to Admin Panel","<em>Ingresar</em> al Panel de Administración"
"Log into Magento Admin Page","Entrar en la página de administración de Magento"
"Logged in as %s","Identificado como <strong>%s</strong>"
"Login","Ingreso"
"Magento Admin","Admin Magento"
"Magento Commerce - Administrative Panel","Magento Commerce - Panel administrativo"
"Magento Logo","Logo Magento"
"Manage Attribute Sets","Administrar Conjuntos de Atributos"
"Manage Attributes","Administrar Atributos"
"Manage Categories","Administrar Categorías"
"Manage Customers","Gestionar clientes"
"Manage Options (values of your attribute)","Administrar Opciones (valores de sus atributos)"
"Manage Ratings","Gestionar valoraciones"
"Manage Titles (Size, Color, etc.)","Administrar Titulos (Tamaño, Color, etc.)"
"Messages Inbox","Mensajes en Bandeja"
"Month","Mes"
"Most Viewed","Más Vistos"
"Most Viewed Products","Productos Mas Vistos"
"Multiple Select","Seleccion Multiple"
"My Account","Mi Cuenta"
"N/A","N/D"
"Name","Nombre"
"Name on the Card: %s","<strong>Nombre que aparece en la tarjeta:</strong> <span class=""nowrap"">%s</span>"
"New Block","Nuevo Bloque"
"New Category","Nueva Categoría"
"New Email Template","Nueva plantilla de Correo"
"New Page","Nueva Página"
"New Password","Nueva contraseña"
"New Poll","Nueva Encuesta"
"New Rating","Nueva Clasificación"
"New Rule","Nueva Regla"
"New Search","Nueva Busqueda"
"New Sitemap","Nuevo Mapa del Sitio"
"New System Template","Nueva plantilla del sistema"
"New Tag","Nueva etiqueta"
"New Template","Nueva plantilla"
"New User","Nuevo usuario"
"New Website","Nuevo Sitio Web"
"Newsletter","Boletín"
"No Templates Found","No se han encontrado plantillas"
"No records found.","No se han encontrado resultados."
"None","Ninguno"
"Notifications","Notificaciones"
"Number of Uses","Número de usos"
"Number of Views","Número de vistas"
"Options","Opciones"
"Options is required","Se requiere Opciones"
"Order #%s","orden #%s"
"Order #%s (%s)","Pedido #%s (%s)"
"Order Totals","Total de pedidos"
"Orders","Pedidos"
"Out of stock","Sin existencia"
"Password","Contraseña"
"Password Confirmation","Confirmar contraseña"
"Password:","Contraseña:"
"Pending Tags","Etiquetas pendientes"
"Per Item","Por producto"
"Per Order","Por Orden"
"Permissions","Permisos"
"Personal Information","Información personal"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor"
"Please make sure that all global admin search modules are installed and activated.","Por favor"
"Poll Manager","Gestionar encuestas"
"Position","Posición"
"Preview","Previsualización"
"Preview Template","Previsión de la Plantilla"
"Price","Precio"
"Price:","Precio:"
"Product","Producto"
"Product Name","Nombre del Producto"
"Product Reviews","Comentarios del Producto"
"Products","Productos"
"Promo","Promoción"
"Promotions","Promociones"
"Rates","Tasas"
"Recent Orders","Pedidos recientes"
"Redirect","Redirigir"
"Region/State","Region/Estado"
"Regular Price:","Precio Habitual:"
"Reject","Rechazar"
"Remove","Remover"
"Reports","Reportes"
"Required","Obligatorio"
"Reset","Resetear"
"Reset Filter","Restablecer filtro"
"Results","Resultados"
"Return Html Version","Volver a la versión HTML"
"Revenue","Ingreso"
"Reviews","Comentarios"
"Reviews and Ratings","Opiniones y Clasificaciones"
"Role ID","Identificador de rol"
"Role Info","Información del Rol"
"Role Information","Información de rol"
"Role Name","Nombre del rol"
"Role Resources","Recursos del Rol"
"Role Users","Rol de usuarios"
"Roles","Reglas"
"Roles Resources","Recursos por Rol"
"Sales Report","Reporte de ventas"
"Save","Guardar"
"Save Account","Grabar cuenta"
"Save Block","Guardar Bloque"
"Save Role","Guardar rol"
"Save Template","Guardar plantilla"
"Save User","Guardar usuario"
"Search","Buscar"
"Search entire store here...","Buscar en toda la tienda..."
"Select All","Seleccionar todos"
"Sender","Remitente"
"Shipments","Envios"
"Shipping","Envio"
"Shipping Address","Dirección de Embarque"
"Shipping Price","Precio de envío"
"Shopping Cart","Carro de Compra"
"Sorry, this feature is coming soon...","Lo sentimos, pronto estará disponible esta opción..."
"Special Price:","Precio Especial:"
"Starting at:","Iniciando en:"
"Static Blocks","Bloques Estaticos"
"Status","Estado"
"Store","Tienda"
"Subject","Asunto"
"Synchronize","Sincronizar"
"System","Sistema"
"Tags","Etiquetas"
"Tax","Impuestos"
"Template Content","Plantilla de contenido"
"Template Information","Plantilla de información"
"Template Name","Nombre de plantilla"
"Template Subject","Tema de la Plantilla"
"Template Type","Tipo de plantilla"
"Terms and Conditions","Terminos y Condiciones"
"Text","Texto"
"This account is","Esta cuenta es"
"This attribute shares the same value in all the stores","Este atributo comparte el mismo valor en todas las tiendas"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta es una tienda de demostración. Cualquier pedido realizado a través de ésta tienda no será tenido en cuenta ni despachado."
"To","a"
"Toggle Editor","Cambiar a editor"
"Tools","Herramientas"
"Track Order","Rastrear Pedido"
"Transactional Emails","Emails de transacciones"
"Type","Tipo"
"Unknown","Desconocido"
"Unlimited","Ilimitado"
"Use Default","Usar por Defecto"
"User Email","Email de usuario"
"User ID","ID de Usuario"
"User Info","Información de usuario"
"User Information","Información de usuario"
"User Name","Nombre de usuario"
"User Name:","Nombre de usuario:"
"User Password","Contraseña Usuario"
"User Role","Rol de Usuario"
"User Roles","Roles de usuarios"
"User Roles Information","Usar reglas de información"
"Users","Usuarios"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Estamos al teclado, codificando nuevas características para Magento.<br/>Gracias por tu paciencia."
"Website","Sitio Web"
"What is this?","¿Qué es esto?"
"Wishlist Report","Reporte de Lista"
"Yes","Si"
"Zip/Postal Code","Zip/Código postal"
"critical","crítico"
"major","mayor"
"minor","menor"
"notice","noticia"
