"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl impuesto."
"%s Item(s)","%s Artículo(s)"
"(Copy data from: %s)","(Copiar datos de: %s)"
"Edit Search","Editar Busqueda"
"Edit Search '%s'","Editar Busqueda '%s'"
"Email","Correo"
"Email to a Friend","Envíar a un amigo"
"Empty","Vacío"
"Enabled","Habilitado"
"Error during retrieval of option value: %s","Error durante la recuperación del valor de la opción: %s"
"Expand All","Expandir Todo"
"Failed","Fallido"
"Failed to move file: %s","Fallo al mover archivo: %s"
"Feature Products","Caracteristica de Productos"
"File upload failed","Subir archivo falló"
"Filterable (no results)","Filtrable (sin resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"First Name","Nombre"
"Fixed","corregido"
"Frontend Model","Modelo Frontend"
"Frontend Properties","Propiedades Frontend"
"Gallery","Gallería"
"General Information","Información general"
"Get special price","Obtén precio especial"
"Globally Editable","Editable Globalmente"
"Go to Home Page","Ir a Inicio"
"Grid","Rejilla"
"Grouped Product","Producto Agrupado"
"Groups","Grupos"
"Home","Inicio"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si no se especifica un valor de opción para una vista específica tienda entonces se usará la (Admin) valor predeterminado."
"Image","Imagen"
"Image content is not valid base64 data.","Contenido de la imagen no es base64 válido."
"Image type and information need to be specified for each store view.","Tipo de imagen y la información deben especificarse para cada vista de tienda."
"In Stock","En Existencia"
"In stock","En existencia"
"Input Type","Tipo de ingreso"
"Integer","Entero"
"Invalid Tier Prices","Nivel de Precios Invalido"
"Invalid attribute %s","Atributo invalido %s"
"Invalid image type.","Tipo imagen no válida"
"Invalid store specified","Tienda especificada no válida"
"Inventory","Inventario"
"Is Default","Es Predeterminado"
"Is Required","Es Obligatorio"
"Items %s to %s of %s total","%s Artículos a %s de %s total"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no desea mostrar en el catálogo o resultados de búsqueda deben tener el estado Desactivado"" en la tienda deseada."""
"Keep your eyes open for our special Back to School items and save A LOT!","Mantenga sus ojos abiertos para nuestros artículos especiales al Volver al Colegio y ahorra MAS!"
"Label","Etiqueta"
"Last Name","Apellido"
"Last Notification","Última Notificación"
"Learn More","Leer más"
"Line %d, Email: %s","Linea %d, Correo Electronico: %s"
"Line %d, SKU: %s","Linea %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Enlace (Relacionado, Hasta Vender, Venta Cruzada)"
"List","Lista"
"List Mode","Modo Lista"
"Manage Attribute Sets","Administrar Conjuntos de Atributos"
"Manage Attributes","Administrar Atributos"
"Manage Catalog Categories","Administrar Catálogo Categorías"
"Manage Categories","Administrar Categorías"
"Manage Label / Options","Administrar Etiqueta / Opciones"
"Manage Options (values of your attribute)","Administrar Opciones (valores de sus atributos)"
"Manage Product Attributes","Administrat Atributos de Productos"
"Manage Product Sets","Administrar Conjuntos de Producto"
"Manage Products","Administrar Productos"
"Manage Stock","Administrar Inventario"
"Manage Titles (Size, Color, etc.)","Administrar Titulos (Tamaño, Color, etc.)"
"Max Characters","Max Caracteres"
"Maximal Depth","Profundidad Maxima"
"Maximum Image Size","Tamaño Maximo de Imagen"
"Maximum Qty Allowed in Shopping Cart","Máxima Cantidad permitido en el carro de compra"
"Maximum image height","Altura máxima de imagen"
"Maximum image width","Ancho máximo de imagen"
"Media Image","Imagen Medio"
"Minimum Qty Allowed in Shopping Cart","Mínima Cantidad permitida en el carro de compra"
"Minimum Qty for Item's Status to be Out of Stock","Cantidad Mínima en Estado del Articulo para estar Agotado"
"More Views","Más Vistas"
"Move","Mover"
"Move category in tree","Move categoría en árbol"
"My Account","Mi Cuenta"
"N/A","N/D"
"Name","Nombre"
"New Product","Nuevo Producto"
"New Product Attribute","Nuevo Atributo de Producto"
"New Products","Nuevos Productos"
"New Search","Nueva Busqueda"
"New Set Name","Nuevo Conjunto de Nombre"
"Next","Siguiente"
"No image","Sin imagen"
"No layout updates","Sin actualizaciones de diseño"
"No options of this product are available.","No hay opciones disponibles para este producto"
"None","Ninguno"
"Notify Low Stock RSS","Notifique Baja Cantidad RSS"
"Notify for Quantity Below","Notifique Baja Cantidad"
"Number of Uses","Número de usos"
"OR","O"
"Old Price:","Precio Anterior:"
"Option:","Opción:"
"Options","Opciones"
"Options Control","Control de Opciones"
"Options is required","Se requiere Opciones"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nuestro servicio al cliente está disponible 24/7. Llámenos al (555) 555-0123."
"Out of Stock","Sin Existencia"
"Out of stock","Sin existencia"
"Page Title Separator","Titulo de Separador de Página"
"Parent Category","Categoría Padre"
"Pending","Pendiente"
"Pending Reviews RSS","Pendiente Comentarios RSS"
"Percentage","Porcentaje"
"Please add rows to option.","Por favor, añadir filas a la opción."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Por favor, tenga cuidado ya que una vez que se hace clic en la fila que cargará los datos de paquetes forman el archivo seleccionado y se perderán todos los datos del formulario no guardados."
"Please enter a new group name","Por favor, introduzca un nuevo nombre de grupo"
"Please select one or more attributes.","Por favor, seleccione uno o más atributos."
"Please select products for attributes update","Por favor seleccione los productos para los atributos de actualización"
"Please specify the product required option(s)","Por favor, especifique la opción de producto requerido(s)"
"Position","Posición"
"Position of attribute in layered navigation block","Posición de atributo en el bloque de navegación por capas"
"Prev","Ante"
"Previous","Anterior"
"Price","Precio"
"Price Type","Tipo de Precios"
"Price values for options should be specified in system base currency.","Los valores del precio para las opciones deben ser especificadas en la moneda del sistema."
"Price:","Precio:"
"Print This Page","Imprimir esta Página"
"Product","Producto"
"Product API","API de Producto"
"Product Alerts","Alertas de Producto"
"Product Attribute","Atributo de Producto"
"Product Attributes","Atributos de Producto"
"Product Categories","Categorías de Producto"
"Product Description","Descripción del Producto"
"Product Image Placeholders","Marcadores de Imagen del Producto"
"Product Image Watermarks","Marcas de Agua en Imagen del Producto"
"Product Images","Imagenes del Producto"
"Product Images API","API Imagenes del Producto"
"Product In Websites","Producto en Pagina Web"
"Product Info Column","La información de Columna del Producto"
"Product Information","Información de Producto"
"Product Name","Nombre del Producto"
"Product Reviews","Comentarios del Producto"
"Product Tags","Etiquetas del Producto"
"Product Tier Price API","Producto Nivel Precio API"
"Product Type","Tipo de Producto"
"Product URL Suffix","Sufijo URL del Producto"
"Product attribute sets API","API Conjuntos de atributos del Producto"
"Product attributes API","API atriburos del Producto"
"Product types API","API tipos de Producto"
"Product with this combination of attributes already associated to configurable.","Producto con esta combinación de atributos ya está asociada a configurable."
"Products","Productos"
"Products Information","Información de Productos"
"Products Reviews","Comentarios de Productos"
"Products Sitemap","Mapa del sitio de Productos"
"Products only","Sólo Productos"
"Properties","Propiedades"
"Qty","Cant."
"Qty Uses Decimals","Cantidad Usa Decimales"
"Qty:","Cant:"
"Quick Create","Creación Rápida"
"Quick Overview","Descripción Rápida"
"Quick simple product creation","Rápida creación de productos simples "
"Redirect","Redirigir"
"Redirect URL","Redirigir URL"
"Regular Price:","Precio Habitual:"
"Related Products","Productos Relacionados"
"Remove","Remover"
"Remove Product From Websites","Eliminar Producto del Sitio Web"
"Remove This Item","Eliminar Este Artículo"
"Remove product assignment","Eliminar asignación producto"
"Remove product image","Eliminar imagen producto"
"Remove product link","Eliminar enlace producto"
"Reset","Resetear"
"Results","Resultados"
"Retrieve attribute data","Recuperar datos de atributos"
"Retrieve attribute list","Recuperar lista de atributos"
"Retrieve attribute options","Recuperar opciones de atributo"
"Retrieve categories tree","Recuperar árbol de categorías"
"Retrieve category attributes","Recuperar atributos categoría"
"Retrieve category data","Recuperar datos de categoría"
"Retrieve hierarchical tree","Recuperar árbol jerárquico"
"Retrieve linked products","Recuperar productos vinculados"
"Retrieve list of assigned products","Recuperar lista de productos asignados"
"Retrieve one level of categories by website/store view/parent category","Recuperar un nivel de categorías por website/store view/parent categorías"
"Retrieve product","Recuperar producto"
"Retrieve product attribute sets","Recuperar conjuntos de atributos del producto"
"Retrieve product image","Recuperar la imagen del producto"
"Retrieve product image list","Recuperar lista de imágenes del producto"
"Retrieve product image types","Recuperar los tipos de imagen del producto"
"Retrieve product link type attributes","Recuperar atributos de tipo de enlace de producto"
"Retrieve product link types","Recuperar tipos de vínculos producto"
"Retrieve product tier prices","Recuperar los precios de nivel de producto"
"Retrieve product types","Recuperar tipos de productos"
"Retrieve products data","Recuperar datos de productos"
"Retrieve products list by filters","Recuperar lista de productos por los filtros"
"Reviews","Comentarios"
"Roll Over for preview","Desplácese sobre la vista previa"
"Root","Raiz"
"Save","Guardar"
"Save Attribute","Guardar Atributo"
"Save Attribute Set","Guardar Conjunto de Atributo"
"Save Category","Guardar Categoría"
"Save Search","Guarda Busqueda"
"Scope","Rango"
"Scope must not be changed, because the attribute is used in configurable products.","Ámbito de aplicación no debe ser cambiado, porque el atributo se utiliza en productos configurables."
"Search","Buscar"
"Search Engine Optimizations","Optimización de Motores de Busqueda"
"Search Information","Información de Busqueda"
"Search Query","Buscar Resultados"
"Searchable","Investigable"
"Select Configurable Attributes ","Seleccionar atributos configurables "
"Select type of option","Seleccione el tipo de opción"
"Select type options required values rows.","Seleccione tipo de opciones requieren valores filas."
"Selected Product Types","Tipos de Productos Seleccionados"
"Send Count","Enviar Conteo"
"Set Ascending Direction","Seleccionar Dirección Ascendente"
"Set Descending Direction","Seleccionar Dirección Descendente"
"Set Name","Establecer Nombre"
"Set root category for this store in the <a href=""%s"">configuration</a>","Establecer categoría raiz para la tienda en la <a href=""%s"">configuración</a>"
"Set special price","Establecer precio especial"
"Set/Get current store view","Establecer/Obtener Vista Tienda"
"Settings","Configuración"
"Shopping Options","Opciones de Compra"
"Show","Mostrar"
"Show Details","Mostrar Detalles"
"Show Tags","Mostrar Etiquetas"
"Simple Product","Producto Simple"
"Site Map","Mapa del Sitio"
"Sitemap","Mapa del sitio"
"Sort Order","Ordenar por tipo"
"Source Model","Modelo Fuente"
"Special Price:","Precio Especial:"
"Starting at:","Iniciando en:"
"Static","Estatico"
"Static block and products","Bloque estático y productos"
"Static block only","Bloque estático solamente"
"Status","Estado"
"Stock Availability","Existencia Disponible"
"Store","Tienda"
"Stretch","Tramo"
"Subscribe to RSS Feed","Suscripción a Canal RSS"
"Super product attributes configuration","Súper atributos de producto configuración"
"Synonym For","Sinonimo Para"
"System Properties","Propiedades de Sistema"
"Tag Name","Nombre de Etiqueta"
"Tax","Impuestos"
"Text","Texto"
"There are no %s available.","No hay %s disponible."
"There are no customers for this alert","No hay clientes para esta alerta"
"There are no products matching the selection.","No hay productos que concuerden con la selección."
"This attribute no longer exists","Este atributo ya no existe"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contiene atributos, utilizados en productos configurables. Por favor, mueva estos atributos a otro grupo y vuelva a intentarlo."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos del sistema. Por favor, mueva los atributos del sistema a otro grupo y vuelva a intentarlo."
"This is a required option","Esta es una opción obligatoria"
"Title","Titulo"
"Top/Left","Arriba/Izquierda"
"Top/Right","Arriba/Derecha"
"Total Qty Base Items","Total Cantidad de Artículos"
"Total incl. Tax: %1$s","Total incl. impuesto: %1$s"
"Type","Tipo"
"Unassigned Attributes","Atributos no Asignados"
"Update Attributes","Actualizar Atributos"
"Update Tier Price","Actualizar Nivel de Precio"
"Update assigned product","Actualizar producto asignado"
"Update attributes","Actualizar atributo"
"Update category","Actualizar categoría"
"Update product","Actualizar producto"
"Update product image","Actualizar imagen de producto"
"Update product link","Actualizar enlace de producto"
"Update product tier prices","Actualizar nivel precio de producto"
"Upload new product image ","Subir nueva imagen de producto "
"Use In Search Results Layered Navigation","Utilizar En Resultado de Busqueda Navegación"
"Use JavaScript Calendar","Utilice Calendario JavaScript"
"Use To Create Configurable Product","Utilizar para crear Configurable Producto"
"Use Tree Like Category Sitemap","Utilizar Arbol tal como Categoria de SiteMap"
"Use config","Usar configuración"
"Use default","Usar por defecto"
"View Details","Ver Detalles"
"View as","Ver como"
"Virtual Product","Producto Virtual"
"Visibility","Visibilidad"
"Visible on Catalog Pages on Front-end","Visible en las Páginas de Catálogo de Front-end"
"Visible on Product View Page on Front-end","Visible en Ver el Producto Página en Front-end"
"Watermark","Marca de Agua"
"Watermark Default Size","Marca de Agua Tamaño Predeterminado"
"Watermark Position","Posición de Marca de Agua"
"We Also Recommend","También le recomendamos"
"Website","Sitio Web"
"Wrong option type to get group instance.","Tipo de opción incorrecta para conseguir instancia de grupo."
"Year Range","Rango de Años"
"Yes","Si"
"You cannot remove system attribute from this set.","No se puede quitar atributo de sistema de este conjunto."
"You have no items to compare.","No tiene artículos a comparar."
"You may also be interested in the following product(s)","También puede estar interesado en el siguiente producto(s)"
"Zoom In","Acercar"
"Zoom Out","Alejar"
"and","y"
"and above","y por encima"
"categories","categorías"
"each","cada"
"ex. http://domain.com","ej. http://domain.com"
"leave blank if its not an image","dejar en blanco si no es una imagen"
"per page","por página"
"products","productos"
"save","guardar"
"select all","seleccionar todos"
"unselect all","deseleccionar todos"
