" [deleted]"," [borrado]"
"Customer Reviews","Reseñas de cliente"
"Customer Shopping Carts","Carros de compras del cliente"
"Customer Tax Classes","Clases de impuestos del cliente"
"Customers","Clientes"
"Customers by Number of Orders","Clientes por número de pedidos"
"Customers by Orders Total","Clientes por total de pedidos"
"Dashboard","Panel de control"
"Database","Base de datos"
"Date","Fecha"
"Date & Time","Fecha y hora"
"Date Added","Fecha creación"
"Date selector","Selector de fecha"
"Day","Día"
"Debug","Depurar"
"Default Billing Address","Dirección de pago predeterminada"
"Default Config","Configuración por defecto"
"Default Values","Valores por defecto"
"Default scope","Alcance predeterminado"
"Delete","Eliminar"
"Delete Block","Eliminar bloque"
"Delete File","Eliminar archivo"
"Delete Image","Bild löschen"
"Delete Role","Eliminar Función"
"Delete Store","Eliminar tienda"
"Delete Store View","Eliminar vista de la tienda"
"Delete Template","Eliminar plantilla"
"Delete User","Eliminar usuario"
"Description","Descripción"
"Design","Diseño"
"Details","Detalles"
"Disable","Desactivar"
"Disabled","Deshabilitado"
"Display default currency","Mostrar la divisa predeterminada"
"Download","Descargar"
"Downloads","Descargas"
"Drop-down","Menú desplegable"
"Edit","Editar"
"Edit Block","Editar bloque"
"Edit Block '%s'","Editar Bloque '%s'"
"Edit Design Change","Editar cambio de diseño"
"Edit Email Template","Editar plantilla de correo electrónico"
"Edit Order","Editar pedido"
"Edit Queue","Editar la cola de tareas"
"Edit Review","Editar Comentarios"
"Edit Role","Editar Rol"
"Edit Store View","Editar vista de la tienda"
"Edit System Template","Editar plantilla de sistema"
"Edit Template","Editar la plantilla"
"Edit URL Rewrite","Editar Reescritura URL"
"Edit User","Editar usuario"
"Email","Correo electrónico"
"Email Address:","Correo electrónico:"
"Email to a Friend","Escribir correo electrónico a un amigo"
"Email:","Correo electrónico:"
"Enable","Habilitar"
"Enabled","Habilitado"
"Entity Attributes","Atributos de la entidad"
"Entity Type","Tipo de datos"
"Entity type:","Tipo de entidad:"
"Excl. Tax","Impuestos no incluídos"
"Exclude media folder from backup","Excluir la carpeta de los archivos multimedia de la copia de seguridad"
"Expiration Date","Fecha de vencimiento"
"Export","Exportar"
"Export CSV","Exportar CSV"
"Export to:","Exportar a:"
"FTP Host","FTP Server"
"FTP Host[:Port]","FTP Server[:Port]"
"FTP Login","Inicio de sesión de FTP"
"FTP Password","Contraseña de FTP"
"FTP credentials","Credenciales FTP"
"Failed","Ha fallado"
"File","Archivo"
"File System","Sistema de archivos"
"First Invoice Created Date","Erste Rechnungsstellung"
"First Name","Nombre"
"First Name:","Nombre:"
"Fixed","Fijo"
"Flush Catalog Images Cache","Vaciar memoria cache de imágenes del catalogo"
"Flush JavaScript/CSS Cache","Borrar Memoria Cache de JavaScript/CSS"
"Forgot your password?","¿Olvidaste tu contraseña?"
"From","De"
"General Information","Información general"
"Global Search","Búsqueda global"
"Go Today","Ir a hoy"
"Go to Top","Ir a la parte superior"
"Grand Total","Total"
"Grid (default) / List","Cuadricula (por defecto) / Lista"
"Grid Only","Sólo cuadrícula "
"Guest","Invitado"
"HTTP (unsecure)","HTTP (no seguro)"
"Home","Inicio"
"ID","Número de Identificación (ID)"
"IP Address","Dirección IP"
"IPN (Instant Payment Notification) Only","IPN (notificación de pago instantánea) sólo"
"Images (.gif, .jpg, .png)","Imágenes (.gif, .jpg, .png)"
"Images Cache","Caché de imágenes"
"Import","Importar"
"Import Service","Servicio de importación"
"Import and Export Tax Rates","Importación y exportación de impuestos"
"Import/Export","Importar/Exportar"
"Important: ","Wichtig: "
"Inactive","Inactivo"
"Incl. Tax","Incl. impuestos"
"Incoming Message","Mensaje entrante"
"Insert Variable...","Insertar variable..."
"Invalid Form Key. Please refresh the page.","Clave de formulario inválida. Por favor actualice la página."
"Invalid data","Datos inválidos"
"Invalid parent block for this block","Bloque de matriz no válido para este bloque"
"Invalidated","Invalidado"
"Inventory Stock Status","Situación del inventario de Stock"
"Invoice History","Historial de la factura"
"Invoice Totals","Totales de factura"
"Invoices","Facturas"
"Is Closed","Está cerrado"
"Is Default","Es por defecto"
"Issue Number","Número de emisión"
"Items","Artículos"
"JavaScript seems to be disabled in your browser.","Parece que JavaScript está deshabilitado en su navegador."
"JavaScript/CSS Cache","JavaScript/CSS-Cache"
"Last 24 Hours","Últimas 24 horas"
"Last 7 Days","Últimos 7 días"
"Last Credit Memo Created Date","Fecha de creación ultima nota de crédito"
"Last Invoice Created Date","Fecha de Creación ultima factura"
"Last Logged In:","Último inicio de sesión:"
"Last Name","Apellidos"
"Last Name:","Apellidos:"
"Lifetime Sales","Ventas de por Vida"
"Links","Enlaces"
"List (default) / Grid","Lista (por defecto) / cuadrícula"
"List Only","Sólo lista "
"Load Template","Plantilla de carga"
"Loading...","Cargando..."
"Local Server","Servidor local"
"Locale","Configuración regional"
"Log In","Iniciar sesi&oacute;n"
"Login","Entrar"
"Low Stock","Existencia baja"
"OpenMage Admin","Administración de OpenMage"
"Magento root directory","Directorio de raíz de OpenMage"
"Manage Attribute Sets","Gestionar conjuntos de atributos"
"Manage Categories","Gestionar categorías"
"Manage Currency Rates","Administrar tasas de Moneda"
"Manage Customers","Administrar clientes"
"Manage Ratings","Administrar puntuaciones"
"Manage Stores","Gestionar tiendas"
"Manage Tax Rules","Gestión de las normas fiscales"
"Manage Titles (Size, Color, etc.)","Gestionar títulos (tamaño, color, etc.)"
"Manual","Manuell"
"Maximum sender name length is 255. Please correct your settings.","Longitud de nombre de remitente máximo es 255 caracteres. Corrija la configuración."
"Media (.avi, .flv, .swf)","Videos (.avi, .flv, .swf)"
"Messages Inbox","Bandeja de entrada"
"Month","Mes"
"Most Viewed","Más vistos"
"Most Viewed Products","Productos más vistos"
"Multiple Select","Selección múltiple"
"My Account","Mi Cuenta"
"N/A","No disponible"
"Name","Nombre"
"Never (production)","Nunca (producción)"
"New ","Nuevo "
"New Accounts","Clientes con nuevas cuentas"
"New Attribute","Nuevo atributo"
"New Block","Nuevo bloque"
"New Category","Nueva categoría"
"New Condition","Nueva condición"
"New Custom Variable","Nueva variable personalizada"
"New Customer","Nuevo cliente"
"New Customers","Nuevos Clientes"
"New Email Template","Nueva plantilla de correo electrónico"
"New Group","Nuevo grupo"
"New Invoice","Nueva factura"
"New Memo","Neuer Bestellkommentar"
"New Page","Nueva Página"
"New Password","Nueva contraseña"
"New Rating","Nueva puntuación"
"New Review","Nueva revisión"
"New Role","Nueva función"
"New Rule","Nueva Regla"
"New Search","Nueva búsqueda"
"New Set","Nuevo conjunto"
"New Shipment","Nuevo envío"
"New Sitemap","Nuevo mapa del sitio web"
"New Store View","Nueva vista de tienda"
"New System Template","Nueva plantilla de sistema"
"New Template","Nueva plantilla"
"New User","Nuevo usuario"
"Newsletter","Boletín informativo"
"Newsletter Queue","Cola del boletín informativo"
"Newsletter Subscribers","Suscriptores del boletín informativo"
"Newsletter Templates","Plantillas del boletín informativo"
"No","No 	"
"No (price without tax)","No (precio sin IVA)"
"No Data","No hay datos"
"No Data Found","No se encontraron datos"
"No Templates Found","No se encontraron plantillas"
"No change","Sin cambios"
"No records found.","No hay registros encontrados."
"No search modules were registered","No se registraron módulos de búsqueda"
"None","Ninguno"
"Note:","Nota:"
"Notifications","Notificaciones"
"Number of Orders","Número de pedidos"
"Number of Uses","Número de usos"
"OK","Aceptar"
"Old rate:","Precio antiguo:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Nachdem Sie in Ihr erweitertes PayPal-Konto eingeloggt sind, navigieren Sie zum Menü Service-Einstellungen - gehostete Checkout-Seiten  - Set Up-Menü und legen Sie die unten beschriebenen Optionen an"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Nachdem Sie in Ihr Konto PayPal Payflow Link eingeloggt sind, navigieren Sie zum Menü Service-Einstellungen - gehostete Checkout-Seiten  - Set Up-Menü und legen Sie die unten beschriebenen Optionen an"
"Online Customers","Clientes conectados"
"Only Once (version upgrade)","Solamente una vez (actualización de versión)"
"Optional","Opcional"
"Options","Opciones"
"Order","Encargar"
"Order ID","Pedido ID"
"Order Totals","Totales del pedido"
"Orders","Pedidos"
"Out of stock","Sin stock"
"Pages","Páginas"
"Parent Product Thumbnail","Matriz producto miniatura"
"Parent Transaction ID","ID de transacción principal"
"Password","Contraseña"
"Password Confirmation","Confirmación de contraseña"
"Password:","Contraseña:"
"Pending Reviews","Reseñas pendientes"
"Per Item","Por artículo"
"Per Order","Por Pedido"
"Percent","Porcentaje"
"Period","Período"
"Permanent (301)","(301) Permanente"
"Permissions","Permisos"
"Personal Information","Información Personal"
"Please Select","Bitte auswählen"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirmar cambio de sitio. Se perderán todos los datos que no ha sido guardados."
"Please enter a number greater than 0 in this field.","Por favor, introduzca un número mayor que 0 en este campo."
"Please enter a valid $ amount. For example $100.00.","Ingrese un $ monto válido. Por ejemplo $100.00."
"Please enter a valid credit card number.","Por favor, introduzca un número de tarjeta de crédito válido."
"Please enter a valid date.","Por favor introduce una fecha correcta."
"Please enter a valid email.","Por favor ingrese un email válido."
"Please enter a valid number in this field.","Por favor, introduzca un número válido en este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor ingrese un número de teléfono válido. Por ejemplo (123) 456 - 7890 o 123 - 456 - 7890."
"Please enter a valid value from list","Introduzca un valor válido de la lista"
"Please enter a valid value, ex: 10,20,30","Introduzca un valor válido, Ej.: 10,20,30"
"Please enter a valid zip code.","Introduce un código postal válido."
"Please make sure that all global admin search modules are installed and activated.","Por favor asegúrese de que todos los módulos de búsqueda global del administrador estén instalados y activados."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please select State/Province.","Seleccione Estado/Provincia."
"Please select an option.","Por favor, selecciona una opción."
"Please select customer(s).","Por favor, seleccione los clientes."
"Please select one of the options.","Por favor, seleccione una de las opciones."
"Please select review(s).","Por favor, seleccione revisión(es)."
"Please specify the admin custom URL.","Especifique la URL personalizada de admin."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Utilice sólo letras (a-z o A-z), números (0-9) o espacios en este campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato para fechas: dd/mm/aaaa. Por ejemplo, 17/03/2006 para el 17 de marzo de 2006."
"Please wait...","Por favor, espere..."
"Position","Destacados"
"Preview","Vista previa"
"Preview Template","Vista previa de la plantilla"
"Price","Precio"
"Price:","Precio:"
"Processing","Procesando"
"Product","Producto"
"Product Name","Nombre del Producto"
"Product Reviews","Reseñas de artículo"
"Product Thumbnail Itself","Productos por sí mismos en miniatura"
"Product:","Producto:"
"Products","Productos"
"Products Bestsellers Report","Informe de artículos más vendidos"
"Products Most Viewed Report","Bericht meistgesehene Artikel"
"Products Ordered","Artículos pedidos"
"Products in Carts","Artículos en carritos"
"Promo","Promoción"
"Promotions","Promociones"
"Quantity","Cantidad"
"Radio Buttons","Botones de radio"
"Rebuild","Reconstruir"
"Rebuild Catalog Index","Reconstrucción del índice de catálogo"
"Rebuild Flat Catalog Category","Reconstruir Tabla Plana de Categoría"
"Rebuild Flat Catalog Product","Reconstruir Tabla Plana de Productos"
"Recent Orders","Pedidos recientes"
"Recent statistics have been updated.","Recientes estadísticas han sido actualizadas."
"Reference ID","ID de referencia"
"Refresh","Actualizar"
"Refresh Statistics","Actualizar estadísticas"
"Region/State","Región/Provincia"
"Regular Price:","Precio Normal:"
"Reload captcha","Recargar captcha"
"Remote FTP","FTP remoto"
"Remove","Quitar"
"Reports","Informes"
"Request Path","Solicitar ruta de acceso"
"Required","Obligatorio"
"Reset","Restablecer"
"Reset Filter","Restablecer filtro"
"Reset Password","Restablecer contraseña"
"Reset a Password","Reinicializar contraseña"
"Resource Access","Acceso a los recursos"
"Resources","Recursos"
"Results","Resultados"
"Retrieve Password","Recuperar contraseña"
"Return Html Version","Volver versión Html"
"Revenue","Ingresos"
"Reviews","Reseñas"
"Role Info","Información de la función"
"Role Information","Información del rol"
"Role Name","Nombre del puesto"
"Role Resources","Recursos de la función"
"Role Users","Funciones del usuario"
"Roles","Funciones"
"Roles Resources","Funciones de recursos"
"Root Category","Categoría raíz"
"Run","Ejecutar"
"SKU","Art"
"Sales","Ventas"
"Sales Report","Informe de ventas"
"Samples","Muestras"
"Save","Guardar"
"Save & Generate","Guardar y generar"
"Save Account","Guardar cuenta"
"Save Block","Guardar Bloque"
"Save Cache Settings","Guardar la configuración de caché"
"Save Config","Guardar configuración"
"Save Currency Rates","Guardar los Tipos de Cambio"
"Save Role","Guardar Rol"
"Save Template","Guardar la plantilla"
"Save User","Guardar usuario"
"Save and Continue Edit","Guardar y continuar editando"
"Search","Buscar"
"Search Index","Índice de Búsqueda"
"Search Term","Término de búsqueda"
"Search Terms","Búsquedas populares"
"Search entire store here...","Buscar en toda la tienda..."
"Select","Seleccionar"
"Select All","Seleccionar Todo"
"Select Category","Seleccione Categoría"
"Select Date","Seleccionar fechas"
"Sender","Remitente"
"Separate Email","Separar correo electrónico"
"Shipment Comments","Comentarios del envío"
"Shipment History","Historial de envío"
"Shipments","Envíos"
"Shipping","Envío"
"Shipping Address","Dirección de envío"
"Shipping Address: ","Dirección de envío: "
"Shipping Origin","Origen del envío"
"Shipping Price","Precio de envío"
"Shopping Cart","Carrito de compras"
"Show By","Mostrar por"
"Show Report For:","Ver informe de:"
"Show Reviews","Mostrar comentarios"
"Sitemap Information","Información mapa del sitio"
"Skip Category Selection","Saltar selección de categoría"
"Special Price:","Precio Promocional:"
"Specific Countries","Especifique países"
"Specified","Especificado"
"Start Date","Fecha de inicio"
"State/Province:","Estado/Provincia:"
"Static Blocks","Bloques estáticos"
"Status","Estado"
"Status:","Estado:"
"Store","Tienda"
"Store View","Vista de la tienda"
"Store:","Tienda:"
"Stores","Tiendas"
"Subject","Asunto"
"Submit","Enviar"
"Switch/Solo/Maestro Only","Únicamente Switch/Solo/Maestro"
"Synchronize","Sincronizar"
"Synchronizing...","Sincronización..."
"System","Sistema"
"Tags","Etiquetas"
"Target Path","Ruta de destino"
"Tax","Impuesto"
"Template","Plantilla"
"Template Content","Contenido de plantilla"
"Template Information","Información de plantilla"
"Template Name","Nombre de plantilla"
"Template Styles","Estilos de plantilla"
"Template Subject","Asunto de la plantilla"
"Template Type","Tipo de plantilla"
"Temporary (302)","(302) Temporal"
"Terms and Conditions","Términos y condiciones"
"Text","Texto"
"The JavaScript/CSS cache has been cleaned.","Se ha limpiado la memoria caché de JavaScript/CSS."
"The OpenMage cache storage has been flushed.","La memoria cache de magento se vació."
"The URL Rewrite has been saved.","La reescritura de URL se ha guardado."
"The attribute set has been removed.","Se ha eliminado el conjunto de atributos."
"The credit memo has been canceled.","La factura rectificada ha sido cancelada."
"The image cache was cleaned.","Se ha limpiado el caché de la imagen."
"The invoice has been captured.","La factura ha sido capturada."
"The invoice has been created.","La factura ha sido creada."
"The invoice has been voided.","La factura ha sido anulada."
"The order no longer exists.","Este pedido ya no existe."
"The shipment has been created.","El envío ha sido creado."
"The transaction details have been updated.","Se han actualizado los detalles de la transacción."
"There is an error in one of the option rows.","Hay un error en una de las opciones de las filas."
"This account is","Esta cuenta es"
"This action cannot be undone.","Esta acción no se puede deshacer."
"This block no longer exists.","Este bloque ya no existe."
"This is a required field.","Este es un campo obligatorio."
"This user no longer exists.","Este usuario ya no existe."
"Time","Hora"
"To","Para"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Wenn Sie PayPal-Payflow-Link verwenden möchten, müssen Sie Ihr PayPal-Payflow-Link-Konto auf der PayPal-Webseite konfigurieren."
"Tools","Herramientas"
"Total","Totals"
"Total Invoiced","Total facturado"
"Total Refunded","Total reembolsado"
"Track Order","Seguimiento de pedidos"
"Track this shipment","Realizar un seguimiento de este envío"
"Transaction Data","Datos de la transacción"
"Transaction Details","Detalles de la transacción"
"Transaction ID","Número identificativo de la transacción"
"Transaction Type","Tipo de transacción"
"Transactional Emails","Correos electrónicos transaccionales"
"Transactions","Transacciones"
"Type","Tipo"
"Type:","Tipo:"
"URL Rewrite Information","Información de reescritura URL"
"URL Rewrite Management","Gestión de reescritura de URL"
"Unknown","Desconocido"
"Unlimited","Ilimitado"
"Update","Actualizar"
"Updated At","Actualicado el"
"Upload File","Subir archivo"
"Upload Files","Subir archivos"
"Use All Available Attributes","Utilizar todos los atributos disponibles"
"Use Config Settings","Usar opciones de configuración"
"Use Default","Usar predeterminado"
"Use Default Value","Usar Valor Predeterminado"
"Use Default Variable Values","Usar valores de variable predeterminados"
"Use FTP Connection","Usar conexión FTP"
"Use Website","Uso del Website"
"User Email","Correo electrónico del usuario"
"User ID","ID de Usuario"
"User Info","Información de usuario"
"User Information","Información de usuario"
"User Name","Usuario"
"User Password","Contraseña de usuario"
"User Role","Cargo del usuario"
"User Roles","Rol del usuario"
"User Roles Information","Información de las funciones de usuario"
"Users","Usuarios"
"Validation Results","Resultados de la validación"
"Value","Valor"
"Variable Code","Código de variable"
"Variable HTML Value","Valor de la variable HTML"
"Variable Name","Nombre de la variable"
"Variable Plain Value","Valor de variable simple"
"View Full Size","Ver tamaño completo"
"View Statistics For:","Ver estadísticas de:"
"Warning","Advertencia"
"Website","Página web"
"What is this?","¿Qué es esto?"
"Year","Año"
"Yes","Si"
"Yes (301 Moved Permanently)","Sí (301 movido permanentemente)"
"Yes (302 Found)","Sí (302 encontrados)"
"Yes (only price with tax)","Sí (sólo precio con IVA)"
"You cannot delete your own account.","No puedes eliminar tu propia cuenta."
"You have logged out.","Has cerrado la sesión."
"Your password reset link has expired.","Su enlace de restablecimiento de contraseña ha caducado."
"Zip/Postal Code","Código Postal"
"[ deleted ]","[ eliminado ]"
"[STORE VIEW]","[VISTA DE TIENDA]"
"[WEBSITE]","[WEBSEITE]"
"close","cerrar"
"critical","crítica"
"example: sitemap.xml","ejemplo: sitemap.xml"
"failed","error"
"from","a partir de"
"major","mayor"
"minor","menor"
"notice","aviso"
"successful","exitoso"
"to","hasta"
