"* Required Fields","* Campos Requeridos"
"Default Billing Address","Dirección de pago predeterminada"
"Default Group","Grupo (predeterminado)"
"Default Shipping Address","Dirección de envío predeterminada"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor predeterminado para desactivar automático cambios basado en ID de IVA"
"Default Welcome Email","Correo de bienvenida (predeterminado)"
"Delete","Eliminar"
"Delete Customer","Eliminar Cliente"
"Delete Customer Group","Borrar grupo de clientes"
"Deleted Stores","Tiendas borradas"
"Details","Detalles"
"Disabled","Deshabilitado"
"Edit","Editar"
"Edit Account Information","Editar información de la cuenta"
"Edit Address","Editar dirección"
"Edit Customer Groups","Editar grupos del cliente"
"Edit Group","Editar grupo"
"Email","Correo electrónico"
"Email Address","Correo Electrónico"
"Email Sender","Remitente de correo electrónico"
"Email:","Correo electrónico:"
"Enable Automatic Assignment to Customer Group","Habilitar la asignación automática al grupo de clientes"
"First Name","Nombre"
"Forgot Email Template","Plantilla para recordatorio de correo electrónico"
"Forgot Password","He olvidado la contraseña"
"Forgot Your Password?","¿Olvidaste tu contraseña?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde <em>Mi Perfil de Cuenta</em> podr&aacute; ver y consultar sus &uacute;ltimas actividades y actualizar la informaci&oacute;n de su Cuenta. Seleccione un link de la parte inferior para ver o editar su informaci&oacute;n."
"Gender","Sexo"
"General Subscription","Suscripción general"
"Generate Human-Friendly Customer ID","Generar ID de cliente amigable"
"Global","General"
"Group","Grupo"
"Group Information","Información del grupo"
"Group Name","Nombre del grupo"
"Group for Invalid VAT ID","Grupo para ID del IVA no válido"
"Group for Valid VAT ID - Domestic","Grupo para ID del IVA válido - Doméstico"
"Group for Valid VAT ID - Intra-Union","ID de IVA válido para grupo - instraunión"
"Guest","Invitado"
"Hello, %s!","Bienvenido/a, %s!"
"ID","Número de Identificación (ID)"
"IP Address","Dirección IP"
"If you have an account with us, please log in.","Si posee una cuenta, por favor inicie sesi&oacute;n."
"Invalid current password","La contrase&ntilde;a actual es inv&aacute;lida"
"Invalid login or password.","Clave o usuario inválido."
"Last Activity","Última actividad"
"Last Date Subscribed","Última fecha de suscripción"
"Last Date Unsubscribed","Última fecha de abandonar suscripción"
"Last Name","Apellidos"
"Leave empty for default (15 minutes).","Dejar en blanco para tomar el valor por defecto (15 minutos)."
"Lifetime Sales","Ventas de por Vida"
"Log In","Iniciar sesi&oacute;n"
"Login","Entrar"
"Login Information","Informaci&oacute;n de sesi&oacute;n"
"Login Options","Opciones para el acceso"
"Manage Addresses","Gestionar direcciones"
"Manage Customers","Administrar clientes"
"Month","Mes"
"My Account","Mi Cuenta"
"My Dashboard","Mi Perfil"
"My Orders","Mis pedidos"
"Name","Nombre"
"Name and Address Options","Opciones de nombre y dirección"
"Never","Nunca"
"New Address","Nueva dirección"
"New Customer","Nuevo cliente"
"New Customer Group","Nuevo grupo de clientes"
"New Customer Groups","Nuevos grupos de clientes"
"New Customers","Nuevos Clientes"
"New Group","Nuevo grupo"
"New Password","Nueva contraseña"
"Newsletter","Boletín informativo"
"Newsletter Information","Información del boletín informativo"
"Newsletter Subscription","Suscripción al boletín informativo"
"Newsletters","Boletines informativos"
"No Items Found","No se encontraron artículos"
"No Newsletter Found","No se encontraron boletines informativos"
"No item specified.","Sin elemento especificado."
"Not Sent","No enviado"
"Offline","Desconectado"
"Online","Conectado"
"Online Customers","Clientes conectados"
"Online Customers Options","Opciones para clientes conectados"
"Online Minutes Interval","Intervalo de minutos con conexión"
"Order #","Pedido #"
"Order Total","Total del pedido"
"Orders","Pedidos"
"Password","Contraseña"
"Password Options","Opciones de contraseña"
"Password forgotten","Recordatorio de contraseña"
"Password:","Contraseña:"
"Paused","En pausa"
"Pending","Pendiente"
"Per Website","Por sitio web"
"Personal Information","Información Personal"
"Please enter a number 1 or greater in this field.","Por favor, introduzca número 1 o mayor en este campo."
"Please enter the city.","Por favor, introduzca la ciudad."
"Please enter the country.","Por favor, introduzca el país."
"Please enter the first name.","Por favor, introduzca el nombre."
"Please enter the last name.","Por favor, introduzca el apellido."
"Please enter the state/province.","Por favor, introduzca el estado/provincia."
"Please enter the street.","Por favor, introduzca la calle."
"Please enter the zip/postal code.","Por favor, introduzca el código postal."
"Please enter your email.","Por favor, introduzca su dirección de correo electrónico."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Prefix Dropdown Options","Opciones para listas desplegables con prefijo"
"Price","Precio"
"Product","Producto"
"Product ID","ID de artículo"
"Product Name","Nombre del Producto"
"Product Reviews","Reseñas de artículo"
"Qty","Cantidad"
"Recent Orders","Pedidos recientes"
"Recovery Link Expiration Period (hours)","Período de expiración del enlace de recuperación (horas)"
"Redirect Customer to Account Dashboard after Logging in","Redirigir a los clientes al Panel de Control de la cuenta después de iniciar sesión"
"Refunded","Reembolsado"
"Registered Customers","Clientes registrados"
"Remind Email Template","Recordar la plantilla de correo electrónico"
"Remove","Quitar"
"Require Emails Confirmation","Solicitar confirmación por correo electrónico"
"Reset a Password","Reinicializar contraseña"
"SKU","Art"
"Sales Statistics","Estadísticas de ventas"
"Save","Guardar"
"Save Address","Guardar dirección"
"Save Customer","Guardar cliente"
"Save Customer Group","Guardar grupo de clientes"
"Save and Continue Edit","Guardar y continuar editando"
"Send From","Enviar desde"
"Send confirmation link","Enviar enlace de confirmación"
"Sending","Enviando"
"Sent","Enviado"
"Share Customer Accounts","Compartir cuentas de cliente"
"Shopping Cart","Carrito de compras"
"Shopping Cart - %d item(s)","Mi Carrito - %d item(s)"
"Show Date of Birth","Mostrar fecha de nacimiento"
"Show Gender","Mostrar sexo"
"Show Middle Name (initial)","Mostrar segundo nombre (inicial)"
"Show Prefix","Mostrar prefijo"
"Show Suffix","Mostrar sufijo"
"Show Tax/VAT Number","Mostrar número de IVA/impuestos"
"Sign Up for Newsletter","Suscribirse al boletín"
"State/Province","Estado/provincia"
"Status","Estado"
"Store","Tienda"
"Store View","Vista de la tienda"
"Street Address","Dirección"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe to Newsletter","Suscribir al boletín informativo"
"Subscribed to Newsletter?","&iquest;Suscribirse al Newsletter?"
"Suffix Dropdown Options","Opciones para listas desplegables con sufijo"
"Tax Calculation Based On","Cálculo tributario basado en"
"Tax Class","Clase impositiva"
"Text","Texto"
"The VAT ID entered (%s) is not a valid VAT ID.","El ID de IVA introducido (%s) no es un ID de IVA válido."
"The VAT ID is valid. The current Customer Group will be used.","El ID de IVA es válido. Se utilizará el grupo de cliente actual."
"The customer does not have default billing address.","El cliente no tiene una dirección de facturación predeterminada."
"The suffix that goes after name (Jr., Sr., etc.)","El sufijo que va después de nombre (padre, hijo, Sr, etc.)"
"The title that goes before name (Mr., Mrs., etc.)","El título que va antes del nombre (señor, señorita, Mr, Sr, etc.)"
"This email does not require confirmation.","Este mensaje de correo electrónico no requiere confirmación."
"Total","Totals"
"Type","Tipo"
"Unknown","Desconocido"
"Unsubscribe from Newsletter","Cancelar suscripción al boletín informativo"
"Update","Actualizar"
"Use as my default billing address","Usar como mi dirección de facturación por defecto"
"Use as my default shipping address","Usar como mi dirección de envío predeterminada"
"VAT Number","Número de IVA"
"VAT Request Date","Fecha de petición de IVA"
"VAT Request Identifier","Identificador de petición de IVA"
"Validate VAT Number","Validar número de IVA"
"Validate on Each Transaction","Validar en cada transacción"
"Validation Error Group","Error de validación al grupo"
"View","Ver"
"View Order","Ver pedido"
"Visitor","Visitante"
"Visitors Only","S&oacute;lo Visitantes"
"Website","Página web"
"Welcome Email","Mensaje de correo electrónico de bienvenida"
"Wishlist","Lista de deseos"
"Wishlist - %d item(s)","Lista de Deseos - %d item(s)"
"Would you like to change the Customer Group for this order?","¿Desea cambiar el grupo de clientes para este pedido?"
"Wrong email.","Se especificó una dirección de correo electrónico incorrecta."
"YYYY","AAAA"
"Year","Año"
"You have no default billing address in your address book.","No tiene ninguna dirección de facturación por defecto en su libreta de direcciones."
"You have no default shipping address in your address book.","No tiene ninguna dirección de envío por defecto en su libreta de direcciones."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"You have placed no orders yet.","No ha realizado ning&uacute;n pedido todav&iacute;a."
"You will be charged tax.","Se le cargarán los impuestos."
"You will not be charged tax.","No se le cargarán los impuestos."
"Your Tax ID cannot be validated.","Su ID de impuestos no se ha podido validar."
"Your VAT ID was successfully validated.","Su ID de IVA se ha validado correctamente."
"Your account balance is: %s","El balance de su cuenta es: %s"
"ZIP","Código postal"
"ZIP/Post Code","Código Postal"
"Zip/Postal Code","Código Postal"
"or","o"
