"(Excl. Tax)","(Excl. Impuesto)"
"Enter a New Address","Ingresar una nueva dirección"
"Enter your coupon code if you have one.","Si tenes un c&oacute;digo de cup&oacute;n, ingresalo aqu&iacute;."
"Enter your destination to get a shipping estimate.","Ingrese el destino para obtener un precio estimado de env&iacute;."
"Estimate Shipping and Tax","Estimación de envío e impuestos"
"Excl. Tax","Impuestos no incluídos"
"Fast and easy check out","R&aacute;pido y f&aacute;cil CheckOut"
"Forgot an Item?","¿Ha olvidado un elemento?"
"Forgot your password?","¿Olvidaste tu contraseña?"
"Gift Message","Mensaje de regalo"
"Grand Total:","Total:"
"Grouped Product Image","Imagen de artículo agrupado"
"ID","Número de Identificación (ID)"
"Incl. Tax","Incl. impuestos"
"Invalid email address ""%s""","Direcci&oacute;n de e-mail inv&aacute;lida ""%s"""
"Invalid shipping method.","M&eacute;todo de env&iacute;o inv&aacute;lido."
"Items","Artículos"
"Load customer quote error","Error al cargar la oferta al cliente"
"Loading next step...","Cargando pr&oacute;ximo paso..."
"Login","Entrar"
"Terms and Conditions","Términos y condiciones"
"Move","Mover"
"Move to Wishlist","A la lista de Productos"
"My Cart","Mi carrito"
"My Cart (%s item)","Mi Carrito (%s)"
"My Cart (%s items)","Mi Carrito (%s)"
"My Cart Link","Mi enlace de carrito"
"New Address","Nueva dirección"
"New Condition","Nueva condición"
"New Terms and Conditions","Nuevos términos y condiciones"
"No Payment Methods","No hay métodos de pago"
"One Page Checkout","Checkout En Una P&aacutegina"
"Order #","Pedido #"
"Order Review","Revisión de la orden"
"Order Success","Pedido realizado con éxito"
"Password","Contraseña"
"Payment Failed Email Reciever","Payment Failed E-mail Reciever"
"Payment Failed Email Sender","Pago sin éxito - correo electrónico del remitente"
"Payment Failed Emails","Pago sin éxito - Correos electrónicos"
"Payment Failed Template","Pago error plantilla"
"Payment Information","Información de pago"
"Payment Method","Método de pago"
"Place Order","Realizar pedido"
"Please agree to all Terms and Conditions before placing the order.","Por favor, debe estar de acuerdo con todos los términos y condiciones antes de realizar el pedido."
"Please agree to all the terms and conditions before placing the order.","Por favor, debe estar de acuerdo con todos los términos y condiciones antes de realizar el pedido."
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Price","Precio"
"Proceed to Checkout","Pasar por caja"
"Product","Producto"
"Product Name","Nombre del Producto"
"Products","Productos"
"Qty","Cantidad"
"Qty:","Cant:"
"Quantity","Cantidad"
"Quote Lifetime (days)","Cotización de por vida (días)"
"Recently added item(s)","Producto(s) agregado(s) recientemente"
"Remove Item","Eliminar elemento"
"Remove This Item","Eliminar este artículo"
"Remove item","Eliminar artículo"
"Review Order","Revise su pedido"
"SKU","Art"
"Sales","Ventas"
"Save Condition","Guardar condición"
"Save in address book","Guardar en libreta de direcciones"
"See price before order confirmation.","Consulte el precio antes de confirmar el pedido."
"Select Address","Seleccionar dirección"
"Select Addresses","Seleccione direcciones"
"Select Shipping Method","Seleccione el método de envío"
"Select a shipping address from your address book or enter a new address.","Seleccionar una dirección de facturación de su agenda o introducir una dirección nueva."
"Send Payment Failed Email Copy Method","Enviar errores de pago en papel (método)"
"Send Payment Failed Email Copy To","Enviar errores de pago con copia a"
"Send To","Enviar a"
"Separate by "","".","Separados por "",""."
"Ship to Multiple Addresses","Envíos a múltiples direcciones"
"Shipping Address","Dirección de envío"
"Shipping Information","Información de envío"
"Shipping Method","Método de envío"
"Shipping Methods","Métodos de envío"
"Shipping To","Envío a"
"Shopping Cart","Carrito de compras"
"Shopping Cart is Empty","Tu Carrito se encuentra vac&iacute;o"
"Show Content as","Mostrar contenido como"
"State/Province","Estado/provincia"
"Status","Estado"
"Store View","Vista de la tienda"
"Street Address","Dirección"
"Submitting order information...","Enviando la información del pedido..."
"Terms and Conditions Information","Información de términos y condiciones"
"Text","Texto"
"Thank you for your purchase!","¡Gracias por su compra!"
"The product does not exist.","El artículo no existe."
"This condition no longer exists.","Esta condición ya no existe."
"Total","Totals"
"Total for this address","Total para esta dirección"
"Unit Price","Precio Unitario"
"Update","Actualizar"
"Update Cart","Actualizar carrito"
"Update Qty &amp; Addresses","Actualización del Qty &amp; direcciones"
"Update Shopping Cart","Actualizar carrito de compras"
"VAT Number","Número de IVA"
"View Shopping Cart","Ver carro de compras"
"What's this?","¿Qué es esto?"
"You have no items in your shopping cart.","No tienes ningún artículo en tu carrito de compras."
"Zip/Postal Code","Código Postal"
"or","o"
