"-- Please Select --","-- Por favor Seleccione --"
"Default Robots","Robots (predeterminado)"
"Default Store","Tienda (predeterminado)"
"Default Store View","Vista predeterminada de la tienda"
"Default Title","Título (predeterminado)"
"Default Web URL","URL de web (predeterminado)"
"Delete","Eliminar"
"Delete Store","Eliminar tienda"
"Delete Store View","Eliminar vista de la tienda"
"Design","Diseño"
"Design Change","Cambio de diseño"
"Developer","Desarrollador"
"Developer Client Restrictions","Desarrollador de restricciones de cliente"
"Disable Email Communications","Deshabilitar comunicación por correo electrónico"
"Disable Modules Output","Deshabilitar salida de módulos"
"Display Demo Store Notice","Mostrar noticia ""tienda de demonstración"""
"Duplicate Of Template Name","Nombre de la plantilla duplicado"
"Edit Design Change","Editar cambio de diseño"
"Edit Store","Editar tienda"
"Edit Store View","Editar vista de la tienda"
"Enable Charts","Activar gráficos"
"Enabled","Habilitado"
"Enabled for Admin","Habilitado para el Administrador"
"Environment Update Time","Intervalo de actualización del entorno"
"European Union Countries","Países de la U.E"
"Favicon Icon","Icono de favoritos"
"File not found","Archivo no encontrado"
"File system","Sistema de archivos"
"File with an extension ""%value%"" is protected and cannot be uploaded","El archivo con extensión ""%value%"" está protegido y no se puede subir"
"First Day of Week","Primer día de la semana"
"Flush Cache Storage","Vaciar memoria caché"
"Flush OpenMage Cache","Vaciar la caché de OpenMage"
"Footer","Pie de página"
"Forgot Password Email Template","Contraseña olvidada Plantilla de Email"
"General Contact","Contacto general"
"General Settings","Configuración general"
"Global","General"
"HTML Head","Encabezado HTML"
"Header","Encabezado"
"Host","Servidor"
"How many links to display at once.","¿Cuántas enlaces mostrar a la vez."
"Incorrect credit card expiration date.","Fecha de caducidad de la tarjeta de crédito incorrecta."
"Input type ""%value%"" not found in the input types list.","El tipo de entrada ""%value%"" no se encuentra en la lista de tipos de entrada."
"Invalid date","Fecha inválida"
"JavaScript Settings","Configuración JavaScript"
"Layout","Diseño"
"Leave empty for access from any location.","Dejar en blanco para acceder desde cualquier lugar."
"Locale","Configuración regional"
"Locale Options","Opciones de configuración regional"
"Login is Case Sensitive","Se distinguen mayúsculas al iniciar sesión"
"Logo Image","Logo imagen"
"Logo Image Alt","Texto alternativo al logotipo"
"Mail Sending Settings","Configuración del envío de correo"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Asegúrese de que la dirección URL base termina con '/' (barra diagonal), ej.: http://yourdomain/magento/"
"Manage Stores","Gestionar tiendas"
"Media Storage","Almacenamiento de medios"
"Merge CSS Files","Combinar archivos CSS"
"Merge JavaScript Files","Combinar archivos de JavaScript"
"Miscellaneous HTML","Diverso HTML"
"Name","Nombre"
"New Store","Nueva tienda"
"New Store View","Nueva vista de tienda"
"No","No 	"
"Offloader header","Liberador de carga de cabecera"
"PHP SOAP extension is required.","Se requiere la extensión PHP SOAP."
"Package","Paquete"
"Pagination","Paginación"
"Pagination Frame","Paginación listado"
"Pagination Frame Skip","Saltar Marco Paginación"
"Path ""%value%"" is not available and cannot be used.","La ruta ""%value%"" no está disponible y no puede usarse."
"Path ""%value%"" is protected and cannot be used.","La ruta ""%value%"" está protegida y no se puede utilizar."
"Please enter a number 0 or greater in this field.","Por favor, introduzca 0 o un número mayor en este campo."
"Please enter a number 1 or greater in this field.","Por favor, introduzca número 1 o mayor en este campo."
"Please enter a number greater than 0 in this field.","Por favor, introduzca un número mayor que 0 en este campo."
"Please enter a valid $ amount. For example $100.00.","Ingrese un $ monto válido. Por ejemplo $100.00."
"Please enter a valid credit card number.","Por favor, introduzca un número de tarjeta de crédito válido."
"Please enter a valid credit card verification number.","Introduzca un número de verificación de tarjeta de crédito válido."
"Please enter a valid date.","Por favor introduce una fecha correcta."
"Please enter a valid month (1-12).","Por favor, introduzca un mes válido (1-12)."
"Please enter a valid number in this field.","Por favor, introduzca un número válido en este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor ingrese un número de teléfono válido. Por ejemplo (123) 456 - 7890 o 123 - 456 - 7890."
"Please enter a valid zip code.","Introduce un código postal válido."
"Please enter issue number or start date for switch/solo card type.","Introduzca el número de emisión o la fecha de inicio para el tipo de tarjeta switch/solo."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please select State/Province.","Seleccione Estado/Provincia."
"Please select an option.","Por favor, selecciona una opción."
"Please select one of the options.","Por favor, seleccione una de las opciones."
"Please set available and/or protected paths list(s) before validation.","Por favor, indique la(s) lista(s) de rutas disponibles y/o protegidas antes de la validación."
"Please use letters only (a-z or A-Z) in this field.","Por favor, use sólo letras (a-z o A-Z) en este campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato para fechas: dd/mm/aaaa. Por ejemplo, 17/03/2006 para el 17 de marzo de 2006."
"Port (25)","Puerto (25)"
"Recovery Link Expiration Period (hours)","Período de expiración del enlace de recuperación (horas)"
"Request Path for Specified Store","Solicitud de ruta para la tienda especificada"
"Return-Path Email","Correo electrónico de ruta de retorno"
"Root Category","Categoría raíz"
"Sales Representative","Representante de ventas"
"Save","Guardar"
"Save Store","Guardar tienda"
"Save Store View","Guardar vista de tienda"
"Save Website","Guardar Sitio Web"
"Security","Seguridad"
"Select Date","Seleccionar fechas"
"Select Media Database","Seleccionar banco de datos para medios"
"Sender Email","Correo electrónico del remitente"
"Sender Name","Nombre del remitente"
"Services","Servicios"
"Session Validation Settings","Ajustes de validación de sesión"
"Set Return-Path","Establecer ruta de retorno"
"Set as Default","Establecer como predeterminado"
"Sort Order","Ordenación"
"Startup Page","Página de inicio"
"Status","Estado"
"Storage Configuration for Media","Configuración del almacenamiento de medios"
"Store","Tienda"
"Store Email Addresses","Correo electrónico de la tienda"
"Store Hours of Operation","Horario de la tienda"
"Store Information","Información de la tienda"
"Store Name","Tienda Nombre"
"Store View","Vista de la tienda"
"Store View Information","Información de la Vista de Tienda"
"Store view doesn't exist","La vista de tienda no existe"
"Store with the same code","Tienda con el mismo código"
"System","Sistema"
"Template Settings","Plantillas Configuraciones"
"Template Variables","Variables de plantilla"
"The store does not exist","La tienda no existe"
"The value is not within the specified range.","El valor no está dentro del rango permitido."
"The website does not exist.","El sitio web no existe."
"Themes","Temas"
"This is a required field.","Este es un campo obligatorio."
"This store cannot be deleted.","No se puede eliminar esta tienda."
"This store view cannot be deleted.","No se puede eliminar esta vista de tienda."
"This website cannot be deleted.","No se puede eliminar la página web."
"This will be included before head closing tag in page HTML.","Esto se incluirá antes de la etiqueta de cierre de cabecera en el HTML de la página."
"Timezone","Zona horaria"
"Transactional Emails","Correos electrónicos transaccionales"
"Translate Inline","Traducir en línea"
"Translations","Traducciones"
"Unable to proceed. Please, try again","No es posible continuar. Por favor, intente nuevamente."
"Url Options","Opciones de dirección URL"
"Use Custom Admin Path","Utilizar ruta de acceso de administrador personalizada"
"Use Custom Admin URL","Utilizar URL de administración personalizada"
"Use HTTP Only","Utilizar sólo HTTP"
"None","Ninguno"
"Use Secure URLs in Admin","Utilizar URLs seguras en la parte de administración"
"Use Web Server Rewrites","Utilizar las funcionalidades de las reescrituras web"
"VAT Number","Número de IVA"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Validation has failed.","Validación ha fallado."
"Variable Code must be unique.","El código de variable debe ser único."
"Website","Página web"
"Website with the same code","Ya existe un sitio web con el mismo código"
"Weekend Days","Días fin de semana"
"Welcome Text","Texto de bienvenida"
"Wrong file info format","Formato de información del archivo incorrecto"
"Yes","Si"
