"* Required Fields","* Povinné políčka"
"Edit Customer Groups","Upraviť skupiny zákazníkov"
"Edit Customer's Address","Upraviť adresu zákazníka"
"Edit Group","Upravit skupinu"
"Edit Newsletters","Upraviť Spravodaja"
"Email","E-mail"
"Email Address","E-mailová adresa"
"Email Sender","Odosielateľ emailu"
"Email:","E-mail:"
"First Name","Meno"
"Forgot Email Template","Šablóna e-mailu zabudnutého hesla"
"Forgot Your Password?","Zabudli ste heslo?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Z ovládacieho panelu vášho účtu máte možnosť si prezrieť náhľad vašej poslednej aktivity v rámci účtu a aktualizovať jeho informácie. Kliknite na doleuvedenú linku pre prezretie alebo úpravu informácií."
"Gender","Pohlavie"
"General Subscription","Všeobecný odber"
"Global","Globálne"
"Group","Skupina"
"Group Information","Informácie o skupine"
"Group Name","Názov skupiny"
"Guest","Hosť"
"Hello, %s!","Dobrý deň, %s!"
"IP Address","IP adresa"
"If you have an account with us, please log in.","Ak máte u nás založený účet, prihláste sa, prosím."
"Invalid current password","Súčasné heslo je neplatné"
"Invalid customer data","Neplatné dáta zákazníka"
"Invalid login or password.","Neplatné prihlasovacie meno alebo heslo."
"Last Activity","Posledná aktivita"
"Last Date Subscribed","Datum posledného prihlásenia"
"Last Date Unsubscribed","Datum posledného odhlásenia"
"Last Name","Priezvisko"
"Lifetime Sales","Celkový obrat"
"Log In","Prihlásiť"
"Log Out","Odhlásiť"
"Login","Prihlásiť sa"
"Login Information","Prihlasovacie informácie"
"Manage Addresses","Upraviť adresy"
"Manage Customers","Správa zákazníkov"
"Month","Mesiac"
"My Account","Môj účet"
"My Dashboard","Môj panel nástrojov"
"My Orders","Moje Objednávky"
"Name","Meno"
"Never","Nikdy"
"New Address","Nová adresa"
"New Address Entry","Nový záznam adresy"
"New Customer","Nový zákazník"
"New Customer Address","Nová adresa zákazníka"
"New Customer Group","Nová skupina zákazníkov"
"New Customer Groups","Nové skupiny zákazníkov"
"New Customers","Noví zákazníci"
"New Group","Nová skupina"
"New Password","Nové heslo"
"New account","Nový účet"
"Newsletter","Informačný bulletin"
"Newsletter Finish","Úprava Spravodaja"
"Newsletter Information","Informácie o informačnom bulletine"
"Newsletter Received","Spravodaj prijatý"
"Newsletter Start","Začiatok Spravodaja"
"Newsletters","Spravodaje"
"No Items Found","Neboli nájdené žiadne položky"
"No Newsletter Found","Nenašiel sa žiaden informačný bulletin"
"No item specified.","Nebola zvolená žiadna položka."
"Not Sent","Nebola poslaná"
"Offline","Neprítomný"
"Online","Prítomný"
"Online Customers","Zákaznící v obchode"
"Order #","Objednávka #"
"Order Total","Celkom"
"Orders","Objednávky"
"PDF","PDF dokument"
"Password","Heslo"
"Password Management","Správa hesiel"
"Password Options","Nastavenie hesla"
"Password forgotten","Zabudnuté heslo"
"Password:","Heslo:"
"Paused","Pozastavené"
"Pending","Neschválené"
"Per Website","Podľa webových stránkok"
"Personal Information","Osobné informácie"
"Please enter a number 1 or greater in this field.","Do tohto poľa zadajte číslo 1 alebo väčšie."
"Please enter the city.","Prosím zadajte mesto."
"Please enter the country.","Zadajte prosím krajinu."
"Please enter the first name.","Prosím, zadajte krstné meno."
"Please enter the last name.","Prosím, zadajte priezvisko."
"Please enter the state/province.","Prosím, zadajte okres."
"Please enter the street.","Prosím, zadajte ulicu."
"Please enter the zip/postal code.","Prosím, zadajte poštové smerovacie číslo."
"Please enter your email.","Vložte prosím váš email."
"Please make sure your passwords match.","Prosím, uistite sa, že vaše heslá zhodujú."
"Please select region, state or province","Vyberte prosím región, štát alebo okres"
"Price","Cena"
"Product","Produkt"
"Product ID","ID Produktu"
"Product Name","Názov produktu"
"Product Reviews","Recenzie Produktu"
"Product Tags","Štítky produktu"
"Purchase On","Nákup vykonaný"
"Purchased On","Zakúpené"
"Qty","Množstvo"
"Recent Orders","Posledné objednávky"
"Recovery Link Expiration Period (hours)","Doba platnosti odkazu pre obnovu (dni)"
"Refunded","Vrátené"
"Register","Registrovať"
"Registered Customers","Registrovaných zákazníkov"
"Remove","Odstrániť"
"Retrieve your password here","Obnovte vaše heslo tu"
"SKU","Katalógové číslo"
"Sales Statistics","Predajné statistiky"
"Save","Uložiť"
"Save Address","Uložiť adresu"
"Save Customer","Uložte zákazníka"
"Save Customer Group","Uložiť skupinu zákazníkov"
"Save Password","Uložiť heslo"
"Save and Continue Edit","Uložiť a pokračovať v upravách"
"Send confirmation link","Poslať odkaz na potvrdenie"
"Sending","Odosielanie"
"Sent","Odoslané"
"Session Start Time","Počiatok relácie"
"Set as Default Billing Address","Nastaviť ako predvolenú fakturačnú adresu"
"Set as Default Shipping Address","Nastaviť ako predvolenú dodaciu adresu"
"Share Customer Accounts","Zdielať zákaznícke účty"
"Shipped to First Name","Odoslané na krstné meno"
"Shipped to Last Name","Odoslané na priezvisko"
"Shipped to Name","Odoslané na meno"
"Shopping Cart","Nákupný košík"
"Shopping Cart - %d item(s)","Nákupný košík - Položky: %d"
"Show Date of Birth","Ukázať dátum narodenia"
"Show Tax/VAT Number","Ukázať čísla IČO/DIČ"
"Sign Up for Newsletter","Prihlásiť sa k odberu infrmačného bulletinu"
"State/Province","Štát/provincia"
"Status","Stav"
"Store","Obchod"
"Store View","Zobrazenie obchodu"
"Street Address","Ulica"
"Subject","Predmet"
"Submit","Potvrdiť"
"Subscribe to Newsletter","Prihlásiť sa k odberu noviniek"
"Subscribed to Newsletter?","Odoberáte Spravodaj?"
"Tag Name","Názov štítka"
"Tax Class","Daňová trieda"
"Tax/VAT number","IČ DPH"
"Telephone","Telefón"
"Text One Line","Jednoriadkový text"
"The VAT ID entered (%s) is not a valid VAT ID.","Zadané DIČ (%s) nie je platné."
"The VAT ID is valid. The current Customer Group will be used.","DIČ je platné. Použije sa aktuálna skupina zákazníkov."
"The customer does not have default billing address.","Zákazník nemá predvolenú fakturačnú adresu."
"There are no items in customer's wishlist at the moment","Momentálne nie sú žiadne položky v zákazníkovom Zozname prianí"
"This customer has no saved addresses.","Tento zákazník nemá žiadne uložené adresy."
"To Cart","Do košíka"
"Total","Celkom"
"Type","Typ"
"Unknown","Neznámy"
"Update","Aktualizácia"
"Use as my default billing address","Použiť ako predvolenú, fakturačnú adresu"
"Use as my default shipping address","Použiť ako predvolenú, dodaciu adresu"
"VAT Number","DIČ"
"Validate VAT Number","Overeniť DIČ"
"View","Zobraziť"
"View Order","Zobraziť objednávku"
"Visitor","Návštevník"
"Visitors Only","Iba pre návštevníkov"
"Website","Webová stránka"
"Welcome Email","Uvítací e-mail"
"Wishlist","Zoznam želaní"
"Wishlist - %d item(s)","Zoznam prianí - Položky: %d"
"Would you like to change the Customer Group for this order?","Chcete zmeniť skupinu zákazníka pre túto objednávku?"
"Wrong email.","Nesprávny e-mail."
"Year","Rok"
"You are currently not subscribed to any newsletter.","Momentálne nie ste prihlásený na odber žiadneho Spravodaja."
"You are currently subscribed to 'General Subscription'.","Momentálne ste prihlásený na odber všeobecného Spravodaja."
"You are currently subscribed to our newsletter.","Momentálne ste prihlásený na odber nášho Spravodaj."
"You have no additional address entries in your address book.","Nemáte žiadne ďalšie záznamy adries vo vašom zozname adries."
"You have no additional entries in your address book.","Nemáte žiadne ďalšie záznamy vo vašom adresári."
"You have no default billing address in your address book.","Nemáte žiadnu predvolenú fakturačnú adresu vo vašom zozname adries."
"You have no default shipping address in your address book.","Vo vašom adresári nemáte žiadnu predvolenú dodaciu adresu."
"You have not set a default billing address.","Nenastavili ste predvolenú fakturačnú adresu."
"You have not set a default shipping address.","Nenastavili ste predvolenú dodaciu adresu."
"You have placed no orders yet.","Zatiaľ ste neuskutočnili žiadnu objednávku."
"You have placed no products yet.","Zatiaľ ste nevybrali žiadne produkty."
"You will be charged tax.","Bude Vám napočítaná daň."
"You will not be charged tax.","Nebude Vám napočítaná daň."
"Your VAT ID was successfully validated.","Platnosť Vašeho DIČ bola úspešne overená."
"Your account balance is: %s","Váš stav účtu je: %s"
"ZIP","PSČ"
"ZIP/Post Code","PSČ"
"Zip/Postal Code","Poštové smerovacie číslo"
"n/a","nedostupné"
"or","alebo"
