"# of Use","# počet použití"
"%s Item(s)","Položiek: %s"
"(Copy data from: %s)","(Kopírovať údaje z: %s)"
"Incl. Tax","Vrátane dane"
"Index product prices","Indexovať ceny produktov"
"Indexed category/products association","Indexované zoskupenie kategórii k produktom"
"Input Type","Typ vstupu"
"Integer","Celé číslo"
"Invalid store specified","Bol špecifikovaný neplatný obchod"
"Inventory","Inventár"
"Is Default","Je predvolené"
"Items %s to %s of %s total","Položiek %s do %s z celkového počtu %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Položky, ktoré nechcete zobrazovať v katalógu alebo vyhľadávání, musia mať v danom obchode stav 'Neaktívne'."
"Label","Štítok"
"Last Name","Priezvisko"
"Last Notification","Posledná notofikácia"
"Learn More","Zistiť viac"
"Line %d, Email: %s","Riadok %d, E-mail: %s"
"Line %d, SKU: %s","Riadok %d, Kód: %s"
"Link to a Specified Category","Odkaz na určitú kategóriu"
"Link to a Specified Product","Odkaz na určitý produkt"
"List","Zoznam"
"List Mode","Režim zoznamu"
"List of Products that are set as New","Zoznam výrobkov, ktoré sú nastavené ako nový"
"Manage Attribute Sets","Spravovať sady atribútov"
"Manage Attributes","Správa vlastností"
"Manage Catalog Categories","Správa kategórií katalógu"
"Manage Categories","Spravovať kategórie"
"Manage Label / Options","Správa Označení / Možností"
"Manage Options (values of your attribute)","Správa možností (hodnoty pre vlastnosti)"
"Manage Product Attributes","Spravovať atribúty produktu"
"Manage Product Sets","Spravovať sady produktov"
"Manage Products","Správa produktov"
"Manage Stock","Správa zásob"
"Manage Titles (Size, Color, etc.)","Spravovať popisky (veľkosť, farba, atď.)"
"Max Characters","Max znakov"
"Maximal Depth","Maximálna hĺbka"
"Maximum Image Size","Maximálna veľkosť obrázku"
"Maximum Qty Allowed in Shopping Cart","Maximálne množstvo povolené v nákupnom košíku"
"Maximum image height","Maximálna výška obrázku"
"Maximum image width","Maximálna šírka obrázku"
"Maximum number of characters:","Maximálny počet znakov:"
"Media Image","Obrázok medií"
"Minimum Qty Allowed in Shopping Cart","Minimálne množstvo povolené v nákupnom košíku"
"More Views","Viac pohľadov"
"My Account","Môj účet"
"N/A","NEDOST."
"Name","Meno"
"New Product","Nový produkt"
"New Product Attribute","Nový atribút produktu"
"New Products","Nové produkty"
"New Products Grid Template","Nová šablóna pre výpis produktov v mriežke"
"New Products List Template","Nová šablóna pre výpis produktov v zozname"
"New Search","Nové vyhľadávanie"
"New Set Name","Názov novej sady"
"New products","Nové produkty"
"Next","Nasledujúca"
"No","Nie"
"No image","Bez obrázka"
"No layout updates","Žiadne zmeny v rozložení"
"No options of this product are available.","Pre tento produkt niesu dostupné žiadne možnosti."
"None","Žiadne"
"Not Visible Individually","Samotné nezobrazovať"
"Notify Low Stock RSS","RSS oznamenia nízkych zásob"
"Notify for Quantity Below","Upozorniť na množstvo nižšie"
"Number of Products per Page","Počet produktov na stránku"
"Number of Products to Display","Počet produktov k zobrazeniu"
"Number of Uses","Počet použití"
"OR","ALEBO"
"Old Price:","Pôvodná cena:"
"Option:","Možnosť:"
"Options","Možnosti"
"Options Control","Nastavenie možností"
"Options is required","Voľba je povinná"
"Out of Stock","Vypredané"
"Out of stock","Vypredané"
"PM","poob."
"Page Title Separator","Oddeľovač názvu stránky"
"Parent Category","Nadradená Kategória"
"Pending","Neschválené"
"Pending Reviews RSS","Neschválené recenzie RSS"
"Percentage","Percentuálne"
"Please add rows to option.","Prosím pridajte riadky k možnosti."
"Please enter a new group name","Zadajte prosím názov novej skupiny"
"Please select one or more attributes.","Vyberte prosím jednu alebo viac vlastností."
"Please select products for attributes update","Vyberte prosím produkty pre aktualizáciu vlastností"
"Please specify date required option(s).","Prosím uveďte požadovaný dátum."
"Please specify the quantity of product(s).","Uveďte množstvo produktu(ov)."
"Please specify time required option(s).","Prosím uveďte požadovaný čas."
"Please wait...","Prosím, čakajte..."
"Position","Pozícia"
"Position of attribute in layered navigation block","Pozícia vlastnosti v oblasti vrstvenej navigácie"
"Prev","Predch."
"Previous","Predchádzajúca"
"Price","Cena"
"Price Type","Typ ceny"
"Price values for options should be specified in system base currency.","Ceny musia byť špecifikované v základnej systémovej mene."
"Price:","Cena:"
"Print This Page","Vytlačiť stránku"
"Product","Produkt"
"Product Alerts","Upozornenia produktu"
"Product Attribute","Atribút produktu"
"Product Attributes","Atribúty produktu"
"Product Categories","Kategórie produktov"
"Product Description","Popis produktu"
"Product Flat Data","Predpripravné data produktov"
"Product ID","ID Produktu"
"Product Image Placeholders","Zástupný obrázok"
"Product Image Watermarks","Vodoznaky obrázkov produktu"
"Product In Websites","Produkt na webových stránkach"
"Product Information","Informácie o produkte"
"Product Link Block Template","Šablóna odkazu na produkt ako blok"
"Product Link Inline Template","Šablóna odkazu na produkt v riadku"
"Product Listing Sort by","Produkty zoradené podľa"
"Product Name","Názov produktu"
"Product Reviews","Recenzie Produktu"
"Product Tags","Štítky produktu"
"Product Type","Typ"
"Product is not loaded","Produkt nie je načítaný"
"Product with this combination of attributes already associated to configurable.","Produkt s rovnakou kombináciou vlastností už je asociovaný s konfigurovateľnými."
"Products","Produkty"
"Products Comparison List","Porovnanie produktov"
"Products Information","Informácie o produktoch"
"Products Reviews","Recenzie produktov"
"Products Sitemap","Mapa stránok produktov"
"Products only","Iba produkty"
"Products per Page on Grid Allowed Values","Prednastavný počet produktov na stránke pri použití mriežky"
"Products per Page on Grid Default Value","Prednastavný počet produktov na stránke pri použití mriežky"
"Products per Page on List Allowed Values","Prednastavný počet produktov na stránke pri použití zoznamu"
"Products per Page on List Default Value","Prednastavný počet produktov na stránke"
"Properties","Vlastnosti"
"Qty","Množstvo"
"Qty Increments","Množstevný krok"
"Qty Uses Decimals","Množstvo používa desatinné miesta"
"Quantity","Množstvo"
"Quick Create","Rýchle vytvorenie"
"Quick Overview","Krátky popis"
"Quick simple product creation","Rýchle vytvorenie jednoduchého produktu"
"Redirect","Presmerovanie"
"Redirect URL","Presmerovať"
"Regular Price:","Bežná cena:"
"Related Products","Podobné produkty"
"Remove","Odstrániť"
"Remove Product From Websites","Odstrániť produkt z webových stránok"
"Remove This Item","Odstrániť túto položku"
"Reorganize EAV category structure to flat structure","Zmeniť štruktúru kategórii z EAV na predpripravenú"
"Reorganize EAV product structure to flat structure","Zmeniť štruktúru produktov z EAV na predpripravenú"
"Reset","Resetovať"
"Results","Výsledky"
"Reviews","Recenzie"
"Roll Over for preview","Pre náhľad prejdite kurzorom"
"Root","Hlavný"
"SKU","Katalógové číslo"
"Save","Uložiť"
"Save Attribute","Uložiť atribút"
"Save Attribute Set","Uložiť sadu vlastností"
"Save Category","Uložiť kategóriu"
"Save Search","Uložiť vyhľadávanie"
"Save and Continue Edit","Uložiť a pokračovať v upravách"
"Scope","Objektív"
"Search","Hľadať"
"Search Engine Optimizations","Optimalizácia pre vyhľadávače"
"Search Information","Informácie o vyhľadávaní"
"Search Query","Hľadaný výraz"
"Search Weight","Váha hladania"
"Searchable","Hladateľné"
"See price before order confirmation.","Pozrite si ceny pred potvrdením objednávky."
"Select Category...","Vyberte si kategóriu..."
"Select Product...","Vyberte produkt..."
"Selected Product Types","Vybrané typy produktu"
"Send Count","Počet odoslaní"
"Set Ascending Direction","Nastaviť vzostupný smer"
"Set Descending Direction","Nastaviť zostupný smer"
"Set Name","Nastaviť názov"
"Settings","Nastavenia"
"Shop By","Nakupovať podľa"
"Shopping Options","Nákupné možnosti"
"Show","Zobraziť"
"Simple Product","Jednoduchý produkt"
"Site Map","Mapa stránok"
"Some of the selected item options are not currently available.","Niektoré z vybraných možnosti položky momentálne niesu dostupné."
"Sort By","Zoradiť podľa"
"Sort Order","Poradie radenia"
"Source Model","Zdrojový model"
"Special Price:","Špeciálna cena:"
"Starting at:","Začína o:"
"Static","Statická"
"Static block and products","Statický blok a produkty"
"Static block only","Len statický blok"
"Status","Stav"
"Stock Availability","Dostupnosť na sklade"
"Store","Obchod"
"Store View","Zobrazenie obchodu"
"Stretch","Natiahnúť"
"Subscribe to RSS Feed","Prihlásiť sa k RSS"
"Super product attributes configuration","Konfigurácia vlastností superproduktov"
"Synonym For","Synonymá pre"
"System Properties","Vlastnosti systému"
"Tag Name","Názov štítka"
"Tax","Daň"
"Template","Šablóna"
"There are no %s available.","%s nie je k dispozícii."
"There are no customers for this alert","Pre toto upozornenie neexistujú žiadni zákazníci"
"There are no customers for this alert.","Žiadny zákazník nepoužíva tento typ upozornenia."
"There are no products matching the selection.","Výberu nezodpovedá žiadna položka."
"This attribute cannot be edited.","Tento atribút nie je možné upravovať."
"This attribute no longer exists","Daná vlastnosť neexistuje"
"This attribute set no longer exists.","Táto sada atribútov už neexistuje."
"This group contains system attributes. Please move system attributes to another group and try again.","Táto skupina obsahuje systémové atribúty. Prosím presuňte systémové atribúty do inej skupiny a skúste to znova."
"Tier Pricing","Skupinová cenotvorba"
"Tile","Záhlavie"
"Time Format","Formát času"
"Title","Titulok"
"To see product price, add this item to your cart. You can always remove it later.","Pre zobrazenie ceny vložte do košíka. Neskôr to môžete z neho odstrániť."
"Top/Left","Hore/Vľavo"
"Top/Right","Hore/Vpravo"
"Type","Typ"
"Unassigned Attributes","Nepriradené atribúty"
"Up-sells","Hodnotnejšie produkty"
"Update","Aktualizácia"
"Update Attributes","Aktualizovať atribúty"
"Update attributes","Aktualizovať atribúty"
"Use Canonical Link Meta Tag For Categories","Použite kanonické odkazy Meta tagu pre kategórie"
"Use Canonical Link Meta Tag For Products","Použite kanonické odkazy Meta tagu pre produkty"
"Use Config Settings","Použiť nastavenie konfirurácie"
"Use Default Value","Použiť predvolenú hodnotu"
"Use Flat Catalog Category","Použiť predpripravené kategórie v katalógu"
"Use Flat Catalog Product","Použiť predpripravené zoznami produktov v katalógu"
"Use In Layered Navigation","Použiť vo vrstvách navigácie"
"Use JavaScript Calendar","Používať JavaScript kalendár"
"Use To Create Configurable Product","Použiť pre vytvorenie konfigurovateľného produktu"
"Use config","Použiť konfiguráciu"
"Use default","Použiť predvolené"
"Use for Promo Rule Conditions","Použit ako podmienku Promo pravidla"
"Used for Sorting in Product Listing","Použitelné na triedenie výpisu produktov"
"Used in Product Listing","Použiť vo výpise produktov"
"Varchar","Reťazec"
"View Details","Zobraziť podrobnosti"
"View as","Zobraziť ako"
"Visibility","Viditeľnosť"
"Visible","Viditeľné"
"Visible on Catalog Pages on Front-end","Viditeľné na stránkach katalógu na Frontend-e"
"Watermark","Vodoznak"
"Watermark Default Size","Predvolená veľkosť vodoznaku"
"Watermark Position","Umiestnenie vodoznaku"
"Website","Webová stránka"
"Websites","Webové stránky"
"What's this?","Čo to je?"
"Year Range","Rozsah rokov"
"Yes","Áno"
"You cannot remove system attribute from this set.","Nemôžete odstrániť systémovú vlastnosť z tejto sady."
"You have no items to compare.","Nemáte žiadne položky na porovnanie."
"You may also be interested in the following product(s)","Možno Vás budú zaujímať nasledovné produkty"
"Zoom In","Zväčšiť"
"Zoom Out","Zmenšiť"
"and","a"
"and above","a viac"
"ex. http://domain.com","napríklad: http://domain.com"
"per page","na stránku"
"select all","vybrať všetky"
"unselect all","zrušiť výber všetkých"
