"-- Please Select --","-- Prosím vyberte --"
"Enable Charts","Povoliť grafy"
"Enabled","Zapnuté"
"Enabled for Admin","Povoliť v administrácii"
"Enabled for Frontend","Povolené v obchode"
"European Union Countries","Krajiny Európskej únie"
"First Day of Week","Prvý deň v týždni"
"Flush Cache Storage","Vyprázdniť vyrovnávaciu pamäť"
"Flush Magento Cache","Vyprázdnenie Magento vyrovnávacej pamäte"
"Footer","Pätička"
"Forgot Password Email Sender","Odosielateľ e-mailu zabudnutého hesla"
"Forgot Password Email Template","Šablóna e-mailu pre zabudnuté heslo"
"General","Základné"
"General Contact","Hlavný kontakt"
"General Settings","Základné nastavenia"
"Global","Globálne"
"Header","Záhlavie"
"Host","Server"
"Incorrect credit card expiration date.","Neplatný dátum exspirácie karty."
"Invalid base url type","Neplatný typ základnéj URL"
"Invalid block type: %s","Neplatný typ bloku: %s"
"Invalid block: %s","Neplatný blok: %s"
"Invalid layout update handle","Neplatný manipulátor aktualizácie schémy"
"JavaScript Settings","Nastavenia JavaScriptu"
"Layout","Rozloženie"
"Locale","Lokalita"
"Locale Options","Miestne voľby (locale)"
"Login is Case Sensitive","Prihlásovacie údaje rozlišujé malé a velké písmo"
"Logo Image","Obrázok loga"
"Logo Image Alt","Alternativný text loga"
"Mail Sending Settings","Bastavenia odosielania e-mailu"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Uistite sa, že základné URL končí lomitkom ""/"", napr. http://vasadomena.net/mage/"
"Manage Stores","Správa obchodov"
"Merge CSS Files","Zlúčiť súbory CSS"
"Merge JavaScript Files","Zlúčiť súbory JavaScript"
"Name","Meno"
"New Design Change","Nová zmena vzhľadu"
"New Store","Nový obchod"
"New Store View","Nové zobrazenie obchodu"
"New Website","Nové webstránky"
"No","Nie"
"PHP SOAP extension is required.","Je vyžadované PHP SOAP rozšírenie."
"Package","Balíček"
"Pagination","Stránkovanie"
"Pagination Frame","Rám stránkovania"
"Please enter a number 0 or greater in this field.","Do tohto poľa zadajte číslo 0 alebo väčšie."
"Please enter a number 1 or greater in this field.","Do tohto poľa zadajte číslo 1 alebo väčšie."
"Please enter a number greater than 0 in this field.","Do tohto políčka zadajte číslo väčšie ako 0."
"Please enter a valid $ amount. For example $100.00.","Prosím, zadajte platnú € hodnotu. Napríklad €100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Zadajte prosím platnú URL adresu. Napríklad http://www.example.com alebo www.example.com"
"Please enter a valid credit card number.","Zadajte číslo platnej platobnej karty."
"Please enter a valid credit card verification number.","Prosím zadajte platné verifikačné číslo karty."
"Please enter a valid date.","Zadajte správny dátum."
"Please enter a valid email address. For example johndoe@domain.com.","Zadajte prosím platnú e-mailovú adresu. Napríklad johndoe@domain.com."
"Please enter a valid month (1-12).","Prosím, zadajte platný mesiac (1-12)."
"Please enter a valid number in this field.","Prosím v tomto poličku zadajte platné číslo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Zadajte platné telefónne číslo. Napríklad (123) 456-7890 alebo 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Zadajte prosím platné číslo sociálneho poistenia. Napr. 123-45-6789."
"Please enter a valid zip code.","Zadajte platné PSČ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Zadajte prosím platné PSČ. Napríklad 10000."
"Please make sure your passwords match.","Prosím, uistite sa, že vaše heslá zhodujú."
"Please select State/Province.","Vyberte štát/provinciu."
"Please select an option.","Vyberte možnosť."
"Please select one of the above options.","Vyberte prosím jednu z uvedených možností"
"Please select one of the options.","Zvoľte jednu z týchto možností."
"Please use letters only (a-z or A-Z) in this field.","V tomto políčku použite iba malé alebo veľké písmena (a-Z)."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Pre toto pole používajte prosím iba písmená (a-z), číslice (0-9) alebo podtrhovník (_), prvý znak musí byť písmeno."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Použite tento formát dátumu: dd/mm/rrrr. Napríklad 17/03/2006 pre 17tý marec 2006."
"Please wait, loading...","Čakajte prosím, prebieha načítanie..."
"Profiler","Profilovač"
"Recovery Link Expiration Period (hours)","Doba platnosti odkazu pre obnovu (dni)"
"Return-Path Email","Spatná adresa (e-mail)"
"Root Category","Hlavná kategória"
"Sales Representative","Obchodný zástupca"
"Save","Uložiť"
"Save Store","Uložiť obchod"
"Save Store View","Uložiť zobrazenie obchodu"
"Save Website","Uložiť stránku"
"Search Engines Optimization","Optimalizácia pre vyhľadávače"
"Secure","Bezpečné"
"Security","Zabezpečenie"
"Select Date","Vybrať dátum"
"Sender Email","Email odosielateľa"
"Sender Name","Meno odosielateľa"
"Services","Služby"
"Session Validation Settings","Nastavenie overenia relácie"
"Set Return-Path","Nastaviť spatnú adresu"
"Set as Default","Nastaviť ako predvolené"
"Skin (Images / CSS)","Vzhľad (obrázky/CSS)"
"Sort Order","Poradie radenia"
"Startup Page","Stránka pri spustení"
"Status","Stav"
"Store","Obchod"
"Store Email Addresses","E-mailové adresy obchodu"
"Store Hours of Operation","Otváracie hodiny obchodu"
"Store Information","Údaje obchodu"
"Store Name","Názov obchodu"
"Store View","Zobrazenie obchodu"
"Store View Information","Info o zobrazení obchodu"
"Store View Name","Názov zobrazenia obchodu"
"Store view doesn't exist","Zobrazenie obchodu neexistuje"
"Store with the same code","Obchod s rovnakým kódom"
"System","Systém"
"Template Path Hints","Nápovedy pre cesty šablón"
"Template Settings","Nastavenia šablóny"
"Template Variables","Premené šablóny"
"Templates","Šablóny"
"The store does not exist","Obchod neexistuje"
"The value is not within the specified range.","Hodnota nie je v danom rozsahu."
"The website does not exist.","Skupina obchodov(website) neexistuje."
"Themes","Témy"
"This category only","Len táto kategória"
"This is a required field.","Toto je povinné pole."
"This store cannot be deleted.","Tento obchod nie je možné zmazať."
"This store view cannot be deleted.","Tento zobrazenie obchodu nie je možné zmazať."
"This website cannot be deleted.","Túto skupinu obchodov(website) nie je možné zmazať."
"Timezone","Časové pásmo"
"Transactional Emails","Transakčné emaily"
"Translate Inline","Živý preklad"
"Translations","Preklady"
"Unable to proceed. Please, try again","Nie je možné pokračovať. Skúste prosím znovu."
"Unsecure","Nezabezpečené"
"Url Options","Nastavenia URL"
"Use Custom Admin Path","Použiť odlišnú cestu pre administráciu"
"Use Custom Admin URL","Použiť odlišnú adresu URL pre administráciu"
"None","Žiadne"
"Use Secure URLs in Admin","Použiť zabezpečené URL v administrácii"
"Use Secure URLs in Frontend","Použiť zabezpečené URL v obchode"
"Use Web Server Rewrites","Použiť prepisy adries (rewrite)"
"VAT Number","DIČ"
"Validate HTTP_USER_AGENT","Overiť HTTP_USER_AGENT"
"Validate HTTP_VIA","Overiť HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Overiť HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Overiť REMOTE_ADDR"
"Web","Webstránka"
"Website","Webová stránka"
"Website Information","Informácie o stránke"
"Website Name","Názov stránky"
"Website with the same code","Stránka s rovnakým kódom"
"Weekend Days","Víkendové dni"
"Wrong number of arguments for %s","Nesprávne číslo argumentov pre %s"
"Yes","Áno"
"Frontend","Zobrazenie: Frontend"
