" [deleted]"," [zmazané]"
"FTP credentials","Údaje FTP"
"Failed","Nepodarilo sa"
"Field Mapping","Mapovanie poľa"
"File","Súbor"
"File Information","Informácie o súbore"
"File name:","Názov súboru:"
"File size should be more than 0 bytes","Veľkosť súboru musí byť väčšia ako 0 bytov."
"Finished profile execution.","Skončené prevedenie profilu."
"First Name","Meno"
"First Name:","Meno:"
"Fixed","Pevné"
"Flush Catalog Images Cache","Vyčistiť vyrovnávaciu pamäť"
"Flush JavaScript/CSS Cache","Vyčistit vyrovnávaciu pamäť Javascript/CSS"
"Forgot your password?","Zabudli ste heslo?"
"Forgot your user name or password?","Zabudli ste Vaše prihlasovacie meno alebo heslo?"
"From","Od"
"Gb","GB"
"General Information","Všeobecné informácie"
"Get Image Base64","Obrázok v Base64"
"Get help for this page","Nápoveda pre túto stránku"
"Global Attribute","Globálny atribút"
"Global Record Search","Globálne vyhľadávanie záznamu"
"Global Search","Globálne vyhľadávanie"
"Grand Total","Celkový súčet"
"Grid (default) / List","Mriežka (predvolené) / zoznam"
"Grid Only","Len mriežku"
"Group:","Skupina:"
"Guest","Hosť"
"HTTP (unsecure)","HTTP (nezabezpečené)"
"Help Us Keep Magento Healthy - Report All Bugs","Pomôžte nám udržať Magento bez chýb - Nahláste všetky chyby"
"Home","Domov"
"ID Path","ID cesta"
"IP Address","IP adresa"
"Images (.gif, .jpg, .png)","Obrázky (.gif, .jpg, .png)"
"Images Cache","Cache obrázkov"
"Import","Nahrať"
"Import Service","Služba importu"
"Import/Export Profile","Import/Export profilu"
"Imported <strong>%s</strong> records","Importovaných <strong>%s</strong> záznamov"
"In","V"
"In Database:","V databáze:"
"In File:","V súbore:"
"Inactive","Neaktívny"
"Incl. Tax","Vrátane dane"
"Incoming Message","Prijata správa"
"Insert Variable...","Vložiť premenú..."
"Interactive","Interaktívny"
"Interface Locale: %s","Rozhranie v jazyku: %s"
"Invalid Form Key. Please refresh the page.","Neplatný kľúč Formuláru. Prosím obnovte stránku."
"Invalid Import Service Specified","Chybne špecifikovaná importná služba"
"Invalid data","Neplatné údaje"
"Invalid directory: %s","Chybný adresár: %s"
"Invalid file: %s","Chybný súbor: %s"
"Invalid input data for %s => %s rate","Chybné vstupné dáta pre %s => %s sadzbu"
"Invalidated","Zneplatnené"
"Inventory Stock Status","Stav skladových zásob"
"Invoice #%s comment added","Faktúre č.%s bol pridaný komentár"
"Invoice #%s created","Faktúra č.%s bola vytvorená"
"Invoice History","Fakturačná história"
"Invoice Totals","Súhrn faktúr"
"Invoices","Faktúry"
"Is Default","Je predvolené"
"Issue Number","Problém číslo"
"Items","Položky"
"JavaScript/CSS Cache","Vyrovnácia pamät pre JavaScript/CSS"
"Kb","kB"
"Last 24 Hours","Posledných 24 hodín"
"Last 5 Orders","5 najnovších objednávok"
"Last 5 Search Terms","5 naposledy hľadaných výrazov"
"Last 7 Days","Posledných 7 dní"
"Last Logged In:","Posledné prihlásenie:"
"Last Name","Priezvisko"
"Last Name:","Priezvisko:"
"Lifetime Sales","Celkový obrat"
"List (default) / Grid","Zoznam (default) / mriežka"
"List Only","Len zoznam"
"Load Template","Načítať šablóny"
"Load default template","Načítať predvolenú šablónu"
"Loading...","Načítávanie..."
"Local Server","Lokálny server"
"Local/Remote Server","Lokálny / vzdialený server"
"Locale","Lokalita"
"Log In","Prihlásiť"
"Log Out","Odhlásiť"
"Log in to Admin Panel","Prihlásenie do ovládacieho panelu"
"Log into Magento Admin Page","Prihlásenie do ovládacieho panelu Magento"
"Logged in as %s","Prihlásený ako %s"
"Login","Prihlásiť sa"
"Magento Admin","Ovládací panel Magento"
"Magento Commerce - Administrative Panel","Magento Commerce - Ovládací panel"
"Magento Logo","Logo: Magento"
"Magento root directory","Koreňový adresár inštalácie Magenta"
"Manage Attribute Sets","Spravovať sady atribútov"
"Manage Attributes","Správa vlastností"
"Manage Categories","Spravovať kategórie"
"Manage Currency Rates","Spravovať kurzy mien"
"Manage Customers","Správa zákazníkov"
"Manage Options (values of your attribute)","Správa možností (hodnoty pre vlastnosti)"
"Manage Stores","Správa obchodov"
"Manage Tax Rules","Správa daňových pravidiel"
"Manage Titles (Size, Color, etc.)","Spravovať popisky (veľkosť, farba, atď.)"
"Manual","Ručne"
"Media (.avi, .flv, .swf)","Médiá (.avi, .flv, .swf)"
"Messages Inbox","Schárnka prijatých správ"
"Month","Mesiac"
"Most Viewed","Najzobrazovanejšie"
"Most Viewed Products","Najviac prezerané produkty"
"Multiple Select","Viacnásobný výber"
"My Account","Môj účet"
"N/A","NEDOST."
"Name","Meno"
"Name on Card","Meno na karte"
"Name on the Card: %s","Meno na karte: %s"
"Name:","Meno:"
"New ","Nový "
"New Accounts","Nové účty"
"New Attribute","Nový atribút"
"New Block","Nový blok"
"New Category","Nová kategória"
"New Class","Nová skupina"
"New Customer","Nový zákazník"
"New Customers","Noví zákazníci"
"New Design Change","Nová zmena vzhľadu"
"New Email Template","Nová šablóna e-mailu"
"New Group","Nová skupina"
"New Invoice","Nová faktúra"
"New Page","Nová stránka"
"New Password","Nové heslo"
"New Poll","Nová anketa"
"New Profile","Nový profil"
"New Rating","Nové hodnotenie"
"New Review","Nová recenzia"
"New Rule","Nové pravidlo"
"New Search","Nové vyhľadávanie"
"New Set","Nová sada"
"New Shipment","Nová zásielka"
"New Sitemap","Nový Sitemap"
"New Store View","Nové zobrazenie obchodu"
"New System Template","Nová systémová šablóna"
"New Tag","Nový štítok"
"New Template","Nová šablóna"
"New User","Nový užívateľ"
"New Website","Nové webstránky"
"Newsletter","Informačný bulletin"
"Newsletter Queue","Fronta spravodaja"
"Newsletter Subscribers","Príjemcovia spravodaja"
"Newsletter Templates","Šablóny spravodaja"
"No","Nie"
"No (price without tax)","Nie (cena bez dane)"
"No Data Found","Neboli nájdené žiadne údaje"
"No Templates Found","Nenašli sa žiadne šablóny"
"No change","Bezo zmeny"
"No profile loaded...","Nebol načítaný žiaden profil"
"No records found for this period.","Pre toto obdobie neboli nájdené žiadne záznamy."
"No records found.","Nenašli sa žiadne záznamy."
"No search keywords.","Žiadne kľúčové slová."
"No search modules were registered","Neboli registrované žiadne moduly vyhľadávania"
"None","Žiadne"
"Notes","Poznámky"
"Notifications","Oznámenia"
"Number of Orders","Počet objednávok"
"Number of Uses","Počet použití"
"Number of Views","Počet zobrazení"
"Old rate:","Pôvodné sadzby:"
"Online Customers","Zákaznící v obchode"
"Only mapped fields","Iba priradené polia"
"Optional","Voliteľné"
"Options","Možnosti"
"Options is required","Voľba je povinná"
"Order","Objednávka"
"Order #%s","Objednávka č.%s"
"Order #%s (%s)","Objednávka č.%s (%s)"
"Order Totals","Súhrn objednávok"
"Orders","Objednávky"
"Original Magento attribute names in first row:","Pôvodné mená atribútov Magento v prvom riadku:"
"Out of stock","Vypredané"
"Parent Product Thumbnail","Náhľad nadradeného produktu"
"Passive mode","Pasívny stav"
"Password","Heslo"
"Password Confirmation","Potvrdenie hesla"
"Password:","Heslo:"
"Path:","Cesta:"
"Pending Tags","Neschválené štítky"
"Per Item","Za položku"
"Per Order","na objednávku"
"Percent","Percentá"
"Performed At","Vykonané"
"Period","Perióda"
"Permissions","Oprávnenia"
"Personal Information","Osobné informácie"
"Phone:","Telefón:"
"Please Select","Prosím, vyberte"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potvrďte, zmenu stránky. Všetky úpravý, ktoré ešte neboli uložené budú stratené."
"Please enter 6 or more characters.","Zadajte prosím 6 alebo viac znakov."
"Please enter a number greater than 0 in this field.","Do tohto políčka zadajte číslo väčšie ako 0."
"Please enter a valid $ amount. For example $100.00.","Prosím, zadajte platnú € hodnotu. Napríklad €100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Zadajte prosím platnú URL adresu. Napríklad http://www.example.com alebo www.example.com"
"Please enter a valid URL. http:// is required","Zadajte prosím platnú URL. http:// je povinné."
"Please enter a valid credit card number.","Zadajte číslo platnej platobnej karty."
"Please enter a valid date.","Zadajte správny dátum."
"Please enter a valid email address. For example johndoe@domain.com.","Zadajte prosím platnú e-mailovú adresu. Napríklad johndoe@domain.com."
"Please enter a valid number in this field.","Prosím v tomto poličku zadajte platné číslo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Zadajte platné telefónne číslo. Napríklad (123) 456-7890 alebo 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Zadajte prosím platné číslo sociálneho poistenia. Napr. 123-45-6789."
"Please enter a valid value from list","Zadajte platnú hodnotu zo zoznamu"
"Please enter a valid value, ex: 10,20,30","Zadajte platnú hodnotu, napr: 10,20,30"
"Please enter a valid zip code.","Zadajte platné PSČ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Zadajte prosím platné PSČ. Napríklad 10000."
"Please enter valid password.","Zadajte prosím platné heslo."
"Please make sure that all global admin search modules are installed and activated.","Uistite sa, že všetky globálne administratorské moduly vyhľadávania sú nainštalované a aktivované."
"Please make sure that your changes were saved before running the profile.","Uistite sa prosím, že Vaše zmeny boli uložené pred spustením profilu."
"Please make sure your passwords match.","Prosím, uistite sa, že vaše heslá zhodujú."
"Please select State/Province.","Vyberte štát/provinciu."
"Please select an option.","Vyberte možnosť."
"Please select customer(s).","Vyberte zákazníkov."
"Please select one of the above options.","Vyberte prosím jednu z uvedených možností"
"Please select one of the options.","Zvoľte jednu z týchto možností."
"Please use letters only (a-z) in this field.","Použite prosím iba písmená (a-z)."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Použite prosím iba písmená (a-z), alebo číslice (0-9). Medzery a ostatné znaky nie sú povolené."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Použite prosím v tomto poli iba písmená (a-z) alebo číslice (0-9) alebo medzery a #."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Použite tento formát dátumu: dd/mm/rrrr. Napríklad 17/03/2006 pre 17tý marec 2006."
"Please wait, loading...","Čakajte prosím, prebieha načítanie..."
"Please wait...","Prosím, čakajte..."
"Poll Manager","Správa ankiet"
"Popular","Obľúbené"
"Position","Pozícia"
"Position of Watermark for %s","Pozícia vodoznaku-u pre %s"
"Preview","Náhľad"
"Preview Template","Náhľad šablóny"
"Price","Cena"
"Price:","Cena:"
"Processed <strong>%s%% %s/%d</strong> records","Spracované <strong>%s%% %s/%d</strong> záznamy"
"Processing","Prebieha spracovanie"
"Product","Produkt"
"Product Name","Názov produktu"
"Product Reviews","Recenzie Produktu"
"Product Tax Classes","Daňové skupiny produktov"
"Product Thumbnail Itself","Náhľad produktu, vlastný"
"Products","Produkty"
"Profile Actions XML","Operácie profilu XML"
"Profile Direction","Smer profilu"
"Profile History","História profilu"
"Profile Information","Informácie o profile"
"Profile Name","Názov profilu"
"Profile Wizard","Sprievodca profilom"
"Profiles","Profily"
"Promo","Propagácia"
"Promotions","Propagácie"
"Quantity","Množstvo"
"Radio Buttons","Prepínače"
"Rates","Sadzby"
"Rebuild","Prestavať"
"Rebuild Catalog Index","Prestavať index katalógu"
"Rebuild Flat Catalog Category","Prestavať kategóriu plochého katalógu"
"Rebuild Flat Catalog Product","Prestavať produkt plochého katalógu"
"Recent Orders","Posledné objednávky"
"Redirect","Presmerovanie"
"Refresh","Obnoviť"
"Region/State","Kraj/štát"
"Regular Price:","Bežná cena:"
"Release","Vydanie"
"Release Stability","Stabilita vydania"
"Release Version","Verzia vydania"
"Reload captcha","Obnoviť"
"Remote FTP","Vzdialené FTP"
"Remove","Odstrániť"
"Reports","Prehľady"
"Request Path","Požadovaná cesta"
"Required","Požadované"
"Reset","Resetovať"
"Reset Filter","Resetovať filter"
"Reset Password","Obnoviť heslo"
"Resize","Zmeniť veľkosť"
"Resource Access","Prístup k zdrojom"
"Resources","Zdroje"
"Results","Výsledky"
"Retrieve Password","Získať heslo"
"Return Html Version","Vráti Html verziu"
"Revenue","Príjem"
"Reviews","Recenzie"
"Role ID","ID funkcie"
"Role Info","Informácie o funkcii"
"Role Information","Informácie o funkcii"
"Role Name","Názov funkcie"
"Role Resources","Zdroje funkcie"
"Role Users","Užívateľské funkcie"
"Roles","Funkcie"
"Roles Resources","Zdroje funkcií"
"Root Category","Hlavná kategória"
"Rotate CCW","Otočiť doľava"
"Rotate CW","Otočiť doprava"
"Run Profile","Spustiť profil"
"Run Profile Inside This Window","Spustiť profil v tomto okne"
"SKU","Katalógové číslo"
"SKU:","Kód:"
"Sales","Obrat"
"Sales Report","Prehľady predajov"
"Save","Uložiť"
"Save & Generate","Uložiť a vygenerovať"
"Save Account","Uložiť účet"
"Save Block","Uložiť blok"
"Save Cache Settings","Uložiť nastavenia vyrovnávacej pamäte"
"Save Config","Uložiť nastavenie"
"Save Currency Rates","Uložiť kurzy mien"
"Save Profile","Uložiť profil"
"Save Role","Uložiť funkciu"
"Save Template","Uložiť šablónu"
"Save User","Uložiť užívateľa"
"Save and Continue Edit","Uložiť a pokračovať v upravách"
"Search","Hľadať"
"Search Index","Index vyhľadávania"
"Search Term","Hľadaný výraz"
"Search Terms","Hľadané výrazy"
"Search entire store here...","Hľadať celý obchod tu..."
"Select All","Vybrať všetko"
"Select Category","Vybrať kategóriu"
"Select Date","Vybrať dátum"
"Select Range","Zobrazený rozsah"
"Sender","Odosielateľ"
"Shipment #%s comment added","Doprava č.%s pridaný komentár"
"Shipment #%s created","Doprava č.%s vytvorená"
"Shipment Comments","Komentáre k doprave"
"Shipment History","História dopravy"
"Shipments","Dodávky"
"Shipping","Doprava"
"Shipping Address","Dodacia adresa"
"Shipping Price","Cena dodania"
"Shopping Cart","Nákupný košík"
"Shopping Cart Price Rules","Cenové pravidlá košíka"
"Shopping Cart from %s","Nákupný košík %s"
"Sitemap Information","Informácie o mape stránok"
"Size for %s","Rozmer pre %s"
"Sorry, this feature is coming soon...","Prepáčte, túto funkciu pripravujeme..."
"Special Price:","Špeciálna cena:"
"Specific Countries","Vybraté krajiny"
"Spreadsheet Name:","Názov zošitu:"
"Start Date","Dátum začiatku"
"Starting at:","Začína o:"
"Starting profile execution, please wait...","Spúšťa sa profil, čakajte prosím..."
"State/Province:","Kraj/Región:"
"Static Blocks","Statické bloky"
"Status","Stav"
"Status:","Stav:"
"Stock Quantity:","Množstvo na sklade:"
"Store","Obchod"
"Store View","Zobrazenie obchodu"
"Store:","Obchod:"
"Stores","Obchody"
"Subject","Predmet"
"Submit","Potvrdiť"
"Subtotal","Medzisúčet"
"Switch/Solo card issue number: %s","Prepínač/Samostatné číslo karty: %s"
"Switch/Solo card start Date: %s/%s","Prepínač/Samostatný počiatočný dátum: %s/%s"
"Synchronize","Synchronizovať"
"System","Systém"
"Tags","Značky"
"Target Path","Cieľová cesta"
"Tax","Daň"
"Template","Šablóna"
"Template Content","Obsah šablóny"
"Template Information","Informácie o šablóne"
"Template Name","Názov šablóny"
"Template Styles","Štýly šablóny"
"Template Subject","Predmet šablóny"
"Template Type","Typ šablóny"
"Terms and Conditions","Zmluvné podmienky"
"The JavaScript/CSS cache has been cleaned.","Vyrovnávacia pamäť pre JavaScript/CSS bola vyčistená."
"The Magento cache storage has been flushed.","Magento vyrovnávacia pamäť sa vyprázdnila."
"The attribute set has been removed.","Sada atribútov bola odstránená."
"The image cache was cleaned.","Obraz cache bol vyčistený."
"This account is","Tento účet je"
"This action cannot be undone.","Túto akciu nemožno vrátiť späť."
"This attribute shares the same value in all the stores","Táto vlastnosť zdieľa rovnakú hodnotu vo všetkých obchodoch"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Toto je iba  predvádzací obchod. Žiadna z objednávok odoslaná prostredníctvom tohoto obchodu nebude vybavená."
"This is a required field.","Toto je povinné pole."
"Time","Čas"
"To","Do"
"Toggle Editor","Prepnúť editor"
"Tools","Nástroje"
"Top 5 Search Terms","5 najhľadanejších výrazov"
"Total","Celkom"
"Total Invoiced","Celkovo faktúrované"
"Total Order Amount","Celková objednaná čiastka"
"Total Refunded","Celkovo splatené"
"Track Order","Sledovať objednávku"
"Track this shipment","Sledovať zásielku"
"Tracking number %s for %s assigned","Sledovacie číslo %s pre %s bolo priradené"
"Transaction Type","Typ transakcie"
"Transactional Emails","Transakčné emaily"
"Type","Typ"
"Type:","Typ:"
"Unable to initialize import model","Nie je možné inicializovať importný model"
"Unable to save Cron expression","Nie je možné uložiť výraz Cron-u"
"Unknown","Neznámy"
"Update","Aktualizácia"
"Updated At","Aktualizované"
"Upload File","Nahrať súbor"
"Upload Files","Nahrať súbory"
"Upload HTTP Error","HTTP chyba pri nahrávání"
"Upload I/O Error","I/O chyba pri nahrávání"
"Upload Security Error","Bezpečnostná chyba pri nahrávání"
"Upload import file","Nahrať importný súbor"
"Use All Available Attributes","Použiť všetky dostupné atribúty"
"Use Config Settings","Použiť nastavenie konfirurácie"
"Use Default","Použiť predvolené"
"Use Default Value","Použiť predvolenú hodnotu"
"Use FTP Connection","Použiť FTP pripojenie"
"User Email","Email používateľa"
"User ID","ID užívateľa"
"User Info","Informácie o užívateľovi"
"User Information","Informácie o užívateľovi"
"User Name","Meno používateľa"
"User Name:","Užívateľské meno:"
"User Password","Heslo používateľa"
"User Role","Funkcia užívateľa"
"User Roles","Funkcia užívateľa"
"User Roles Information","Informace o funkciách užívateľa"
"User name","Užívateľské meno"
"Users","Užívatelia"
"Value Delimiter:","Oddeľovač hodnôt:"
"Variable","Premenná"
"View Actions XML","Zobraziť operácie XML"
"View Full Size","Zobraziť plnú veľkosť"
"View Statistics For:","Zobrazenie štatistických údajov pre:"
"Visibility:","Viditeľnosť:"
"Warning","Upozornenie"
"Watermark File for %s","Súbor vozonaku pre %s"
"Website","Webová stránka"
"What is this?","Čo je toto?"
"Wishlist Report","Prehľad Zoznamu prianí"
"YTD","Tento rok"
"Year","Rok"
"Yes","Áno"
"Yes (only price with tax)","Áno (iba cenu s daňou)"
"You have logged out.","Odhlásili ste sa."
"Your answers contain duplicates.","Vaše odpovede obsahujú duplikáty."
"Your password reset link has expired.","Platnosť odkazu na obnovenie hesla uplynula."
"Zip/Postal Code","Poštové smerovacie číslo"
"Zip/Postal Code:","PSČ:"
"[ deleted ]","[ zmazané ]"
"[GLOBAL]","[GLOBÁLNE]"
"close","zatvoriť"
"critical","kritické"
"failed","neúspešné"
"major","hlavné"
"minor","vedlajšie"
"notice","oznámenie"
"store(%s) scope","rozsah obchodu (%s)"
"successful","úspešné"
"to","do"
"website(%s) scope","rozsah webových stránok (%s)"
