"* Required Fields","* Povinné políčka"
"Credit Memo Comment Email Template","Šablóna poznámky k dobropisu"
"Credit Memo Comments","Poznámky k dobropisu"
"Credit Memo Email Sender","Odosielateľ e-mailu dobropisu"
"Credit Memo Email Template","Šablóna e-mailu dobropisu"
"Credit Memos","Dobropisy"
"Custom Value","Uživatelská hodnota"
"Customer","Zákazník"
"Customer Group","Zákaznicka skupina"
"Customer Name","Meno zákazníka"
"Date","Dátum"
"Date Shipped","Dátum expedície"
"Delete","Zmazať"
"Discount","Zľava"
"Discount (%s)","Zľava (%s)"
"Discount Amount","Hodnota zľavy"
"Edit","Upraviť"
"Edit Order #%s","Editovať objednávku č.%s"
"Email","E-mail"
"Email Address","E-mailová adresa"
"Email Copy of Credit Memo","E-mailová kópia dobropisu"
"Email Copy of Invoice","Poslať e-mail s faktúrou"
"Email Copy of Shipment","Poslať e-mail so správou o odoslaní tovaru"
"Email Order Confirmation","Poslať e-mail s potvrdením objednávky"
"Enable","Zapnúť"
"Enabled","Zapnuté"
"Excl. Tax","Bez dane"
"First Name","Meno"
"From","Od"
"From Name","Od mena"
"From:","Od:"
"G.T. (Base)","G.T. (Základné)"
"G.T. (Purchased)","G.T. (Zakúpené)"
"General","Základné"
"General Information","Všeobecné informácie"
"Get shipping methods and rates","Získať spôsoby dopravy a poplatky"
"Gift Message","Venovanie"
"Gift Message for this Order","Darčekový odkaz pre túto objednávku"
"Go to Home Page","Prejdite na domovskú stránku"
"Grand Total","Celkový súčet"
"Guest","Hosť"
"Hold","Podržať"
"Home","Domov"
"Incl. Tax","Vrátane dane"
"Information","Informácie"
"Invoice","Faktúra"
"Invoice #","Faktúra č."
"Invoice #%s","Faktúra č.%s"
"Invoice Comment Email Sender","Odosielateľ e-mailu poznámky k faktúre"
"Invoice Comment Email Template","Šablóna e-mailu poznámky k faktúre"
"Invoice Comments","Poznámky k faktúre"
"Invoice Date","Dátum faktúry"
"Invoice Email Sender","Odosielateľ e-mailu faktúry"
"Invoice Email Template","Šablóna e-mailu faktúry"
"Invoiced","Fakturované"
"Invoices","Faktúry"
"Item","Položka"
"Items","Položky"
"Items Invoiced","Fakturované položky"
"Items Refunded","Uhradených položiek"
"Items Shipped","Položiek odoslaných"
"Items to Refund","Položiek k úhrade"
"Items to Ship","Položiek na odoslanie"
"Last Name","Priezvisko"
"Make Check payable to:","Vyplatiť šek:"
"Message","Správa"
"Message:","Správa:"
"Mixed","Zmiešané"
"Most Viewed","Najzobrazovanejšie"
"Move to Wishlist","Pridať na zoznam prianí"
"My Orders","Moje Objednávky"
"My Orders - Details","Moje objednávky - Detaily"
"N/A","NEDOST."
"Name","Meno"
"New Credit Memo","Nový dobropis"
"New Invoice","Nová faktúra"
"New Order","Nová objednávka"
"New Order Confirmation Email Sender","Odosielateľ e-mailu potvrdenia novej objednávky"
"New Order Confirmation Template","Šablóna potvrdenia novej objednávky"
"New Order RSS","RSS nových objednávok"
"New Order Status","Stav novej objednávky"
"New Shipment","Nová zásielka"
"No","Nie"
"No Items","Žiadne položky"
"No Payment Methods","Žiadné spôsoby platby"
"No items","Žiadne položky"
"No ordered items","Žiadne zoradené položky"
"Notified","Oznámené"
"Notify Customer by Email","Upozorniť zákazníka e-mailom"
"Number","Číslo"
"Number of Orders","Počet objednávok"
"Offline Refunded","Splatené nepriamo"
"On Hold","Pozdržané"
"Online Refunded","Splatené priamo"
"Order","Objednávka"
"Order #","Objednávka #"
"Order # %s","Objednávka č. %s"
"Order #%s","Objednávka č.%s"
"Order #%s - %s","Objednávka č.%s - %s"
"Order Comment","Poznámka k objednávke"
"Order Comment Email Sender","Oodosielateľ e-mailu komentára objednávky"
"Order Comment Email Template","Šablóna e-mailu komentára objednávky"
"Order Comments","Poznámky k objednávke"
"Order Credit Memos","Dobropis objednávky"
"Order Currency:","Mena objednávky:"
"Order Date","Dátum objednávky"
"Order Date: %s","Dátum objednávky: %s"
"Order Details","Detaily objednávky"
"Order Grand Total","Celková suma objednávky"
"Order History","História objednávok"
"Order Information","Informácie o objednávke"
"Order Invoices","História faktúr"
"Order Shipments","História doručenia"
"Order Status","Stav objednávky"
"Order Subtotal","Medzisúčet objednávky"
"Order Total","Celkom"
"Order Totals","Súhrn objednávok"
"Order Update","Zmena objednávky"
"Order View","Zobraziť objednávku"
"Order saving error: %s","Chyba pri uložení objednávky: %s"
"Order was placed using %s","Objednávka bola odoslaná %s"
"Ordered","Objednané"
"Orders","Objednávky"
"PDF Credit Memos","Dobropisy v PDF"
"PDF Invoices","Faktúry v PDF"
"PDF Packingslips","Poštová sprievodka (PDF)"
"Package","Balíček"
"Packages","Balíčky"
"Paid","Zaplatené"
"Paid Amount","Zaplatené množstvo"
"Partial","Čiastočne"
"Payment Information","Informácie o platbe"
"Payment Method","Spôsob platby"
"Payment Method:","Spôsob platby:"
"Payment Review","Prehľad Platby"
"Pending","Neschválené"
"Period","Perióda"
"Please enter positive number in this field.","V tomto políčku zadajte kladné číslo."
"Price","Cena"
"Print","Vytlačiť"
"Print All","Vytlačiť všetko"
"Print All Invoices","Vytlačiť všetky faktúry"
"Print All Refunds","Vytlačiť všetky úhrady"
"Print All Shipments","Vytlačiť všetky odoslané položky"
"Print Credit Memos","Vytlačiť dobropisy"
"Print Invoice","Vytlačiť faktúru"
"Print Invoices","Vytlačiť faktúry"
"Print Order","Vytlačiť objednávku"
"Print Packingslips","Vytlačiť poštové sprievodky"
"Print Refund","Vytlačiť úhradu"
"Print Shipment","Vytlačiť dodávku"
"Processing","Prebieha spracovanie"
"Product","Produkt"
"Product Name","Názov produktu"
"Products","Produkty"
"Profile Information","Informácie o profile"
"Purchased From","Kúpené od"
"Purchased On","Zakúpené"
"Qty","Množstvo"
"Qty Invoiced","Fakturované množstvo"
"Qty Ordered","Množstvo objednané"
"Qty Shipped","Odoslané množstvo"
"Qty To Add","Množstvo na pridanie"
"Qty to Invoice","Množstvo na vyfaktúrovanie"
"Quantity Ordered","Objednané množstvo"
"Recent Orders","Posledné objednávky"
"Recently Compared Products","Naposledy porovnávané pordukty"
"Recently Viewed","Naposledny videné"
"Recently Viewed Products","Naposledy zobrazené produkty"
"Refresh","Obnoviť"
"Refund","Úhrada"
"Refund #","Úhrada č."
"Refund #%s","Úhrada č.%s"
"Refund Amount","Množstvo úhrady"
"Refund Offline","Nepriama úhrada"
"Refunded","Vrátené"
"Refunds","Úhrady"
"Remove","Odstrániť"
"Remove Coupon Code","Odstrániť kód kupónu"
"Reorder","Preobjednať"
"Returned","Vrátené"
"Revenue","Príjem"
"Row Subtotal","Medzisúčet riadku"
"Row Total","Celkom za položku"
"SKU","Katalógové číslo"
"Sales","Obrat"
"Sales Emails","Obchodné e-maily"
"Same As Billing Address","Rovnaká, ako adresa dodania"
"Save in address book","Uložiť do adresára"
"Schedule","Rozvrh"
"Select All","Vybrať všetko"
"Select from existing customer addresses:","Vyberte niektorú zo zákazníckych adries:"
"Send Credit Memo Comment Email Copy To","Zaslať kópiu e-mailu poznámky k dobropisu"
"Send Credit Memo Email Copy To","Zaslať kópiu e-mailu dobropisu"
"Send Invoice Comment Email Copy To","Zaslať kópiu e-mailu poznámky k faktúre"
"Send Invoice Email Copy To","Zaslať kópiu e-mailu faktúry"
"Send Order Comment Email Copy To","Zaslať kópiu e-mailu poznámky k objednávke"
"Send Order Email Copy To","Zaslať kópiu e-mailu objednávky"
"Send Shipment Comment Email Copy To","Zaslať kópiu e-mailu poznámky k zásielke"
"Send Shipment Email Copy To","Zaslať kópiu e-mailu o zásielke"
"Send Tracking Information","Pošli údaje o sledovanej zásielke"
"Ship","Odoslať"
"Ship to Name","Odoslať na meno"
"Shipment","Zásielka"
"Shipment #","Preprava č."
"Shipment #%s","Preprava č.%s"
"Shipment Comment Email Sender","Odosielateľ e-mailu poznámky k zásielke"
"Shipment Comment Email Template","Šablóna e-mailu poznámky k zásielke"
"Shipment Comments","Komentáre k doprave"
"Shipment Email Sender","Odosielateľ e-mailu o zásielke"
"Shipment Email Template","Šablóna e-mailu o zásielke"
"Shipments","Dodávky"
"Shipped","Odoslané"
"Shipped By","Odoslané cez"
"Shipping","Doprava"
"Shipping & Handling","Poštovné a balné"
"Shipping &amp; Handling","Poštovné &amp; balné"
"Shipping &amp; Handling Information","Informácie o poštovnom &amp; balnom"
"Shipping Address","Dodacia adresa"
"Shipping Amount","Množstvo na odoslanie"
"Shipping Information","Prepravné informácie"
"Shipping Method","Spôsob dopravy"
"Shipping Method:","Spôsob dopravy:"
"Shipping Refund","Úhrada prepravy"
"Shopping Cart","Nákupný košík"
"Signed Up From","Prihlásený od"
"Size","Veľkosť"
"Sku","Katalógové číslo"
"Sorry, no quotes are available for this order at this time.","Prepáčte, žiadne cenové ponuky nie sú teraz k dispozícii pre túto objednávku."
"State/Province","Štát/provincia"
"Status","Stav"
"Status:","Stav:"
"Store Credit","Kredit obchodu"
"Street Address","Ulica"
"Submit Comment","Odoslať komentár"
"Submit Credit Memo","Odoslať dobropis"
"Submit Invoice","Odoslať faktúru"
"Submit Order","Odoslať objednávku"
"Submit Shipment","Odoslať prepravu"
"Subscribe to Newsletter","Prihlásiť sa k odberu noviniek"
"Subscribe to Order Status","Prihlásiť sa k odberu stavu objednávky"
"Subtotal","Medzisúčet"
"Subtotal:","Medzisúčet:"
"Tax","Daň"
"Tax Amount","Výška dane"
"Telephone","Telefón"
"This order no longer exists.","Táto objednávka už neexistuje."
"Tier Pricing","Skupinová cenotvorba"
"Title","Titulok"
"To","Do"
"To Name","Na meno"
"To:","Pre:"
"Total","Celkom"
"Total Due","Spolu k úhrade"
"Total Invoiced","Celkovo faktúrované"
"Total Paid","Spolu zaplatené"
"Total Qty","Celkové množstvo"
"Total Refund","Celková úhrada"
"Total Refunded","Celkovo splatené"
"Total Shipping","Celkovo doručených"
"Total Weight","Celková hmotnosť"
"Track Order","Sledovať objednávku"
"Track all shipment(s)","Sledovať všetky zásielky"
"Track all shipments","Sledovať všetky zásielku"
"Track this shipment","Sledovať zásielku"
"Track your order","Sledujte svoju objednávku"
"Tracking Number","Sledovacie číslo"
"Transaction Type","Typ transakcie"
"Type","Typ"
"Unhold","Nepodržať"
"Unknown State","Neznámy štát"
"Unknown Status","Status neznámy"
"Update Changes","Aktualizovať zmeny"
"Updated At","Aktualizované"
"View","Zobraziť"
"View All","Zobraziť všetko"
"View Order","Zobraziť objednávku"
"Void","Uvolniť"
"Website","Webová stránka"
"Wishlist","Zoznam želaní"
"Yes","Áno"
"You have placed no orders.","Vytvorili ste objednávku."
"ZIP/Post Code","PSČ"
"Zip/Postal Code","Poštové smerovacie číslo"
