"* Required Fields","* Campos obligatorios"
"Login Options","Opciones para el acceso"
"Login or Create an Account","Iniciar sesión ó crear una cuenta"
"Manage Addresses","Gestionar direcciones"
"Manage Customers","Gestionar clientes"
"Month","Mes"
"My Account","Mi Cuenta"
"My Dashboard","Mi Panel de Control"
"My Orders","Mis pedidos"
"Name","Nombre"
"Name and Address Options","Opciones de nombre y dirección"
"Never","Nunca"
"New Address","Nueva dirección"
"New Address Entry","Dirección Nueva de Ingreso"
"New Customer","Nuevo cliente"
"New Customer Address","Dirección Nueva de Cliente"
"New Customer Group","Nuevo grupo de clientes"
"New Customer Groups","Nuevos grupos de clientes"
"New Customers","Nuevos clientes"
"New Group","Nuevo grupo"
"New Password","Nueva Contraseña"
"New account","Cuenta Nueva"
"New account confirmation key","Clave para Cuenta Nueva Confirmada"
"New account confirmed","Cuenta Nueva Confirmada"
"Newsletter","Boletín de noticias"
"Newsletter Finish","Finalizar Noticia"
"Newsletter Information","Boletín Información"
"Newsletter Received","Noticia Recibida"
"Newsletter Start","Iniciar Noticia"
"Newsletter Subscription","Suscripción al boletín informativo"
"Newsletters","Boletines informativos"
"No Items Found","No se encontraron artículos"
"No Newsletter Found","Boletín informativo no encontrado"
"No item specified.","No se especifico ningún articulo."
"Not Sent","No enviado"
"Not confirmed, can login","No confirmado, puede registrarse"
"Not confirmed, cannot login","No confirmado, no puede registrarse"
"Offline","Fuera de línea"
"Online","En línea"
"Online Customers","Clientes en línea"
"Online Customers Options","Opciones para clientes conectados"
"Online Minutes Interval","Intervalo de minutos con conexión"
"Order #","Pedido nº "
"Order Total","Total del pedido"
"Orders","Pedidos"
"Password","Contraseña"
"Password Management","Contraseña de Gestión"
"Password Options","Opciones de contraseña"
"Password forgotten","Recordatorio de contraseña"
"Password:","Contraseña:"
"Paused","Pausado"
"Pending","Pendiente"
"Per Website","Por sitio web"
"Personal Information","Información Personal"
"Please enter a number 1 or greater in this field.","Por favor, introduzca número 1 o mayor en este campo."
"Please enter the city.","Por favor, introduzca la ciudad."
"Please enter the country.","Por favor, ingrese el país."
"Please enter the first name.","Introduzca el nombre."
"Please enter the last name.","Introduzca el apellido."
"Please enter the state/province.","Por favor, introduzca el estado/provincia."
"Please enter the street.","Por favor, introduzca la calle."
"Please enter the zip/postal code.","Por favor, introduzca el código postal."
"Please enter your email below and we'll send you confirmation link for it.","Introduzca su email abajo por favor y le enviaremos un enlace de confirmación."
"Please enter your email.","Por favor, introduzca su dirección de correo electrónico."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Prefix Dropdown Options","Opciones para listas desplegables con prefijo"
"Price","Precio"
"Product","Producto"
"Product ID","ID de artículo"
"Product Name","Nombre del producto"
"Product Reviews","Reseñas de artículo"
"Product Tags","Etiquetas de productos"
"Purchase On","Compra en"
"Purchased On","Comprado En"
"Qty","Cant"
"Recent Orders","Pedidos recientes"
"Recovery Link Expiration Period (hours)","Período de expiración del enlace de recuperación (horas)"
"Redirect Customer to Account Dashboard after Logging in","Redirigir a los clientes al Panel de Control de la cuenta después de iniciar sesión"
"Refunded","Reembolsado."
"Register","Registrar"
"Registered Customers","Clientes registrados"
"Remind Email Template","Plantilla para el correo electrónico de recordatorio"
"Remove","Remover"
"Require Emails Confirmation","Solicitar confirmación por correo electrónico"
"Reset a Password","Reinicializar contraseña"
"Retrieve address data","Recuperar datos de dirección"
"Retrieve address info","Recuperar información de dirección"
"Retrieve customer addresses","Recuperar dirección del cliente"
"Retrieve customer data","Recuperar datos del cliente"
"Retrieve customers","Recuperar clientes"
"Retrieve your confirmation link here","Recuperar enlace de confirmación aquí"
"Retrieve your password here","Recupera tu contraseña aquí"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Sales Statistics","Estadísticas de Ventas"
"Save","Guardar"
"Save Address","Guardar dirección"
"Save Customer","Guardar cliente"
"Save Customer Group","Guardar grupo de clientes"
"Save Password","Guardar Contraseña"
"Save and Continue Edit","Guardar y continuar editando"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por semicolon (;).<br/>Poner semicolon al principio para la primer opción vacía.<br/>Dejar en blanco para abrir campo de texto."
"Send From","Enviar desde"
"Send Welcome Email after Confirmation","Envíar email de bienvenida después de la confirmación"
"Send confirmation link","Enviar enlace de confirmación"
"Sending","Enviando"
"Sent","Enviado"
"Session Start Time","Tiempo de inicio de sesión"
"Set as Default Billing Address","Establecer como Predeterminada la Dirección de Facturación"
"Set as Default Shipping Address","Establecer como Predeterminada la Dirección de Envío"
"Share Customer Accounts","Compartir cuentas de cliente"
"Shipped to First Name","Enviado por Nombre"
"Shipped to Last Name","Enviado por Apellido"
"Shipped to Name","Enviado por Nombre"
"Shopping Cart","Carrito de compras"
"Shopping Cart - %d item(s)","Carrito de Compras - %d artículo(s)"
"Show Date of Birth","Mostrar fecha de nacimiento"
"Show Gender","Mostrar Sexo"
"Show Middle Name (initial)","Mostrar segundo nombre (inicial)"
"Show Prefix","Mostrar prefijo"
"Show Suffix","Mostrar sufijo"
"Show Tax/VAT Number","Mostrar número de IVA/impuestos"
"Sign Up for Newsletter","Suscribirse al boletín"
"State/Province","Estado/provincia"
"Status","Estatus"
"Store","Tienda"
"Store View","Vista de la tienda"
"Street Address","Dirección"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe to Newsletter","Suscribir al boletín informativo"
"Subscribed to Newsletter?","¿Se Suscribe a Noticias?"
"Suffix Dropdown Options","Opciones para listas desplegables con sufijo"
"Tag Name","Nombre de etiqueta"
"Tax Calculation Based On","Cálculo tributario basado en"
"Tax Class","Grupo de tributación"
"Tax/VAT number","Número Impuestos/IVA"
"Telephone","Teléfono"
"Text","Texto"
"Text One Line","Una línea de texto"
"The VAT ID entered (%s) is not a valid VAT ID.","El ID de IVA introducido (%s) no es un ID de IVA válido."
"The VAT ID is valid. The current Customer Group will be used.","El ID de IVA es válido. Se utilizará el grupo de cliente actual."
"The customer does not have default billing address.","El cliente no tiene una dirección de facturación predeterminada."
"The suffix that goes after name (Jr., Sr., etc.)","El sufijo que va después de nombre (padre, hijo, etc.)"
"The title that goes before name (Mr., Mrs., etc.)","El título que va antes del nombre (señor, señorita, etc.)"
"There are no items in customer's wishlist at the moment","No hay ningún artículo en la lista de deseos del cliente por el momento"
"There are no items in customer's shopping cart at the moment","No hay ningún artículo en el carrito de compras del cliente por el momento"
"This account is not confirmed.","Esta cuenta no esta confirmada."
"This customer has no saved addresses.","Este cliente no tiene direcciones guardadas."
"This email does not require confirmation.","Este mensaje de correo electrónico no requiere confirmación."
"To Cart","Para el Carrito"
"Type","Tipo"
"Unknown","Desconocido"
"Unsubscribe from Newsletter","Cancelar suscripción al boletín informativo"
"Update","Actualizar"
"Update customer address data","Actualizar datos de dirección del cliente"
"Update customer data","Actualizar datos del cliente"
"Use as my default billing address","Utilice como mi dirección de facturación por defecto"
"Use as my default shipping address","Utilice como mi dirección de envío predeterminada"
"VAT Number","Número de IVA"
"VAT Request Date","Fecha de petición de IVA"
"VAT Request Identifier","Identificador de petición de IVA"
"Validate VAT Number","Validar número de IVA"
"Validate on Each Transaction","Validar en cada transacción"
"Validation Error Group","Error de validación al grupo"
"View","Ver"
"View Order","Ver pedido"
"Visitor","Visitante"
"Visitors Only","Sólo Visitantes"
"Website","Página web"
"Welcome Email","Mensaje de correo electrónico de bienvenida"
"Wishlist","Lista de deseos"
"Wishlist - %d item(s)","Lista de Deseos -%d artículo(s)"
"Would you like to change the Customer Group for this order?","¿Desea cambiar el grupo de clientes para este pedido?"
"Wrong confirmation key.","Clave de confirmación equivocada."
"Wrong customer account specified.","Cuenta de cliente especificada equivocada."
"Wrong email.","Se especificó una dirección de correo electrónico incorrecta."
"YYYY","AAAA"
"Year","Año"
"You are currently not subscribed to any newsletter.","Actualmente no estás suscrito a ningún boletín de noticias."
"You are currently subscribed to 'General Subscription'.","Actualmente estás suscrito a 'Suscripción General'."
"You are currently subscribed to our newsletter.","Usted está suscrito a nuestro boletín de noticias."
"You have no additional address entries in your address book.","Usted no tiene entradas de direcciones adicionales en la libreta de direcciones."
"You have no additional entries in your address book.","Usted no tiene más entradas en la libreta de direcciones."
"You have no default billing address in your address book.","No tiene ninguna dirección de facturación por defecto en su libreta de direcciones."
"You have no default shipping address in your address book.","No tiene ninguna dirección de envío por defecto en su libreta de direcciones."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"You have placed no orders yet.","Usted aún no ha puesto pedidos."
"You have placed no products yet.","Usted aún no han puesto productos."
"You will be charged tax.","Se le cargarán los impuestos."
"You will not be charged tax.","No se le cargarán los impuestos."
"Your Tax ID cannot be validated.","Su ID de impuestos no se ha podido validar."
"Your VAT ID was successfully validated.","Su ID de IVA se ha validado correctamente."
"Your account balance is: %s","Tu saldo de la cuenta es: %s"
"ZIP","Código postal"
"ZIP/Post Code","Código postal"
"Zip/Postal Code","Código Postal"
"or","o"
