"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl impuestos."
"%s Item(s)","%s Artículo(s)"
"(Copy data from: %s)","(Copiar datos de: %s)"
"Assigned Products","Productos Asignados"
"Associated Products","Artículos asociados"
"Attrib. Set Name","Nombre del Atributo del Arreglo"
"Attribute Information","Información de atributo"
"Attribute Model","Modelo de atributo"
"Attribute Name:","Nombre del atributo:"
"Attribute Set","Conjunto de atributos"
"Attribute Sets","Conjunto de atributos"
"Attribute group with the ""/name/"" name already exists","Grupo de atributos con el ""/nombre/"" nombre ya existe"
"Attribute with the same code already exists","Atributo con el mismo código ya existe"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Los nombres de atributos se pueden especificar por tienda."
"Autogenerate","Generación Automática"
"Availability:","Disponibilidad:"
"Back","Atrás"
"Backend Model","Administración del sitio modelo"
"Backend Table","Tabla Backend"
"Backend Table Title","Título de la Tabla Backend"
"Backorders","Pedidos pendientes"
"Based On","Basado en"
"Before Order Confirmation","Antes de la confirmación del pedido"
"Best Value","Mejor Valor"
"Block after Info Column","Bloque después de columna de información"
"Bottom/Left","Inferior/izquierda"
"Bottom/Right","Inferior/derecha"
"Browse By","Navegar por"
"Bundle Items","Elementos en paquete"
"Buy %1$s for %2$s","Comprar %1$s a %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Comprar %1$s a %2$s (%3$s incl. impuestos) cada uno"
"Buy %1$s for %2$s each","Comprar %1$s a %2$s cada uno"
"Cache Lifetime (Seconds)","Ciclo de vida caché (segundos)"
"Can be used only with catalog input type Dropdown","Puede ser usado únicamente con catálogo de tipo de entrada desplegable"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Puede ser usado únicamente con catálogo de tipo de entrada desplegable, Selección y Precio múltiples"
"Can't create image.","No se puede crear imagen."
"Cancel","Cancelar"
"Cart Item Attribute","Atributo de artículo del carrito de compras"
"Catalog","Catálogo"
"Catalog Category Link","Enlace a la categoría de catálogo"
"Catalog New Products List","Lista de nuevos artículos del catálogo"
"Catalog Price Scope","Alcance del precio del catálogo"
"Catalog Product Link","Enlace al catálgo de artículos"
"Catalog Section","Sección de Catálogo"
"Catalog, Search","Catálogo, Búsqueda"
"Categories","Categorías"
"Categories Sitemap","Mapa del sitio de Categorías"
"Category","Categoría"
"Category API","Categoría API"
"Category Data","Categoría de datos"
"Category Flat Data","Datos planos de categoría"
"Category Link Block Template","Modelo del bloque de enlaces de categorías"
"Category Link Inline Template","Modelo de enlaces en línea a categorías"
"Category Products","Artículos de la categoría"
"Category Top Navigation","Categoría de navegación superior"
"Category URL Suffix","Sufijo URL de categoría"
"Category attributes API","Categoría atributos API"
"Category move error","Error al mover la categoría"
"Center","Centro"
"Change","Cambio"
"Change or Retrieve attribute store view","Cambiar o Recuperar atributo de la vista de la tienda"
"Change status","Cambiar estado"
"Check items to add to the cart or","Comprueba los artículos para añadir a la cesta o"
"Choose an Option...","Elegir una opción..."
"Clear All","Eliminar todo"
"Clear Price","Borrar precio"
"Click for price","Haga click para ver precio"
"Close Window","Cerrar ventana"
"Collapse All","Contraer todo"
"Comma-separated.","Separados por coma."
"Comparable","Comparables"
"Comparable on Front-end","Comparación en el Front-end"
"Compare","Comparar"
"Compare Products","Comparar productos"
"Conditions Combination","Combinación de condiciones"
"Configurable Product","Producto configurable"
"Configurable Product Settings","Ajustes de Producto configurable"
"Configure Product","Configurar artículo"
"Continue","Continuar"
"Copy From Configurable","Copiar desde configurable"
"Country/State","País/Estado federado"
"Create","Crear"
"Create (Upload)","Crear (Subir)"
"Create Empty","Crear Vacío"
"Create Permanent Redirect for URLs if URL Key Changed","Crear redireccionamiento permanente para URL si se cambia la URL"
"Create Permanent Redirect for old URL","Crear redirección permanente para la URL antigua"
"Create Product Settings","Ajustes a Crear productos"
"Create Simple Associated Product","Crear asociación simple de productos"
"Create new category","Crear categoría nueva"
"Create new product","Crear producto nuevo"
"Cross-sells","Ventas cruzadas"
"Custom Design","Diseño Personalizado"
"Custom Options","Opciones personalizadas"
"Customer Group","Grupo del cliente"
"Customers Reviews","Reseñas de clientes"
"Customers Tagged Product","Productos con Etiquetas de Clientes"
"Data Type for Saving in Database","Tipo de datos para guardar en la base de datos"
"Date & Time Custom Options","Opciones personalizadas de fecha y hora"
"Date Fields Order","Ordenar por fecha"
"Date Subscribed","Fecha de suscripción"
"Datetime","Fecha/hora"
"Declare attribute value saving scope","Declarar el alcance del valor del atributo a guardar"
"Default ""What's This"" Text Message","Mensaje de texto ""What's This"" predeterminado"
"Default Popup Text Message","Mensaje popup (predeterminado)"
"Default Price","Precio predeterminado"
"Default Price Navigation Step","Paso de navegación de precio por defecto"
"Default Qty","Cantidad (predeterminado)"
"Default Values","Valores (predeterminado)"
"Delete","Borrar"
"Delete Attribute","Eliminar atributo"
"Delete Attribute Set","Eliminar Ajustes de atributo"
"Delete Category","Eliminar categoría"
"Delete Option","Eliminar opción"
"Delete Row","Eliminar fila"
"Delete Search","Borrar búsqueda"
"Delete Selected Group","Eliminar grupo seleccionado"
"Delete Tier","Eliminar escalones de precios"
"Delete category","Eliminar Categoría"
"Delete product","Eliminar producto"
"Depends on design theme","Depende del Diseño del Tema"
"Description","Descripción"
"Design","Diseño"
"Details","Detalles"
"Disabled","Deshabilitada"
"Display Actual Price","Mostrar precio actual"
"Display Page Control","Mostrar control de página"
"Display Price Interval as One Price","Mostrar intervalo de precios como un único precio"
"Display Product Count","Mostrar el número de artículo"
"Display Type","Tipo de visualización"
"Display in Suggested Terms","Mostrar en términos sugeridos"
"Double click on a group to rename it","Haga doble clic en un grupo para renombrar"
"Double click on above image to view full picture","Para ver la foto completa, haga doble clic en la imagen."
"Downloadable Information","Información Descargable"
"Duplicate","Duplicar"
"Duplicate amount found.","Monto se encontró dos veces."
"Duplicate website tier price customer group and quantity.","Duplicar la capa del sitio web de precio, grupo de clientes y cantidad."
"Duplicate website, country and state tax found.","Sitio web duplicado, impuestos encontrados en país y Estado."
"Edit","Editar"
"Edit Attribute Set '%s'","Modificar conjunto de atributos '%s'"
"Edit Product Attribute","Editar atributo del artículo"
"Edit Product Attribute ""%s""","Modificar atributo del producto ""%s"""
"Edit Search","Editar búsqueda"
"Edit Search '%s'","Modificar la búsqueda '%s'"
"Email","Correo electrónico"
"Email to a Friend","Escribir correo electrónico a un amigo"
"Empty","Vacío"
"Enable MAP","Habilitar MAP"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Enabled","Habilitado"
"Error during retrieval of option value: %s","Error durante la recuperación de la opción del valor: %s"
"Exclude","Excluir"
"Expand All","Abrir todos"
"Failed","Falló"
"Failed to move file: %s","Falla al mover el archivo: %s"
"Feature Products","Características de Productos"
"Filter","Filtro"
"Filterable (no results)","Filtrable (sin resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"First Name","Nombre"
"Fixed","Fijo"
"For the last time placed.","Para la última vez que se ha colocado."
"Frontend Model","Entrada Modelo"
"Frontend Properties","Propiedades Frontend"
"Gallery","Galería"
"General Information","Información general"
"Get special price","Obtén precio especial"
"Global","General"
"Globally Editable","Editable globalmente"
"Go to Home Page","Ir a la página de inicio"
"Grid","Parrilla"
"Grouped Product","Producto Agrupado"
"Groups","Grupos"
"Home","Inicio"
"ID","Identificador"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si no se especifica un valor opcional para una vista de tienda en especifico el valor predeterminado (Admin) será el usado."
"Image","Imagen"
"Image content is not valid base64 data.","Dato base64 no es válido para el contenido de la imagen."
"Image type and information need to be specified for each store view.","Tipo de imagen y la información deben ser especificados para cada vista de tienda."
"In Cart","Carrito"
"In Stock","En existencias"
"In stock","Disponible"
"Incl. Tax","Impuestos incluidos"
"Index product prices","Indexar los precios de artículos"
"Indexed category/products association","Asociación categoría/artículos indexada"
"Input Type","Introducir tipo"
"Integer","Entero"
"Interval Division Limit","Límite de división de intervalo"
"Invalid Tier Prices","Nivel de Precios Inválido"
"Invalid image type.","Tipo de imagen inválida."
"Invalid store specified","Tienda especificada inválida"
"Inventory","Inventario"
"Is Default","Es por defecto"
"Is Required","Es requerido"
"Items %s to %s of %s total","Artículos %s a %s de un total de %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no desea mostrar en el catálogo o los resultados de la búsqueda deberían estar en estado 'Inactivo' en la Tienda deseada."
"Label","Etiqueta"
"Last Name","Apellidos"
"Last Notification","Última notificación"
"Layered Navigation","Navegación en capas"
"Learn More","Saber más"
"Line %d, Email: %s","Línea %d, Email: %s"
"Line %d, SKU: %s","Línea %d, No. Ref. (SKU): %s"
"Link (Related, Up sell, Cross sell)","Enlace (Relacionado, Venta más alta, Venta cruzada)"
"Link to a Specified Category","Enlace a una categoría específica"
"Link to a Specified Product","Enlace a un artículo específico"
"List","Lista"
"List Mode","Modo de lista"
"List of Products that are set as New","Lista de artículos marcados como nuevos"
"Manage Attribute Sets","Gestionar conjuntos de atributos"
"Manage Attributes","Gestión de los atributos"
"Manage Catalog Categories","Gestionar categorías del catálogo"
"Manage Categories","Gestionar categorías"
"Manage Label / Options","Gestionar etiquetas y opciones"
"Manage Options (values of your attribute)","Gestión de Opciones (valores de su atributo)"
"Manage Product Attributes","Gestionar atributos del artículo"
"Manage Product Sets","Gestionar conjuntos de artículos"
"Manage Products","Gestión de Productos"
"Manage Stock","Gestionar existencias"
"Manage Titles (Size, Color, etc.)","Gestionar títulos (tamaño, color, etc.)"
"Max Characters","Número máximos de caractéres"
"Maximal Depth","Profundidad máxima"
"Maximum Image Size","Tamaño máximo de la imagen"
"Maximum Number of Price Intervals","Número máximo de intervalos de precios"
"Maximum Qty Allowed in Shopping Cart","Cantidad Máxima Permitida en la Cesta del Carrito"
"Maximum image height","Altura máxima de la imagen"
"Maximum image width","Anchura máxima de la imagen"
"Maximum number of characters:","Número máximo de caracteres:"
"Maximum number of price intervals is 100","Número máximo de intervalos de precios es 100."
"Media Image","Imagen multimedia"
"Minimum Advertised Price","Precio mínimo anunciado"
"Minimum Qty Allowed in Shopping Cart","Cantidad Mínima Permitida en la Cesta de Compra"
"Minimum Qty for Item's Status to be Out of Stock","Cant. mínima de Artículos del Estatus Agotado"
"More Views","Más Vistas"
"Move","Mover"
"Move category in tree","Mover categoría en árbol"
"My Account","Mi Cuenta"
"N/A","N/D"
"Name","Nombre"
"New Product","Añadir artículo"
"New Product Attribute","Nuevo atributo de artículo"
"New Products","Nuevos artículos"
"New Products Grid Template","Plantilla de cuadrícula de nuevos artículos"
"New Products List Template","Plantilla de lista de nuevos artículos"
"New Search","Nueva búsqueda"
"New Set Name","Nuevo nombre de conjunto"
"New products","Nuevos artículos"
"Next","Siguiente"
"No","No 	"
"No image","Sin imagen"
"No layout updates","No hay actualizaciones de diseño"
"No options of this product are available.","No hay opciones disponibles de este artículo."
"None","Ninguno"
"Not Visible Individually","No es visible individualmente"
"Notify Low Stock RSS","RSS de notificación de bajas cantidades en inventario"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Number of Products per Page","Número de productos por página"
"Number of Products to Display","Número de artículos a mostrar"
"Number of Uses","Número de usos"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (colocado por última vez)"
"OK","Aceptar"
"OR","O"
"Old Price:","Precio antiguo:"
"On Gesture","Sobre el gesto"
"Option:","Opción:"
"Options","Opciones"
"Options Control","Opciones de Control"
"Options is required","Opciones es requerido"
"Out of Stock","Fuera de existencias"
"Out of stock","No está disponible"
"PM","a la tarde"
"Page Title Separator","Separador de título de página"
"Parent Category","Categoría principal"
"Pending","Pendiente"
"Pending Reviews RSS","RSS de reseñas pendientes"
"Percentage","Porcentaje"
"Please add rows to option.","Por favor, añadir filas a la opción."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Sea Cuidadoso, una vez que haga clic sobre el renglón, cargará el paquete de datos del formulario del archivo seleccionado."
"Please enter a new group name","Por favor, introduzca un nombre nuevo de grupo"
"Please select one or more attributes.","Por favor, seleccione uno o más atributos."
"Please select products for attributes update","Por favor, seleccione los productos para la actualización de los atributos"
"Please specify date required option(s).","Por favor, especifique las opciones obligatorias de la fecha."
"Please specify the number of products, that will not be divided into subintervals.","Por favor, especifica el número de artículos, que no será dividido en subintervalos."
"Please specify the product required option(s)","Favor de especificar las opciones requeridas de producto"
"Please specify the quantity of product(s).","Especifica la cantidad de artículo(s)."
"Please specify time required option(s).","Por favor, especifique las opciones obligatorias de la hora."
"Please wait...","Por favor, espere..."
"Position","Posición"
"Position in Layered Navigation","Posición de navegación en capas"
"Position of attribute in layered navigation block","Posición de atributo en bloque de capas de navegación"
"Prev","Anterior"
"Previous","Anterior"
"Price","Precio"
"Price Navigation Step Calculation","Cálculo de paso de navegación de precios"
"Price Type","Tipo de precio"
"Price values for options should be specified in system base currency.","Valores de Precio para las opciones deben ser especificados en el sistema de la divisa base."
"Price:","Precio:"
"Print This Page","Imprimir esta página"
"Product","Producto"
"Product API","Producto API"
"Product Alerts","Alertas de artículo"
"Product Attribute","Atributos del artículo"
"Product Attributes","Atributos del artículo"
"Product Categories","Categorías de artículo"
"Product Description","Descripción del producto"
"Product Flat Data","Datos fijos de artículo"
"Product ID","ID de artículo"
"Product Image Placeholders","Marcadores de posición de imagen de artículo"
"Product Image Watermarks","Marcas de agua de imagen de artículo"
"Product Images","Producto Imágenes"
"Product Images API","Producto Imágenes API"
"Product In Websites","Artículo en sitios web"
"Product Info Column","Columna de información del producto"
"Product Information","Información de Producto"
"Product Link Block Template","Plantilla de bloque de Vínculo de artículo"
"Product Link Inline Template","Plantilla en línea de Vínculo de artículo"
"Product Listing Sort by","Ordenar lista de productos por"
"Product Name","Nombre del producto"
"Product Reviews","Reseñas de artículo"
"Product Tags","Etiquetas de productos"
"Product Tier Price API","Nivel de Precio de Producto API"
"Product Type","Tipo de Producto"
"Product URL Suffix","Sufijo de URL del producto"
"Product attribute sets API","API de Arreglos de Atributos de Producto"
"Product attributes API","API de atributos de Producto"
"Product is not loaded","El artículo no se ha cargado"
"Product links API (related, cross sells, up sells)","API de enlaces de producto (relacionado, ventas cruzadas, ventas más altas)"
"Product types API","API de Tipos de Producto"
"Product with this combination of attributes already associated to configurable.","Producto con esta combinación de atributos ya están asociados a configurar."
"Products","Productos"
"Products Comparison List","Lista de Comparación de artículos"
"Products Information","Información de artículos"
"Products Reviews","Reseñas de artículos"
"Products Sitemap","Mapa del sitio de Productos"
"Products only","Sólo artículos"
"Products per Page on Grid Allowed Values","Artículos por página (valores permitidos por la cuadrícula)"
"Products per Page on Grid Default Value","Artículos por página (predeterminado por la cuadrícula)"
"Products per Page on List Allowed Values","Artículos por página (valores permitidos por la lista)"
"Products per Page on List Default Value","Artículos por página (predeterminado por la lista)"
"Properties","Propiedades"
"Qty","Cant"
"Qty Increments","Incrementos de cantidad"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Qty:","Cant:"
"Quantity","Cantidad"
"Quick Create","Creación Rápida"
"Quick Overview","Vista General Rápida"
"Quick simple product creation","Creación rápida de producto simple"
"Redirect","Redirigir"
"Redirect URL","URL de redirección"
"Regular Price:","Precio normal:"
"Related Products","Artículos relacionados"
"Remove","Remover"
"Remove Product From Websites","Eliminar el artículo de los sitios de Internet"
"Remove This Item","Eliminar este artículo"
"Remove product assignment","Eliminar asignación de producto"
"Remove product image","Eliminar imagen de producto"
"Remove product link","Eliminar enlace de producto"
"Reorganize EAV category structure to flat structure","Reorganizar la esctructura de categoría EAV a una estructura plana"
"Reorganize EAV product structure to flat structure","Reorganizar la esctructura de artículo EAV a una estructura plana"
"Reset","Restablecer"
"Results","Resultados"
"Retrieve attribute data","Recuperar dato de atributo"
"Retrieve attribute list","Recuperar lista de atributo"
"Retrieve attribute options","Recuperar opciones de atributo"
"Retrieve categories tree","Recuperar árbol de categorías"
"Retrieve category attributes","Recuperar atributos de categorías"
"Retrieve category data","Recuperar dato de categoría"
"Retrieve hierarchical tree","Recuperar árbol jerárquico"
"Retrieve linked products","Recuperar productos vinculados"
"Retrieve list of assigned products","Recuperar lista de productos asignados"
"Retrieve one level of categories by website/store view/parent category","Recuperar un nivel de categorías por sitioweb/tienda vista/categoría padre"
"Retrieve product","Recuperar producto"
"Retrieve product attribute sets","Recuperar atributo de arreglos de producto"
"Retrieve product image","Recuperar imagen de producto"
"Retrieve product image list","Recuperar lista de imagen de producto"
"Retrieve product image types","Recuperar tipos de imagen de producto"
"Retrieve product link type attributes","Recuperar tipos de atributos de enlace de producto"
"Retrieve product link types","Recuperar tipos de enlace de producto"
"Retrieve product tier prices","Recuperar nivel de precios de producto"
"Retrieve product types","Recuperar tipos de producto"
"Retrieve products data","Recuperar datos de productos"
"Retrieve products list by filters","Recuperar lista de productos por filtros"
"Reviews","Reseñas"
"Roll Over for preview","Roll over para vista previa"
"Root","Raíz"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Save","Guardar"
"Save Attribute","Guardar atributo"
"Save Attribute Set","Guardar arreglo de atributos"
"Save Category","Guardar la categoría"
"Save Search","Guardar búsqueda"
"Save and Continue Edit","Guardar y continuar editando"
"Scope","Alcance"
"Scope must not be changed, because the attribute is used in configurable products.","El alcance no debe ser cambiado, porque el atributo es usado en la configuración de productos."
"Search","Buscar"
"Search Engine Optimizations","Optimización de Motores de búsqueda (SEO)"
"Search Information","Información de búsqueda"
"Search Query","Término de búsqueda"
"Search Weight","Buscar peso"
"Searchable","Buscable"
"See price before order confirmation.","Consulte el precio antes de la confirmación del pedido."
"Select Category...","Seleccionar categoría..."
"Select Configurable Attributes ","Selección de Atributos Configurables "
"Select Product...","Seleccionar artículo..."
"Select type of option","Seleccionar tipo de opciones"
"Select type options required values rows.","Determinados tipos de opciones requieren filas de valores."
"Selected Product Types","Selección de Tipos de Producto"
"Send Count","Cantidad de envíos"
"Set Ascending Direction","Fijar Dirección Ascendente"
"Set Descending Direction","Fijar Dirección Descendente"
"Set Name","Establecer Nombre"
"Set root category for this store in the <a href=""%s"">configuration</a>","Establecer la categoría raíz de esta tienda en la <a href=""%s"">configuración</a>"
"Set special price","Establecer precio especial"
"Set/Get current store view","Poner/Tener vista de tienda actual"
"Settings","Configuración"
"Shop By","Comprar por"
"Shopping Options","Opciones de compra"
"Show","Mostrar"
"Show Details","Mostrar detalles"
"Show Tags","Mostrar etiquetas"
"Simple Product","Producto Simple"
"Site Map","Mapa de sitio"
"Sitemap","Mapa de sitio"
"Skip import row, is not valid value ""%s"" for field ""%s""","Saltar el renglón de importación, inválido el valor ""%s"" para el campo ""%s"""
"Some of the selected item options are not currently available.","Algunos de los artículos seleccionados no están disponibles en este momento."
"Sort By","Ordenar por"
"Sort Order","Orden de aparición"
"Source Model","Modelo de origen"
"Special Price:","Precio Especial:"
"Starting at:","A partir de:"
"Static","Estático"
"Static block and products","Bloque y artículos estáticos"
"Static block only","Solo bloque estático"
"Status","Estatus"
"Stock Availability","Disponibilidad de inventario"
"Store","Tienda"
"Store View","Vista de la tienda"
"Stretch","Flexibilidad"
"Subscribe to RSS Feed","Suscribirse a las noticias por RSS"
"Super product attributes configuration","Configuración de atributos de super producto"
"Synonym For","Sinónimo Para"
"System Properties","Propiedades de sistema"
"Tag Name","Nombre de etiqueta"
"Tax","Impuestos"
"Template","Plantilla"
"Text","Texto"
"The base directory to upload file is not specified.","El directorio base para cargar el archivo no ha sido especificado."
"The review was removed by another user or does not exist.","La reseña no existe o fue eliminada por otro usuario."
"There are no %s available.","No hay %s disponible."
"There are no customers for this alert","No hay clientes de los clientes"
"There are no customers for this alert.","No hay clientes para esta alerta."
"There are no products matching the selection.","No hay productos que concuerden con los de la selección."
"This attribute cannot be edited.","No se puede editar este atributo."
"This attribute is used in configurable products.","Este atributo se utiliza en artículos configurables."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo se utiliza en artículos configurables. No es posible eliminarlo del conjunto de atributos."
"This attribute no longer exists","Este atributo ya no existe"
"This attribute set no longer exists.","Este conjunto de atributos ya no existe."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contiene atributos usados en otro grupo, Por favor, mueva estos atributos a otro grupo e intentelo de nuevo."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos del sistema. Pase los atributos del sistema a otro grupo y vuelva a intentarlo."
"This search no longer exists.","Esta búsqueda ya no existe."
"This setting will be applied when all prices in the specific price interval are equal.","Esta configuración se aplicará cuando todos los precios en el intervalo de precios específicos sean iguales."
"Tier Pricing","Nivel de precios"
"Tile","Mosaico"
"Time Format","Formato de hora"
"Title","Título"
"To see product price, add this item to your cart. You can always remove it later.","Para ver el precio del artículo añade este artículo al carrito. Siempre puedes eliminarlo posteriormente."
"Top/Left","Superior/izquierda"
"Top/Right","Arriba/Derecha"
"Total Qty Base Items","Cantidad total de artículos Base"
"Total incl. Tax: %1$s","Total de impuestos incluidos: %1$s"
"Type","Tipo"
"URL Rewrite Management","Gestión de reescritura de URL"
"Unassigned Attributes","Atributos sin asignar"
"Up-sells","Ventas ampliadas"
"Update","Actualizar"
"Update Attributes","Actualizar atributos"
"Update Tier Price","Actualizar nivel de precio"
"Update assigned product","Actualizar producto asignado"
"Update attributes","Actualizar atributos"
"Update category","Actualizar categoría"
"Update product","Actualizar producto"
"Update product image","Actualizar imagen de producto"
"Update product link","Actualizar enlace de producto"
"Update product tier prices","Actualizar nivel de precios de producto"
"Upload new product image ","Subir imagen nueva de producto "
"Use Canonical Link Meta Tag For Categories","Utilizar metaetiqueta de enlace canónico para categorías"
"Use Canonical Link Meta Tag For Products","Utilizar meta-etiqueta de enlace canónico para los artículos"
"Use Categories Path for Product URLs","Utilizar ruta de categorías para direcciones URL de productos"
"Use Config Settings","Usar opciones de configuración"
"Use Default Value","Usar Valor Predeterminado"
"Use Flat Catalog Category","Utilizar categoría de catálogo plano"
"Use Flat Catalog Product","Utilizar artículo de catálogo plano"
"Use In Layered Navigation","Uso en capas de navegación"
"Use In Search Results Layered Navigation","Utilizar en navegación por capas en los resultados de búsqueda"
"Use JavaScript Calendar","Utilizar calendario de JavaScript"
"Use To Create Configurable Product","Usar para crear producto configurable"
"Use Tree Like Category Sitemap","Usar Categoría de Mapa de Sitio Tipo Árbol"
"Use config","Usar config"
"Use default","Uso por defecto"
"Use for Promo Rule Conditions","Utilizar para condiciones de reglas de promoción"
"Use in Layered Navigation","Usar en navegación por capas"
"Used for Sorting in Product Listing","Se utiliza para ordenar las listas de artículos"
"Used in Product Listing","Se utiliza en las listas de artículos"
"View Details","Mostrar detalles"
"View as","Ver como"
"Virtual Product","Producto Virtual"
"Visibility","Visibilidad"
"Visible on Catalog Pages on Front-end","Visibles en páginas de Catálogo en Front-end"
"WYSIWYG Editor","Editor WYSIWYG"
"Watermark","Marca de Agua"
"Watermark Default Size","Tamaño predeterminado de marca de agua"
"Watermark Position","Posición de marca de agua"
"We Also Recommend","También Recomendamos"
"Website","Página web"
"Websites","Sitios web"
"What's this?","¿Qué es esto?"
"Year Range","Rango de años"
"Yes","Sí"
"You cannot remove system attribute from this set.","No se puede eliminar el sistema de atributos de este arreglo."
"You have no items to compare.","No tiene ningún artículo para comparar."
"You may also be interested in the following product(s)","Puede que también este interesado en el (los) siguiente(s) producto(s)"
"You saved the search term.","Guardaste el término de búsqueda."
"Zoom In","Acercar"
"Zoom Out","Alejar"
"and","y"
"and above","y por encima"
"categories","categorías"
"each","cada"
"ex. http://domain.com","por ejemplo, http://dominio.es"
"per page","por página"
"products","productos"
"save","guardar"
"select all","seleccionar todo"
"unselect all","deseleccionar todo"
