" and "," y "
"Bcc","Cco"
"Bestsellers","Mejor vendidos"
"Billing Address","Dirección de facturación"
"Billing Address: ","Dirección de facturación: "
"Billing Agreement","Acuerdo de pago"
"Billing Agreements","Acuerdos de pago"
"Block Information","Bloque información"
"Blocks","Bloques"
"Both (without and with tax)","Ambos (con y sin impuestos)"
"Browse Files...","Examinar Archivos..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","No pueden incluir opciones personalizadas en paquetes con precios dinámicos. Las opciones no se guardarán."
"By Email","Por correo electrónico"
"By IP","Por IP"
"By IP and Email","Por IP y correo electrónico"
"CRITICAL","CRÍTICO"
"CSV / Tab separated","CSV / Tab separados"
"Cache Control","Control de caché"
"Cache Control (beta)","Control de Cache (beta)"
"Cache Management","Gestión de caché"
"Cache Type","Tipo de memoria caché"
"Cancel","Cancelar"
"Cannot add new comment.","No se puede agregar un nuevo comentario."
"Cannot add tracking number.","No se puede agregar el número de seguimiento."
"Cannot do shipment for the order separately from invoice.","No se puede realizar envíos para el pedido independientemente de la factura."
"Cannot do shipment for the order.","No se puede hacer el envío para el pedido."
"Cannot save shipment.","No se puede guardar el envío."
"Cannot send shipment information.","No puede mandar la información del envío."
"Cannot update item quantity.","No se puede actualizar la cantidad de artículos."
"Card Verification Number","Número de verificación de tarjeta"
"Catalog","Catálogo"
"Catalog Price Rules","Catálogo Normas sobre precios"
"Catalog Rewrites","Reescribir el catálogo"
"Categories","Categorías"
"Category","Categoría"
"Category:","Categoría:"
"Checkbox","Casilla de verificación"
"Child Transactions","Transacciones hijas"
"Choose Store View:","Ladenansicht wählen:"
"Choose an attribute","Seleccione un atributo"
"Clear","Limpiar"
"Close","Cerrar"
"Code","Código"
"Complete","Completo"
"Config form fieldset clone model required to be able to clone fields","Config Felder-Formular als Klon-Modell erforderlich, um Felder klonen zu können"
"Configuration","Configuración"
"Confirm New Password","Confirmar contraseña nueva"
"Confirmed email:","Email confirmado:"
"Connect with the Magento Community","Conectar con la Comunidad de Magento"
"Continue","Continuar"
"Convert to Plain Text","Convertir a texto sin formato"
"Cookie (unsafe)","Cookie (inseguro)"
"Country","País"
"Country:","País:"
"Coupons","Cupones"
"Create","Crear"
"Create DB Backup","Crear copia de seguridad de la BD"
"Create New Attribute","Crear nuevo atributo"
"Created At","Creado en"
"Credit Card Number","Número de tarjeta de crédito"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Type: %s","Tipo de Tarjeta de Crédito: %s"
"Credit Memo History","Historial de reembolsos"
"Credit Memo Totals","Totales de reembolso"
"Credit Memos","Reembolsos"
"Currency","Moneda"
"Currency Information","Información de Moneda"
"Currency Setup Section","Sección de configuración de moneda"
"Current Configuration Scope:","Alcance actual de configuración:"
"Current Month","Mes actual"
"Custom","Personalizado"
"Custom Variables","Variables personalizadas"
"Customer","Cliente"
"Customer Group:","Grupo de cliente:"
"Customer Groups","Grupos de Clientes"
"Customer Name","Cliente nombre"
"Customer Reviews","Reseñas de cliente"
"Customer Shopping Carts","Carros de compras del cliente"
"Customer Since:","Cliente desde:"
"Customer Tax Classes","Clases de impuestos del cliente"
"Customer with the same email already exists.","Ya existe un cliente con la misma Dirección Email."
"Customers","Clientes"
"Customers by Number of Orders","Clientes por número de pedidos"
"Customers by Orders Total","Clientes por total de pedidos"
"DHTML Date/Time Selector","DHTML Selector de Fecha/Hora"
"Dashboard","Panel"
"Data Format","Formato de datos"
"Data transfer:","Transferencia de datos:"
"Database","Base de datos"
"Date","Fecha"
"Date & Time","Fecha y hora"
"Date Added","Fecha Añadido"
"Date Updated","Fecha actualizada"
"Date selection:","Selección de Fecha:"
"Date selector","Selector de fecha"
"Day","Día"
"Decimal separator:","Separador Decimal:"
"Default (Admin) Values","Valores (Admin) predeterminados"
"Default Billing Address","Dirección de facturación por defecto"
"Default Config","Configuración por defecto"
"Default Template from Locale","Plantilla predeterminadas desde local"
"Default Values","Valores (predeterminado)"
"Default scope","Geltungsbereich (voreingestellt)"
"Delete","Borrar"
"Delete %s","Eliminar %s"
"Delete %s '%s'","Eliminar %s '%s'"
"Delete Block","Eliminar bloque"
"Delete File","Eliminar archivo"
"Delete Image","Eliminar imagen"
"Delete Profile","Eliminar Perfil"
"Delete Role","Eliminar Función"
"Delete Store","Borrar tienda"
"Delete Store View","Eliminar Vista de Tienda"
"Delete Template","Eliminar plantilla"
"Delete User","Eliminar usuario"
"Delete Website","Eliminar sitio web"
"Description","Descripción"
"Design","Diseño"
"Design Section","Sección de diseño"
"Details","Detalles"
"Developer Section","Sección del Desarrollador"
"Direction:","Dirección:"
"Disable","Desactivar"
"Disabled","Deshabilitada"
"Display %s first","Mostrar %s primero"
"Display default currency","Voreingestellte Währung anzeigen"
"Distributed under GNU LGPL. See %s for details.","Distribuido bajo GNU LGPL. Ver %s para más detalles."
"Do you really want to KILL parallel process and start new indexing process?","¿Realmente quiere anular el proceso en paralelo y empezar un proceso en paralelo de indexación?"
"Download","Descarga"
"Downloads","Descargas"
"Drag to move","Arrastre para mover"
"Drop-down","Menú desplegable"
"Edit","Editar"
"Edit Block","Editar bloque"
"Edit Block '%s'","Modificar Bloque '%s'"
"Edit Design Change","Editar cambio de diseño"
"Edit Email Template","Editar plantilla de correo electrónico"
"Edit Order","Editar pedido"
"Edit Poll","Modificar encuesta"
"Edit Queue","Editar la cola de tareas"
"Edit Review","Editar Comentarios"
"Edit Role","Editar Rol"
"Edit Store View","Editar Vista de Tienda"
"Edit System Template","Editar plantilla de sistema"
"Edit Template","Editar la plantilla"
"Edit URL Rewrite","Editar Reescritura URL"
"Edit User","Editar usuario"
"Edit User '%s'","Modificar Usuario '%s'"
"Edit Website","Modificar Sitio Web"
"Email","Correo electrónico"
"Email Address:","Correo electrónico:"
"Email to a Friend","Escribir correo electrónico a un amigo"
"Email:","Correo electrónico:"
"Enable","Activado"
"Enabled","Habilitado"
"Enclose Values In:","Adjuntar valores en:"
"Entity Attributes","Atributos de la entidad"
"Entity Type","Tipo de datos"
"Entity type:","Tipo de entidad:"
"Excl. Tax","Impuestos no Incluídos"
"Excl. Tax:","Excl. Impuestos:"
"Exclude media folder from backup","Excluir la carpeta de los archivos multimedia de la copia de seguridad"
"Expiration Date","Fecha de vencimiento"
"Expiration Date: %s/%s","Fecha de Vencimiento: %s/%s"
"Export","Exportar"
"Export CSV","Exportar CSV"
"Export Filters","Exportar Filtros"
"Export to:","Exportar a:"
"Export:","Exportar:"
"FTP Host","FTP Server"
"FTP Host[:Port]","FTP Server[:Port]"
"FTP Login","Inicio de sesión de FTP"
"FTP Password","Contraseña de FTP"
"FTP credentials","Credenciales FTP"
"Failed","Falló"
"Field","Campo"
"Field Mapping","Asignación de campos"
"File","Archivo"
"File Information","Información del archivo"
"File System","Sistema de archivos"
"File name:","Nombre del archivo:"
"File size should be more than 0 bytes","El archivo debería de ser de más de 0 bytes"
"Finished profile execution.","Ejecución de perfiles terminado."
"First Invoice Created Date","Fecha de Creación de la primera factura"
"First Name","Nombre"
"First Name:","Nombre:"
"Fixed","Fijo"
"Flush Catalog Images Cache","Vaciar memoria cache de imágenes del catalogo"
"Flush JavaScript/CSS Cache","Borrar Memoria Cache de JavaScript/CSS"
"For category","Por categoría"
"For latest version visit: %s","Para la versión más actualizada visite: %s"
"For product","Por producto"
"Forgot your password?","¿Olvidó su contraseña?"
"Forgot your user name or password?","¿Olvidó su nombre de usuario o contraseña?"
"From","Desde"
"General Information","Información general"
"General Section","Sección General"
"Get Image Base64","Obtén imagen Base64"
"Get help for this page","Obtén ayuda para esta página"
"Global Attribute","Atributo Global"
"Global Record Search","Búsqueda  de registro global"
"Global Search","Búsqueda global"
"Go Today","Hoy"
"Go to Top","Ir a la parte superior"
"Grand Total","Total general"
"Grid (default) / List","Tabelle (Standard)/Liste"
"Grid Only","Cuadrícula sólo"
"Group:","Grupo:"
"Guest","Visitante"
"HTTP (unsecure)","HTTP (ungesichert)"
"Help Us Keep Magento Healthy - Report All Bugs","Participa en el fortalecimiento de Magento - Reporte todas las fallas"
"Home","Inicio"
"ID","Identificador"
"ID Path","Camino ID"
"IP Address","Dirección IP"
"IPN (Instant Payment Notification) Only","Nur IPN (Sofortzahlungsbenachrichtigung)"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si no se especifica un valor opcional para una vista de tienda en especifico el valor predeterminado (Admin) será el usado."
"Images (.gif, .jpg, .png)","Imágenes (.gif, .jpg, .png)"
"Images Cache","Caché de imágenes"
"Import","Importar"
"Import Service","Importdienst"
"Import and Export Tax Rates","Importación y exportación de impuestos"
"Import/Export","Importar/Exportar"
"Import/Export Advanced","Importar/Exportar Avanzado"
"Import/Export Profile","Importar/Exportar Perfil"
"Important: ","Wichtig: "
"Imported <strong>%s</strong> records","Registros <strong>%s</strong>  importados"
"In","Dentro"
"In Database:","Dentro de la base de datos:"
"In File:","En archivo:"
"Inactive","Inactivo"
"Incl. Tax","Impuestos incluidos"
"Incl. Tax:","Incl. Impuestos:"
"Incoming Message","Mensaje Nuevo"
"Insert Variable...","Insertar Variable..."
"Interactive","Interactivo"
"Interface Locale: %s","Interfaz local: %s"
"Invalid Form Key. Please refresh the page.","Clave de formulario inválida. Por favor actualice la página."
"Invalid Import Service Specified","El servicio de importación seleccionado es inválido"
"Invalid data","Fecha inválida"
"Invalid directory: %s","Directorio inválido: %s"
"Invalid file: %s","Archivo inválido: %s"
"Invalid input data for %s => %s rate","Datos de entrada no válidos para %s => %s tarifa"
"Invalid parent block for this block","Ungültiger Elternblock für diesen Block."
"Invalidated","Invalidado"
"Inventory Stock Status","Estado de inventario"
"Invoice #%s comment added","Comentario #%s añadido a la factura"
"Invoice #%s created","La factura #%s  fue creada"
"Invoice History","Historial de la factura"
"Invoice Totals","Totales de factura"
"Invoices","Facturas"
"Is Closed","Está cerrado"
"Is Default","Es por defecto"
"Issue Number","Número de emisión"
"Items","Artículos"
"JavaScript seems to be disabled in your browser.","Parece que JavaScript está deshabilitado en su navegador."
"JavaScript/CSS Cache","Caché de JavaScript/CSS"
"Last 24 Hours","Últimas 24 horas"
"Last 5 Orders","Los últimos 5 pedidos"
"Last 5 Search Terms","Los últimos 5 términos de Búsqueda "
"Last 7 Days","Últimos 7 días"
"Last Credit Memo Created Date","Fecha de creación ultima nota de crédito"
"Last Invoice Created Date","Fecha de Creación ultima factura"
"Last Logged In (%s):","Última vez que accedió (%s):"
"Last Logged In:","Último inicio de sesión:"
"Last Name","Apellidos"
"Last Name:","Apellidos:"
"Latest Message:","Último mensaje:"
"Layered Navigation Indices","Índices de Navegación por Capas"
"Leave empty to use tax identifier","Dejar vacío para usar identificador de impuestos"
"Lifetime Sales","Ventas de por Vida"
"Links","Enlaces"
"List (default) / Grid","Liste (Standard)/Tabelle"
"List Only","Lista sólo"
"Load Template","Cargar plantilla"
"Load default template","Cargar la plantilla por default"
"Loading...","Cargando..."
"Local Server","Servidor local"
"Local/Remote Server","Servidor Local/Remoto"
"Locale","Configuración regional"
"Log In","Iniciar sesión"
"Log Out","Terminar sesión"
"Log in to Admin Panel","Acceder al Panel de Administración"
"Log into Magento Admin Page","Acceder a la Página de Administración de Magento"
"Logged in as %s","Iniciada la sesión como %s"
"Login","Entrar"
"Low Stock","Existencia baja"
"MAJOR","MAYOR"
"MINOR","MENOR"
"MS Excel XML","Microsoft Excel XML"
"Magento Admin","Administración de Magento"
"Magento Commerce - Administrative Panel","Magento Commerce - Panel Administrativo"
"Magento Logo","Logo de Magento"
"Magento root directory","Directorio de raíz de Magento"
"Manage Attribute Sets","Gestionar conjuntos de atributos"
"Manage Attributes","Gestión de los atributos"
"Manage Categories","Gestionar categorías"
"Manage Currency Rates","Gestión de tipos de cambio"
"Manage Customers","Gestionar clientes"
"Manage Options (values of your attribute)","Gestión de Opciones (valores de su atributo)"
"Manage Ratings","Administrar puntuaciones"
"Manage Stores","Gestionar tiendas"
"Manage Tax Rules","Gestión de las normas fiscales"
"Manage Titles (Size, Color, etc.)","Gestionar títulos (tamaño, color, etc.)"
"Manual","Manuell"
"Maximum sender name length is 255. Please correct your settings.","Maximale Absender-Länge beträgt 255 Zeichen. Bitte korrigieren Sie Ihre Einstellungen."
"Media (.avi, .flv, .swf)","Multimedia(.avi, .flv, .swf)"
"Messages Inbox","Mensajes en Carpeta de Entrada"
"Month","Mes"
"Most Viewed","Más vistos"
"Most Viewed Products","Productos más vistos"
"Multiple Select","Selección múltiple"
"My Account","Mi Cuenta"
"N/A","N/D"
"NOTICE","AVISO"
"Name","Nombre"
"Name on Card","Nombre en la tarjeta"
"Name on the Card: %s","Nombre en la tarjeta: %s"
"Name:","Nombre:"
"Never (production)","Niemals (Produktivumgebung)"
"New ","Nuevo "
"New Accounts","Clientes con nuevas cuentas"
"New Attribute","Nuevo atributo"
"New Block","Nuevo bloque"
"New Category","Nueva categoría"
"New Class","Clase Nueva"
"New Condition","Nueva condición"
"New Custom Variable","Nueva variable personalizada"
"New Customer","Nuevo cliente"
"New Customers","Nuevos clientes"
"New Design Change","Diseño de Cambio Nuevo"
"New Email Template","Nueva plantilla de correo electrónico"
"New Group","Nuevo grupo"
"New Invoice","Nueva factura"
"New Item Type","Tipo de Artículo Nuevo"
"New Memo","Nuevo memorándum"
"New Page","Nueva Página"
"New Password","Nueva Contraseña"
"New Poll","Encuesta nueva"
"New Profile","Perfil Nuevo"
"New Rating","Nueva puntuación"
"New Review","Nueva revisión"
"New Role","Nueva función"
"New Rule","Nueva regla"
"New Search","Nueva búsqueda"
"New Set","Nuevo conjunto"
"New Shipment","Nuevo pedido"
"New Sitemap","Nuevo mapa del sitio web"
"New Store View","Nueva vista de tienda"
"New System Template","Nueva plantilla de sistema"
"New Tag","Etiqueta Nueva"
"New Template","Nueva plantilla"
"New User","Nuevo usuario"
"New Website","Sitio Web Nuevo"
"Newsletter","Boletín de noticias"
"Newsletter Queue","Cola del boletín informativo"
"Newsletter Subscribers","Suscriptores del boletín informativo"
"Newsletter Templates","Plantillas del boletín informativo"
"Next month (hold for menu)","Mes siguiente (mantenga para ver menú)"
"Next year (hold for menu)","Año siguiente (mantenga para ver menú)"
"No","No 	"
"No (price without tax)","No (precio sin IVA)"
"No Data","Keine Daten"
"No Data Found","No se encontraron datos"
"No Templates Found","No se encontraron plantillas"
"No change","Sin cambios"
"No profile loaded...","No hay perfil cargado..."
"No records found for this period.","No se encontraron registros para este periodo."
"No records found.","No se han encontrado registros."
"No search keywords.","No hay palabras de Búsqueda ."
"No search modules were registered","No se registraron módulos de búsqueda"
"None","Ninguno"
"Note:","Nota:"
"Notes","Notas"
"Notifications","Notificaciones"
"Number of Orders","Número de pedidos"
"Number of Uses","Número de usos"
"Number of Views","Número de Vistas"
"Number of records:","Número de registros:"
"OK","Aceptar"
"Old rate:","Alter Kurs:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Nachdem Sie in Ihr erweitertes PayPal-Konto eingeloggt sind, navigieren Sie zum Menü Service-Einstellungen - gehostete Checkout-Seiten  - Set Up-Menü und legen Sie die unten beschriebenen Optionen an"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Nachdem Sie in Ihr Konto PayPal Payflow Link eingeloggt sind, navigieren Sie zum Menü Service-Einstellungen - gehostete Checkout-Seiten  - Set Up-Menü und legen Sie die unten beschriebenen Optionen an"
"Online Customers","Clientes en línea"
"Only Once (version upgrade)","Nur einmal (Upgrade der Version)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","sólo atributos con el ámbito ""Global"",tipo de entrada en menú desplegable"" y usar para crear un producto configurable ""Si"" están disponibles."
"Only mapped fields","sólo campos asignados"
"Optional","Freiwillig"
"Options","Opciones"
"Options is required","Opciones es requerido"
"Order","Encargar"
"Order #%s","Pedido #%s"
"Order #%s (%s)","Pedido #%s (%s)"
"Order ID","Pedido ID"
"Order Totals","Total del pedido"
"Orders","Pedidos"
"Original Magento attribute names in first row:","Nombres de atributos originales de Magento en la primera columna:"
"Out of stock","No está disponible"
"Pages","Páginas"
"Parent Product Thumbnail","Miniatura del Producto Padre"
"Parent Transaction ID","ID de transacción principal"
"Passive mode","Modo pasivo"
"Password","Contraseña"
"Password Confirmation","Confirmación de la contraseña"
"Password:","Contraseña:"
"Path:","Ruta:"
"Pending Reviews","Reseñas pendientes"
"Pending Tags","Etiquetas pendientes"
"Per Item","Pro Artikel"
"Per Order","Por pedido"
"Percent","Porcentaje"
"Performed At","A realizarse en"
"Period","Período"
"Permanent (301)","(301) Permanente"
"Permissions","Permisos"
"Personal Information","Información Personal"
"Phone:","Teléfono:"
"Please Select","Bitte auswählen"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirmar cambio de sitio. Se perderán todos los datos que no ha sido guardados."
"Please enter 6 or more characters.","Por favor ingrese 6 o más caracteres."
"Please enter a number greater than 0 in this field.","Por favor, introduzca un número mayor que 0 en este campo."
"Please enter a valid $ amount. For example $100.00.","Por favor, introduzca una cantidad válida en $. Por ejemplo: $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor ingrese una URL válida. Por ejemplo http://www.example.com"
"Please enter a valid URL. http:// is required","Por favor ingrese una URL válida. http:// es requerido"
"Please enter a valid credit card number.","Por favor, introduzca un número de tarjeta de crédito válido."
"Please enter a valid date.","Por favor introduce una fecha correcta."
"Please enter a valid email address. For example johndoe@domain.com.","por favor, ingrese una Dirección de Email válido. Por ejemplo johndoe@domain.com."
"Please enter a valid email.","Por favor ingrese un email válido."
"Please enter a valid number in this field.","Por favor, introduzca un número válido en este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, introduzca un número de teléfono válido. Por ejemplo (123) 456-7890 ó 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor ingrese un número de seguridad sociual válido, por ejemplo 123456789."
"Please enter a valid value from list","Por favor ingrese un valor válido de la lista"
"Please enter a valid value, ex: 10,20,30","Por favor ingrese un valor válido, ej: 10,20,30"
"Please enter a valid zip code.","Por favor, introduzca un código postal (C. P.) válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor ingrese un código postal válido. Por ejemplo 90602 o 90602-1234."
"Please enter valid password.","Por favor ingrese una contraseña válida."
"Please make sure that all global admin search modules are installed and activated.","Por favor asegúrese de que todos los módulos de búsqueda global del administrador estén instalados y activados."
"Please make sure that your changes were saved before running the profile.","Por favor esté seguro de que todos los cambios fueron guardados antes de correr el perfil."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please select State/Province.","Selecciona un estado/provincia."
"Please select an option.","Por favor selecciona una opción."
"Please select customer(s).","Bitte wählen Sie entsprechende Kunden aus."
"Please select one of the above options.","Por favor seleccione una de las opciones de arriba."
"Please select one of the options.","Selecciona una de las opciones."
"Please select review(s).","Por favor, seleccione revisión(es)."
"Please specify the admin custom URL.","Bitte geben Sie die individuelle Admin-URL an."
"Please use in this field only ""a-z,0-9,_"".","Por favor use en este campo ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Por favor use letras solamente (a-z) en este campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Utilice sólo letras (-a-z o A-z), números (0-9) o espacios en este campo."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor use sólo letras (a-z) o Números (0-9) sólo en este campo. No se permiten espacios u otros caracteres."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor use  en este campo sólo letras (a-z) o Números (0-9) o espacios o # solamente."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato para fechas: dd/mm/aaaa. Por ejemplo, 17/03/2006 para el 17 de marzo de 2006."
"Please wait, loading...","Por favor espere, cargando..."
"Please wait...","Por favor, espere..."
"Poll Manager","Gestor de encuestas"
"Polls","Encuestas"
"Popular","Populares"
"Position","Posición"
"Position of Watermark for %s","Posición de la marca de agua para %s"
"Prev. month (hold for menu)","Mes ant. (mantenga para ver menú)"
"Prev. year (hold for menu)","Año ant. (mantenga para ver menú)"
"Preview","Vista previa"
"Preview Template","Vista previa de la plantilla"
"Price","Precio"
"Price:","Precio:"
"Processed <strong>%s%% %s/%d</strong> records","Registros <strong>%s%% %s/%d</strong> procesados"
"Processing","Procesando"
"Product","Producto"
"Product Name","Nombre del producto"
"Product Reviews","Reseñas de artículo"
"Product Tax Classes","Impuesto sobre las clases de productos"
"Product Thumbnail Itself","Miniatura del Producto en sí"
"Product:","Producto:"
"Products","Productos"
"Products Bestsellers Report","Informe de artículos más vendidos"
"Products Most Viewed Report","Bericht meistgesehene Artikel"
"Products Ordered","Artículos pedidos"
"Products in Carts","Artikel in Warenkörben"
"Profile Action","Acción del perfil"
"Profile Actions XML","Acciones de Perfiles en XML"
"Profile Direction","Dirección del perfil"
"Profile History","Historia del perfil"
"Profile Information","Información del perfil"
"Profile Name","Nombre del perfil"
"Profile Wizard","Perfiles Wizard"
"Profiles","Perfiles"
"Promo","Werbeaktion"
"Promotions","Promociones"
"Quantity","Cantidad"
"Queue Refresh","Renovación de cola"
"Queued... Cancel","Cola... Cancelar"
"Radio Buttons","Botones de radio"
"Rates","Tarifas"
"Read details","Leer detalles"
"Rebuild","Reconstruir"
"Rebuild Catalog Index","Reconstrucción del índice de catálogo"
"Rebuild Flat Catalog Category","Reconstruir Tabla Plana de Categoría"
"Rebuild Flat Catalog Product","Reconstruir Tabla Plana de Productos"
"Recent Orders","Pedidos recientes"
"Recent statistics have been updated.","Neueste Statistiken sind aktualisiert worden."
"Recursive Dir","Dir Recursivo"
"Redirect","Redirigir"
"Reference ID","ID de referencia"
"Refresh","Actualizar"
"Refresh Now*","Renovar ahora*"
"Refresh Statistics","Actualizar estadísticas"
"Region/State","Región/Provincia"
"Regular Price:","Precio normal:"
"Reject","Rechazar"
"Release","Liberación"
"Release Stability","Estabilidad de la liberación"
"Release Version","Versión Liberada"
"Reload captcha","Recargar captcha"
"Remote FTP","FTP remoto"
"Remove","Remover"
"Reports","Informes"
"Request Path","Solicitar ruta"
"Required","Requerido"
"Reset","Restablecer"
"Reset Filter","Restablecer filtro"
