"-- Please Select --","--Seleccione--"
"Add New Class","Añadir nueva clase fiscal"
"Price Display Settings","Ajustes de visualización para precios"
"Priority","Prioridad"
"Product Tax Class","Clase de impuestos del artículo"
"Product Tax Class Information","Información de Impuestos del Producto"
"Product Tax Classes","Impuesto sobre las clases de productos"
"Range From","Intervalo desde"
"Range To","Intervalo hasta"
"Range To should be equal or greater than Range From.","El rango superior debe ser igual o superior al rango inferior."
"Rate","Tasa"
"Rate Percent","Tasa de porcentaje"
"Reset","Restablecer"
"Row Total","Fila total"
"Sales","Ventas"
"Save Class","Guardar Clase"
"Save Rate","Guardar tarifa"
"Save Rule","Guardar regla"
"Save and Continue Edit","Guardar y continuar editando"
"Shipping & Handling (Excl.Tax)","Envío y servicio (impuestos no incluídos)"
"Shipping & Handling (Incl.Tax)","Envío y servicio (impuestos incluídos)"
"Shipping (Excl. Tax)","Envío (impuestos no incluídos)"
"Shipping (Incl. Tax)","Envío (impuestos incluídos)"
"Shipping Prices","Precios de envío"
"Shopping Cart Display Settings","Ajustes de visualización para el carrito de compras"
"Sort Order","Orden de aparición"
"State","Comunidad Autónoma"
"State/Region","Estado federado/Región"
"Subtotal (Excl. Tax)","Subtotal (IVA no incluido)"
"Subtotal (Excl.Tax)","Subtotal (excl. impuestos)"
"Subtotal (Incl. Tax)","Subtotal (IVA incluido)"
"Subtotal (Incl.Tax)","Subtotal (incl. impuestos)"
"Tax","Impuestos"
"Tax Calculation Based On","Cálculo tributario basado en"
"Tax Calculation Method Based On","Método de cálculo tributario basado en"
"Tax Class for Shipping","Clase de impuestos para envíos"
"Tax Classes","Clases de impuestos"
"Tax Identifier","Identificador tributario"
"Tax Rate","Tarifa de impuestos"
"Tax Rate Information","Información sobre tarifas de impuestos"
"Tax Rule Information","Información sobre reglas tributarias"
"Tax Rules","Reglas de impuestos"
"Tax Section","Sección de impuestos"
"Tax Titles","Títulos tributarias"
"Tax rates at the same priority are added, others are compounded.","Las tarifas tributarias con la misma prioridad son añadidas, las demás son compuestas."
"The tax rate has been imported.","Esta tarifa tributaria ha sido importada."
"The tax rule has been deleted.","Esta regla tributaria ha sido eliminada."
"This class no longer exists","Esta categoría ya no existe"
"This rule no longer exists","Esta regla ha dejado de existir"
"This rule no longer exists.","Esta regla ya no existe."
"Unit Price","Precio Unitario"
"Yes","Sí"
"You cannot delete this tax class as it is used for %d customer groups.","No se puede eliminar esta clase de impuestos, ya que se utiliza para %d grupos de clientes."
"You cannot delete this tax class as it is used for %d products.","No se puede eliminar esta clase de impuestos, ya que se utiliza para productos %d."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","No se puede eliminar esta clase de impuestos ya que se utiliza en la regla fiscal. Primero tienes que eliminar las reglas donde se utilizan. "
"Zip/Post Code","CP/Código postal"
"Zip/Post is Range","Sólo para ciertos códigos postales"
